link_id,matrix_row_id,intervention_id,target_community_or_variety,language_or_profile_tag,target_territory_scope,observation_id,link_status,observation_language_label,observation_edition_profile,observation_iso_or_id,observation_territory,observation_script_or_profile,measure_type,count_unit,population_low,population_base,population_high,reference_date_or_year,population_source_id,population_source_url,source_locator,target_mapping_status,observation_use,overlap_group_id,alternative_measure_role,nonadditivity_or_exclusion_note,usable_as_package_population_total
EDGE-ISV-000-P00,EDGE-ISV-000,IL-ISV,Pooled native-Slavic study respondents,multiple native Slavic labels,self-selected online sample,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-001-P01,EDGE-ISV-001,IL-ISV,Russian-literate cohort,ru-Cyrl,exact territory pending,ALG-KZ-L002,exact_territory_subcell_lower_bound,Russian,nationality-scoped native-language lower bound,rus,Kazakhstan,,census_native_language_of_own_nationality_persons,persons,2853224,2853224,2853224,2021,ALG-S007,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 6, printed p. 243",source_named_language_lower_bound,gross_lower_bound_pending_intervention_edges,KZ-RUSSIAN-NATIVE-2021,direct_language_population_lower_bound,Russian native-language lower-bound subcell in Kazakhstan; not a Russian-family total.,false
EDGE-ISV-001-P02,EDGE-ISV-001,IL-ISV,Russian-literate cohort,ru-Cyrl,exact territory pending,ALG-KZ-P002,context_alternative_fluency,Russian,population-wide fluency measure,rus,Kazakhstan,,census_speaks_language_fluently_persons,persons,12310685,12310685,12310685,2021,ALG-S007,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 8, printed p. 366",population_wide_language_proficiency_not_native_or_academic,context_or_written_ceiling_pending_literacy_evidence,KZ-RUSSIAN-PROF-2021,fluent_speaking_or_proficiency_context,Alternative Kazakhstan fluency measure; not native language or academic comfort and not additive with ALG-KZ-L002.,false
EDGE-ISV-001-P03,EDGE-ISV-001,IL-ISV,Russian-literate cohort,ru-Cyrl,exact territory pending,ALG-KG-L003,exact_territory_subcell_direct,Russian,national native-language total,rus,Kyrgyzstan,,census_native_language_persons,persons,304630,304630,304630,2022,ALG-S008,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf,"Table 3.8, printed p. 118",source_named_language_observation,gross_upper_bound_pending_intervention_edges,KG-NATIVE-2022,direct_language_population_observation,Russian native-language subcell in Kyrgyzstan.,false
EDGE-ISV-001-P04,EDGE-ISV-001,IL-ISV,Russian-literate cohort,ru-Cyrl,exact territory pending,ALG-TM-L003,exact_territory_subcell_direct,Russian,national mother-tongue category,rus,Turkmenistan,,census_mother_tongue_persons,persons,135565,135565,135565,2022,ALG-S009,https://stat.gov.tm/population-census-pdfs/results/en/4.pdf,Table 4.9,source_named_language_observation,gross_upper_bound_pending_intervention_edges,TM-MT-2022,direct_language_population_observation,Russian mother-tongue subcell in Turkmenistan.,false
EDGE-ISV-002-P00,EDGE-ISV-002,IL-ISV,Ukrainian-literate cohort,uk-Cyrl,exact territory pending,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-003-P00,EDGE-ISV-003,IL-ISV,Belarusian-literate cohort,be-Cyrl,exact territory pending,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-004-P00,EDGE-ISV-004,IL-ISV,Polish-literate cohort,pl-Latn,Poland and separately diaspora,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-005-P00,EDGE-ISV-005,IL-ISV,Czech-literate cohort,cs-Latn,Czechia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-006-P00,EDGE-ISV-006,IL-ISV,Slovak-literate cohort,sk-Latn,Slovakia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-007-P00,EDGE-ISV-007,IL-ISV,Slovene-literate cohort,sl-Latn,Slovenia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-008-P00,EDGE-ISV-008,IL-ISV,Bosnian-standard cohort,bs-Latn,Bosnia and Herzegovina,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-009-P00,EDGE-ISV-009,IL-ISV,Croatian-standard cohort,hr-Latn,Croatia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-010-P00,EDGE-ISV-010,IL-ISV,Montenegrin-standard cohort,cnr-Latn,Montenegro,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-011-P00,EDGE-ISV-011,IL-ISV,Serbian Latin-script reading cell,sr-Latn,Serbia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-012-P00,EDGE-ISV-012,IL-ISV,Serbian Cyrillic-script reading cell,sr-Cyrl,Serbia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-013-P00,EDGE-ISV-013,IL-ISV,Bulgarian-literate cohort,bg-Cyrl,Bulgaria,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ISV-014-P00,EDGE-ISV-014,IL-ISV,Macedonian-literate cohort,mk-Cyrl,North Macedonia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-000-P00,EDGE-ROM-000,IL-ROM,Proposed constructed pan-Romance surface,art-romance-hypothesis,no defensible pooled territory,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-001-P01,EDGE-ROM-001,IL-ROM,Spanish-standard cell,es,Spanish-language territories separately modeled,POP-PE-010,context_negative_control_subcell,Spanish,INEI source label Castellano,spa,Peru,Latin,census_language_learned_in_childhood_age3plus_persons,persons,23178478,23178478,23178478,2017,PM-S007,https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1544/00TOMO_01.pdf,"Cuadro 4, printed p. 618",negative_control,context_only_negative_control,,standalone_observation,Peru childhood-language Spanish observation; context only and not a global Spanish population.,false
EDGE-ROM-002-P00,EDGE-ROM-002,IL-ROM,Brazilian Portuguese cell,pt-BR,Brazil,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-003-P01,EDGE-ROM-003,IL-ROM,French-standard cell,fr,French-language territories separately modeled,POP-CA-002,context_negative_control_subcell,French,Canada 2021 mother tongue,fra,Canada,Latin,census_mother_tongue_persons_excluding_institutional_residents,persons,7189245,7189245,7189245,2021,PM-S009,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=14&LANG=E&STATISTIClist=1%2C4&SearchText=Canada,"Mother tongue section, Canada total",negative_control,context_only_negative_control,,standalone_observation,Canada French mother-tongue subcell; not a global French population.,false
EDGE-ROM-003-P02,EDGE-ROM-003,IL-ROM,French-standard cell,fr,French-language territories separately modeled,POP-MU-006,context_negative_control_subcell,French,Statistics Mauritius source label French,fra,Mauritius,Latin,language_usually_spoken_at_home_persons,persons,30039,30039,30039,2022,PM-S013,https://statsmauritius.govmu.org/Documents/Census_and_Surveys/Census2022/HPC_TR_Vol2_Demography_Yr22.pdf,"Table D9, printed p. 165",negative_control,context_only_negative_control,,standalone_observation,Mauritius home-language French subcell; not additive with other territories without a common-year design.,false
EDGE-ROM-004-P00,EDGE-ROM-004,IL-ROM,Italian-standard cell,it-Latn-IT,Italy,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-005-P00,EDGE-ROM-005,IL-ROM,Romanian-standard cell,ro-Latn-RO,Romania and Moldova profiles separate,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-006-P00,EDGE-ROM-006,IL-ROM,Catalan-standard cell,ca-Latn,Catalan territories separately modeled,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-ROM-007-P00,EDGE-ROM-007,IL-ROM,Galician-standard cell,gl-Latn-ES,Galicia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-TUR-001-P00,EDGE-TUR-001,IL-TURKIC,Turkish-standard cell,tr-Latn-TR,Turkey,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-TUR-002-P00,EDGE-TUR-002,IL-TURKIC,Azerbaijani-standard cell,az-Latn-AZ,Azerbaijan,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-TUR-003-P01,EDGE-TUR-003,IL-TURKIC,Turkmen-standard cell,tk-Latn-TM,Turkmenistan,ALG-TM-L001,direct_exact_territory_language_observation,Turkmen,national mother-tongue category,tuk,Turkmenistan,,census_mother_tongue_persons,persons,6297965,6297965,6297965,2022,ALG-S009,https://stat.gov.tm/population-census-pdfs/results/en/4.pdf,Table 4.9,source_named_language_observation,gross_upper_bound_pending_intervention_edges,TM-MT-2022,direct_language_population_observation,National Turkmen mother-tongue count.,false
EDGE-TUR-004-P00,EDGE-TUR-004,IL-TURKIC,Gagauz-standard cell,gag-Latn,Moldova exact communities,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-TUR-005-P01,EDGE-TUR-005,IL-TURKIC,Kazakh-standard cell,kk-Cyrl-KZ,Kazakhstan,ALG-KZ-L001,direct_exact_territory_lower_bound,Kazakh,nationality-scoped native-language lower bound,kaz,Kazakhstan,,census_native_language_of_own_nationality_persons,persons,13380107,13380107,13380107,2021,ALG-S007,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 6, printed p. 243",source_named_language_lower_bound,gross_lower_bound_pending_intervention_edges,KZ-KAZAKH-NATIVE-2021,direct_language_population_lower_bound,Kazakh native-language lower bound within Kazakh nationality; excludes cross-nationality speakers.,false
EDGE-TUR-005-P02,EDGE-TUR-005,IL-TURKIC,Kazakh-standard cell,kk-Cyrl-KZ,Kazakhstan,ALG-KZ-P001,context_alternative_fluency,Kazakh,population-wide fluency measure,kaz,Kazakhstan,,census_speaks_language_fluently_persons,persons,12670407,12670407,12670407,2021,ALG-S007,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 8, printed p. 366",population_wide_language_proficiency_not_native_or_academic,context_or_written_ceiling_pending_literacy_evidence,KZ-KAZAKH-PROF-2021,fluent_speaking_or_proficiency_context,Alternative Kazakhstan fluency measure; not native language or academic comfort and not additive with ALG-KZ-L001.,false
EDGE-TUR-006-P01,EDGE-TUR-006,IL-TURKIC,Kyrgyz-standard cell,ky-Cyrl-KG,Kyrgyzstan,ALG-KG-L001,direct_exact_territory_language_observation,Kyrgyz,national native-language total,kir,Kyrgyzstan,,census_native_language_persons,persons,5527168,5527168,5527168,2022,ALG-S008,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf,"Table 3.8, printed p. 118",source_named_language_observation,gross_upper_bound_pending_intervention_edges,KG-NATIVE-2022,direct_language_population_observation,National Kyrgyz native-language total.,false
EDGE-TUR-007-P00,EDGE-TUR-007,IL-TURKIC,Tatar-standard cell,tt-Cyrl-RU,Russian Federation,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-TUR-008-P00,EDGE-TUR-008,IL-TURKIC,Bashkir-standard cell,ba-Cyrl-RU,Russian Federation,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
