matrix_row_id,intervention_id,mechanism_class,package_mechanism_class,source_row_type,edge_role,coverage_mode,target_community_or_variety,language_or_profile_tag,script,territory_scope,population_link_status,population_observation_ids,population_source_ids,population_count_summary,existing_edition_overlap,communities_excluded,double_count_rule,comprehension_evidence_status,direct_comprehension_source_ids,observed_task_score,observed_task_type,tested_task,localized_output_c_low,localized_output_c_base,localized_output_c_high,localized_output_c_status,cross_language_incremental_c_low,cross_language_incremental_c_base,cross_language_incremental_c_high,cross_language_incremental_c_status,incremental_access_gain_low,incremental_access_gain_base,incremental_access_gain_high,incremental_access_gain_status,rankable_under_current_evidence,source_ids,source_urls,source_locator,confidence,notes
EDGE-ISV-000,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,study_sample,cross_language_bridge,Pooled native-Slavic study respondents,multiple native Slavic labels,study surface reported as written Interslavic,self-selected online sample,none_present_in_current_population_master,,,,No exact local native-language-edition overlap was subtracted,No untested minority or exact language leaf receives this pooled value,The pooled 0.84 is one study-level point estimate and may not be copied to leaf rows or multiplied by a Slavic demographic ceiling,direct_point_estimate_not_bound,ACE-E014,0.84,seven-gap short written professional-text cloze,seven-gap written professional-text cloze,,,,not_applicable,0,,0.84,conservative_zero_base_missing_high_short_cloze_point_estimate_only_not_sustained_math,,,,not_applicable,false,ACE-E014,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf,Merunka et al. 2019 overall result; 1822 valid responses; 315 of 1766 below five-of-seven threshold,medium,No low or high confidence bound was reported in the registered evidence.
EDGE-ISV-001,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Russian-literate cohort,ru-Cyrl,Cyrl,exact territory pending,direct_or_lower_bound_links_present_not_automatically_additive,ALG-KZ-L002;ALG-KZ-P002;ALG-KG-L003;ALG-TM-L003,ALG-S007;ALG-S008;ALG-S009,ALG-KZ-L002:2853224/2853224/2853224 persons [exact_territory_subcell_lower_bound] || ALG-KZ-P002:12310685/12310685/12310685 persons [context_alternative_fluency] || ALG-KG-L003:304630/304630/304630 persons [exact_territory_subcell_direct] || ALG-TM-L003:135565/135565/135565 persons [exact_territory_subcell_direct],unknown in current local coverage census,Kashubian Sorbian Rusyn and all untested minority leaves,Credit zero until an exact surface/script/cohort test; deduct any comfortable Russian edition before reach,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf;https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf;https://stat.gov.tm/population-census-pdfs/results/en/4.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled Interslavic study and natural-language comparison only,low,No pooled result is inherited.
EDGE-ISV-002,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Ukrainian-literate cohort,uk-Cyrl,Cyrl,exact territory pending,none_present_in_current_population_master,,,,unknown in current local coverage census,Untested Slavic leaves,Credit zero until exact testing and deduct any comfortable Ukrainian edition,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-003,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Belarusian-literate cohort,be-Cyrl,Cyrl,exact territory pending,none_present_in_current_population_master,,,,unknown,Untested Slavic leaves,Zero until exact testing; one person cannot be counted in both Latin and Cyrillic projection cells,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No blanket East Slavic credit.
EDGE-ISV-004,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Polish-literate cohort,pl-Latn,Latn,Poland and separately diaspora,none_present_in_current_population_master,,,,unknown,Kashubian is not included,Zero until exact testing; deduct Polish and English comfortable access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-005,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Czech-literate cohort,cs-Latn,Latn,Czechia,none_present_in_current_population_master,,,,unknown,No Slovak or other West-Slavic transfer credit,Zero until exact testing; deduct Czech and English comfortable access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,Natural Czech-Slovak evidence does not establish Interslavic mathematics comprehension.
EDGE-ISV-006,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Slovak-literate cohort,sk-Latn,Latn,Slovakia,none_present_in_current_population_master,,,,unknown,No Czech or other West-Slavic transfer credit,Zero until exact testing; deduct Slovak and English comfortable access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-007,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Slovene-literate cohort,sl-Latn,Latn,Slovenia,none_present_in_current_population_master,,,,unknown,No BCMS or other South-Slavic transfer credit,Zero until exact testing; deduct Slovene and English comfortable access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-008,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Bosnian-standard cohort,bs-Latn,Latn,Bosnia and Herzegovina,none_present_in_current_population_master,,,,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,BCMS shared-core architecture is a competing intervention.
EDGE-ISV-009,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Croatian-standard cohort,hr-Latn,Latn,Croatia,none_present_in_current_population_master,,,,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
