edge_id,intervention_id,mechanism,staging_profile_id,population_cell_id,population_join_status,edge_role,community_label,territory,language_tag,script,coverage_mode,comprehension_low,comprehension_base,comprehension_high,observed_task_score,observed_task_type,prior_study_required,receptive_or_productive,tested_task,script_match,existing_edition_overlap,exclusions,double_count_rule,recommended_portfolio,adaptation_depth,source_ids,source_locator,confidence,inference_flag,rankable,notes
EDGE-ISV-000,IL-ISV,constructed_bridge,CELL-ISV-STUDY-POOL,,non_population_evidence,study_sample,Pooled native-Slavic study respondents,self-selected online sample,multiple native Slavic labels,study surface reported as written Interslavic,cross_language_bridge,unknown,unknown,unknown,0.84,seven-gap short written professional-text cloze,not required for the short cloze; sustained mathematics unknown,receptive,seven-gap written professional-text cloze,study-specific,No exact local native-language-edition overlap was subtracted,No untested minority or exact language leaf receives this pooled value,The pooled 0.84 is one study-level point estimate and may not be copied to leaf rows or multiplied by a Slavic demographic ceiling,FR-2,D2,ACE-E014,Merunka et al. 2019 overall result; 1822 valid responses; 315 of 1766 below five-of-seven threshold,medium,direct_point_estimate_not_bound,false,No low or high confidence bound was reported in the registered evidence.
EDGE-ISV-001,IL-ISV,constructed_bridge,CELL-ISV-RU-CYRL,,pending_exact_composite_join,coverage_candidate,Russian-literate cohort,exact territory pending,ru-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,Cyrl projection plausible but untested,unknown in current local coverage census,Kashubian Sorbian Rusyn and all untested minority leaves,Credit zero until an exact surface/script/cohort test; deduct any comfortable Russian edition before reach,FR-2,D2,ACE-E014;ACE-E015,Pooled Interslavic study and natural-language comparison only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-002,IL-ISV,constructed_bridge,CELL-ISV-UK-CYRL,,pending_exact_composite_join,coverage_candidate,Ukrainian-literate cohort,exact territory pending,uk-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,Cyrl projection plausible but untested,unknown in current local coverage census,Untested Slavic leaves,Credit zero until exact testing and deduct any comfortable Ukrainian edition,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-003,IL-ISV,constructed_bridge,CELL-ISV-BE-CYRL,,pending_exact_composite_join,coverage_candidate,Belarusian-literate cohort,exact territory pending,be-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,Cyrl projection plausible but untested,unknown,Untested Slavic leaves,Zero until exact testing; one person cannot be counted in both Latin and Cyrillic projection cells,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No blanket East Slavic credit.
EDGE-ISV-004,IL-ISV,constructed_bridge,CELL-ISV-PL-LATN,,pending_exact_composite_join,coverage_candidate,Polish-literate cohort,Poland and separately diaspora,pl-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,Kashubian is not included,Zero until exact testing; deduct Polish and English comfortable access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-005,IL-ISV,constructed_bridge,CELL-ISV-CS-LATN,,pending_exact_composite_join,coverage_candidate,Czech-literate cohort,Czechia,cs-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No Slovak or other West-Slavic transfer credit,Zero until exact testing; deduct Czech and English comfortable access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,Natural Czech-Slovak evidence does not establish Interslavic mathematics comprehension.
EDGE-ISV-006,IL-ISV,constructed_bridge,CELL-ISV-SK-LATN,,pending_exact_composite_join,coverage_candidate,Slovak-literate cohort,Slovakia,sk-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No Czech or other West-Slavic transfer credit,Zero until exact testing; deduct Slovak and English comfortable access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-007,IL-ISV,constructed_bridge,CELL-ISV-SL-LATN,,pending_exact_composite_join,coverage_candidate,Slovene-literate cohort,Slovenia,sl-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No BCMS or other South-Slavic transfer credit,Zero until exact testing; deduct Slovene and English comfortable access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-008,IL-ISV,constructed_bridge,CELL-ISV-BS-LATN,,pending_exact_composite_join,coverage_candidate,Bosnian-standard cohort,Bosnia and Herzegovina,bs-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,BCMS shared-core architecture is a competing intervention.
EDGE-ISV-009,IL-ISV,constructed_bridge,CELL-ISV-HR-LATN,,pending_exact_composite_join,coverage_candidate,Croatian-standard cohort,Croatia,hr-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
