needs_profile_id,candidate_ids,display_name,target_profiles,territory_or_scope,production_regime,first_priority_stage,first_package,follow_on_package,existing_supply,need_evidence,source_urls,delivery_spec,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,evidence_confidence,package_confidence,caveat,prerequisite_route
HRN-001,NAT-122,Mainland Simplified Chinese,zh-Hans-CN,Mainland China,strong_supply_exact_forward_residual,"cross-stage accessibility, vocational/adult quantitative access and professional/research continuity","Finish the exact 25-unit Calculus I residual (CALC1-0031 through CALC1-0055), then Calculus II/III and Statistics before the remaining fixed STEM books; create semantic HTML/MathML, accessible EPUB, tagged PDF, audio/transcript and low-bandwidth offline derivatives for completed corpora.","Add a four-band school diagnostic/catch-up overlay, an official-standard-aligned 144-hour vocational quantitative bridge, adult/workplace/financial numeracy and academic re-entry, then title-audited frontier mathematics rather than duplicate generic native-language textbooks.","Official platforms report 130,000+ K-12 resources, 12,500+ vocational courses and 145,000 higher-education courses; Open Logic 722/722 and Algebra and Trigonometry 94/94 are complete and Calculus I is 30/55.","Large national supply does not prove open licensing, no-login/offline permanence, teacher-independent exercise closure, semantic accessibility, or absence of title-level research gaps.",https://www.moe.gov.cn/fbh/live/2025/77791/mtbd/202512/t20251231_1425330.html ; https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html ; https://www3.cnnic.cn/n4/2026/0304/c88-11549.html ; ACE-E063,"No-account, download-once semantic HTML/MathML, EPUB, tagged PDF, audio/transcripts, chapter bundles, print assets and offline source archive.","Diagnostics, complete worked answers, executable notebooks where relevant, explicit prerequisites, mastery/re-entry routing and maintenance versioning.","True Unicode; tested CJK fonts and ToUnicode; semantic MathML; keyboard and screen-reader navigation; captions/transcripts; reflow, large print, math-speech and Braille compatibility.","Do not duplicate completed Open Logic/algebra or generic K-9 supply; do not claim `zh-Hans-CN` covers Wu, Yue, Hakka, Taigi or minority-language communities; treat spoken Putonghua as a separate modality profile.",high exact residual and official supply diagnosis; medium population increment,high exact package; medium broader pathways,"The mainland census total and enrollment cohorts are exposure ceilings, not underserved-reader counts; 80.72% Putonghua prevalence is a separate rounded survey-derived sensitivity.",Exact completed-corpus inventory -> Calculus I module prerequisites -> professional/research pathway prerequisites.
HRN-002,NAT-123,Japanese,ja-Jpan-JP,Japan,strong_supply_stage_specific_residual,"accessible self-study, multilingual academic bridge and postgraduate/research frontier","Build a no-login, download-once Japanese Open Mathematics Access and Research Bridge: curriculum-aligned diagnostics and prerequisite repair, complete solutions, accessible semantic HTML/EPUB/MathML, and easy-Japanese/furigana plus multilingual terminology for non-attending pupils, adult re-entry learners and pupils requiring Japanese-language instruction.",Add a university proof/foreign-language-reading bridge and translate only title-audited missing or non-open EGA/SGA/FGA and other frontier works; do not duplicate ordinary compulsory-school mathematics.,"All compulsory-school pupils receive required textbooks free; approved Japanese school series are abundant and attainment is high. Residual cohorts include 84,759 public-school pupils requiring Japanese-language instruction, 353,970 non-attending compulsory-school pupils and roughly 10% of the PIAAC age-16-65 population at or below numeracy Level 1; these cohorts overlap.","Strong mainstream supply does not prove open licensing, permanent no-login/offline self-study sequence closure, independent screen-reader operation, accessible upper-secondary coverage, multilingual academic scaffolding or frontier-corpus completeness.",https://www.mext.go.jp/a_menu/shotou/kyoukasho/gaiyou/04060901/1235098.htm ; https://www.mext.go.jp/content/20260525-mxt_kyokoku-000049811_2.pdf ; https://www.mext.go.jp/content/20251029-mxt_jidou02-100002753_2_5.pdf ; https://www.oecd.org/en/publications/survey-of-adults-skills-2023-country-notes_ab4f6b8c-en/japan_91adbde1-en.html ; https://www.mext.go.jp/content/20250328-mxt_kyousei02-000008669_02.pdf,"No-login offline HTML5/EPUB 3/MathML, tagged PDF, low-bandwidth ZIP, print, Japanese mathematical speech and tactile/embossable diagram assets.","Placement checks, worked feedback, full solutions, prerequisite graph, mastery checkpoints and Japanese-English-French research-navigation terminology.","Furigana/plain-Japanese modes, semantic math, Japanese speech strings, Braille-compatible math, tactile diagrams, dyslexia/low-vision settings, captions, keyboard navigation and reflow.",Do not duplicate generic compulsory-school algebra or treat the 123.802M territory population as Japanese readers newly served; keep formalism-assisted foreign-language reading distinct from writing/oral-instruction access.,high official supply and cohort diagnosis,high targeted package; title-specific frontier gaps remain medium until catalog audit,The identified cohorts overlap and are not summed. Advanced mathematical translation is educational infrastructure even when mass foundational supply is strong.,Grades 5-9 diagnostic repair -> upper-secondary proof language -> undergraduate algebra -> commutative algebra -> algebraic geometry/frontier corpus.
HRN-003,,"Korean, Republic of Korea",ko-Kore-KR,Republic of Korea,strong_supply_portability_access_residual,adult/professional and research continuity,"Thirty-six short offline life-capability modules: health, fraud/credit/SME finance, agriculture/climate, practical science, computing and AI-output verification.","Statistics, R/Python, open licensing, data management, research integrity and applied-domain laboratories.",K-MOOC and KOCW have extensive inventories; external-link dependence creates portability/persistence risk.,"Older, disabled and farming populations remain below general digital-capacity levels.",https://www.korea.kr/news/policyNewsView.do?newsId=148939765 ; https://www.kocw.net/home/kocwStatistics.do?statType=1 ; https://nia.or.kr/site/nia_kor/ex/bbs/View.do?bcIdx=27832&cbIdx=81623,Download-once offline bundle with print/simple-language cards.,"Short mastery checks, full explanations, locally current examples and maintenance dates.","Semantic Korean text, captions, audio, large type, high contrast and key Korean Sign Language safety/health videos.",No inference about DPRK follows from ROK supply; do not pool the territories.,medium-high ROK evidence,medium,An exact Korean comfortable-reader or unique-residual count is not established.,Short placement and digital-safety diagnostics -> adult capability modules -> statistics/programming/research methods.
HRN-004,NAT-124,Standard Hindi,hi-Deva-IN,India,undergraduate_professional_research_continuity,first-year tertiary through active researcher,"Bilingual first-year physics, chemistry, biology, statistics, computing, economics and management, followed by research design, R/Python and open-science methods.","Current health, agriculture, cyber-finance and SME continuing education, then accessible catch-up practice only where exact gaps remain.",NCERT/DIKSHA school provision is extensive; DIKSHA supports offline use and many languages; Hindi had the largest audited NIMI vocational output.,"The sharper discontinuity is higher education and professional/research continuity, not absence of all Hindi school books.",https://pmevidya.education.gov.in/diksha.html ; https://ncert.nic.in/accessibility.php/textbook.php ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf ; https://nptel.ac.in/translation,Offline bilingual HTML/EPUB/PDF plus low-cost laboratory/simulation assets.,"Complete exercises/answers, terminology crosswalk, prerequisites, research datasets and reproducible notebooks.","Devanagari screen-reader testing, semantic math, captions, reflow and print.","Credit the completed formal-reasoning edition; do not assign Standard Hindi reach to Bhojpuri, Awadhi, Chhattisgarhi or other named returns.",high broad stage diagnosis,medium-high,Use the exact same-name Hindi population only within its measure class.,Bilingual secondary diagnostic -> first-year disciplinary bridge -> statistics/programming -> postgraduate research methods.
HRN-005,NAT-001,"Bangla, Bangladesh",bn-Beng-BD,Bangladesh,foundational_emergency_then_tvet,pre-primary through grades 5,"Twenty-four-week caregiver/ECE and grades 2-5 recovery system with diagnostics, worked feedback, print/audio/basic-phone delivery, health/hygiene and flood/cyclone continuity.","Adolescent/TVET applied science, health, digital and financial safety, climate-smart agriculture and microenterprise; separate delta-resilience overlay.",NCTB publishes current pre-primary through secondary books.,"Final BBS/UNICEF MICS 2025 reports foundational numeracy for 39.2% and reading for 50.2% of children aged 7-14, plus ECE attendance of 16.6% at ages 36-59 months. These support mastery/continuity needs, not a causal language-barrier count; preliminary grade-specific indicators have different denominators.",https://nctb.portal.gov.bd/pages/static-pages/695b97ffc4774958d7b70329 ; https://www.unicef.org/bangladesh/en/data-situation-children-bangladesh,"Print, offline HTML, audio, IVR/SMS-compatible prompts and SD-card/local-server bundle.","Daily diagnostic cycle, full worked answers, caregiver scripts and catch-up placement/re-entry map.","Unicode Bangla, semantic math, TTS testing, captions, large-print and low-data audio.",Separate Bangladesh curriculum/professional overlay from Indian Bengali; do not count the same Bangla core twice.,high need evidence,high first package,Population counts do not equal affected cohorts; exact MICS indicator universes must remain attached.,Oral-language/ECE entry -> grades 2-5 literacy/numeracy recovery -> lower-secondary re-entry -> TVET/applied pathway.
HRN-006,NAT-002,"Bengali, India",bn-Beng-IN,West Bengal and other Indian Bengali contexts,secondary_tvet_tertiary_transition,secondary/TVET,"Workshop mathematics and safety, applied science, coding, digital-finance/fraud and entrepreneurship.","Bengali-English first-year science, computing, economics and management; then postgraduate research methods and frontier navigation.",West Bengal has substantial school e-textbooks/video; audited vocational Bengali output was small.,The marginal discontinuity is vocational and tertiary transition rather than another school textbook series.,https://banglarshiksha.wb.gov.in/Frontend/e_textbook ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf,Offline phone/desktop course graph plus print workshop cards.,"Worked cases, complete answers, simulated labs and Bengali-English terminology.","Semantic Bangla/MathML, captions, audio, high-contrast print and keyboard navigation.","Use a shared Bangla semantic source but separate Indian curricula, examples and professional terminology.",medium-high,medium-high,Indian territorial outcomes are not a direct Bengali-speaker sample.,Secondary mastery diagnostic -> workshop mathematics/science -> TVET or first-year bridge -> research methods.
HRN-007,NAT-003,Telugu,te-Telu-IN,Andhra Pradesh and Telangana,secondary_tvet_tertiary_transition,secondary/TVET/first-year,"Applied STEM, coding, financial safety and entrepreneurship with Telugu-English terminology and offline simulations.","Agriculture/climate, health and SME continuing education, then postgraduate methods/reproducibility.",Both states have substantial school stocks; the audited NIMI output was only 14 Telugu vocational books.,School-to-TVET and first-year university transition is the stronger gap.,https://www.scert.telangana.gov.in/Home.aspx/Pdf/Displaycontent.aspx?encry=ammkNW4%2Fgx+NeApstGPX+A%3D%3D ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf,"Offline simulations, semantic HTML/EPUB/PDF and print practical guides.","Placement, full solutions, terminology crosswalk, low-cost laboratories and career cases.","Telugu screen-reader/font testing, semantic math, captions and reflow.",Andhra Pradesh and Telangana require separate curriculum crosswalks.,medium-high,medium-high,"The exact need is stage/territory specific, not one uniform Telugu deficit.",Secondary prerequisite repair -> TVET/applied STEM -> first-year bilingual bridge -> professional/research methods.
HRN-008,NAT-006,Marathi,mr-Deva-IN,Maharashtra,secondary_tvet_tertiary_transition,secondary/TVET/first-year,"Applied science, workshop practice, computing, finance and entrepreneurship.","Climate-resilient agriculture, health/SME professional modules and research methods.",Balbharati/eBalbharati provides grade 1-12 materials; audited vocational output was modest.,A recovery/transition spine adds more than duplicating existing primary textbooks.,https://ebooks.ebalbharati.in/ebook.aspx ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf,Offline bilingual course graph and printable practice/lab pack.,"Diagnostic prerequisite repair, worked solutions and Marathi-English terminology.","Devanagari semantic text/math, captions, reflow and large print.",Keep foundational rural assessment evidence separate from all Marathi speakers.,medium-high,medium,Exact local open licenses and artifact completeness still need item audit.,Grade-level diagnostic -> secondary recovery -> TVET/first-year bridge -> professional/research methods.
HRN-009,NAT-004,"Tamil, India",ta-Taml-IN,Tamil Nadu and Indian Tamil contexts,undergraduate_professional_research_continuity,first-year tertiary,"Tamil-English first-year STEM, computing and management with worked problems, offline simulations and research methods.","Health, climate/agriculture, cyber-finance and SME professional modules, then accessible school practice where needed.",Tamil has comparatively strong school/vocational and computing-tutorial supply.,Undergraduate-to-research continuity is a higher marginal gap than generic school translation.,https://scertbooks-staging.tnschools.gov.in/ ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf ; https://spoken-tutorial.org/,Offline semantic course graph plus simulations and print.,"Full solutions, bilingual terminology, research datasets and reproducible notebooks.","Tamil font/TTS testing, semantic math, captions and reflow.",Sri Lankan Tamil remains a separate profile and curriculum.,medium-high,medium-high,Strong supply does not imply open-license or research-frontier closure.,Secondary diagnostic -> Tamil-English first-year bridge -> reproducible methods -> postgraduate/frontier navigation.
HRN-010,NAT-121;CMP-ID-ID,Bahasa Indonesia,id-Latn-ID,Indonesia,completed_program_forward_professional_research,professional/postgraduate/research,Six-course Evidence-to-Practice and Research Core: research design/open science; applied statistics and causal reasoning in R/Python; reproducible data/AI/cybersecurity; evidence appraisal; public health/One Health; climate-smart agriculture/disaster risk.,"Versioned professional-update library for MSME finance/management, health CPD, renewable energy/water, agriculture/aquaculture and frontier briefs.","Strong school supply, Universitas Terbuka OER, Open Logic 722/722 and an established 40-course mathematics program.",More elementary mathematics or logic would duplicate completed work; continuously changing professional evidence and offline/accessibility remain material.,https://buku.kemendikdasmen.go.id/katalog/ ; https://pustaka.ut.ac.id/lib/open-educational-resources-ut/ ; https://www.bps.go.id/id/publication/2025/08/29/beaa2be400eda6ce6c636ef8/telecommunication-statistics-in-indonesia-2024.html ; CURRENT_INDONESIAN_PROGRAM_STATUS_20260830.md,"Download-once offline HTML/PWA/local server, EPUB, tagged PDF and source package.","Complete exercises/answers, diagnostics, executable notebooks, maintenance cadence and evidence-update dates.","Semantic MathML, screen-reader navigation, captions/audio, low-bandwidth mode and print.",D=0 for completed exact corpora; future benefit only for the 13 exact production roles or demonstrated format/professional gaps.,high current-state; medium marginal population,high package logic,"This is an Indonesian program, not a pilot; page universes are not interchangeable.",Use completed Indonesian Open Logic and the relevant available exact-course prerequisites -> statistics/programming entry diagnostic and prerequisite repair -> evidence-to-practice core -> maintained professional updates; completion of the whole 40-course program is not required.
