needs_profile_id,candidate_id,expected_profile_id,portfolio_entry_id,named_output_profile_id,edge_role,edge_status
HRN-001,NAT-122,GLB-002,NAT-122,zh-Hans-CN,direct_profile_need,resolved
HRN-002,NAT-123,GLB-043,NAT-123,ja-Jpan-JP,direct_profile_need,resolved
HRN-003,,GLB-044,GLB-044,ko-Kore-KR,expected_profile_need,resolved
HRN-004,NAT-124,GLB-007,IL-HU,hi-Deva-IN,shared_core_component_need,resolved
HRN-004,NAT-124,GLB-007,NAT-124,hi-Deva-IN,completed_program_forward_residual,resolved
HRN-005,NAT-001,GLB-010,SHC-BN,bn-Beng-BD,shared_core_component_need,resolved
HRN-006,NAT-002,GLB-011,SHC-BN,bn-Beng-IN,shared_core_component_need,resolved
HRN-007,NAT-003,GLB-012,NAT-003,te-Telu-IN,direct_profile_need,resolved
HRN-008,NAT-006,GLB-013,NAT-006,mr-Deva-IN,direct_profile_need,resolved
HRN-009,NAT-004,GLB-014,NAT-004,ta-Taml-IN,direct_profile_need,resolved
HRN-010,NAT-121,GLB-039,NAT-121,id-Latn-ID,completed_program_forward_residual,resolved
HRN-010,NAT-121,GLB-039,IL-IDMS,id-Latn-ID,cross_locale_compute_reuse_only,resolved
HRN-011,NAT-028,GLB-041,NAT-028,vi-Latn-VN,direct_profile_need,resolved
HRN-012,NAT-033,GLB-046,NAT-033,fil-Latn-PH,direct_profile_need,resolved
HRN-013,NAT-063;NAT-064,GLB-036,SHC-SWAHILI,swh-Latn-TZ;swh-Latn-KE;swh-Latn-UG;swc-Latn-CD,shared_core_component_need,resolved
HRN-014,NAT-069,GLB-037,SHC-HAUSA,ha-Latn-NG;ha-Latn-NE,shared_core_component_need,resolved
HRN-015,IL-AR,GLB-031,IL-AR,arb-Arab,learned_standard_core_need,resolved
HRN-015,,GLB-032,IL-AR,arz-Arab-EG,spoken_scaffold_component_need,resolved
HRN-015,,GLB-033,IL-AR,apc-Arab,spoken_scaffold_component_need,resolved
HRN-016,,GLB-024,GLB-024,es-419,expected_profile_need,resolved
HRN-017,,GLB-025,GLB-025,pt-BR,expected_profile_need,resolved
HRN-018,,,,pt-AO;pt-MZ;named local-language outputs,profile_resolution,research_only_profile_resolution_required
HRN-019,,GLB-027,GLB-027,ru-Cyrl-RU,expected_profile_need,resolved
HRN-020,NAT-125,GLB-052,NAT-125,bho-Deva-IN,direct_profile_need,resolved
