id,reference,pdf_page,printed_page,locator,observation,applied_to
GU-C01,std5-week1,13,29,Q8 item1 (12),Two-digit decomposition uses ones and tens terms,T12 T13 R2
GU-C02,std5-week1,13,29,Q8 item2 (30),A zero ones place remains explicit in the decomposition,D4 E4 X1
GU-C03,std5-week1,13,29,Q8 item5 (104),Hundreds are called સો in child-facing decompositions,T14 R2
GU-C04,std5-week1,13,29,Q8 item9 (8770),The same place-table pattern extends to thousands,A10 bridge
GU-C05,std5-week1,13,29,Q9 item1 (6 then 8 then 10),Pattern completion asks for a missing number without a long instruction,D1 E1
GU-C06,std5-week1,13,29,Q9 item5 (318 then 320 then 322),Equal steps are kept consistent even across hundreds,R1 future number-line work
GU-C07,std6-week1,12,30,teacher note before Q1,Guidance distinguishes recognition formation place value expansion and order,Skill-specific routing
GU-C08,std6-week1,14,32,Q6 heading and underlined digits,Place value is explicitly named સ્થાનકિંમત,T11 D3 E3
GU-C09,std6-week1,15,33,Q7 worked row (367),Worked expansion separates the value of each place,R2 E5
GU-C10,std6-week1,15,33,Q8 first row (50 plus 8),Reverse expansion composes a number from place values,E4 X2
GU-C11,std6-week1,16,34,Q9 symbol-choice exercise,Comparison includes strict inequalities and equality,R3
GU-C12,std6-week1,16,34,Q10 first row,Ascending order uses ચડતા ક્રમમાં,E7
GU-C13,std6-week1,16,34,Q11 first row,Descending order is explicitly distinguished from ascending,Future ordering unit
