id	source	pdf_page	printed_page	locator	mathematical_anchor	observed_term_or_pattern	application
WB01	WB-Class7-Learning-Bridge	181	2	paragraph 11	15/12 = 5/4	লঘিষ্ঠ আকার	U01 L3; U02 simplification
WB02	WB-Class7-Learning-Bridge	181	2	question 4 solution	9/7 = 72/56	লব ও হর	U01 L2 multiplier explanation
WB03	WB-Class7-Learning-Bridge	181	2	question 2 solution	144:150:148 = 72:75:74	same-unit step before calculation	U01 L1 same whole
WB04	WB-Class7-Learning-Bridge	189	10	second explanatory paragraph	x+4; 4x; x^4	চল; যোগফল; গুণফল	U01 L4 notation
WB05	WB-Class7-Learning-Bridge	189	10	third explanatory paragraph	2x+3	পদ; সহগ	future A10 bridge
WB06	WB-Class7-Learning-Bridge	191	12	example 3	(x+5)+(2x+10)+(x+6)=4x+21	group like quantities	future A10 bridge
WB07	WB-Class7-Learning-Bridge	191	12	example 4	2(2)^2-(2)(3)+(3)^2=11	মান নির্ণয়	U01 P5 and W7
WB08	WB-Class7-Learning-Bridge	226	47	opening worked problem	6x=24	ধরি; সমীকরণ গঠন	U01 L4 unknown first
WB09	WB-Class7-Learning-Bridge	226	47	value table	x=4 gives 24=24	বামদিক; ডানদিক; সমাধান	U01 W5 and W7 check
WB10	WB-Class7-Learning-Bridge	227	48	worked continuation	6x/6=24/6; x=4	উভয় পক্ষ	U01 W5 and W6 same operation
TR01	SCERT-Tripura-VI	50	50	fraction definition example	5/7	লব; হর	U01 L1 and explicit alt labels
TR02	SCERT-Tripura-VI	51	51	equivalent-fractions example	1/2; 2/4; 3/6; 36/72	তুল্য ভগ্নাংশ	T004 accepted regional synonym
TR03	SCERT-Tripura-VI	51	51	simplest-form example	12/16=(12/4)/(16/4)=3/4	লঘিষ্ঠ আকার; গুণনীয়ক	U01 L3 and U02
TR04	SCERT-Tripura-VI	51	51	like-fractions comparison	4/5 > 3/5	সমহর	U01 L3 same-sized parts
TR05	SCERT-Tripura-VI	78	78	expression table rows 1–3	5y; y+5; P/7	বীজগাণিতিক রাশিমালা	U01 L4 distinction from equations
TR06	SCERT-Tripura-VI	52	52	exercise 7 question 4	Locate 2/3 on the number line	সংখ্যারেখায় ... অবস্থান দেখাও	m81285 number-line/order wording; not a negative-number worked-example witness
WB11	WB-Class7-Learning-Bridge	189	10	like-term definition and example	8x and 6x; xy and -3xy; unlike 6x and 8	সদৃশ পদ; অসদৃশ পদ	m81288 numerator-term addition; actual OCR and page checked
TR07	SCERT-Tripura-VI	25,26,104	25,26,104	LCM term and paired exercise answers	LCM(4,6)=12; common multiples 12,24,36	লঘিষ্ঠ সাধারণ গুণিতক; ল.সা.গু.	p25 1(iv), p26 3(l)/4(b), p104 Exercise3 answers; no direct LCD lexical witness claimed
