id,en,id-ID,vi-Latn-VN,accepted_variant,source,decision
T001,function,fungsi,hàm số,,m49301;VI-C01,U001 explicitly uses OpenStax broad mapping convention for labels; later distinguish real-valued school functions; use hàm for code when explicit
T002,relation,relasi,quan hệ,,m49301,Distinguish general relation from function
T003,ordered pair,pasangan terurut,cặp có thứ tự,,m49301,Do not drop the ordering qualifier
T004,domain,domain,tập xác định,miền xác định,VI-C01;VI-C03,Primary school-facing term revised after Vietnamese canon read
T005,range,range (daerah hasil),tập giá trị,miền giá trị,VI-C02;VI-C04,Not codomain
T006,input,masukan,đầu vào,,m49301,Explain through first coordinate
T007,output,keluaran,đầu ra,,m49301,Explain through second coordinate
T008,independent variable,variabel bebas,biến độc lập,,m49301,Keep x unchanged
T009,dependent variable,variabel terikat,biến phụ thuộc,,m49301,Keep y unchanged
T010,exactly one,tepat satu,đúng một,một và chỉ một,m49301,Existence and uniqueness together
T011,function notation,notasi fungsi,ký hiệu hàm số,,VI-C05,Next unit; do not read f(x) as multiplication
T012,one-to-one,satu-ke-satu,đơn ánh,hàm số một-một,VI-C07,Not introduced as requirement for every function
T013,inverse function,fungsi invers,hàm số ngược,hàm ngược,VI-C06,Distinguish from general reversed relation
T014,worked solution,penyelesaian,lời giải,,C-VI-01 p7,Separate source answer and new explanation
T015,proof,pembuktian,chứng minh,,VI-C09,Finite tests are not proof on infinite domain
T016,linear map,pemetaan linear,ánh xạ tuyến tính,,VI-C11,Planned B40 term
T017,identity map,pemetaan identitas,ánh xạ đồng nhất,,VI-C12,Planned B40 term
T018,vector space,ruang vektor,không gian vectơ,không gian véctơ,C-VI-02 definition 15.1,Provisional spelling normalize at B40 start
T019,reproducible,dapat direproduksi,có thể tái lập,,B80 source-selection,Original computing bridge wording; topic-specific witness still needed
T020,evaluate a function,mengevaluasi fungsi,tính giá trị của hàm số,,m49301;VI-C01;VI-C05,U004 distinguishes evaluating at a known input from solving for all inputs
T021,implicit rule,aturan implisit,quy tắc ẩn,,m49301,Provisional translator wording; VI-C01 supports function/formula distinction but does not directly witness this term
T022,vertical line test,uji garis vertikal,kiểm tra bằng đường thẳng đứng,,m49301,Descriptive translator wording not directly witnessed in current canon
T023,horizontal line test,uji garis horizontal,kiểm tra bằng đường thẳng ngang,,m49301,Descriptive translator wording not directly witnessed in current canon
T024,toolkit functions,fungsi dasar,hàm số cơ bản,,m49301;VI-C01,Source toolbox metaphor explained; not equated with all elementary functions
T025,identity function,fungsi identitas,hàm số đồng nhất,,VI-C12,Contextual adaptation from ánh xạ đồng nhất; distinct from hàm số hằng
T026,reciprocal function,fungsi resiprokal,hàm số lấy nghịch đảo,,m49301,Descriptive translator choice for1/x; not the inverse-function concept
T027,reciprocal squared function,fungsi kuadrat resiprokal,hàm số lấy nghịch đảo của bình phương,,m49301,Descriptive translator choice for1/x²; positive range excludes zero
T028,quadratic toolkit function,fungsi kuadrat,hàm số bậc hai cơ bản,,m49301,Prototype x² in this table; not all quadratic functions
T029,cubic toolkit function,fungsi kubik,hàm số bậc ba cơ bản,,m49301,Prototype x³ in this table; not all cubic functions
T030,difference quotient,hasil bagi selisih,tỉ số các hiệu,,m49301 A30-U011,Descriptive translator heading not directly witnessed in current canon; no derivative or limit introduced
T031,interval notation,notasi interval,ký hiệu khoảng,,m49304 A30-U018/U019;C-VI-01 native pp19-20,Explicit generic label covering open intervals and closed/half-open/unbounded forms; native witness supports interval categories not this exact heading
T032,set-builder notation,notasi pembentuk himpunan,ký hiệu tập hợp theo điều kiện,,m49304 A30-U019,Descriptive translator wording not directly attested in current canon; explain condition bar separately from absolute-value bars
T033,union,gabungan,phép hợp,,m49304 A30-U018/U019,Inclusive hoặc includes membership in both sets; applies also to overlapping intervals; retain source notation
T034,piecewise-defined function,fungsi sesepenggal,hàm số cho bởi nhiều công thức,,m49304 A30-U022/U023;C-VI-01 native p6,Descriptive translator wording; canon supports one or several analytic expressions but not this exact heading; assigned branch domains must give one output on overlaps; native review pending
T035,modulus,modulus,môđun,,m49304 A30-U022,Provisional alternate name for magnitude of a real number in the absolute-value discussion; not directly witnessed in consulted canon; not a claim about algebraic modules or modular arithmetic; native terminology review pending
