id,english,marathi,usage_note,status
T001,fraction,अपूर्णांक,Use for a number written as a/b with b nonzero.,provisional
T002,numerator,अंश,Balbharati p2; C01 supports the term.,canon-supported
T003,denominator,छेद,Balbharati p2; explicitly exclude zero.,canon-supported
T004,common factor,सामाईक अवयव,Cancel multiplicative factors not terms in a sum.,provisional
T005,reciprocal,व्यस्त,Defined only for a nonzero number.,provisional
T006,least common denominator,लघुतम सामाईक छेद,LCD; obtain from LCM of denominators.,provisional
T007,least common multiple,लघुतम सामाईक विभाज्य,लसावि; retain English expansion at first mention.,provisional
T008,variable,चल,Keep source symbols x y m n f g unchanged.,provisional
T009,coefficient,सहगुणक,Balbharati p29 worked factorization C11.,canon-supported
T010,expression,राशी,No equality assertion is implied.,provisional
T011,equation,समीकरण,Equality to solve or verify.,provisional
T012,linear equation,रेषीय समीकरण,School-level term paired with English.,provisional
T013,solution,उकल,Balbharati p75; value satisfying an equation; प्रक्रिया is the working.,canon-supported
T014,substitution,प्रतिस्थापन,Explain as replacing a variable by its value.,provisional
T015,distributive property,वितरण नियम,Keep parentheses and signs visible.,provisional
T016,ordered pair,क्रमित जोडी,Order of x and y matters.,provisional
T017,relation,संबंध,Set of ordered pairs.,provisional
T018,function,फलन,Vishwakosh C14; avoid switching to कार्य.,canon-supported
T019,domain,प्रांत,Vishwakosh C15 gives प्रांत or अधिक्षेत्र; use प्रांत with domain.,canon-supported
T020,range,मूल्यसंच,Actual outputs; distinguish from codomain; C19 attests synonym कक्षा not this exact working choice.,provisional
T021,codomain,सहप्रांत,Vishwakosh C15; declared output set may exceed range.,canon-supported
T022,input,आदान,Pair with input at first use.,provisional
T023,output,प्रदान,Pair with output at first use.,provisional
T024,function notation,फलनाचे संकेतलेखन,f(x) is not f multiplied by x.,provisional
T025,independent variable,स्वतंत्र चल,C17 supports स्वतंत्र as adjective; exact full term remains provisional; input need not be experimentally controlled.,provisional
T026,dependent variable,अवलंबी चल,C17 uses अवलंबित as adjective; keep existing full term provisional and explain dependence explicitly.,provisional
T027,counterexample,प्रतिउदाहरण,One valid counterexample refutes a universal claim.,provisional
T028,proof,सिद्धता,Examples alone do not prove a universal claim.,provisional
T029,identity,नित्यसमीकरण,True for every allowed value.,provisional
T030,interval,अंतराल,C20 open/closed and half-open bracket rows actually read by primary; endpoints explicit and full notation compound remains authored.,canon-supported
T031,trigonometry,त्रिकोणमिती,Future A30 sequence.,provisional
T032,derivative,विकलज,Future B20 sequence.,provisional
T033,linear algebra,रेषीय बीजगणित,Future B40 sequence.,provisional
T034,graph,आलेख,C18 graph prose supports the term; finite dots need not be joined.,canon-supported
T035,coordinate,निर्देशांक,C18 attests सहनिर्देशक; current x-निर्देशांक wording remains provisional; preserve source x and y.,provisional
T036,mapping,प्रतिचित्रण,Use explicit arrow description; a depicted relation need not be a function.,provisional
T037,body mass index,शरीरद्रव्यमान निर्देशांक,Source-context term paired with BMI; not a direct body-fat measurement or standalone health diagnosis.,provisional
T038,absolute value,केवल मूल्य,C20 explicitly supplies this short term and the explanation चिन्ह निरपेक्ष मूल्य; keep vertical bars and sign-independent value.,canon-supported
T039,brace,महिरपी कंस,C20 names the brace pair; distinguish braces delimiting a set from parentheses in ordered pairs.,canon-supported
T040,vertical line test,उभ्या रेषेची कसोटी,Authored classroom phrase; C18 supports axis orientation but does not attest this complete criterion name.,provisional
T041,parabola,अन्वस्त,C21 conic-section paragraph explicitly pairs अन्वस्त with पॅराबोला; graph data remain source-governed.,canon-supported
T042,ellipse,लंबवर्तुळ,C21 pairs विवृत्त with लंबवर्तुळ; retain विवृत्त as the witnessed synonym.,canon-supported
T043,slope,उतार,C22 actual line-slope paragraph attests this term; finite-slope parallel/perpendicular conditions and vertical undefined case require separate mathematical checks.,canon-supported
T044,inequality,असमा,C18 actual असमांचे आलेख paragraph uses this term for an unequal relation; the full classroom compound रेषीय असमा remains authored.,canon-supported
T045,shaded,छायांकित,C18 actual inequality-graph paragraph uses छायांकित for the solution region; boundary inclusion and shading direction remain separately source/math checked.,canon-supported
T046,system of linear equations,रेषीय समीकरणांची प्रणाली,Authored cross-unit classroom compound; current canon supports its component equation/line terms but not this complete phrase.,provisional
T047,y-intercept,y-अक्षावरील छेद,C18/C22 support coordinates and line language; this exact mixed-script classroom compound remains authored.,provisional
T048,intersecting lines,छेदणाऱ्या रेषा,C22 explicitly describes lines with exactly one common point as एकमेकींना छेदणाऱ्या रेषा.,canon-supported
T049,parallel lines,समांतर रेषा,C22 repeatedly uses समांतर रेषा; slope criteria and vertical exceptions remain separately checked.,canon-supported
T050,coincident lines,संपाती रेषा,C22 explicitly uses संपाती for two lines with two distinct common points; do not confuse with merely concurrent lines.,canon-supported
T051,consistent system,सुसंगत प्रणाली,Authored classification compound; mathematical meaning is checked from the selected source and solutions.,provisional
T052,inconsistent system,विसंगत प्रणाली,Authored classification compound; no complete Marathi canon phrase has yet been read.,provisional
T053,independent equations,स्वतंत्र समीकरणे,Authored system-classification phrase; C17 supports स्वतंत्र only in a different variable context.,provisional
T054,dependent equations,अवलंबी समीकरणे,Authored system-classification phrase; distinguish equation dependence from C17 variable dependence.,provisional
