candidate_id,target_label,language_variety,language_tag,script_orthography,territory_community,modality,learner_stage_scope,population_low,population_base,population_high,population_unit,population_definition,population_reference_year,population_source_id,population_source_url,academic_language_overlap_low,academic_language_overlap_base,academic_language_overlap_high,overlap_definition,baseline_access_status,evidence_confidence,rankable,notes
"CN_ZH_HANS_ECE_FOUNDATIONS","Open foundational literacy, numeracy, and learning-to-learn sequence","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; enrolled preschool children","accessible text, image, audio, print, and offline practice","early childhood and school readiness","","32255200","","persons","Children enrolled in preschool in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","No national denominator-compatible measure of English academic-language overlap for this cohort","High but non-universal formal enrolment; general material supply is abundant, while open licensing, accessibility, offline completeness, and self-study adequacy are not nationally inventoried","high","true","Administrative reach cohort, not a measured access-deficit headcount; expected causal access gain is unknown; do not add to age-band totals"
"CN_ZH_HANS_PRIMARY_CORE","Open reasoning-centred primary mathematics, Chinese literacy, science, and English sequence","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; enrolled primary learners","accessible interactive text, worked examples, feedback, print, and offline packages","primary school","","101782900","","persons","Learners enrolled in primary education in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","English is a separate curriculum domain; no national population overlap estimate was identified","Formal enrolment is broad, but national monitoring documents learning-quality gaps; open, reusable, accessible, offline self-study completeness remains unknown","high","true","Administrative reach cohort, not a proficiency-deficit count; approximately 80 percent meeting standards in monitored cohorts must not be converted to a national headcount"
"CN_ZH_HANS_JUNIOR_CORE","Open reasoning-centred junior-secondary mathematics, Chinese literacy, science, and English sequence","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; enrolled junior-secondary learners","accessible interactive text, worked examples, feedback, print, and offline packages","junior secondary","","55093400","","persons","Learners enrolled in junior-secondary education in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","English is a separate curriculum domain; no national population overlap estimate was identified","Formal enrolment is broad, but national monitoring documents learning-quality gaps; open, reusable, accessible, offline self-study completeness remains unknown","high","true","Administrative reach cohort, not a proficiency-deficit count; do not derive a missing-child count from consolidation or monitoring rates"
"CN_ZH_HANS_MIGRANT_PRIMARY_CONTINUITY","Portable modular primary learning and re-entry support for accompanying children","Standard Written Chinese base; separate home-language support where required","zh-Hans-CN","Simplified Chinese characters","Mainland China; migrant workers' accompanying children in primary school under the MOE definition","short offline modules, prerequisite maps, printable recovery packs, portable progress, and diagnostic re-entry","primary school; mobility-affected","","8617500","","persons","Migrant workers' accompanying children enrolled in primary education in 2025 under MOE's rural-registration and co-residence definition","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","Home-language and Putonghua distributions within this cohort are not nationally reported","Enrolment is documented; continuity, portability, and independent access across school changes remain important functional gaps","high","true","Nested within CN_ZH_HANS_PRIMARY_CORE; do not add the populations; this MOE definition must not be blended with broader census migrant- or left-behind-child categories"
"CN_ZH_HANS_MIGRANT_JUNIOR_CONTINUITY","Portable modular junior-secondary learning and re-entry support for accompanying children","Standard Written Chinese base; separate home-language support where required","zh-Hans-CN","Simplified Chinese characters","Mainland China; migrant workers' accompanying children in junior secondary under the MOE definition","short offline modules, prerequisite maps, printable recovery packs, portable progress, and diagnostic re-entry","junior secondary; mobility-affected","","4124200","","persons","Migrant workers' accompanying children enrolled in junior secondary in 2025 under MOE's rural-registration and co-residence definition","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","Home-language and Putonghua distributions within this cohort are not nationally reported","Enrolment is documented; continuity, portability, and independent access across school changes remain important functional gaps","high","true","Nested within CN_ZH_HANS_JUNIOR_CORE; do not add the populations; this MOE definition must not be blended with broader census migrant- or left-behind-child categories"
"CN_ZH_HANS_MIGRATION_AFFECTED_CHILDREN","Mobility- and interruption-resilient learning support for migrant and left-behind children","Standard Written Chinese base; separate Sinitic and minority-language adaptation required","zh-Hans-CN","Simplified Chinese characters","Mainland China; census-defined migration-affected children","portable offline modules, diagnostic re-entry, psychosocial and self-regulation supports","ages 0-17; school and out-of-school circumstances","","138000000","","persons","Rounded published total of migrant, rural left-behind, and urban left-behind children affected by migration in the 2020 census-based analysis","2020","SRC_NBS_CHILD_MOBILITY_2020","https://www.stats.gov.cn/zs/tjwh/tjkw/tjzl/202304/P020230419425666818737.pdf","","","","The joint distribution of home language, simplified-character literacy, Putonghua ability, and educational stage is unknown","Broad need ceiling with documented mobility exposure; not a verified zh-Hans-CN addressable population","moderate","false","All-language population and internally heterogeneous categories; not rankable as a zh-Hans-CN beneficiary count; do not blend with MOE accompanying-child counts or the narrower civil-affairs definition"
"CN_ZH_HANS_SENIOR_SECONDARY_CORE","Open upper-secondary prerequisite repair and core academic sequence","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; ordinary senior-secondary learners","accessible text, worked problems, simulation, practical inquiry, print, and offline packages","ordinary senior secondary","","30395000","","persons","Learners enrolled in ordinary senior-secondary education in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","No representative measure of English academic-language overlap was identified for this cohort","Large formal cohort and high gross enrolment; gross enrolment is not an exclusion count, and open reusable self-study completeness is unknown","high","true","Administrative reach cohort; expected causal access gain is unknown; do not turn the 92 percent gross enrolment rate into a missing-person count"
"CN_ZH_HANS_SECONDARY_VOCATIONAL","Open applied vocational STEM, safety, measurement, quality, and workplace-communication curriculum","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; secondary-vocational institutions in MOE statistical scope","captioned demonstration, simulation, worked procedure, printable job aid, and offline practice","secondary vocational education","","11187700","","persons","Learners in secondary-vocational institutions within MOE's 2025 statistical scope","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","Career and technical English is complementary; no population overlap measure was identified","Large formal cohort; practical and industry-current open self-study material is a high-utility endpoint, while licence and accessibility coverage are unknown","high","true","Do not combine with the broader NBS 15.378 million institutional boundary; the dual-qualified-teacher rate applies only to a teacher subset and is not a learner deficit"
"CN_ZH_HANS_ORDINARY_BACHELOR_BRIDGE","Open tertiary bridge and core methods in mathematics, science, statistics, programming, data, and academic reading","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; ordinary bachelor's learners","self-study complete text, worked examples, locally runnable code and data, formative checks, and offline packages","ordinary bachelor's education","","21357700","","persons","Ordinary bachelor's students enrolled in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","English academic-language support is complementary; no representative national overlap estimate was identified","Large formal cohort; prerequisite repair and independent study are high-utility functions, while open-reusable and accessible completeness is unknown","high","true","Administrative reach cohort, not a measured learning-deficit count; nested within the 39.5396 million ordinary and vocational undergraduate/associate total"
"CN_ZH_HANS_VOCATIONAL_BACHELOR","Open advanced applied STEM, technical communication, data, and career-English curriculum","Standard Written Chinese","zh-Hans-CN","Simplified Chinese characters","Mainland China; vocational bachelor's learners","captioned demonstration, simulation, worked project, locally runnable tools, and offline packages","vocational bachelor's education","","518300","","persons","Vocational bachelor's students enrolled in 2025","2025","SRC_MOE_EDU_2025","https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html","","","","Career and technical English is complementary; no representative national overlap estimate was identified","Direct formal cohort; open, accessible, self-study-complete applied content is not nationally inventoried","high","true","Administrative reach cohort; expected causal access gain is unknown; keep distinct from ordinary bachelor's and higher-vocational/associate learners"
