evidence_identity_id,source_lane,source_record_id,edition_target_id,evidence_role,measure_class,population_unit,population_low_persons,population_base_persons,population_high_persons,population_definition,reference_year,territory,script_or_mode,source_ids,source_urls,source_locators,additivity_class,overlap_group,disposition,rank_eligible,row_sha256
canonical:pop:0006fc3c2360f33c129c35cd,v2_population,pop:0006fc3c2360f33c129c35cd,edition-target:lang:unresolved-tag:tharu-census-category:nepal-tharu-communities,POPULATION_OR_CONTEXT,macro_l1,persons_L1,1714091,1714091,1714091,Census mother-tongue category; internal variety and script split unavailable,2021,,,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,90b58b8d41123b0d3d58b5c14b5550dc569bd6f20ea02596525271bc6d58a871
canonical:pop:00fa6825d0212d4eeb8f73cd,v2_population,pop:00fa6825d0212d4eeb8f73cd,edition-target:lang:ms-Arab-MY,POPULATION_OR_CONTEXT,ethnicity_or_identity_proxy,persons_ethnicity_proxy_range_nonadditive,17600000,,18500000,Same proxy range as Rumi row; non-additive script-access edition.,,,,MYS_DOSM_POP,https://open.dosm.gov.my/data-catalogue/population_malaysia,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,93325107b6a435c51a3d5f64e21f73a1bf4ce536b7fb29dabae4148687ff913e
canonical:pop:01315a880f1036004da81749,v2_population,pop:01315a880f1036004da81749,edition-target:lang:zh-Hans-CN,POPULATION_OR_CONTEXT,enrolment,persons,,4299500,,Master's and doctoral students enrolled in 2025,2025,,,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,6f5e64421747e8798c1d88aaa04f07d6d7ff1cd99579ef3aebfb087e20fec994
canonical:pop:01627a2b4bbb684f46bf933a,v2_population,pop:01627a2b4bbb684f46bf933a,edition-target:lang:raj-Deva-IN,POPULATION_OR_CONTEXT,macro_l1,persons_L1,25806344,25806344,25806344,Mother-tongue return inside Hindi umbrella; internal variety split and overlap uncertain,2011,,,IND_C16_2011,https://censusindia.gov.in/nada/index.php/catalog/10191,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,f844b7f292a445e7d0418d837e6ae82476d5829f44005fbb96048790cc0da498
canonical:pop:022c5db3543e69d7ed7c95eb,v2_population,pop:022c5db3543e69d7ed7c95eb,edition-target:lang:id-Latn-ID,POPULATION_OR_CONTEXT,workforce_cohort,million employed persons,,42.6,,"People employed in agriculture, forestry and fishing in May 2026; published rounded estimate.",2026-05,,,BPS_LABOUR_MAY_2026,https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,bded17c1d920e6c4a049dac39bfd6fb293bdd7fe9deccd7cd9312d83de804b77
canonical:pop:023ca1bc8561beb2e8fa088a,v2_population,pop:023ca1bc8561beb2e8fa088a,edition-target:lang:pt-Latn-001,POPULATION_OR_CONTEXT,macro_speaker_estimate,people,265000000,265000000,265000000,Institutional worldwide speaker estimate.,2026,,,SRC_UN_PORTUGUESE_2026,https://www.un.org/sg/en/content/sg/statements/2026-05-05/secretary-generals-message-world-portuguese-language-day,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,b85e5aa8c372d7214c29d4105bfff6159647a4fefed30f641b5071a7fb455a22
canonical:pop:02a99eee802df38698abee2d,v2_population,pop:02a99eee802df38698abee2d,edition-target:lang:kos-Latn-FM,POPULATION_OR_CONTEXT,home_or_first_language,persons_age5plus_home_language,4566,4566,4566,People aged 5+ reporting the named home language,2023,,,OIO_EA133B14931A,https://www.pacificweb.org/library/preview.php?file=fsm/states/2023FSMMunicipality.xlsx,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,c3445557dc7c31a3392bd3a7ad4eb747644d2b3b8f57c266f7a4ecbbe2a9770a
canonical:pop:02c4cac428d92de70bae2606,v2_population,pop:02c4cac428d92de70bae2606,edition-target:lang:tzo-MX,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_age3plus_language_speakers,,550274,,People age 3+ reported Tsotsil.,2020,,,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,6a8f37bb98060e8122328794131614ef404f5756b6b62700d007b40ccbd414b0
canonical:pop:0319e0c2dcfc2a946200d997,v2_population,pop:0319e0c2dcfc2a946200d997,edition-target:lang:oji-CA,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_2021_language_knowledge,,20715,,"People reporting knowledge of Ojibway, not otherwise specified; mother-tongue count 12500. Counts randomly rounded.",2021,,,SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,73876d4d062e5bfb726cf5c71fdaab7ba9eb26757475ffcc8909f2453a63efd5
canonical:pop:034692087acb25c6eafbc401,v2_population,pop:034692087acb25c6eafbc401,edition-target:lang:mag-Deva-NP,POPULATION_OR_CONTEXT,l1,persons_L1,230117,230117,230117,Census mother-tongue count,2021,,,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,5e2b4f5ba2cf15f9e647cc6bde72969bb5ab3f7c93e91aa75a473c7cfd8f1bb6
