source_id,title,organization,year,url,access_date,claim_scope
"BPS_SUPAS_2025","SUPAS 2025 Becomes the Foundation for Strengthening Policies to Reduce Maternal and Child Mortality","Badan Pusat Statistik","2026","https://www.bps.go.id/en/news/2026/08/07/927/supas-2025-jadi-fondasi-penguatan-kebijakan-penurunan-kematian-ibu-dan-anak.html","2026-09-01","2025 population 284.67 million; June–July 2025 survey of more than 664,000 households."
"BPS_LANG_SPEAK_2022","Penduduk Berumur 5 Tahun ke Atas menurut Wilayah dan Kemampuan Berbahasa Indonesia, INDONESIA, Tahun 2022","Badan Pusat Statistik—Long Form SP2020","2022","https://sensus.bps.go.id/topik/tabular/sp2022/196/1/0","2026-09-01","Age-5+ Indonesian-speaking and non-speaking counts, common denominator, and conversational ability definition."
"BPS_LANG_FIRST_2022","Penduduk Berumur 5 Tahun ke Atas menurut Wilayah dan Bahasa Pertama yang Dikuasai, INDONESIA, Tahun 2022","Badan Pusat Statistik—Long Form SP2020","2022","https://sensus.bps.go.id/topik/tabular/sp2022/197/0/0","2026-09-01","Age-5+ Indonesian-first, regional-language-first, foreign-first and sign-language-first counts and definitions."
"KEMDIK_LANG_MASTER","Language and Literature Master Data","Ministry of Education","2026","https://bahasa.data.kemdikbud.go.id/","2026-09-01","Current official inventory displaying 718 languages; inventory count, not speaker population."
"BPS_EDU_2024","Statistik Pendidikan 2024","Badan Pusat Statistik","2024","https://www.bps.go.id/id/publication/2024/11/22/c20eb87371b77ee79ea1fa86/statistik-pendidikan-2024.html","2026-09-01","School participation rates by age, disability, residence and expenditure group; March 2024 Susenas and 2023/24 administrative data."
"MOF_PAUD_2024","Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal Tahun 2026","Ministry of Finance","2025","https://fiskal.kemenkeu.go.id/files/kemppkf/file/1747711543_kem_ppkf_2026.pdf","2026-09-01","Reports PAUD gross participation 36.03% in 2024 and 36.36% in 2023."
"WB_LEARNING_POVERTY_2024","Indonesia Learning Poverty Brief","World Bank and UNESCO Institute for Statistics","2024","https://documents1.worldbank.org/curated/en/099082924151529593/pdf/P17920918b1c2f0f61abb41e1a5d85e5dd2.pdf","2026-09-01","53% learning poverty and 49% learning deprivation among enrolled children; latest underlying learning data pre-COVID."
"OECD_PISA_2022","PISA 2022 Results: Indonesia Country Note","OECD","2023","https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html","2026-09-01","Minimum-proficiency shares, sample size, school count, represented in-school 15-year-old population and 85% target-population coverage."
"KEMDIK_DAPODIK_2026","Data Pokok Pendidikan dashboard","Ministry of Primary and Secondary Education","2026","https://pd.data.kemdikbud.go.id/index.php?r=site%2Fdata","2026-09-01","Administrative SMK learner total observed in 16 April 2026 snapshot; dynamic dashboard."
"BPS_DECENT_WORK_2024","Indikator Pekerjaan Layak di Indonesia 2024","Badan Pusat Statistik","2025","https://www.bps.go.id/id/publication/2025/04/28/1ecc9dec1ef7a591babf5962/indikator-","2026-09-01","August 2024 NEET count, denominator and sex/residence disaggregation from Sakernas 2023–2024, Appendix 3."
"PDDIKTI_HE_2025","Buku Statistik Pendidikan Tinggi Tahun 2025","Ministry of Higher Education, Science and Technology / PDDikti","2026","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","2026-09-01","2025 all-programme, bachelor's, master's and doctoral enrolment stocks."
"WB_WDI_RD_2020","Research and development expenditure and researchers in R&D, Indonesia","World Bank World Development Indicators","2020","https://data.worldbank.org/indicator/SP.POP.SCIE.RD.P6?locations=ID","2026-09-01","Latest displayed 2020 researcher-density measure; paired R&D expenditure series at https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS?locations=ID."
"BPS_LABOUR_MAY_2026","The unemployment rate was 4.65 percent and the average wage was 3.39 million rupiah","Badan Pusat Statistik","2026","https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html","2026-09-01","May 2026 labour force, employed population, agriculture/forestry/fishing employment and unemployment."
"OJK_SNLIK_2026","Hasil Survei Nasional Literasi dan Inklusi Keuangan Tahun 2026","Otoritas Jasa Keuangan, Lembaga Penjamin Simpanan and Badan Pusat Statistik","2026","https://ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/Hasil-SNLIK-Tahun-2026.aspx","2026-09-01","Financial literacy and inclusion indices, 75,000-person age-15–79 sample, field dates, national geographic coverage and subgroup results."
"BPS_TELECOM_2024","Telecommunication Statistics in Indonesia 2024","Badan Pusat Statistik","2025","https://www.bps.go.id/en/publication/2025/08/29/beaa2be400eda6ce6c636ef8/statistik-telekomunikasi-indonesia-2024.html","2026-09-01","Recent internet use, urban/rural internet gap, cellular-phone indicator, household computer access and fixed telephone access."
"UNESCO_OER_2019","Recommendation on Open Educational Resources (OER)","UNESCO","2019","https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer","2026-09-01","Authoritative OER definition including no-cost access, reuse, repurposing, adaptation and redistribution; recognizes offline and accessible formats."
