source_id,title,organization,year,url,access_date,source_type,locator,claim_scope,territory_or_scope,notes
BI_IICBA_2026,"In Burundi, language and insecurity are behind low and declining learning outcomes",UNESCO IICBA,2026,https://www.iicba.unesco.org/en/burundi-language-and-insecurity-are-behind-low-and-declining-learning-outcomes,2026-09-01,country_analysis,Kirundi early grades; French shift grade 4 mathematics/grade 5 other subjects; Grade 6 global-threshold shares,Stage-specific language transition and learning endpoint evidence.,Burundi,"Students, not general-population language counts."
BI_INSBU_CENSUS_2024,RGPHAE 2024 preliminary results,Institut National de la Statistique du Burundi,2026,https://www.insbu.bi/resultatRGPHAE2024,2026-09-01,census_release,"Population total: 12,332,788",Territorial exposure ceiling.,Burundi,"Preliminary territorial count, not a Kirundi or Kiswahili user count."
BI_UIL_LITERACY,"National Literacy Programme, Burundi",UNESCO Institute for Lifelong Learning,2024,https://www.uil.unesco.org/en/litbase/national-literacy-programme-burundi,2026-09-01,program_page,"Implementation: instruction in mother tongue, notably Kirundi",Direct functional non-formal Kirundi literacy provision.,Burundi,No open-licence or complete inventory claim.
CM_INS_MIS_2022,Cameroon Malaria Indicator Survey 2022 final report,Institut National de la Statistique du Cameroun,2023,https://ins-cameroun.cm/wp-content/uploads/2025/06/Cameroon-MIS-2022-Final-Report-FR-FINAL-14Sep2023-For-Web.pdf,2026-09-01,survey_report,Questionnaire Q113-Q114 separately codes Fulfulde and Pidgin,Official evidence that Fulfulde and Cameroon Pidgin are distinct survey strata.,Cameroon,Questionnaire categories alone are not population estimates.
CM_UIS_FLSC_2014,Cameroon First Leaving School Certificate metadata,UNESCO Institute for Statistics,2014,https://nada.uis.unesco.org/nada/en/index.php/catalog/154/study-description,2026-09-01,assessment_metadata,Grade 6 English-system examination: mandatory subjects in English except French,Formal English-track endpoint context.,Cameroon,Not a Pidgin/Fulfulde learning result.
DRC_UIL_LITERACY,Congo Literacy Project,UNESCO Institute for Lifelong Learning,n.d.,https://www.uil.unesco.org/en/litbase/congo-literacy-project-democratic-republic-congo,2026-09-01,program_page,Language context and national-language implementation sections,French official/formal layer; Lingala and Swahili among national languages used in early education/literacy.,Democratic Republic of the Congo,No localized Katanga/Kivu/Ituri denominator.
DZ_IICBA_TAMAZIGHT,Algeria's Tamazight policy and the challenge of home-language instruction,UNESCO IICBA,2025,https://www.iicba.unesco.org/en/algerias-tamazight-policy-and-challenge-home-language-instruction-africa,2026-09-01,country_analysis,Daily Algerian Arabic; French in higher education/employment; English expanding; no unified Tamazight teacher guide/progression,"Stage, resource and academic-language context.",Algeria,Does not provide variety/script population counts.
ER_UNICEF_LANGUAGE_2017,Language and Learning in Eritrea,UNICEF,2017,https://www.unicef.org/esa/sites/unicef.org.esa/files/2018-09/UNICEF-2017-Language-and-Learning-Eritrea.pdf,2026-09-01,country_study,Section 2.5.4 and transition discussion,Mother-tongue primary; English transition around Grade 6; teacher/material constraints.,Eritrea,No compatible Tigrinya population denominator.
ET_ESS_CENSUS_2007,Population and Housing Census 2007: National Statistical Report,Ethiopian Statistics Service,2007,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download,2026-09-01,census_report,Table 3.2: population by mother tongue,Exact census mother-tongue anchors.,Ethiopia,Dated counts; not projected to 2026.
ET_MOE_ESAA_2022,Education Statistics Annual Abstract 2021/22,Federal Democratic Republic of Ethiopia Ministry of Education,2022,https://moe.gov.et/storage/Books/ESAA%202014%20EC%20%282021-22%20G.C%29%20Final.pdf,2026-09-01,administrative_report,Textbook section and regional/language-related pupil-textbook ratios,Functional material availability context.,Ethiopia,"Regional, not language-reader or open-license counts."
ET_MOE_POLICY,Education and Training Policy,Federal Democratic Republic of Ethiopia Ministry of Education,1994,https://www.moe.gov.et/storage/Books/Ethiopia%20Education%20and%20Training%20Policy.pdf,2026-09-01,policy_document,Sections 3.5.1-3.5.7,Primary in nationality language; Amharic taught countrywide; English secondary/higher medium.,Ethiopia,"Policy, not implementation coverage."
ET_WB_LP_2024,Ethiopia Learning Poverty Brief,World Bank,2024,https://documents1.worldbank.org/curated/en/099062624135522075/pdf/P1792091d3bd9308519cdf1354887c45a1d.pdf,2026-09-01,learning_brief,"p.1: learning poverty 90%, learning deprivation 89%, schooling deprivation 14.8%",Country learning endpoint context.,Ethiopia,Not language-disaggregated.
FULA_UNICODE_17,"Unicode 17.0 Core Specification, Chapter 19",Unicode Consortium,2025,https://www.unicode.org/versions/Unicode17.0.0/core-spec/chapter-19/,2026-09-01,technical_standard,Section 19.9 Adlam: Fula cluster over 40 million; Adlam adoption and teaching,Cluster and script context.,Fula-speaking regions,Macrolanguage total is never allocated to a variety or script row.
GH_MOE_PLAN_2018,Education Sector Medium-Term Development Plan 2018-2021,Ghana Ministry of Education,2018,https://planipolis.iiep.unesco.org/sites/default/files/ressources/ghana-education-sector-medium-term-development-plan_2018-2021.pdf,2026-09-01,policy_document,Basic-education actions: local-language pedagogy P1-P3; transition to English by P4,Stage-specific national policy context.,Ghana,Ghanaian Pidgin is not identified as a supported local-language medium.
GH_STATS_CENSUS_2021,2021 PHC General Report Volume 3D: Literacy and Education,Ghana Statistical Service,2021,https://census2020.statsghana.gov.gh/gssmain/fileUpload/reportthemesub/2021%20PHC%20General%20Report%20Vol%203D_Literacy%20and%20Education.pdf,2026-09-01,census_report,Language-of-literacy tables use English/Ghanaian-language categories,Academic-language context and category limitation.,Ghana,Ghanaian Pidgin is not enumerated; no population value assigned.
GNB_RGPH2009_LANG,Características socioculturais: Terceiro Recenseamento Geral da População e Habitação 2009,"Instituto Nacional de Estatística, Guinea-Bissau",2009,https://stat-guinebissau.com/Menu_principal/IV_RGPH/rgph1/caracteristicas_socio_cultural.pdf,2026-09-03,official census report,Resumo pp. 9-10; section 3.6 pp. 36-43; Quadro 6 p. 38,"Direct multiple-response counts for languages spoken by Guinea-Bissau nationals, including Kriol and Portuguese; national literacy/attendance context.",Guinea-Bissau nationals enumerated in RGPH 2009,Counts are nonexclusive; report describes post-enumeration undercount and weighting limitations. No projection to a later year is made.
GN_INS_CENSUS_2014,RGPH 2014: état et structure de la population,Institut National de la Statistique de Guinée,2017,https://www.stat-guinee.org/images/Documents/Publications/INS/rapports_enquetes/RGPH3/RGPH3_etat_structure.pdf,2026-09-01,census_report,"Section 5.5: Pular is the most spoken language; over one-third; rural 36.2%, urban 31.6%",Pular language context.,Guinea,Rounded/inequality language statements do not identify script; no person estimate is assigned.
