candidate_id,target_label,language_variety,language_tag,script_orthography,territory_community,modality,learner_stage_scope,population_low,population_base,population_high,population_unit,population_definition,population_reference_year,population_source_id,population_source_url,academic_language_overlap_low,academic_language_overlap_base,academic_language_overlap_high,overlap_definition,baseline_access_status,evidence_confidence,rankable,notes
"IDN_IND_NATIONAL_EDU_CORE","National Bahasa Indonesia educational core","Bahasa Indonesia","ind","Latin (standard Indonesian orthography)","Indonesia—national","text; audio; captioned video; offline package; print","age 5+; school; tertiary; adult professional","","248501794","","persons age 5+","People aged five or older reported able to speak Indonesian under BPS's conversational definition; this is a reach ceiling, not a count needing every curriculum bundle.","2022","BPS_LANG_SPEAK_2022","https://sensus.bps.go.id/topik/tabular/sp2022/196/1/0","","","","Blank: no current nationally representative academic-English proficiency denominator; foreign-first language is not a proxy.","Conversational Indonesian reach was 97.959%; academic Indonesian proficiency was not measured; foundational learning deficits and advanced open-material scarcity are separately evidenced.","high for population; medium for intervention reach","true","Overlaps every stage/domain row and must not be added to them. Population does not imply academic literacy or English overlap."
"IDN_IND_EARLY_FOUNDATIONS","Early-childhood language, numeracy and science foundations","Bahasa Indonesia with optional regional-language companions","ind","Latin; companion orthography language-specific","Indonesia—children ages 3–6 and caregivers","play-based text; picture cards; audio; print; offline mobile","early childhood; caregiver learning","","","","children ages 3–6","Target-age population; exact national child count was not supplied by the cited APK source.","2024","MOF_PAUD_2024","https://fiskal.kemenkeu.go.id/files/kemppkf/file/1747711543_kem_ppkf_2026.pdf","","","","Blank: academic-English overlap is not a meaningful or measured early-childhood denominator.","Gross PAUD participation was 36.03%; because APK is gross, its complement is not an exact unserved-child rate.","high for participation rate; population count unavailable","false","Population fields are blank because the cited source supplies a gross rate, not a target-age count."
"IDN_IND_PRIMARY_MASTERY","Primary reading, mathematics and science mastery sequence","Bahasa Indonesia with regional-language bridges","ind","Latin; companion orthography language-specific","Indonesia—late-primary-age children","leveled text; worked examples; teacher and caregiver guide; audio; print; offline","primary","","","","late-primary-age children","Target population for the learning-poverty measure; exact population count was not supplied in the brief.","pre-COVID learning data; brief published 2024","WB_LEARNING_POVERTY_2024","https://documents1.worldbank.org/curated/en/099082924151529593/pdf/P17920918b1c2f0f61abb41e1a5d85e5dd2.pdf","","","","Blank: no nationally representative academic-English overlap estimate applies to this target population.","Learning poverty was 53%; 49% of enrolled children did not reach minimum end-primary reading proficiency in the source's underlying pre-COVID evidence.","high for cited estimate; population count unavailable","false","Population fields are blank; 53% is a deprivation rate, not a population denominator."
"IDN_IND_SECONDARY_STEM_MASTERY","Secondary mathematics, reading and science mastery sequence","Bahasa Indonesia","ind","Latin (standard Indonesian orthography)","Indonesia—PISA-eligible in-school 15-year-olds","text; worked examples; simulation; low-data lab; print; offline","lower and upper secondary transition","","3790800","","represented in-school 15-year-olds","PISA 2022 weighted target population represented by 13,439 sampled students in 410 schools; about 85% of all Indonesian 15-year-olds.","2022","OECD_PISA_2022","https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html","","","","Blank: PISA does not estimate ability to learn from English-language academic materials.","Among the represented in-school population, 82% were below Level 2 mathematics, 75% reading and 66% science.","high","true","Population excludes roughly 15% of all 15-year-olds and must not be generalized to them without qualification."
"IDN_IND_SMK_TVET_CORE","Applied mathematics, technical literacy and computing for SMK","Bahasa Indonesia","ind","Latin (standard Indonesian orthography)","Indonesia—school-based vocational secondary learners","technical text; diagrams; practice; offline lab; print; mobile","SMK / school-based TVET","","4991122","","SMK learner records","Administrative SMK student total displayed in the ministry dashboard snapshot.","2026-04-16 snapshot","KEMDIK_DAPODIK_2026","https://pd.data.kemdikbud.go.id/index.php?r=site%2Fdata","","","","Blank: no national academic-English overlap measure was located for SMK learners.","Large enrolled TVET population; the dashboard count does not measure completion or learning quality.","medium","true","Dynamic administrative snapshot; not the entire TVET ecosystem and not a unique longitudinal cohort."
"IDN_IND_NEET_SECOND_CHANCE","Second-chance upper-secondary and vocational bridge for NEET youth","Bahasa Indonesia with regional-language support","ind","Latin; companion orthography language-specific","Indonesia—youth ages 15–24 not in employment, education or training","modular text; audio; offline mobile; print; community delivery","upper-secondary; TVET; youth transition","","9002930","","persons ages 15–24","Youth not employed, enrolled in education or participating in training in August 2024; denominator 44,328,216 youth.","2024-08","BPS_DECENT_WORK_2024","https://www.bps.go.id/id/publication/2025/04/28/1ecc9dec1ef7a591babf5962/indikator-","","","","Blank: no national academic-English overlap estimate was located for NEET youth.","NEET was 20.31%; 24.12% for women versus 16.72% for men and 22.45% rural versus 18.84% urban.","high","true","Exact cross-sectional count; not a permanent status or a measure of TVET programme quality."
"IDN_IND_UNDERGRAD_GATEWAY","Undergraduate prerequisite and gateway-course sequence","Bahasa Indonesia","ind","Latin (standard Indonesian orthography)","Indonesia—bachelor's students","textbook; problem set; solution manual; computational lab; accessible EPUB/PDF; offline","undergraduate","","8542317","","bachelor's enrolments","Bachelor's programme enrolment stock reported by PDDikti for 2025.","2025","PDDIKTI_HE_2025","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","","","","Blank: no nationally representative academic-English proficiency denominator was located for higher-education learners.","Bachelor's students were 79.43% of 10,754,154 higher-education enrolments; age-19–23 APS was 29.01%, and advanced Indonesian open-textbook discoverability was sparse in audited catalogs.","high for enrolment; medium for open-resource coverage","true","Enrolment stock, not unique cohort completion; overlaps computing and research-methods candidates."
"IDN_IND_COMPUTING_DATA_AI","Computing, data and AI sequence for higher education and professional entrants","Bahasa Indonesia with English terminology bridge","ind","Latin (standard Indonesian orthography)","Indonesia—higher-education learners","code notebooks; static text; downloadable data; offline lab; accessible HTML/PDF","undergraduate; postgraduate; professional","","10754154","","higher-education enrolments","All programme enrolments reported by PDDikti for 2025; used as the directly measured learner anchor, not as the full adult benefit population.","2025","PDDIKTI_HE_2025","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","","","","Blank: bilingual terminology is an access bridge; no national share able to study technical content in English was located.","Large tertiary learner base, low household computer access and weak mathematics indicate need for low-spec, prerequisite-aware sequences.","high for enrolment; medium for domain mapping","true","Does not add the 4,991,122 SMK records because stage snapshots and learner identities differ. Overlaps the undergraduate and research-methods rows."
"IDN_IND_HEALTH_EDU","Public-health and health-training education bundle","Bahasa Indonesia with regional-language and sign-language companions","ind","Latin; companion orthography and signed modality language-specific","Indonesia—residents, caregivers and health trainees","plain-language text; visual guide; audio; captions; signed companion; print; offline","community; secondary; TVET; tertiary; adult professional","","284.67","","million residents","Total resident population from SUPAS 2025; this is a broad public-health audience universe, not the number with a health-literacy deficit.","2025","BPS_SUPAS_2025","https://www.bps.go.id/en/news/2026/08/07/927/supas-2025-jadi-fondasi-penguatan-kebijakan-penurunan-kematian-ibu-dan-anak.html","","","","Blank: no national academic-language overlap estimate was located for public-health or health-training content.","Under-five stunting was 19.8% in 2024; the outcome is not itself a health-literacy measure.","high for population and health outcome; medium for intervention reach","true","Population is reported in millions to the source's precision. Broad audience row overlaps all resident subpopulations."
"IDN_IND_CLIMATE_AGRI","Climate, agriculture, fisheries and resilient-livelihood education","Bahasa Indonesia with regional-language companions","ind","Latin; companion orthography language-specific","Indonesia—agriculture, forestry and fishing workers","field guide; diagrams; audio; offline mobile; print; local training","TVET; tertiary; adult professional; community","","42.60","","million employed persons","People employed in agriculture, forestry and fishing in May 2026; published rounded estimate.","2026-05","BPS_LABOUR_MAY_2026","https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html","","","","Blank: no national academic-English overlap estimate was located for this workforce.","Agriculture, forestry and fishing accounted for 28.75% of employment; hydrometeorological hazards dominate the disaster inventory.","high for workforce estimate; medium for curriculum reach","true","Population is reported in millions to the source's precision; overlaps adult-professional and regional-language rows."
"IDN_IND_DISASTER_RISK","Disaster-risk, early-warning and recovery education","Bahasa Indonesia with regional-language and sign-language companions","ind","Latin; companion orthography and signed modality language-specific","Indonesia—hazard-exposed communities, schools and services","visual guide; audio; captions; signed companion; print; offline mobile; radio-ready","school; TVET; tertiary; adult professional; community","","8136271","","reported people affected or displaced","BNPB's finalized 2024 sum of people affected or displaced across recorded disasters.","2024","BNPB_DISASTER_2024","https://bnpb.go.id/storage/app/media/Buletin%20Info%20Bencana/Buku%20Data%20Bencana%202024/20250613_Buku%20Data%202024.pdf","","","","Blank: academic-English overlap is not measured for disaster-exposed populations.","The finalized inventory recorded 3,472 disasters, 99.34% hydrometeorological, with 612 education and 82 health facilities damaged.","high for event inventory; medium for unique-person interpretation","false","Annual reported affected/displaced total may include repeated exposure and is not guaranteed to be a count of unique individuals."
"IDN_IND_FINANCE_MGMT","Economics, finance and management for households and enterprises","Bahasa Indonesia","ind","Latin (standard Indonesian orthography)","Indonesia—employed adults, households and enterprise operators","scenario text; calculator worksheet; audio; offline mobile; print","upper secondary; TVET; tertiary; adult professional","","148.19","","million employed persons","Employed population in May 2026; published rounded estimate used as the broad adult-work audience, not a count with low financial literacy.","2026-05","BPS_LABOUR_MAY_2026","https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html","","","","Blank: no national academic-English overlap estimate was located for adult finance/management learning.","SNLIK 2026 measured 69.57% financial literacy and 93.61% inclusion among ages 15–79, with lower literacy in rural, low-education and farmer/fisher groups.","high for workforce and survey rates; medium for intervention reach","true","Population is reported in millions to the source's precision. SNLIK's 75,000 is a survey sample and is not used as the benefit population."
"IDN_IND_RESEARCH_METHODS","Research methods, statistics, reproducibility and academic writing","Bahasa Indonesia with English terminology and abstract bridge","ind","Latin (standard Indonesian orthography)","Indonesia—higher-education learners","textbook; worked examples; code; data; templates; accessible HTML/PDF; offline","undergraduate; postgraduate; research; professional","","10754154","","higher-education enrolments","All programme enrolments reported by PDDikti for 2025.","2025","PDDIKTI_HE_2025","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","","","","Blank: no nationally representative academic-English proficiency denominator was located; bilingual terminology does not imply English-medium study capacity.","Large tertiary audience; master's and doctoral enrolments are substantial; audited international catalogs showed extremely sparse Indonesian advanced open books.","high for enrolment; medium for resource audit generalization","true","Enrolment stock and not unique graduates; overlaps undergraduate, computing/data/AI and advanced-research rows."
"IDN_IND_ADVANCED_RESEARCH","Advanced mathematics, science, computing, health and econometrics sequences","Bahasa Indonesia with English literature bridge","ind","Latin (standard Indonesian orthography)","Indonesia—master's and doctoral learners","advanced textbook; proof and problem sequence; computational lab; data; accessible HTML/PDF; offline","master's; doctoral; research professional","","479045","","master's plus doctoral enrolments","Sum of 405,551 master's and 73,494 doctoral programme enrolments reported by PDDikti for 2025.","2025","PDDIKTI_HE_2025","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","","","","Blank: no nationally representative academic-English proficiency denominator was located for postgraduate learners.","Advanced open-book discoverability was extremely sparse; 2020 R&D indicators were 395.34 researchers per million and 0.28068% of GDP, but are stale context only.","high for enrolment; medium for current research context","true","Exact sum of two enrolment stocks; not a researcher count and not additive to the all-higher-education row."
"IDN_IND_EN_ACADEMIC_BRIDGE","Indonesian–English academic terminology, search and abstract bridge","Bahasa Indonesia plus English terminology","ind","Latin","Indonesia—higher-education learners and researchers","bilingual glossary; search guide; parallel abstract; captioned lecture; offline reference","undergraduate; postgraduate; research","","10754154","","higher-education enrolments","All programme enrolments reported by PDDikti for 2025; used as the directly observed formal higher-education audience.","2025","PDDIKTI_HE_2025","https://lldikti3.kemdiktisaintek.go.id/wp-content/uploads/2026/05/Buku-Statistik-Pendidikan-Tinggi-Tahun-2025.pdf","","","","Blank by design: no current nationally representative academic-English proficiency denominator was located; BPS foreign-first-language counts cannot substitute.","Indonesian is the national instructional language; small-sample EMI literature documents disciplinary-English support challenges but cannot quantify national overlap.","high for enrolment; low for national overlap prevalence","true","The full higher-education population is an audience anchor, not the number unable to use English. Do not subtract an assumed English-speaking share."
"IDN_REGIONAL_FIRST_COMPANION","Regional-language companion explanations, glossaries and early-literacy support","Regional languages of Indonesia (aggregate; not one language)","und","Multiple language-specific orthographies; many Latin","Indonesia—regional-language-first communities","community-language text; audio; glossary; print; offline; adaptable source","early childhood; primary; community; adult","","181082044","","persons age 5+","People aged five or older whose first language was a regional language in the 2022 long-form census.","2022","BPS_LANG_FIRST_2022","https://sensus.bps.go.id/topik/tabular/sp2022/197/0/0","","","","Blank: regional-language-first status does not measure Indonesian or English academic proficiency.","Regional-language-first speakers were 71.382% of the age-5+ denominator; the official inventory lists 718 languages.","high for aggregate population; low for language-specific allocation","true","Aggregate population is not divisible into named-language populations from this table. Do not treat all regional-first speakers as lacking Indonesian; 97.959% of age 5+ could speak Indonesian overall."
"IDN_NON_INDONESIAN_SPEAKER_ACCESS","Community-language access for people unable to speak Indonesian","Regional and other non-Indonesian languages (aggregate)","und","Multiple language-specific orthographies and oral modalities","Indonesia—age-5+ people reporting inability to speak Indonesian","community-language text; audio; illustration; print; offline; mediated instruction","all stages age 5+; community; adult","","5177554","","persons age 5+","People aged five or older reported unable to speak Indonesian under the BPS conversational definition.","2022","BPS_LANG_SPEAK_2022","https://sensus.bps.go.id/topik/tabular/sp2022/196/1/0","","","","Blank: neither English proficiency nor a named community language is identified by this aggregate count.","2.041% of the age-5+ census denominator could not speak Indonesian, creating direct non-Indonesian access need.","high for aggregate population; low for named-language allocation","true","Distinct from the regional-language-first row: most regional-first people can speak Indonesian, while this row isolates the aggregate unable to do so."
"IDN_SIGN_LANGUAGE_ACCESS","Sign-language and deaf-access companion layer","Sign languages in Indonesia (aggregate census category)","sgn","Visual-manual; no single written orthography","Indonesia—sign-language-first people and deaf/hard-of-hearing learners","signed video; captions; transcript; visual diagram; accessible HTML; offline","all educational stages; public health and safety","","283662","","persons age 5+","People aged five or older whose first language was reported as a sign language in the 2022 long-form census.","2022","BPS_LANG_FIRST_2022","https://sensus.bps.go.id/topik/tabular/sp2022/197/0/0","","","","Blank: sign-language-first status does not estimate academic Indonesian or English overlap.","The first-language count establishes a signed-language population; disability APS gaps reach 48.34 percentage points at ages 16–18.","high for aggregate first-language count; medium for broader deaf learner reach","true","Does not count every deaf or hard-of-hearing learner and does not identify individual sign-language varieties."
