edition_target_id,edition_key,target_kind,canonical_target_id,regional_stratum_id,language_tags,language_variety_names,scripts_orthographies,territories_communities,language_mode,exactness,effective_order_l_target,disposition,evidence_identity_count,row_sha256
edition-target:lang:aa-Latn-ET,lang:aa-Latn-ET,canonical_language_edition,lang:aa-Latn-ET,,aa-Latn-ET,Afar,Latin; Ethiopia educational orthography,Ethiopia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,d0f73203b34540db0923aefd7d20787bb0020a29651c7139932a6a3796a84c24
edition-target:lang:ace-Latn-ID,lang:ace-Latn-ID,canonical_language_edition,lang:ace-Latn-ID,,ace-Latn-ID,Acehnese,Latin; any Arabic-derived literacy track separately tagged,"Aceh, Indonesia; Acehnese communities",written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,a646d0247e88cbafa701d26b0f61a38fb332922a2ac95fd1d8ae52316d5b93ea
edition-target:lang:acf-DM,lang:acf-DM,canonical_language_edition,lang:acf-DM,,acf-DM,Dominican Kwéyòl,Latin; Dominican Kwéyòl local orthography,Dominica,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,b8d76400173c024305352b846493a3d935aa1569f94e0d963b600f06b2650ef0
edition-target:lang:acf-LC,lang:acf-LC,canonical_language_edition,lang:acf-LC,,acf-LC,Saint Lucian Kwéyòl,Latin; Saint Lucian Kwéyòl orthography,Saint Lucia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,7647afc45a5523b600e9ffe45db014fe79234da84b6a10edf3ac50c56a6e64f5
edition-target:lang:ach-Latn-UG,lang:ach-Latn-UG,canonical_language_edition,lang:ach-Latn-UG,,ach-Latn-UG,Acholi,Latin; Uganda standard,Uganda,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,a70659cfb7f3840906d0d174b5d2af1717c95fcfdfa0651140443c1ef3e65dc1
edition-target:lang:acm-Arab-IQ,lang:acm-Arab-IQ,canonical_language_edition,lang:acm-Arab-IQ,,acm-Arab-IQ,Mesopotamian Arabic — Iraq target,Arabic,Iraq,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,12150bad937fa8881f7d0e40acc97910eab78ce731ea821bca59fd03a5f28dd1
edition-target:lang:acq-Arab-YE,lang:acq-Arab-YE,canonical_language_edition,lang:acq-Arab-YE,,acq-Arab-YE,Ta'izzi-Adeni Arabic — Yemen,Arabic,Yemen,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,efd58909cb2c711441f4f1a52a66e46d1d5ee6e1a26ec3d54dbea6d3228e51da
edition-target:lang:acr-GT,lang:acr-GT,canonical_language_edition,lang:acr-GT,,acr-GT,Achi,ALMG-standard Latin orthography for Achi,Guatemala; ALMG language communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,2,cdc7b827d62ca148a397615b62180910d284457697d938cfc8dc15d42a2520b0
edition-target:lang:acu-EC,lang:acu-EC,canonical_language_edition,lang:acu-EC,,acu-EC,Achuar Chicham,Latin; official/community Achuar Chicham orthography,Ecuador; Achuar Chicham communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,4febfedd68c8a3cbfe092ced92f445431e2a01588205e9fdba0ae53c8f36579f
edition-target:lang:acw-Arab-SA,lang:acw-Arab-SA,canonical_language_edition,lang:acw-Arab-SA,,acw-Arab-SA,Hijazi Arabic — Saudi Arabia,Arabic,Saudi Arabia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,0b296952ae335f27980b3ebc4908615580d6ba8e3947eec7fcb1e257e9259e58
edition-target:lang:acx-Arab-OM,lang:acx-Arab-OM,canonical_language_edition,lang:acx-Arab-OM,,acx-Arab-OM,Omani Arabic — Oman,Arabic,Oman,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,d81fd38fd4265e82a98383662264f8f579ee0a506d6f532997dbed6d0d637684
edition-target:lang:aeb-Arab-TN,lang:aeb-Arab-TN,canonical_language_edition,lang:aeb-Arab-TN,,aeb-Arab-TN,Tunisian Arabic,Arabic; graded-vowel support in paired Modern Standard Arabic,TN,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,d2da4cf24141cc4ac1b56f0ddc2be960b2754daf92afd906abe27fd6a91db7b5
