register_version,voi_action_id,triage_class,decision_layer,target_scope,affected_units,affected_denominator,affected_fraction,current_gap_signal,current_treatment,minimum_observation,formal_update,decision_effect,quantitative_voi_status,evidence_priority_basis,source_artifact_ids,non_inference_guard
VOI-v1,VOI-001_exact_stage_endpoint_denominator,CRITICAL_UNLOCK,L-ID|L-M,Exact target x learner stage x endpoint x horizon,"148 target-gap rows; 1,011 event rows with single_exact_stage_identity gap; 446 event rows missing a population measure","148 target rows; 1,035 event rows","148/148 targets; 1,011/1,035 events; 446/1,035 events","All 148 input rows: MISSING_EXACT_CLOSED_STAGE_IDENTITY; MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY; MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN. Event counts overlap.","L-ID remains partially identified; event rows are rankable_now=false; L-M cannot claim an exact endpoint denominator.","A mutually exclusive person-profile denominator with low/base/high (or an exact count); stage; endpoint; horizon; unit; source definition; and disjointness/duplication crosswalk.","Bind P_h^L/P_h^U and denominator identity; create the conditional chain before multiplying factor rates; retain measure class.","May unlock finite capability profiles and narrower rank intervals; does not by itself authorize a score or imply need.",NOT_NUMERIC_SKELETON,"Current status blocks exact event rankability; the register does not estimate the probability or value of the result.","structured/empirical_input_gap_ledger.csv; structured/empirical_event_gap_ledger_v2.csv; SCORING_SPECIFICATION.md","Do not convert territorial ceilings; L1/L2/ability; households; enrollment; or context counts into one learner denominator. Do not sum overlapping event counts."
VOI-v1,VOI-002_conditional_education_need_endpoint,CRITICAL_UNLOCK,L-ID|L-M,Exact target x stage x endpoint education need,"148 input target rows; 1,027 event rows missing conditional education evidence; 8 event rows marked constitutive direct count","148 input rows; 1,035 event rows","148/148 targets; 1,027/1,035 events","Input status is MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR for all 148. Event status is MISSING_PUBLIC_CONDITIONAL_EVENT_EVIDENCE for 1,027; 8 are CONSTITUTIVE_DIRECT_COUNT.","Missing cells retain the declared common prior in L-M and remain unidentified in L-ID; this is an assumption, not observed evidence.","Numerator and denominator for the preregistered full functional access endpoint, stratified by exact language/variety, stage, subject or package, and horizon, with sampling/uncertainty metadata.","Enter direct counts into the fixed likelihood or explicit measurement/transport model; leave nonidentifiable cells as bounds/prior when evidence does not qualify.","Can change intrinsic-need posterior and rank intervals; 8 constitutive counts must not be re-multiplied by component proxies.",NOT_NUMERIC_SKELETON,"The current missingness is pervasive and directly touches theta_hq; no prior distribution for new evidence is present.","structured/empirical_input_gap_ledger.csv; structured/empirical_event_gap_ledger_v2.csv; SCORING_SPECIFICATION.md; structured/FACTOR_TRANSPORT_REGISTRY_v1.json","Do not treat school scores, country averages, or language declarations as exact endpoint rates without the specified transport/measurement model."
VOI-v1,VOI-003_exact_oer_route_audit,CRITICAL_UNLOCK,L-M|resource_gap,Target x ISCED stage x subject x canon cell,"5,148 OER cells SEARCH_UNRESOLVED; 32 RESOURCE_FOUND; 139 targets lack an exact stage-subject route; 9 have only a categorical locator","5,180 OER cells; 148 targets","5,148/5,180 unresolved; 32/5,180 found; 139/148 route-missing targets; 9/148 categorical-only targets","Every OER cell is represented; 5,148 have unresolved sources. The 32 found cells still fail one or more open-license/adaptation/completeness/exercise/accessibility gates.","The score's open_resource_scarcity field remains at the common prior; no unresolved cell is treated as absence or scarcity evidence.","For each exact cell: independently retrievable item route; language/variety/script; free/open license and adaptation rights; completeness; exercises and answers; download/offline; accessibility; self-study; alignment; integrity.","Set a target-specific resource factor only under the factor-registry all-cells gate; otherwise retain the common prior and unresolved flag.","Can replace a uniform prior with auditable target-stage-canon evidence and identify genuinely useful packages; cannot be inferred from catalogue presence.",NOT_NUMERIC_SKELETON,"A large unresolved denominator means acquisition can discriminate, but expected discrimination is not quantified.","structured/oer_target_canon_evidence_matrix.csv; structured/oer_resource_gap_derivation_inputs.csv; structured/empirical_input_gap_ledger.csv; structured/FACTOR_TRANSPORT_REGISTRY_v1.json","A search miss is not proof of no resource. A found route is not coverage unless all gates pass. Do not admit programme outputs."
VOI-v1,VOI-004_oer_fractional_coverage_model,CRITICAL_UNLOCK,L-ID|L-M|resource_gap,Target x fixed canon package fractional coverage,"5,180/5,180 derivation rows have empty low/base/high resource-gap fields and NOT_DERIVABLE_NO_IDENTIFIED_DENOMINATOR_OR_FRACTIONAL_COVERAGE_MODEL","5,180 derivation rows","5,180/5,180 non-derivable","The cell audit has categorical findings only; no identified denominator or fractional coverage estimand is present.","Resource-gap bounds are null rather than zero; no coverage fraction is propagated to need.","Define a public denominator (controlled cells or learner capability endpoints), a reproducible coverage fraction, and uncertainty bounds that preserve license/functional gates.","Populate resource_gap_low/base/high only after the denominator and derivation rule are frozen; retain partial-identification bounds when necessary.","Allows resource scarcity to affect a declared need model without conflating search status with quantitative scarcity.",NOT_NUMERIC_SKELETON,"No probability model or acquisition cost for denominator design is available.","structured/oer_resource_gap_derivation_inputs.csv; structured/oer_target_canon_evidence_matrix.csv; SCORING_SPECIFICATION.md","Do not divide found-cell count by total cells as a coverage fraction; cells differ in stage, subject, and functional requirements."
VOI-v1,VOI-005_academic_lingua_franca_nonoverlap,CRITICAL_UNLOCK,L-ID|L-M|portfolio,Exact capability stratum overlap with English/French/Spanish/Portuguese/Russian/Arabic/Mandarin/Hindi or existing editions,"148 input rows missing exact non-overlap bounds; 1,035 event rows missing conditional non-overlap; 1,039 score rows carry value 0.4; 33 of 40 leading-target entries have null academic_nonoverlap_bound","148 input rows; 1,035 events; 1,065 score rows; 40 leading-target entries","148/148; 1,035/1,035; 1,039/1,065 at 0.4; 33/40 null bounds","Input status is MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM for all 148. The academic-language evidence layer labels reported-language complements and school proxies as not academic overlap.","L-M uses a common prior where a qualified target-specific scalar is absent; L-ID leaves the event unidentified.","Exact language-stage-subject capability cohort; best existing edition; academic-language proficiency threshold; low/base/high overlap or non-overlap; script and diaspora handling; source crosswalk.","Bind qualified overlap to the factor/measurement model and union calculation; keep reported language use, school tests, and academic comprehension in separate classes.","Can materially change marginal gain and portfolio additivity; avoids treating large speaker counts as wholly new access.",NOT_NUMERIC_SKELETON,"This field is central to marginal rather than gross reach, but current evidence is mostly proxies or null.","structured/academic_language_nonoverlap.json; structured/empirical_input_gap_ledger.csv; structured/empirical_event_gap_ledger_v2.csv; structured/GLOBAL_TARGET_SCORE_TABLE_v3.csv","English declaration, curriculum exposure, or a country test is not an academic-language non-overlap percentage without the stated cohort and threshold."
VOI-v1,VOI-006_delivery_route_reach,CRITICAL_UNLOCK,L-ID|L-M|access,Exact target x stage x route/device/offline delivery reach,"148 input rows missing route-specific low/base/high reach; 1,035 event rows missing delivery-access evidence","148 input rows; 1,035 events","148/148; 1,035/1,035","Input status is MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM for all 148; event delivery_access_status is missing for all 1,035.","Country internet/electricity values may be ecological proxies; target-language, stage, disability, rurality, and device cross-tabs are not assumed.","Route-specific reach for downloadable/offline HTML/MathML/EPUB/PDF, audio, print, captions, or other declared formats, tied to exact capability strata and a fixed horizon.","Replace or calibrate the delivery factor through the explicit transport model; preserve separate format branches and route constraints.","Can alter practical access after translation and distinguish a nominal edition from usable access; does not change language need by itself.",NOT_NUMERIC_SKELETON,"Current route evidence is absent at every event row; acquisition utility depends on route-specific decisions.","structured/empirical_input_gap_ledger.csv; structured/empirical_event_gap_ledger_v2.csv; structured/FACTOR_TRANSPORT_REGISTRY_v1.json; structured/accessibility_sources.csv","Do not use national connectivity as exact language-stage reach or infer phone ownership from population."
VOI-v1,VOI-007_accessibility_representation_profiles,HIGH_DECISION_SENSITIVITY,standard_compute|accessibility,Named accessibility mode x exact language/community x stage,"1,097 of 1,266 bindings have no direct profile; 40 signed and 20 oral rows are not applicable to the written-token model; score accessibility values are 0.5 for 1,027 rows and 0.8 for 38 mode-planning rows","1,266 profile bindings; 1,065 score rows","1,097/1,266 no direct profile; 60/1,266 named non-written modes; 1,027/1,065 at 0.5; 38/1,065 at 0.8","The binding file marks no direct profile for 1,097 model-conditional rows. Signed/oral applicability is explicitly separate. The elevated 0.8 value is a planning value, not prevalence.","Accessibility is a package/format branch and a declared prior or mode-planning value; no signed-language user population is implied.","Exact representation and reach evidence for screen-reader MathML/HTML, tagged PDF/EPUB, audio, captions, print, and named sign-language or oral routes, with device/offline constraints and cost receipts.","Bind a lawful representation model and route-specific reach; update package costs and access factors separately from language need.","Can identify high-return accessibility overlays and avoid excluding disabled learners; does not authorize one universal sign or audio language.",NOT_NUMERIC_SKELETON,"The current model explicitly lacks direct profiles for most targets; no expected uptake distribution is available.","structured/complete_roster_compute_target_profile_bindings.csv; structured/GLOBAL_TARGET_SCORE_TABLE_v3.csv; structured/standardized_compute_model.json; agent_reports/accessibility_formats.md","Do not interpret mode-planning values as prevalence, and do not use a written-token profile for signed/visual-manual or oral-only production."
VOI-v1,VOI-008_large_population_variety_script_denominators,CRITICAL_UNLOCK,L-ID|L-M|universe,Large and under-specified language populations by exact variety/script/stage,"907 score rows are unranked_context; 158 are population-rank eligible; the large-language proposal contains 45 strata and 7 package profiles","1,065 score rows; 45 proposal strata","907/1,065 unranked; 158/1,065 eligible; 45 proposal strata","Unranked rows use model-conditional territorial/world ceilings with no language-user denominator. Exact population rows preserve measure class and may be point or interval.","No macro/package total is inherited by a child target; context-only strata are not silently ranked.","Exact variety, script, territory, stage, denominator, vintage, and disjointness crosswalk for each large or omitted population; retain low/base/high and measure class.","Add auditable target rows and mutually exclusive atoms to the successor universe; rerun L-ID/L-M only after authority binding and duplicate checks.","Can reveal high-population omissions and prevent denominator-driven exclusion; does not turn a context ceiling into usable reach.",NOT_NUMERIC_SKELETON,"Population uncertainty can change who is eligible for a decision, but no probability of a rank change is estimated here.","structured/GLOBAL_TARGET_SCORE_TABLE_v3.csv; structured/large_language_population_strata_proposal.json; structured/canonical_universe_successor_v2.json; agent_reports/LARGE_POPULATION_OMISSION_AUDIT_FINAL.md","Do not sum L1, L2, ability, home-language, enrollment, household, or territorial exposure measures; do not treat a package ceiling as a child-language count."
VOI-v1,VOI-009_assignment_and_portfolio_overlap,HIGH_DECISION_SENSITIVITY,L-ID|L-M|portfolio,Shared multilingual persons and bridge versus natural editions,"6 portfolio-overlap rows are marked probable_shared_population and non-additive; 3 of 148 input rows require nonoverlapping measure partition; 7 of 1,035 events require uniqueness audit","6 overlap rows; 148 input rows; 1,035 events","6/6 non-additive; 3/148 partition-needed; 7/1,035 uniqueness-audit","Existing overlap register contains only probable shared-person rows; event ledger uses logical Fréchet bounds and marks dependence unresolved.","L-M uses symmetric assignment priors when compatible shares are missing; L-ID optimizes over the assignment simplex; no independence is assumed.","Complete mutually exclusive language/bridge assignment shares, script-specific readership, diaspora and existing-edition overlap, with source-linked cross-tabs.","Replace prior assignment shares or tighten union/intersection bounds only where a compatible cross-tab exists; preserve one-person-one-capability accounting.","Can change marginal portfolio gain and bridge efficiency; it cannot grant family-wide reach from a label or name.",NOT_NUMERIC_SKELETON,"The register has observed collision flags but no population-wide crosswalk or evidence distribution.","structured/PORTFOLIO_OVERLAP_REGISTER_v1.csv; structured/empirical_input_gap_ledger.csv; structured/empirical_event_gap_ledger_v2.csv; SCORING_SPECIFICATION.md","Do not add natural-language, bridge, script, or diaspora populations without a disjoint-person crosswalk."
VOI-v1,VOI-010_interlanguage_mathematics_functional_test,MEDIUM_EXPLORATORY,bridge|L-ID|portfolio,Bridge profile x exact community x direction x script x stage x mathematical genre x exposure,"17 bridge/proposal rows are documented in the decision matrix; no reviewed bridge has Grade A evidence for untrained mathematical prose; 6 overlap rows are separately non-additive","17 bridge/proposal rows; 6 overlap rows","17/17 lack Grade A untrained-math evidence; 6/6 overlap rows non-additive","The matrix reports family/domain ceilings but functional reach as not estimable. The mathematics audit reports no controlled bridge-versus-natural proposition/transfer study.","Bridges remain candidate interventions or production mechanisms; no family population credit is assigned.","Aligned proposition recovery, worked-example transfer, critical-error rate, time, and confidence calibration against the strongest natural-language edition, with exposure/training and script recorded.","Estimate bridge-specific w_hql or union contributions only after the endpoint is measured; keep natural and bridge editions separately labelled.","Can test whether notation and shared structure create incremental mathematical access; does not justify a pan-family multiplier.",NOT_NUMERIC_SKELETON,"The research question is high-value but current evidence is explicitly insufficient for population-level VOI.","agent_reports/interlanguage_matrix.md; agent_reports/INTERLANGUAGE_MATHEMATICS_ACCESS_AUDIT.md; SCORING_SPECIFICATION.md; structured/PORTFOLIO_OVERLAP_REGISTER_v1.csv","Cloze, gist, word recognition, formula copying, or self-report is not proposition recovery or educational transfer."
