decision_rank,edition_target_id,label,language_tag,population_basis_class,intrinsic_need_median,standard_compute_p50_fecu,access_gain_per_compute_median,population_source_id,population_definition,population_reference_year,population_confidence,compute_evidence_class,model_status,authorization_id,authorization_ids,authorization_status,authorization_tier,evidence_identity_id,source_lane,source_record_id,evidence_role,target_row_sha256,evidence_row_sha256,source_evidence_row_sha256,source_registry_row_hashes,evidence_bounds_source_complete,evidence_bounds_were_imputed,population_bound_type,source_population_low_persons,source_population_base_persons,source_population_high_persons,normalized_population_low_persons,normalized_population_high_persons,local_work_exclusion,synthetic_or_model_prior
1,edition-target:lang:hi-Deva-IN,Hindi,hi-Deva-IN,DIRECT_OR_DERIVED_PERSON_MEASURE,119286966.326028,1220000.000000,97.776201906580,IND_C16_2011,Raw Hindi mother-tongue return; excludes separately returned varieties inside Hindi umbrella,2011,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:d5906c79415770327e34d6e3,auth:canonical:canonical:pop:d5906c79415770327e34d6e3;auth:canonical:llps:LLPS-HI-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:d5906c79415770327e34d6e3,legacy_canonical_population,pop:d5906c79415770327e34d6e3,language_population_or_context,1ecc2f752bae0a17067a9cd6cf4b6d8704c524a794291263d5e01cbe64e73856,2a1745949b69276ced5ec0a321ea6ae36104a276f20a0d107935493b1d9dc0c5,804172a5bbde96740a74a5a84f06f8ce79950cb077838fd2021dbcc86d31be75,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,322230097,322230097,322230097,322230097,322230097,true,false
2,edition-target:lang:id-Latn-ID,Bahasa Indonesia,id-Latn-ID,DIRECT_OR_DERIVED_PERSON_MEASURE,87463029.306054,1000000.000000,87.463029306054,BPS_LANG_SPEAK_2022,"People aged five or older reported able to speak Indonesian under BPS's conversational definition; this is a reach ceiling, not a count needing every curriculum bundle.",2022,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958,auth:canonical:canonical:pop:39de2462a63d58bf0aa760b4;auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958;auth:canonical:canonical:pop:d3d3e4eb548b08cae47f514f;auth:canonical:llps:LLPS-ID-ID-ABILITY-2022;auth:canonical:llps:LLPS-ID-ID-HOME-2010,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:4291438f9dc0e89a2c84c958,legacy_canonical_population,pop:4291438f9dc0e89a2c84c958,language_population_or_context,5c96ef25091ed52e18c4832379722db06e41de8a113bb546c85e8cb5ad8e77c3,202f2f7f6b44f5078c4343984b01657835d56fafe57ccdb778cc4c852299f0e4,ee995dfb7e1b21f4c251fa784e734fead62357cc10622bdf6c1593d2d73bbe73,8FE2C78241829A7059F6E3143F14F2064598D74B3F514F916CB6ABE4A20B8E8D,true,false,POINT,,248501794,,248501794,248501794,true,false
3,edition-target:lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,DIRECT_OR_DERIVED_PERSON_MEASURE,48028114.731318,1080000.000000,44.470476603072,ASIA_8494F662F55E;ASIA_498C388D8FFE,"Rosstat count of people reporting ability in Russian; separate from daily use and not a literacy, L1 or academic-proficiency count.",2020 Census; reference date 2021-10-01,A_REGIONAL_EXACT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability;auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-daily,ADMIT,A_REGIONAL_EXACT_TYPED_PERSON,regional:ASIA_EMPIRICAL_NEED_INPUTS:ru-Cyrl-RU-ability,ASIA_EMPIRICAL_NEED_INPUTS,ru-Cyrl-RU-ability,REGIONAL_EMPIRICAL_STRATUM,b25721edd209b914a7e91ff08f3391cc2670dd62932e39d1a62ef036334c2f06,85bdd05ab22e44bb6659b1eb35c92483dfea7772385796f99fbad7bdceec3bce,7cca906069d46d139b3f46ab733c131ba1604b398b86a727614c2e32f8acef58,b4df9ebe84155057ed355113bd548ad58bd65d83b8d2efeb8982ea5ff7ebd746;d956f09bba0a9a13d57398396d7cc5bc4c06cdd93120ab0401ce78da55cf4259,true,false,POINT,,134319233,,134319233,134319233,true,false
4,edition-target:lang:pnb-Arab-PK,Punjabi (Pakistan standard),pnb-Arab-PK,DIRECT_OR_DERIVED_PERSON_MEASURE,38667895.873606,1140000.000000,33.919206906672,PBS_MT_2023,Census mother-tongue count; script not enumerated,2023,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:2a74f45f01adcf93b5498742,auth:canonical:canonical:pop:2a74f45f01adcf93b5498742,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:2a74f45f01adcf93b5498742,legacy_canonical_population,pop:2a74f45f01adcf93b5498742,language_population_or_context,42ebc10da00e4fc6bff1dcb57bb8bc43dba1086f01613d6819bc4e3b7766d7a8,3c5daa383d26bae40fd0ba293d770a4d46fd917e27887e70d375380b40d0bdbd,a25c827918592e7061402df3189f9e64a696947f28817e73b47970d5bf276cb0,46E5208B2751BDEDEE81738BE17280322692B36E1F7C573A7C277774F7F8F5B0,true,false,POINT,88915544,88915544,88915544,88915544,88915544,true,false
5,edition-target:lang:bn-Beng-IN,Bengali (India standard),bn-Beng-IN,DIRECT_OR_DERIVED_PERSON_MEASURE,35118379.766556,1250000.000000,28.094703813244,IND_C16_2011,Raw Census mother-tongue count,2011,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:1b0fedae1f0166ba231953b3,auth:canonical:canonical:pop:1b0fedae1f0166ba231953b3;auth:canonical:llps:LLPS-BN-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:1b0fedae1f0166ba231953b3,legacy_canonical_population,pop:1b0fedae1f0166ba231953b3,language_population_or_context,213c1bb51aed2a6d923aeb3e2fac2cf48bb13fadac578e9afc12cfc1a75dac79,d36753087b8e12ab3883e8a5239d258171c58592c4b2db3f39904419d1aa0600,c76fe86b5ce1c032ecc0ff579e881270e6f6d2ba5b9d1967c9ff6cac22de2c80,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,96177835,96177835,96177835,96177835,96177835,true,false
6,edition-target:lang:mr-Deva-IN,Marathi,mr-Deva-IN,DIRECT_OR_DERIVED_PERSON_MEASURE,30978379.684931,1220000.000000,25.392114495845,IND_C16_2011,Raw Census mother-tongue count,2011,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:78fb5d4ae3e4f19bf50a1c9d,auth:canonical:canonical:pop:78fb5d4ae3e4f19bf50a1c9d;auth:canonical:llps:LLPS-MR-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:78fb5d4ae3e4f19bf50a1c9d,legacy_canonical_population,pop:78fb5d4ae3e4f19bf50a1c9d,language_population_or_context,a41ed5a1b774bd490f52e9e29eb8028cc15e51108767c3b030d24a1433833712,390ac37c80b2c0978a35a994340fc27b8d0e02b16def62385107977b96b9bc92,dee63af54b67512c8159982dfcba337fe6bb07e9975f08eb0efd9b69c04d0040,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,82801140,82801140,82801140,82801140,82801140,true,false
7,edition-target:lang:jv-Latn-ID,Javanese,jv-Latn-ID,DIRECT_OR_DERIVED_PERSON_MEASURE,24717315.226857,1000000.000000,24.717315226857,SRC_BPS_ID_2010,Home language among population age 5+ in Census 2010.,2010,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:8769a570123aa3d669d927d9,auth:canonical:canonical:pop:8769a570123aa3d669d927d9;auth:canonical:canonical:pop:c8a807b2f8dcd796e65bffee,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:8769a570123aa3d669d927d9,legacy_canonical_population,pop:8769a570123aa3d669d927d9,language_population_or_context,be1426172e7859a195a80ef9e59c177cbb81fd38a522ef5873c5e71b1b4e3400,1559c353f277fb9296582229164855feb32a500109a30909f23c592bfc0a2a6a,34eb2d28eec5c846dfb2548c3b790408fd0abe01c6af11843613866acd20b2bb,BA4C458CAE82756BFAF70AFD6C876D1784ED322C00656E26ED8C65F4D5A8A643,true,false,POINT,68044660,68044660,68044660,68044660,68044660,true,false
8,edition-target:lang:te-Telu-IN,Telugu,te-Telu-IN,DIRECT_OR_DERIVED_PERSON_MEASURE,30332495.132190,1250000.000000,24.265996105752,source:llps:src_india_c16_2011,Census language total.,2011,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:llps:LLPS-TE-IN-L1-2011,auth:canonical:canonical:pop:d3ca0b8bb185751c92431b02;auth:canonical:llps:LLPS-TE-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,llps:LLPS-TE-IN-L1-2011,large_language_population_strata,LLPS-TE-IN-L1-2011,language_population_basis,828767958ea49cf7421e113834da520df77372f028e3b6e88efc1e2ecb201e74,f454d1f25b380a58f185c6bc0077bee03ce0abb6f7b6de8f501d0087d25e46f6,9175caecfdad737c7702f33ca94d4c0c52f8ad3c009c4b35c8f4938517345524,446a7674e8151a4032ae36512f442b8a51288bc7aa264849e30df7654d0f542c,true,false,POINT,81127740,81127740,81127740,81127740,81127740,true,false
9,edition-target:lang:ta-Taml-IN,Tamil (India standard),ta-Taml-IN,DIRECT_OR_DERIVED_PERSON_MEASURE,25238208.215236,1240000.000000,20.353393721964,IND_C16_2011,Raw Census mother-tongue count,2011,A_DIRECT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:canonical:canonical:pop:2cb02fc39902ed72029da51a,auth:canonical:canonical:pop:2cb02fc39902ed72029da51a;auth:canonical:llps:LLPS-TA-IN-L1-2011,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:2cb02fc39902ed72029da51a,legacy_canonical_population,pop:2cb02fc39902ed72029da51a,language_population_or_context,6f977dd16687a4d24807c7fa7da480391530a8cb1f2b47ebf79bde114f7e051b,f8248716ecdfe938415d58de4c67b5664e892a90a8d0a6c0b5b36d04377847e7,ce622e5b0ae29ed03cc7d73e3685fc797374862dcefd28840000780a80321bee,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,true,false,POINT,68888839,68888839,68888839,68888839,68888839,true,false
10,edition-target:lang:th-Thai-TH,Central Thai,th-Thai-TH,DIRECT_OR_DERIVED_PERSON_MEASURE,21854153.080193,1180000.000000,18.520468712028,ASIA_FD2E31624975;ASIA_60398CDE3EB5;ASIA_8D763B87EDD7;ASIA_E3C9435B44D2;ASIA_AF3F2061095E;ASIA_99790366BF51;ASIA_DC40538A57DA;ASIA_A943DE148B29;ASIA_AE4FF98E9CFE;ASIA_THA_NSO_CENSUS_2010_LANG,"2010 census population classified as using only Thai at home (59,866,190) or Thai and another language at home (4,214,001); the two published categories sum to 64,080,191.",2010-09-01,A_REGIONAL_EXACT_TYPED_PERSON,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,L-M_NEED_PER_STANDARDIZED_COMPUTE,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:th-Thai-TH,auth:regional:ASIA_EMPIRICAL_NEED_INPUTS:th-Thai-TH,ADMIT,A_REGIONAL_EXACT_TYPED_PERSON,regional:ASIA_EMPIRICAL_NEED_INPUTS:th-Thai-TH,ASIA_EMPIRICAL_NEED_INPUTS,th-Thai-TH,REGIONAL_EMPIRICAL_STRATUM,11260a4acf570aff9ea64cf39db290d07b73c22979dac306c42a9dd6c9892c66,def09266d16bff5e6e3bda4958d79be4bb7ac3ee0dcaaf7198992cd25c0a578f,087176a9864e05b30c6419a6cc21e565c8fe4ac433d491201bac00458754938d,989e309dcb5112dcd0b1a862971eb37dfbd014d43a5b6648de916853bab55f18;20426318f26d981d0457da7ee9784c948613f72a0dd5f8a2634717d596e4300c;c79a47a70c622dd1c3576f2844bf2648846adc44f9dc915b7a75b38d4f5cd768;03910a1e167d2caaff634ed8baaece8b9fff79312ed2e3e649d50a214a4d0fa2;59e70224375915b5c1c76b5674ff02179674953f2e3505153b30cb85d3beb5ad;cd8bb5f3d29902009aa46de35b8682384c2e3eb1399dbd063e227669c898dd0a;255fe565a3022f48f016b66fcd17383732f172604bc98a1b6b235e7c417bdbcd;7930d8e20468f3a4606497019a4f658fb6a29c9c5e0a431cc1ba4957866556a5;4f33e7baf4cf15b16a6b3a86e665ae667777fc12d159551bbb8d982a5b770ddb;019d58b4c4ae9545a0a671789530a854900e074470f1ace7a444b6479e4efcb6,true,false,POINT,64080191,64080191,64080191,64080191,64080191,true,false
