assumption_id,category,parameter,unit,low,base,high,evidence_status,formula_or_definition,override_rule,notes,source_ids
M2-A001,canon,source_reference_tokens_common_canon,cl100k_base tokens,100000,100000,100000,DEFINED_STANDARD,S=100000 after NFC; sentence boundaries retained,Tokenize exact source and scale all atom counts to its measured S,25k and 400k profiles are exact linear scale cases,SRC25
M2-A002,tokenization,source_working_per_source_reference,ratio,0.988632183,0.988632183,0.988632183,PUBLIC_CORPUS_MEASUREMENT,English o200k_base / English cl100k_base on FLORES devtest,Replace with exact canonical source measurement,Proxy source is general-domain English,SRC24;SRC25
M2-A003,tokenization,target_expansion_E_selected_case,ratio,1.627694798,4.25601501,7.932639247,PUBLIC_CORPUS_MEASUREMENT_CASE,target cl100k_base / English cl100k_base,Use exact aligned target/source measurement when available,low=dan_Latn; base=bak_Cyrl; high=pan_Guru,SRC24;SRC25
M2-A004,tokenization,target_fragmentation_P_selected_case,ratio,0.847256125,0.405473389,0.326515942,PUBLIC_CORPUS_MEASUREMENT_CASE,target o200k_base / target cl100k_base,Retokenize identical normalized target bytes with both pinned tokenizers,Kept distinct from translation expansion,SRC24;SRC25
M2-A005,tokenization,target_codepoint_length_L_selected_case,ratio,1.026468939,1.009676735,1.019906643,PUBLIC_CORPUS_MEASUREMENT_CASE,target Unicode codepoints / English Unicode codepoints,Replace with the aligned educational target/source measurement,"Writing-length proxy only; codepoints are not graphemes, words, or semantic units",SRC24
M2-A006,tokenization,working_token_fragmentation_F_selected_case,ratio,1.343513023,1.709161726,2.539578691,DERIVED_PUBLIC_CORPUS_CASE,(target o200k tokens/target codepoints)/(English cl100k tokens/English codepoints),Recompute on identical normalized aligned bytes,Tokenizer-density proxy kept algebraically distinct from the codepoint-length proxy,SRC24;SRC25
M2-A007,tokenization,target_working_ratio_R_selected_case,ratio,1.379074387,1.725700831,2.590133176,DERIVED_PUBLIC_CORPUS_CASE,R=E*P,Use exact target working tokens / source reference tokens,Cross-language p10/p50/p90-nearest cases; not bounds or population weights,SRC24;SRC25
M2-A008,text_pipeline,terminology_entries_per_100k,declared model driver,100,400,1200,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A009,text_pipeline,terminology_fit_per_entry,declared model driver,80,160,320,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A010,text_pipeline,terminology_fot_per_entry,declared model driver,30,60,120,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A011,text_pipeline,terminology_frt_per_entry,declared model driver,40,100,240,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A012,text_pipeline,generation_extra_fit_fraction,declared model driver,0.15,0.25,0.5,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A013,text_pipeline,generation_frt_fraction,declared model driver,0.25,0.6,1.5,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A014,text_pipeline,independent_qa_passes,declared model driver,1,2,3,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A015,text_pipeline,qa_extra_fit_fraction_per_pass,declared model driver,0.1,0.15,0.25,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A016,text_pipeline,qa_report_fot_fraction_target_per_pass,declared model driver,0.08,0.12,0.2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A017,text_pipeline,qa_frt_fraction_per_pass,declared model driver,0.3,0.75,1.75,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A018,text_pipeline,repair_extra_fit_fraction,declared model driver,0.1,0.2,0.4,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A019,text_pipeline,repair_fot_fraction_target,declared model driver,0.1,0.25,1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A020,text_pipeline,repair_frt_fraction,declared model driver,0.15,0.4,1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A021,text_pipeline,deterministic_triage_fit_fraction,declared model driver,0.02,0.05,0.15,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A022,text_pipeline,deterministic_triage_fot_fraction,declared model driver,0.005,0.01,0.03,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A023,text_pipeline,deterministic_triage_frt_fraction,declared model driver,0.01,0.03,0.1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A024,accessibility,headings_per_100k,declared model driver,100,250,600,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A025,accessibility,links_per_100k,declared model driver,50,150,400,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A026,accessibility,formulas_per_100k,declared model driver,50,300,1200,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A027,accessibility,diagrams_per_100k,declared model driver,10,75,250,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A028,accessibility,tables_per_100k,declared model driver,10,50,150,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A029,accessibility,code_blocks_per_100k,declared model driver,0,20,100,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A030,accessibility,formula_description_tokens,declared model driver,5,15,40,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
