portfolio_id,portfolio_label,origin_or_status_scope,host_scope,population_low_persons,population_base_persons,population_high_persons,population_definition,population_reference_year,language_script_arms,education_stage_needs,delivery_needs,source_ids,source_urls,rank_use,nonadditivity_rule,evidence_status,row_sha256
displacement:drc-regional,DRC refugees and internal displacement — host-specific education portfolio,Explicit global-inclusion sentinel; current bounded source register lacks a publication-ready cohort denominator.,"Origin, host country, school stage, and language distribution must be measured separately.",,,,,,French; Lingala; Kiswahili; Tshiluba; Kikongo varieties and other named languages; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,,,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,No population is assigned until a direct status-cohort source and nonoverlapping host/origin construction are registered.,SOURCE_DISCOVERY_REQUIRED_NO_POPULATION_ASSIGNED,D5BBB7911550A50C7377D8E44AE04AAF2EC56C6C234EAF932FF05D471C5E755F
displacement:glob_afghan_displaced,Afghan displaced multi-language overlay,Afghan refugees and people needing international protection,Multiple or unspecified hosts; must be split before country-context factors are used.,3700000,3700000,3700000,Afghan refugees or others needing international protection at end-2025; not a language count.,2025,Dari; Pashto; Hazaragi; Uzbek and other explicitly measured Afghan languages; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,SRC_UNHCR_GLOBAL_2025,https://www.unhcr.org/global-trends,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,"Split prs-Arab-AF, ps-Arab-AF, haz-Arab-AF and uz-Arab-AF.",DIRECT_STATUS_COHORT_DENOMINATOR_LANGUAGE_DISTRIBUTION_UNRESOLVED,1E4D37A71EFF138E222D254F8C4D830D80B3F3358EE6658E5F1941664E76A8E0
displacement:glob_ajp_palestinian_refugee,Palestinian Arabic refugee-status overlay,Palestine-refugee communities,Multiple or unspecified hosts; must be split before country-context factors are used.,6000000,6000000,6000000,"Palestine refugees under UNRWA mandate at end-2025; status population, not current cross-border displacement or language count.",2025,Palestinian Arabic; Modern Standard Arabic; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,SRC_UNHCR_GLOBAL_2025,https://www.unhcr.org/global-trends,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,Pair with MSA and host-territory profiles.,DIRECT_STATUS_COHORT_DENOMINATOR_LANGUAGE_DISTRIBUTION_UNRESOLVED,7E521F0832FEA660BB421326244CD415E783EFD3E4A4167D32B12AC83CBBA4E3
displacement:glob_apc_sy_refugee,Syrian/North Levantine Arabic refugee overlay,Syrian refugees worldwide,Multiple or unspecified hosts; must be split before country-context factors are used.,4900000,4900000,4900000,"Refugees from Syria at end-2025; status cohort, not direct language count.",2025,Syrian/North Levantine Arabic; Modern Standard Arabic; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,SRC_UNHCR_GLOBAL_2025,https://www.unhcr.org/global-trends,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,Pair with MSA and host-country language profiles.,DIRECT_STATUS_COHORT_DENOMINATOR_LANGUAGE_DISTRIBUTION_UNRESOLVED,8C1CC3486CE870B0B96DD7BF1134448CCB68F12FB596BC99757A225EDA463734
displacement:glob_rhg_stateless,Rohingya stateless cohort - script interfaces,Bangladesh and Myanmar displacement contexts,Multiple or unspecified hosts; must be split before country-context factors are used.,1800000,1800000,1800000,"Reported stateless Rohingya at mid-2025; status cohort, not script-specific language count.",2025,Rohingya Hanifi; Rohingya Latin; Rohingya Arabic; Bangla and Myanmar host/transition interfaces,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,SRC_UNHCR_MID_2025,https://www.unhcr.org/mid-year-trends,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,Also audit rhg-Latn-BD and rhg-Arab-BD interfaces.,DIRECT_STATUS_COHORT_DENOMINATOR_LANGUAGE_DISTRIBUTION_UNRESOLVED,8E2287A09AA3D051D6E53E9127E8EA0E8424666F4E1D55EA53BCE80DC8E6EF33
displacement:glob_sudan_displaced,Sudan internal-displacement multi-language overlay,Sudan conflict IDPs,Multiple or unspecified hosts; must be split before country-context factors are used.,9100000,9100000,9100000,Conflict/violence IDPs in Sudan at end-2025; not a language count.,2025,Sudanese Arabic; Dinka; Nuer; named Darfur and Nuba languages; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,SRC_UNHCR_GLOBAL_2025,https://www.unhcr.org/global-trends,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,"Sudan also had 2.8m refugees; do not sum without overlap/status rules. Split Arabic, Dinka, Nuer, Darfur and Nuba profiles.",DIRECT_STATUS_COHORT_DENOMINATOR_LANGUAGE_DISTRIBUTION_UNRESOLVED,29E85AC094D1F7D8DC0D40B51BF9456B5DFCABA3741C8B9DE9EFF4F685D196A2
displacement:somalia-regional,Somali refugees — host-specific education portfolio,Explicit global-inclusion sentinel; current bounded source register lacks a publication-ready cohort denominator.,"Origin, host country, school stage, and language distribution must be measured separately.",,,,,,Somali Latin; Arabic where directly measured; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,,,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,No population is assigned until a direct status-cohort source and nonoverlapping host/origin construction are registered.,SOURCE_DISCOVERY_REQUIRED_NO_POPULATION_ASSIGNED,A64E302FB054CAD23B9B0EE8F2B8D0194B731CB7797D56DB4F54F1BC0E381FBF
displacement:south-sudan-regional,South Sudanese refugees — host-specific education portfolio,Explicit global-inclusion sentinel; current bounded source register lacks a publication-ready cohort denominator.,"Origin, host country, school stage, and language distribution must be measured separately.",,,,,,Juba Arabic; Dinka; Nuer; Bari and other named languages; each host-country language,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,,,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,No population is assigned until a direct status-cohort source and nonoverlapping host/origin construction are registered.,SOURCE_DISCOVERY_REQUIRED_NO_POPULATION_ASSIGNED,BDAB6D1DD8D5BEF996EE9B1529C98130CAF2FD2C4EF9404D5DC95E4E16BD27B4
displacement:ukraine-eu-school-continuity,Ukrainian-language/curriculum continuity cohort among displaced learners from Ukraine (language not enumerated),Displaced children from Ukraine in European Union host systems,European Union host systems; country and modality must remain stratified.,,700000,,European Commission/UNHCR source-stated estimate of displaced children from Ukraine enrolled in host-country schools; it is not a Ukrainian-speaker count.,2023/24,Ukrainian Cyrillic continuity; Russian where directly measured; each host-country language,school continuity; host-language acquisition; dual-enrolment burden reduction; credential continuity,resumable low-data and offline packages; accessible mobile formats; print fallback,EU_UKRAINE_EDUCATION_2024;UNHCR_UKRAINE_EDUCATION_2024;UNHCR_UKRAINE_SEIS_2025;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901,https://education.ec.europa.eu/news/how-countries-are-addressing-the-integration-of-children-from-ukraine-in-eu-education-systems;https://www.unhcr.org/sites/default/files/2024-09/refugee-education-report-2024.pdf;https://www.unhcr.org/europe/news/announcements/new-data-insights-reveal-both-progress-and-challenges-ukrainian-refugee-students;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,"Displaced/enrolled children are not a language census. Enrolled, out-of-school and total-child constructs differ; ten-country survey results are not EU totals. Country, age, disability and language distributions vary.",DIRECT_ENROLLED_LEARNER_COHORT_LANGUAGE_DISTRIBUTION_UNRESOLVED,FFE774B4847E4F8C7E1B310711D2DE3F715DE85DB5E4DF072CFB8AFC62B1233D
displacement:venezuela-regional,Venezuelan refugees and migrants — host-specific education portfolio,Explicit global-inclusion sentinel; current bounded source register lacks a publication-ready cohort denominator.,"Origin, host country, school stage, and language distribution must be measured separately.",,,,,,Venezuelan Spanish; Brazilian Portuguese and each other host-country language; Indigenous-language arms where directly evidenced,school continuity; host-language acquisition; bilingual subject bridges; credential continuity; adult and higher-education continuation,offline-first resumable packages; mobile layouts; accessible formats; low-data synchronization; print fallback,,,SEPARATE_DISPLACEMENT_PORTFOLIO_NOT_LANGUAGE_PERSON_RANK,No population is assigned until a direct status-cohort source and nonoverlapping host/origin construction are registered.,SOURCE_DISCOVERY_REQUIRED_NO_POPULATION_ASSIGNED,FBA6C81CB49A29146F0A7D9B3453383B2E2043D6732C669BCC8BFFE5C6B3CD63
