flores_code,held_out_language_code,script_code,actual_r,predictive_p05_r,predictive_p50_r,predictive_p95_r,interval_90_hit,log_median_error,absolute_log_median_error,training_rows,script_training_rows
ace_Arab,ace,Arab,2.586454271,1.079917184619494,1.751345133940819,2.8728171694280675,True,0.38990378978581386,0.38990378978581386,201,21
ace_Latn,ace,Latn,1.794680303,1.2493535511081937,1.699651307991945,2.3126246907456585,True,0.05440378482181807,0.05440378482181807,201,125
acm_Arab,acm,Arab,1.364800235,1.0753518476091348,1.7993873615132738,2.9640847867137987,True,-0.2764381823117958,0.2764381823117958,202,21
acq_Arab,acq,Arab,1.374622912,1.1064518240065422,1.8047106580148649,3.004277927952967,True,-0.2722208309785185,0.2722208309785185,202,21
aeb_Arab,aeb,Arab,1.404863513,1.085786965275885,1.8217428372171092,3.0416059321226965,True,-0.25985349145141545,0.25985349145141545,202,21
afr_Latn,afr,Latn,1.411301597,1.2639703237460977,1.7153048912851445,2.3114041523928504,True,-0.19507844697407378,0.19507844697407378,202,125
ajp_Arab,ajp,Arab,1.324810536,1.0908427190594905,1.8204999598828624,3.0324714811091975,True,-0.3178417090812367,0.3178417090812367,202,21
aka_Latn,aka,Latn,2.062026341,1.2646821803309711,1.714300593372501,2.3224033330304756,True,0.18468397984164786,0.18468397984164786,202,125
als_Latn,als,Latn,1.810462806,1.274727825216198,1.7088012480178962,2.3187838572246813,True,0.05779040638524302,0.05779040638524302,202,125
amh_Ethi,amh,Ethi,5.71297182,0.8379774354797916,2.358229532746045,6.588127737875407,True,0.8848282076110952,0.8848282076110952,202,1
apc_Arab,apc,Arab,1.330328894,1.09972688719808,1.813012686400772,3.018210046903151,True,-0.30956372882677585,0.30956372882677585,202,21
arb_Arab,arb,Arab,1.366087852,1.1047729546890903,1.8110890009777876,3.0053996132963476,True,-0.2819772499487464,0.2819772499487464,201,21
arb_Latn,arb,Latn,2.227356339,1.259217651458363,1.697889155220343,2.318091846075868,True,0.27142957785964417,0.27142957785964417,201,125
ars_Arab,ars,Arab,1.370465749,1.083112266844627,1.795841426152879,2.986730425296379,True,-0.2703230283545348,0.2703230283545348,202,21
ary_Arab,ary,Arab,1.466301229,1.0943154750137356,1.7931605554168513,2.9725934212821796,True,-0.20123667713642207,0.20123667713642207,202,21
arz_Arab,arz,Arab,1.389596056,1.0877293776036256,1.786828644266426,2.9547339136210455,True,-0.25142924369575315,0.25142924369575315,202,21
asm_Beng,asm,Beng,1.973107203,1.0521071403242852,1.9923222157412086,3.7165107208952968,True,-0.009691340384467395,0.009691340384467395,202,2
ast_Latn,ast,Latn,1.407549113,1.261282533365173,1.7066029858154237,2.290186103588544,True,-0.19265486248214614,0.19265486248214614,202,125
awa_Deva,awa,Deva,1.686226179,1.2061209468722254,1.7931352660591333,2.696516224756034,True,-0.06147263114275758,0.06147263114275758,202,9
ayr_Latn,ayr,Latn,1.917445368,1.2576140156036149,1.704618830764748,2.2988263534004814,True,0.11765223651520007,0.11765223651520007,202,125
azb_Arab,azb,Arab,1.837024502,1.100899350047563,1.7839432764370151,2.943791916413951,True,0.029320906262046864,0.029320906262046864,202,21
azj_Latn,azj,Latn,1.695165919,1.2383578129509691,1.7054612308050117,2.323660518279007,True,-0.006054967396244559,0.006054967396244559,202,125
bak_Cyrl,bak,Cyrl,1.725700831,1.2309059400918583,1.7720028725867927,2.553125356625081,True,-0.02647722646521511,0.02647722646521511,202,11
bam_Latn,bam,Latn,2.0151203,1.2546795090097795,1.6882859216467614,2.2897402888327036,True,0.17696512915819462,0.17696512915819462,202,125
ban_Latn,ban,Latn,1.554484585,1.2419091348393585,1.693913445948281,2.298825637782514,True,-0.0858974663472808,0.0858974663472808,202,125
bel_Cyrl,bel,Cyrl,1.962953425,1.2180826032590248,1.7439725365588585,2.5347265347281565,True,0.11828461059690298,0.11828461059690298,202,11
bem_Latn,bem,Latn,1.913030682,1.2536281702284635,1.6957921544065337,2.313572271360977,True,0.12053874962025135,0.12053874962025135,202,125
ben_Beng,ben,Beng,1.692701052,1.0859717642019504,2.0232504918555803,3.695647727984771,True,-0.1783798637903653,0.1783798637903653,202,2
bho_Deva,bho,Deva,1.751085277,1.1981154028514234,1.8074970929380645,2.699894724835551,True,-0.0317073127140145,0.0317073127140145,202,9
bjn_Arab,bjn,Arab,2.511588551,1.0658217461964992,1.7656566051726919,2.9056855587602017,True,0.35239280633137027,0.35239280633137027,201,21
bjn_Latn,bjn,Latn,1.431572364,1.269509724812457,1.710909004696041,2.299083700861228,True,-0.17825141552019586,0.17825141552019586,201,125
bod_Tibt,bod,Tibt,8.006438084,0.7669570350918937,2.5976642060373,9.35031140267443,True,1.1256333195868686,1.1256333195868686,202,1
bos_Latn,bos,Latn,1.482304466,1.256678057340349,1.7044633255957673,2.3129179791501002,True,-0.13965234772157525,0.13965234772157525,202,125
bug_Latn,bug,Latn,1.719225958,1.2549113678403208,1.7047007523988604,2.3163374469922187,True,0.008484581573419248,0.008484581573419248,202,125
bul_Cyrl,bul,Cyrl,1.693694357,1.225667301851062,1.751973463450636,2.563594563242636,True,-0.033830692816688934,0.033830692816688934,202,11
cat_Latn,cat,Latn,1.466006916,1.2617311641693638,1.7141193984714935,2.309501947049089,True,-0.15635715741564338,0.15635715741564338,202,125
ceb_Latn,ceb,Latn,1.656279891,1.2681609425726008,1.7153917414214734,2.317553271151676,True,-0.03506741720202855,0.03506741720202855,202,125
