prior_family,edition_target_id,model_need_proxy,rank,reference_rank,rank_change_from_reference,top100_member
diffuse_common,edition-target:lang:hi-Deva-IN,116972807.285653,1,1,0,true
diffuse_common,edition-target:lang:id-Latn-ID,88468867.849343,2,2,0,true
diffuse_common,edition-target:lang:ru-Cyrl-RU,46448618.246373,3,3,0,true
diffuse_common,edition-target:lang:pnb-Arab-PK,36024100.642004,4,4,0,true
diffuse_common,edition-target:lang:bn-Beng-IN,34913533.724338,5,5,0,true
diffuse_common,edition-target:lang:mr-Deva-IN,30057657.191011,6,6,0,true
diffuse_common,edition-target:lang:te-Telu-IN,29450195.946596,7,7,0,true
diffuse_common,edition-target:lang:ta-Taml-IN,25007350.224270,8,8,0,true
diffuse_common,edition-target:lang:jv-Latn-ID,24224509.354623,9,9,0,true
diffuse_common,edition-target:lang:th-Thai-TH,21405474.296939,10,10,0,true
diffuse_common,edition-target:lang:gu-Gujr-IN,19978702.623256,11,11,0,true
diffuse_common,edition-target:lang:ur-Arab-IN,18413968.273249,12,14,-2,true
diffuse_common,edition-target:lang:bho-Deva-IN,18360854.437957,13,13,0,true
diffuse_common,edition-target:lang:ps-Arab-PK,17984587.814599,14,12,2,true
diffuse_common,edition-target:lang:kn-Knda-IN,15793219.869133,15,17,-2,true
diffuse_common,edition-target:lang:my-Mymr-MM,15786637.578250,16,15,1,true
diffuse_common,edition-target:lang:uz-Latn-UZ,15372420.000000,17,16,1,true
diffuse_common,edition-target:lang:sd-Arab-PK,14179280.249317,18,18,0,true
diffuse_common,edition-target:lang:es-Latn-US,13861133.049111,19,20,-1,true
diffuse_common,edition-target:lang:ary-Arab-MA,13668000.000000,20,19,1,true
diffuse_common,edition-target:lang:ml-Mlym-IN,12624235.695377,21,21,0,true
diffuse_common,edition-target:lang:or-Orya-IN,12363860.468654,22,24,-2,true
diffuse_common,edition-target:lang:yo-Latn-NG,11713029.285000,23,25,-2,true
diffuse_common,edition-target:lang:skr-Arab-PK,11688396.546002,24,22,2,true
diffuse_common,edition-target:lang:su-Latn-ID,11539230.470592,25,26,-1,true
diffuse_common,edition-target:lang:pa-Guru-IN,11305623.703180,26,28,-2,true
diffuse_common,edition-target:lang:om-Latn-ET,11253858.665777,27,23,4,true
diffuse_common,edition-target:lang:mg-Latn-MG,10608518.596950,28,27,1,true
diffuse_common,edition-target:lang:am-Ethi-ET,9765996.555191,29,29,0,true
diffuse_common,edition-target:lang:ig-Latn-NG,9760857.737500,30,30,0,true
diffuse_common,edition-target:lang:ur-Arab-PK,9170488.856439,31,31,0,true
diffuse_common,edition-target:lang:cmn-Hant-TW,8478257.184000,32,32,0,true
diffuse_common,edition-target:lang:nan-Hant-TW,7528993.278000,33,33,0,true
diffuse_common,edition-target:lang:kmr-Latn-001,7035000.000000,34,34,0,true
diffuse_common,edition-target:lang:km-Khmr-KH,5987039.868000,35,35,0,true
diffuse_common,edition-target:lang:hne-Deva-IN,5897169.435383,36,36,0,true
diffuse_common,edition-target:lang:zu-Latn-ZA,5698287.908964,37,37,0,true
diffuse_common,edition-target:lang:as-Beng-IN,5378509.194585,38,39,-1,true
diffuse_common,edition-target:lang:ne-Deva-NP,5259951.714000,39,38,1,true
diffuse_common,edition-target:lang:kk-Cyrl-KZ,5093503.614000,40,40,0,true
diffuse_common,edition-target:lang:mai-Deva-IN,4847400.971516,41,41,0,true
diffuse_common,edition-target:lang:mag-Deva-IN,4612706.900366,42,42,0,true
diffuse_common,edition-target:lang:ca-Latn-ES,4020000.000000,43,43,0,true
diffuse_common,edition-target:lang:xh-Latn-ZA,3816325.367178,44,44,0,true
diffuse_common,edition-target:lang:mwr-Deva-IN,2843004.657279,45,46,-1,true
diffuse_common,edition-target:lang:rw-Latn-RW,2794913.935800,46,45,1,true
diffuse_common,edition-target:lang:mad-Latn-ID,2756767.211363,47,47,0,true
diffuse_common,edition-target:lang:yue-Hant-HK,2544236.694000,48,48,0,true
diffuse_common,edition-target:lang:tk-Latn-TM,2531781.930000,49,49,0,true
diffuse_common,edition-target:lang:ckb-Arab-001,2463109.460000,50,51,-1,true
diffuse_common,edition-target:lang:so-Latn-ET,2212500.564980,51,50,1,true
diffuse_common,edition-target:lang:ky-Cyrl-KG,2154742.512000,52,52,0,true
diffuse_common,edition-target:lang:ti-Ethi-ET,1952320.775650,53,53,0,true
diffuse_common,edition-target:lang:gug-Latn-PY,1524502.188000,54,54,0,true
diffuse_common,edition-target:lang:min-Latn-ID,1505917.945215,55,56,-1,true
diffuse_common,edition-target:lang:ka-Geor-GE,1439920.802200,56,55,1,true
diffuse_common,edition-target:lang:awa-Deva-IN,1397918.101403,57,57,0,true
diffuse_common,edition-target:lang:bjn-Latn-ID,1299432.742325,58,60,-2,true
diffuse_common,edition-target:lang:mai-Deva-NP,1295400.378000,59,58,1,true
diffuse_common,edition-target:lang:bug-Latn-ID,1249591.486455,60,61,-1,true
diffuse_common,edition-target:lang:hy-Armn-AM,1223175.708600,61,59,2,true
diffuse_common,edition-target:lang:brh-Arab-PK,1125777.150179,62,62,0,true
diffuse_common,edition-target:lang:ne-Deva-IN,1062093.748695,63,63,0,true
diffuse_common,edition-target:lang:bho-Deva-NP,731959.590000,64,64,0,true
diffuse_common,edition-target:lang:pov-Latn-GW,524104.686000,65,65,0,true
diffuse_common,edition-target:lang:kek-GT,485452.842200,66,66,0,true
diffuse_common,edition-target:lang:hak-Hant-TW,479719.464000,67,67,0,true
diffuse_common,edition-target:lang:quc-GT,454204.630800,68,68,0,true
diffuse_common,edition-target:lang:mfe-Latn-MU,402858.270000,69,69,0,true
diffuse_common,edition-target:lang:eu-Latn-ES,376598.424000,70,70,0,true
diffuse_common,edition-target:lang:awa-Deva-NP,347438.952000,71,71,0,true
diffuse_common,edition-target:lang:yua-MX,266709.793416,72,73,-1,true
diffuse_common,edition-target:lang:sn-Latn-ZA,259069.636916,73,74,-1,true
diffuse_common,edition-target:lang:mam-GT,254330.014600,74,72,2,true
diffuse_common,edition-target:lang:zgh-Tfng-MA,233721.498600,75,75,0,true
diffuse_common,edition-target:lang:tzh-MX,202813.114510,76,76,0,true
diffuse_common,edition-target:lang:tzo-MX,189432.097711,77,81,-4,true
diffuse_common,edition-target:lang:cy-Latn-GB,187333.964407,78,79,-1,true
diffuse_common,edition-target:lang:ayr-BO,183857.916000,79,77,2,true
diffuse_common,edition-target:lang:ayr-PE,178644.378000,80,80,0,true
