language_target_id,language_target_label,language_tag,country_identity_status,country_region_subtag,stage_identity_status,stage_scope_values_json,endpoint_identity_status,candidate_identity_ready,eligible_population_measure_count,eligible_population_measure_ids_json,population_factor_status,conditional_chain_status,education_need_status,resource_gap_status,resource_evidence_locator_target_id,academic_nonoverlap_status,standardized_access_gain_status,accessible_delivery_reach_status,conditional_functional_use_status,scorer_candidate_row_ready,scorer_factor_chain_ready,rankable_now,package_intervention_ids_json,source_candidate_ids_json,missing_requirements_json
lang:acr-GT,Achi,acr-GT,EXACT_BCP47_REGION_IDENTITY,GT,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""early childhood-primary-secondary-TVET-higher education-teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:2a8065ee99c2977b6ca489e4""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:amar-gtm-achi""]","[""AMAR_GTM_ACHI""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:acu-EC,Achuar Chicham,acu-EC,EXACT_BCP47_REGION_IDENTITY,EC,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""early childhood-primary-secondary-TVET-higher education-teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:d9df54cbed975c611524c858""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:amar-ecu-achuar""]","[""AMAR_ECU_ACHUAR""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:agr-PE,Awajún,agr-PE,EXACT_BCP47_REGION_IDENTITY,PE,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""early childhood-primary-secondary-TVET-higher education-teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:46e9066df0dffefa128de506""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:amar-per-awajun""]","[""AMAR_PER_AWAJUN""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:agu-GT,Awakateko,agu-GT,EXACT_BCP47_REGION_IDENTITY,GT,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""early childhood-primary-secondary-TVET-higher education-teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:f71177c091b3e0054383d5d4""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:amar-gtm-awakateko""]","[""AMAR_GTM_AWAKATEKO""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:alq-CA,Anicinabemowin / Algonquin,alq-CA,EXACT_BCP47_REGION_IDENTITY,CA,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""early childhood-primary-secondary-TVET-higher education-teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:893286d180740ea6a98491ce""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:amar-can-algonquin""]","[""AMAR_CAN_ALGONQUIN""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:ane-Latn-NC,Xârâcùù,ane-Latn-NC,EXACT_BCP47_REGION_IDENTITY,NC,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""ECE–lycée; teacher education""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:5feb25dc931cbca480766caf""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:oio-nc-xaracuu-latn""]","[""OIO_NC_XARACUU_LATN""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:ary-Arab-MA,Moroccan Arabic / Moroccan Darija,ary-Arab-MA,EXACT_BCP47_REGION_IDENTITY,MA,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""all_stages"",""early childhood/foundational; primary; lower/upper secondary; TVET; first-year tertiary; full undergraduate; postgraduate/research; professional/practical""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:986f139dd9ee10ddd7948966""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:afr-r03-007"",""package:glob-ary-ma""]","[""AFR-R03-007"",""glob_ary_ma""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:as-Beng-IN,Assamese,as-Beng-IN,EXACT_BCP47_REGION_IDENTITY,IN,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""A1-A2-B-D""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:b32ab588ff384a47fb4e0d3d""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:sa-in-assamese-beng""]","[""sa_in_assamese_beng""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:awa-Deva-IN,Awadhi (India),awa-Deva-IN,EXACT_BCP47_REGION_IDENTITY,IN,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""A1-A2-D-B""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:cf3112ce4f20670def11f58d""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:sa-in-awadhi-deva""]","[""sa_in_awadhi_deva""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
lang:awa-Deva-NP,Awadhi (Nepal),awa-Deva-NP,EXACT_BCP47_REGION_IDENTITY,NP,MISSING_EXACT_CLOSED_STAGE_IDENTITY,"[""A1-A2-D-B""]",MISSING_EXACT_ENDPOINT_AND_HORIZON_IDENTITY,false,1,"[""pop:5beff93e02e8070bb5af630c""]",LANGUAGE_POPULATION_LOCATOR_ONLY_STAGE_ENDPOINT_DENOMINATOR_MISSING,MISSING_EXPLICIT_CONDITIONAL_DENOMINATOR_CHAIN,MISSING_PUBLIC_CONDITIONAL_RATE_FOR_EXACT_COUNTRY_STAGE_ENDPOINT_DENOMINATOR,MISSING_EXACT_STAGE_SUBJECT_ROUTE_RESOURCE_AUDIT,,MISSING_PUBLIC_LOW_BASE_HIGH_NONOVERLAP_FOR_EXACT_CAPABILITY_STRATUM,MISSING_PUBLIC_LOW_BASE_HIGH_GAIN_FOR_FIXED_PACKAGE_ENDPOINT_HORIZON,MISSING_ROUTE_SPECIFIC_LOW_BASE_HIGH_REACH_FOR_EXACT_STRATUM,MISSING_ENDPOINT_SPECIFIC_LOW_BASE_HIGH_FUNCTIONAL_USE_RATE,false,false,false,"[""package:sa-np-awadhi-deva""]","[""sa_np_awadhi_deva""]","[""documented_conditional_denominator_chain"",""exact_closed_learner_stage"",""exact_functional_access_endpoint"",""fixed_horizon_months"",""fixed_subject_or_canon_package"",""public_factor:academic_nonoverlap"",""public_factor:accessible_delivery_reach"",""public_factor:conditional_functional_use"",""public_factor:education_need"",""public_factor:resource_gap"",""public_factor:standardized_access_gain"",""stage_endpoint_compatible_population_denominator""]"
