source_id,title,organization,year,url,access_date,claim_scope
"W3C_TARGET_ND","Understanding Success Criterion 2.5.8: Target Size (Minimum)","World Wide Web Consortium","n.d.","https://www.w3.org/WAI/WCAG22/Understanding/target-size-minimum.html","2026-09-01","Explains the 24-by-24-CSS-pixel minimum pointer-target criterion and spacing and other exceptions."
"W3C_EPUB33_2023","EPUB 3.3","World Wide Web Consortium","2023","https://www.w3.org/TR/epub-33/","2026-09-01","W3C Recommendation defining the EPUB 3.3 container, structured web content, navigation, and media overlays that associate XHTML content with prerecorded audio."
"W3C_EPUBA11Y11_2023","EPUB Accessibility 1.1","World Wide Web Consortium","2023","https://www.w3.org/TR/epub-a11y-11/","2026-09-01","Defines EPUB accessibility conformance and metadata; formal floor is WCAG 2.0 Level A while strongly recommending the latest WCAG 2 at Level AA, so implementations must state actual version and level."
"DAISY_FORMAT_ND","DAISY Format","DAISY Consortium","n.d.","https://daisy.org/activities/standards/daisy/","2026-09-01","Describes structured navigation and synchronized full text/audio supporting speech, enlargement, refreshable braille, and navigable long-form reading."
"ISO_PLAIN_2023","ISO 24495-1:2023 Plain language - Part 1: Governing principles and guidelines","International Organization for Standardization","2023","https://www.iso.org/standard/78907.html","2026-09-01","General plain-language principles for primarily textual documents; principles apply broadly but examples are English, so target-language rewriting and validation remain necessary."
"W3C_COGA_2021","Making Content Usable for People with Cognitive and Learning Disabilities","World Wide Web Consortium","2021","https://www.w3.org/TR/coga-usable/","2026-09-01","Supplemental guidance on common words, short sentences and blocks, literal language, summaries, images, predictable interaction, error recovery, and reduced memory demand; guidance goes beyond WCAG conformance."
"WORLD_BRAILLE_2013","World Braille Usage, Third Edition","Perkins, Library of Congress National Library Service, and International Council on English Braille","2013","https://www.perkins.org/resource/world-braille-usage/","2026-09-01","Documents 133 languages represented by 137 alphabet-and-punctuation braille codes, with country variation; technical subjects may require additional math or music conventions."
"LOC_BRAILLE_ND","Braille Resources for Transcribers and Teachers of Braille","Library of Congress National Library Service","n.d.","https://www.loc.gov/nls/services-and-resources/informational-publications/braille-resources-for-transcribers-and-teachers-of-braille/","2026-09-01","Authoritative resource index for braille transcription and specialist codes; supports the requirement to declare and verify language and subject codes rather than treating braille as universal."
"WIPO_ABC_ND","Accessible Books Consortium","World Intellectual Property Organization","n.d.","https://www.wipo.int/en/web/abc/portal/index","2026-09-01","Recognizes accessible publishing formats including braille, audio, e-text, and large print; does not provide a global user denominator."
"CRPD_ART9_2006","Convention on the Rights of Persons with Disabilities, Article 9: Accessibility","United Nations","2006","https://www.un.org/development/desa/disabilities/convention-on-the-rights-of-persons-with%20-disabilities/article-9-accessibility.html","2026-09-01","Requires access to the physical environment, transportation, information and communications, including ICT, and other facilities and services in urban and rural areas."
"CRPD_ART24_2006","Convention on the Rights of Persons with Disabilities, Article 24: Education","United Nations","2006","https://www.un.org/development/desa/disabilities/convention-on-the-rights-of-persons-%20%20%20with-%20%20disabilities/article-24-education.html","2026-09-01","Requires inclusive education and lifelong learning and names braille, alternative script, augmentative and alternative communication, sign language, appropriate languages and modes, trained staff, tertiary, vocational, and adult education."
"DAISY_MATHML_ND","MathML","DAISY Consortium Accessible Publishing Knowledge Base","n.d.","https://kb.daisy.org/publishing/docs/html/mathml.html","2026-09-01","Recommends MathML as the most accessible equation representation where supported, notes older EPUB reading-system variation, and calls for extended descriptions for complex image fallbacks."
"W3C_MATH_CHARTER_2023","Math Working Group Charter","World Wide Web Consortium","2023","https://www.w3.org/Math/Documents/Charter2023.html","2026-09-01","Reports all major browser engines supporting MathML Core from 2023 and scopes continuing MathML 4 and accessibility work; browser support does not remove language-specific speech/braille testing."
"UNICEF_ADT_ND","Accessible Digital Textbooks for All","UNICEF","n.d.","https://www.unicef.org/digitaleducation/accessible-digital-textbooks","2026-09-01","Practical educational model combining structured text, narration, local sign-language video, captions, image descriptions, simplified text, adjustable display, and interactivity with learner-selectable features."
"UNICEF_ADT_REQ_2019","User requirements","UNICEF Accessible Digital Textbooks for All","2019","https://www.unicef.org/accessibletextbooksforall/stories/user-requirements","2026-09-01","Calls for a fluent local sign-language presenter, conceptually accurate rather than word-for-word translation, and synchronization of sign video to the corresponding passage; also documents selectable accessibility features."
"UNICEF_SIGN_GUIDE_2019","Producing sign language videos","UNICEF Accessible Digital Textbooks for All","2019","https://www.unicef.org/accessibletextbooksforall/stories/sign-language-recording-guide","2026-09-01","Production guidance for local sign-language recordings, including signer fluency, framing, face/hands/torso visibility, contrast, synchronization, and concept fidelity."
"W3C_AUDIOBOOKS_2020","Audiobooks","World Wide Web Consortium","2020","https://www.w3.org/TR/audiobooks/","2026-09-01","W3C Recommendation for accessible audiobook packaging and navigation, including an offline/download path rather than streaming-only access."
"PDLP_CHARTER_2026","Charter for Public Digital Learning Platforms: Working Document","UNESCO, UNICEF, and International Telecommunication Union","2026","https://www.unesco.org/sites/default/files/medias/fichiers/2026/01/UNESCO-UNICEF-ITU%20Charter%20Working%20Document%20-%2020Jan2026_0.pdf","2026-09-01","Calls for low-cost hardware support, intermittent/low-bandwidth operation, and downloadable public digital-learning content; working document status should be preserved."
"ITU_SKILLS_2025","ICT skills","International Telecommunication Union","2025","https://www.itu.int/itu-d/reports/statistics/2025/10/15/ff25-ict-skills/","2026-09-01","Overall at-least-basic-skills data were available for only eight countries, with a 16%-74% range among Internet users; evidence of a measurement gap, not a global prevalence estimate."
