sentinel_id,target_label,expected_edition_target_id,expected_language_tag,script_or_mode,territory_or_community,sentinel_class,minimum_lane,presence_status,matched_target_ids,matched_context_strata,current_rank_status,current_direct_person_ranks,why_required,preferred_evidence_action,publication_disposition,row_sha256
S001,Hindi,edition-target:lang:hi-Deva-IN,hi-Deva-IN,Devanagari,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:hi-Deva-IN,,DIRECT_PERSON_RANKED,1,Large national language and direct-person candidate,Retain source-bound direct population and stage-specific need evidence,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,B3A7AF24C213FB6322ECB04A7D65F730BE6B30E6158A63BA230FEEA4A853CCE6
S002,Bahasa Indonesia,edition-target:lang:id-Latn-ID,id-Latn-ID,Latin,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:id-Latn-ID,,DIRECT_PERSON_RANKED,2,Large national language and central equality sentinel,Retain direct population evidence and independently estimate stage and subject need,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,0BE039E47C8942D4F4309DC5244EF981A0CB950587807EC367C2B677353BEBB0
S003,Standard Written Chinese — Simplified,edition-target:lang:zh-Hans-CN:written,zh-Hans-CN,Simplified Han,Mainland China,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:zh-Hans-CN:written,,STAGE_OPPORTUNITY_RANKED,,Large written educational standard,Keep written-standard and spoken-language constructs separate,VISIBLE_STAGE_OPPORTUNITY_LANE_PLUS_STAGE_SUBJECT_PROFILE,673A1175CED51B84F664F55FE24A0F54CAD445F9402DCD34A9D34EA582470A25
S004,Putonghua — spoken Standard Mandarin,edition-target:lang:cmn-Hans-CN:spoken,cmn-Hans-CN,Simplified Han plus speech,Mainland China,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:cmn-Hans-CN:spoken,,EXACT_TARGET_UNRANKED,,Large spoken standard and bridge language,Use explicit ability or use construct rather than treating written Chinese as a speaker count,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,255511A46DC1352DED5376939B0DCDD67935110F763A2178CA818D3A779D8B0C
S005,Standard Japanese,edition-target:lang:ja-Jpan-JP,ja-Jpan-JP,Japanese mixed script,Japan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ja-Jpan-JP,,STAGE_OPPORTUNITY_RANKED,,Large national language whose need must be researched rather than inferred from national income,Retain direct education and research-stage evidence with subject scarcity measures,VISIBLE_STAGE_OPPORTUNITY_LANE_PLUS_STAGE_SUBJECT_PROFILE,B22A9480D4031B7F90CB670D5267753AC4CBBA4608458E36CF2A00770BDA0EDF
S006,Standard Korean,edition-target:lang:ko-Kore-001,ko-Kore-001,Hangul and Korean mixed-script conventions,Republic of Korea and DPR Korea,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ko-Kore-001,,EXACT_TARGET_UNRANKED,,Large cross-border language with divergent standards,Split territory-specific educational and orthographic requirements where evidence supports it,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,9D0AC8B26823406AF3F0476C95B7EF124BF4C250DDCA6ADA89DE35174E957A1A
S007,Russian — Russian Federation,edition-target:lang:ru-Cyrl-RU,ru-Cyrl-RU,Cyrillic,Russian Federation,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ru-Cyrl-RU,,DIRECT_PERSON_RANKED,3,Large academic and regional bridge language,Preserve territorial and diaspora strata without blanket post-Soviet reach,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,19C42F75EA71B3283D13AF823FB91A64B2B64CD2FEAAB90EE313827B636920DF
S008,Bangla — Bangladesh,edition-target:lang:bn-Beng-BD,bn-Beng-BD,Bengali script,Bangladesh,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:bn-Beng-BD,,EXACT_TARGET_UNRANKED,,Very large educational population,Use Bangladesh-specific population and education evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,A124EF0ADF7E12AFEDAEBC5B2DB4082380A2C2884ECA9BB9BA92402B0341FA36
S009,Bengali — India,edition-target:lang:bn-Beng-IN,bn-Beng-IN,Bengali script,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:bn-Beng-IN,bn-Beng-IN-reported-L123-2011,DIRECT_PERSON_RANKED,5,Very large territorial language population,Keep separate from Bangladesh for curriculum and denominator purposes,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,20CD028439843F0831D156AA82AB2BA3386C44F677B3042D33EDF407F5A90D12
S010,Punjabi — Pakistan,edition-target:lang:pnb-Arab-PK,pnb-Arab-PK,Shahmukhi Perso-Arabic,Pakistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:pnb-Arab-PK,,DIRECT_PERSON_RANKED,4,Very large language population with script-specific access,Do not merge with Gurmukhi Punjabi,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,D7EE947CE9930827FD72079108D756831B85ED680396471F625F08BE8E5BBF0D
