edition_target_id,label,language_tag,reference_rank,population_point_for_model_persons,top10_probability,top100_probability,prior_family_rank_min,prior_family_rank_max,prior_family_rank_span,prior_families_top10_count,factor_removal_rank_min,factor_removal_rank_max,factor_removal_rank_span,factor_removal_scenarios_top10_count,robust_top10_all_prior_families,robust_top10_all_factor_removals,robust_top100_all_scenarios,row_sha256
edition-target:lang:hi-Deva-IN,Hindi,hi-Deva-IN,1,322230097.000000,1.000000,1.000000,1,1,0,4,1,1,0,7,true,true,true,6FEAAD13D627D7461B652957DE5144C4F4B7322AB86B91BE7CC9A77CB6979803
edition-target:lang:id-Latn-ID,Bahasa Indonesia,id-Latn-ID,2,248501794.000000,1.000000,1.000000,2,2,0,4,2,2,0,7,true,true,true,90A3BA876300D34F463BE4AD2E4E8D27853BA9C9D812A8A24845423C355EAE17
edition-target:lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,3,134319233.000000,1.000000,1.000000,3,3,0,4,3,4,1,7,true,true,true,C7D586D47D55F500EEB55AC60EC464C7E5368F8E569661EA0FBF3C4CAC0234F4
edition-target:lang:pnb-Arab-PK,Punjabi (Pakistan standard),pnb-Arab-PK,4,88915544.000000,1.000000,1.000000,4,4,0,4,3,5,2,7,true,true,true,33CEBF296E3399D586583EB72FDDF528BC5E45E03986CAB1BCE61BF9A647A778
edition-target:lang:bn-Beng-IN,Bengali (India standard),bn-Beng-IN,5,96177835.000000,0.980469,1.000000,5,5,0,4,4,5,1,7,true,true,true,FEC1DC300FAF4148862FE375F81D78C58430C9890F50712A404FE5FC1B170D94
edition-target:lang:mr-Deva-IN,Marathi,mr-Deva-IN,6,82801140.000000,0.964844,1.000000,6,6,0,4,6,6,0,7,true,true,true,1A755CD9DC6225F5DC9E726A9EF611E962051BD98E777F8154CCA714E32593BB
edition-target:lang:te-Telu-IN,Telugu,te-Telu-IN,7,81127740.000000,0.949219,1.000000,7,7,0,4,7,7,0,7,true,true,true,86DB9210F3F345EF7478EE3E403CA618972703772B242C90DE796D61DBC14AE5
edition-target:lang:ta-Taml-IN,Tamil (India standard),ta-Taml-IN,8,68888839.000000,0.800781,1.000000,8,8,0,4,8,8,0,7,true,true,true,606B9A2819DDDB39A493C63CD2777105055DD77BDD665E5BC7213DA184D14B32
edition-target:lang:jv-Latn-ID,Javanese,jv-Latn-ID,9,68044660.000000,0.753906,1.000000,9,9,0,4,9,9,0,7,true,true,true,ACF7F5ECD07B2B6B68753D10F3A24B0B45AB8F5ED36C4050ED784D73DCA2D2FD
edition-target:lang:th-Thai-TH,Central Thai,th-Thai-TH,10,64080191.000000,0.472656,1.000000,10,10,0,4,10,12,2,4,true,false,true,1685D4CFC30CA22AD0557C622028CEEE4514D9BCA5540EC36FB90D671EF819FF
edition-target:lang:gu-Gujr-IN,Gujarati,gu-Gujr-IN,11,55036204.000000,0.347656,1.000000,11,11,0,0,10,11,1,1,false,false,true,5CDA2BE98C97502C2B5D177BF1CF026C40BA1042731D2327EFE4835538126A5F
edition-target:lang:ps-Arab-PK,Pashto (Pakistan curriculum pack),ps-Arab-PK,12,43633946.000000,0.164062,1.000000,14,14,0,0,10,14,4,2,false,false,true,A3D2D4D8D32A1C02BA9B91D5299DD8B1E27C207C55DCABF51028D37768B761B2
edition-target:lang:bho-Deva-IN,Bhojpuri,bho-Deva-IN,13,50579447.000000,0.218750,1.000000,13,13,0,0,13,14,1,0,false,false,true,1E656724023595E5F3890F42B95D66EB59AC4716770FF20CEAE559B460A4346A
edition-target:lang:ur-Arab-IN,Urdu,ur-Arab-IN,14,50725762.000000,0.195312,1.000000,12,12,0,0,12,13,1,0,false,false,true,CA38D8A5A7DE548BB1356EADD3659C6490AB7ED05BFDF5C78CC8E6F8A109C614
edition-target:lang:my-Mymr-MM,Burmese,my-Mymr-MM,15,38500000.000000,0.062500,1.000000,15,16,1,0,15,17,2,0,false,false,true,78B252FF0A6AA9D808D318EB49F65C320E5EB64F4B50134F4707BE3423B84DF0
edition-target:lang:uz-Latn-UZ,Uzbek,uz-Latn-UZ,16,35700000.000000,0.042969,1.000000,17,17,0,0,15,18,3,0,false,false,true,5AA459B4E00E858B1FA51EDB97153BAFE67217E22C4989CE24A1DE14BB9FAAAC
edition-target:lang:kn-Knda-IN,Kannada,kn-Knda-IN,17,43506272.000000,0.023438,1.000000,15,16,1,0,15,18,3,0,false,false,true,5D48A5FBEBA47469EDA9BEBE630CF83E9AFE96F13343B6C79F819BC5D77513DB
edition-target:lang:sd-Arab-PK,Sindhi (Pakistan standard),sd-Arab-PK,18,34401564.000000,0.019531,1.000000,18,19,1,0,16,20,4,0,false,false,true,1729EC21E8FC050791B04C02924A7B87C53D2D791E4109FA6A41087FF27D24CC
edition-target:lang:ary-Arab-MA,Moroccan Arabic,ary-Arab-MA,19,34000000.000000,0.003906,1.000000,19,20,1,0,19,20,1,0,false,false,true,26CD6CC96AA42BCC56787FD3A5721395888358280E110688B5B3F100FE482546
edition-target:lang:es-Latn-US,Spanish,es-Latn-US,20,43369734.000000,0.000000,1.000000,18,20,2,0,18,26,8,0,false,false,true,F32B5D06AD5C9F4CB387D99275F34DD971D6A80945F8BC6DF93771017A0A6ECE
edition-target:lang:ml-Mlym-IN,Malayalam,ml-Mlym-IN,21,34776533.000000,0.000000,1.000000,21,21,0,0,21,23,2,0,false,false,true,BF9E97271D7883607AA23D9B308D2B200CA67F547E1FFD12F6CA7A6A171759B6
edition-target:lang:skr-Arab-PK,Saraiki,skr-Arab-PK,22,28849579.000000,0.000000,1.000000,23,25,2,0,21,28,7,0,false,false,true,A1EB3EBDDA27F5DE30582625F9CDA93E37C0C0D5AB14700BFADE87ACA47CBDC8
edition-target:lang:om-Latn-ET,Oromo,om-Latn-ET,23,24930424.000000,0.000000,1.000000,25,27,2,0,20,27,7,0,false,false,true,29199DCC762937823B9FC2AD12B87F159DCD5A09D588F07824126FD822A51917
edition-target:lang:or-Orya-IN,Odia,or-Orya-IN,24,34059266.000000,0.000000,1.000000,22,22,0,0,22,25,3,0,false,false,true,5DA5FB231B09626671BEF29ED37CE83BE82E6CD1A283011679B50BC69275A3B3
edition-target:lang:yo-Latn-NG,Standard Yoruba,yo-Latn-NG,25,30000000.000000,0.000000,1.000000,23,24,1,0,22,27,5,0,false,false,true,2A47042F5822C9A184414F3A1C0A6ADA98AE402E61BEA9F81C19B9B1DF414060
edition-target:lang:su-Latn-ID,Sundanese,su-Latn-ID,26,32412752.000000,0.000000,1.000000,23,26,3,0,24,28,4,0,false,false,true,C140E2224BB14A0127A5CDB23A01BE5D2292F5F460B3841820AB907B3E45DCBB
edition-target:lang:mg-Latn-MG,Standard,mg-Latn-MG,27,23484462.000000,0.000000,1.000000,28,28,0,0,22,30,8,0,false,false,true,4FE5C8491E3E2E33436D4579ADEA0FD4B33F7B0392F7D5FACC1AA5E907E99C20
edition-target:lang:pa-Guru-IN,Eastern Punjabi,pa-Guru-IN,28,31144095.000000,0.000000,1.000000,26,27,1,0,25,29,4,0,false,false,true,CE87AA9934BEEF799C08006034BED24221CBFC7530A2C3FFE4A75634FF319961
edition-target:lang:am-Ethi-ET,Amharic,am-Ethi-ET,29,21634396.000000,0.000000,1.000000,29,30,1,0,26,30,4,0,false,false,true,65CE8143CDC8903AD2B27C54C70C4A160DC4D4BA89CF53E6FEBD12D6BBCB7CE7
edition-target:lang:ig-Latn-NG,Igbo,ig-Latn-NG,30,25000000.000000,0.000000,1.000000,29,30,1,0,29,31,2,0,false,false,true,BBF8076FAA9B69B3BF0DBF0F025D2056387C5897DAEF3B134B3AEC8AE3D1B3C1
edition-target:lang:ur-Arab-PK,Urdu,ur-Arab-PK,31,22249307.000000,0.000000,1.000000,31,31,0,0,29,32,3,0,false,false,true,136B9F7E044BB8DC63B207DB536C29A8A71FE7F5E6C4386415A94C547577CA8D
edition-target:lang:cmn-Hant-TW,Taiwan Mandarin (Guoyu),cmn-Hant-TW,32,21090192.000000,0.000000,1.000000,32,32,0,0,31,32,1,0,false,false,true,7A99B00EF14573EBB9E27D245945821152A13CFF276FA067C1F27D0946F3A47C
edition-target:lang:nan-Hant-TW,Taiwanese Taigi — Southern Min,nan-Hant-TW,33,18728839.000000,0.000000,1.000000,33,33,0,0,33,33,0,0,false,false,true,6E95EF26EE09AEA99647413E3B5B248CD3A6DEDD125B85B6017D3128B74C762D
edition-target:lang:kmr-Latn-001,Kurmanji Kurdish,kmr-Latn-001,34,17500000.000000,0.000000,1.000000,34,34,0,0,34,34,0,0,false,false,true,B59ED6319B232137E72E04DCE12930FFB8B62CCC20165252C6ADD7ACE2603545
edition-target:lang:km-Khmr-KH,Khmer,km-Khmr-KH,35,14893134.000000,0.000000,1.000000,35,36,1,0,35,37,2,0,false,false,true,9CD6464BDD91CD6CFABEC8754073D00B386CDA1F28D7AA6D1B8AD9FC4BC6BFB4
