target_id,language_tag,language_names_json,script_orthography_json,territories_json,language_mode,identity_exactness,identity_only_not_access_evidence,target_row_hash
lang:acr-GT,acr-GT,"[""Achi""]","[""ALMG-standard Latin orthography for Achi""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,cb4df3a75e59a30ec22bd3d77c412fdd2520ae2fb82462c686b54071c92432cf
lang:acu-EC,acu-EC,"[""Achuar Chicham""]","[""Latin; official/community Achuar Chicham orthography""]","[""Ecuador; Achuar Chicham communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,3e92596230e64c4bf755b7621821aa339fb9ca7e8a33f35bf1b9eaf9d27980d2
lang:agr-PE,agr-PE,"[""Awaj\u00fan""]","[""Official Latin Awaj\u00fan alphabet""]","[""Peru; Awaj\u00fan communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,eba7b61e8c41dc6be5e7ebfacc8e787b4e4b25252c56d3c340ad4a25b398e9f8
lang:agu-GT,agu-GT,"[""Awakateko""]","[""ALMG-standard Latin orthography for Awakateko""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,de4dc8f458e222bb7c7f169e5f122508edfd221ef4c1298364f132e08e364f5b
lang:alq-CA,alq-CA,"[""Anicinabemowin / Algonquin""]","[""Community Latin orthography""]","[""Canada; Anicinabemowin / Algonquin communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,e0c4869403beb73d4ec78b71c9472b0b340dda008b0f4a1cd33b47714d9c8eaf
lang:ane-Latn-NC,ane-Latn-NC,"[""X\u00e2r\u00e2c\u00f9\u00f9""]","[""X\u00e2r\u00e2c\u00f9\u00f9 Latin orthography with diacritics""]","[""New Caledonia; X\u00e2r\u00e2c\u00f9\u00f9-using communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,93bab20a947f880cf7d87bc169b95a4f11c46ab3a6452d5adcd298d15761687e
lang:ary-Arab-MA,ary-Arab-MA,"[""Moroccan Arabic"",""Moroccan Darija""]","[""Arabic"",""Arabic; graded-vowel support in paired Modern Standard Arabic""]","[""MA"",""Morocco""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,1c5cacadcca550a087d374688ee5d55944163961c9a2d3e816f79159076e4500
lang:as-Beng-IN,as-Beng-IN,"[""Assamese""]","[""Assamese variant of Eastern Nagari script""]","[""India; Assam""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,db12b3b480b09a2331bd731d2b8eac54b98bb220464a8ae446a3f2aad5d71539
lang:awa-Deva-IN,awa-Deva-IN,"[""Awadhi (India)""]","[""Devanagari""]","[""India; especially Uttar Pradesh""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,01109168ca9f7402b158ecb629d413cfcf229d05544b0d3f4abd05fded13cb0b
lang:awa-Deva-NP,awa-Deva-NP,"[""Awadhi (Nepal)""]","[""Devanagari""]","[""Nepal; Awadhi-speaking Terai communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,cefc9a30134857a3aa9aa9d7428f86ea638effd10dd5ae535d2f20104a53583f
