stratum_id,label,aliases,territory,script_or_mode,population_unit,population_low_persons,population_base_persons,population_high_persons,population_measure_class,population_definition,population_reference_year,population_secondary_context,education_language_exposure_mismatch_by_stage,learning_completion_evidence,functional_resource_access,open_adaptable_scarcity,academic_lingua_franca_nonoverlap,device_connectivity_electricity,accessible_offline_delivery_evidence,source_ids,source_urls,source_locators,uncertainty_incompatibilities,evidence_confidence
en-Latn-US-home-2023,United States English-only home-language population age 5+,US English home-use stratum; English-only at home,"United States, 50 states and District of Columbia",spoken/written US English; Latin script; ACS home-language endpoint,persons,245250680,245472067,245693454,official_sample_survey_estimate_home_language_age5plus_90pct_moe,ACS 2023 one-year estimate of people age 5+ who speak only English at home; low/high are the published estimate plus or minus the 90% margin of error.,2023,This is an exact US territorial stratum. It is not a global-English denominator and excludes multilingual English users.,No stage-specific mismatch rate is assigned from home-language status.,No learning or completion result is multiplied into this population row.,Not audited by this population supplement; a large English-language population is not evidence of complete educational access.,"Unknown at exact stage, subject, licence, accessibility and offline endpoints.",English-only home use does not establish advanced academic proficiency or subject-specific comprehension.,No national access rate is transformed into this language-population estimate.,Accessibility and offline requirements remain separate overlays; no person product is derived.,LPOS_US_ACS_B16001_2023,https://data.census.gov/table/ACSDT1Y2023.B16001,"ACS 2023 one-year table B16001: speak only English at home age 5+, estimate 245472067, margin of error 221387.",The interval is a published survey-MOE interval for one construct. Do not add multilingual English users or the global 1.5bn mixed-proficiency estimate.,high for the published survey estimate and MOE; low for educational mastery or resource sufficiency
en-Latn-IN-reported-L123-2011,"English reported in first, second or third language position — India",India English L1+L2+L3 reported users; Census C-17 English,"India, national Census 2011 state code 00","English; Latin script; reported language knowledge position, not tested proficiency",persons,,128539090,,exact_census_reported_first_second_third_language_total,"National sum of English recorded as mother tongue/first language (259678), first subsidiary language/L2 (82717239), or second subsidiary language/L3 (45562173) in Census C-17.",2011,259678 + 82717239 + 45562173 = 128539090. The positions are mutually exclusive within the C-17 table construction but do not measure proficiency depth.,Reported English knowledge is not academic-English comfort; no stage-specific comprehension rate is inferred.,No national learning result is multiplied into this language measure.,Not audited by this population supplement.,"Unknown at exact stage, subject, licence, accessibility and offline endpoints.",The census response cannot establish readiness to learn advanced material through English.,No country access rate is transformed into the C-17 total.,Accessibility and offline delivery remain separate overlays.,LPOS_IN_C17_2011,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,"Sheet1, state code 00, rows 7-24766; English L1 row 13485 columns D/E; sum column J where I=ENGLISH; sum column O where N=ENGLISH.",Exact for the 2011 census table construct only; stale for current population and not a tested or academic-proficiency count.,high for the exact C-17 aggregation; low for current scale and academic proficiency
bn-Beng-IN-reported-L123-2011,"Bengali reported in first, second or third language position — India",India Bengali total reported users; Census C-17 Bengali,"India, national Census 2011 state code 00",Bengali; Bengali script literacy not measured by C-17,persons,,107472243,,exact_census_reported_first_second_third_language_total,"National sum of Bengali in the first-language/mother-tongue group (97237669), first subsidiary-language/L2 (9095810), and second subsidiary-language/L3 (1138764) positions.",2011,97237669 + 9095810 + 1138764 = 107472243. This alternative total overlaps the existing raw Bengali L1 row and the Bangladesh/India package context.,No stage-specific academic Bengali measure is inferred.,No learning outcome is multiplied into this total.,Not audited by this population supplement.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Reported knowledge does not establish academic Bengali or English non-overlap.,No national access rate is transformed into this row.,Separate accessibility and delivery overlays are required.,LPOS_IN_C17_2011,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,"Sheet1, state code 00; Bengali first-language total 97237669, L2 sum 9095810, L3 sum 1138764.","Do not add to the raw Bengali L1 row, Bangladesh proxy, or cross-country package total; it is an overlapping alternative endpoint.","high for the exact C-17 aggregation; low for current scale, script literacy and academic proficiency"
mr-Deva-IN-reported-L123-2011,"Marathi reported in first, second or third language position — India",India Marathi total reported users; threshold-edge C-17 Marathi,"India, national Census 2011 state code 00",Marathi; Devanagari; script literacy not measured by C-17,persons,,99058786,,exact_census_reported_first_second_third_language_total,"National sum of Marathi in the first-language/mother-tongue group (83026680), first subsidiary-language/L2 (13001079), and second subsidiary-language/L3 (3031027) positions.",2011,"83026680 + 13001079 + 3031027 = 99058786. This is a threshold-edge observation, not evidence that the current cohort is above or below 100m.",No stage-specific academic Marathi measure is inferred.,No learning outcome is multiplied into this total.,Not audited by this population supplement.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Reported knowledge does not establish academic Marathi or English non-overlap.,No national access rate is transformed into this row.,Separate accessibility and delivery overlays are required.,LPOS_IN_C17_2011,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,"Sheet1, state code 00; Marathi first-language total 83026680, L2 sum 13001079, L3 sum 3031027.",Do not extrapolate to 2026 or convert the 2011 total into an above-100m current count; keep threshold status unresolved.,high for the exact 2011 C-17 aggregation; low for current threshold status and academic proficiency
te-Telu-IN-reported-L123-2011,"Telugu reported in first, second or third language position — India",India Telugu total reported users; threshold-edge C-17 Telugu,"India, national Census 2011 state code 00",Telugu; Telugu script; script literacy not measured by C-17,persons,,94501603,,exact_census_reported_first_second_third_language_total,"National sum of Telugu in the first-language/mother-tongue position (81127740), first subsidiary-language/L2 (12167609), and second subsidiary-language/L3 (1206254) positions.",2011,81127740 + 12167609 + 1206254 = 94501603. This is a near-threshold observation; no current projection is made.,No stage-specific academic Telugu measure is inferred.,No learning outcome is multiplied into this total.,Not audited by this population supplement.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Reported knowledge does not establish academic Telugu or English non-overlap.,No national access rate is transformed into this row.,Separate accessibility and delivery overlays are required.,LPOS_IN_C17_2011,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,"Sheet1, state code 00; Telugu L1 81127740, L2 sum 12167609, L3 sum 1206254.",Do not extrapolate to 2026 or convert the 2011 total into an above-100m current count; keep threshold status unresolved.,high for the exact 2011 C-17 aggregation; low for current threshold status and academic proficiency
en-Latn-PH-education-exposure-2024,English co-medium education exposure ceiling — Philippines,Philippines English instructional exposure; English co-medium ceiling,Philippines,English; Latin script; formal education medium,persons,,,112729484,official_census_scope_co_medium_exposure_ceiling,2024 national census population retained only as an upper exposure ceiling for English under the Filipino/English medium-of-instruction framework; not an English-user count.,2024,The same persons are also inside the Filipino exposure ceiling; regional languages can be auxiliary and qualifying monolingual classes can use a mother tongue.,"English is a medium of instruction, but the census population supplies no learner-stage exposure or comprehension cross-tab.",No PISA or national learning rate is multiplied into the territorial ceiling.,Policy exposure is not evidence of complete English educational resources or comfortable comprehension.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Instructional status does not establish academic-English comfort.,No connectivity rate is transformed into this row.,Accessibility and offline delivery remain separate overlays.,LPOS_PH_PSA_POPCEN_2024;LPOS_PH_RA12027_2024,https://psa.gov.ph/statistics/population-and-housing/node/1684077791;https://lawphil.net/statutes/repacts/ra2024/ra_12027_2024.html,"PSA total population 112729484 as of 2024-07-01; RA 12027 medium of instruction reverts to Filipino and English, with bounded mother-tongue/auxiliary-language provisions.",Non-additive with Filipino and regional-language exposure rows; never treat all residents as English users.,"high for census population and legal medium; low for actual exposure, proficiency and resource sufficiency"
en-Latn-PK-education-exposure-2023,English education-language exposure ceiling — Pakistan,Pakistan English instructional exposure; English curriculum ceiling,Pakistan detailed-demographic census scope: four provinces plus Islamabad Capital Territory,English; Latin script; subject and cross-curricular medium varies by province and school,persons,,,240458089,official_census_scope_education_language_exposure_ceiling,2023 detailed-demographic census population retained only as a maximum national English education-language exposure context; not an English-user or learner count.,2023,The national English curriculum treats English as a subject and as a medium for other disciplines; provincial and school practice varies and local languages remain material.,"English/Urdu instructional transition and home-language mismatch are documented, but no compatible national learner headcount is available for this row.",No assessment rate is multiplied into the national ceiling.,Instructional role does not establish comfortable comprehension or complete resources.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",English exposure is not academic-English proficiency.,No national access rate is transformed into this row.,Accessibility and offline delivery remain separate overlays.,LPOS_PK_PBS_CENSUS_2023;LPOS_PK_NCC_ENGLISH_2021,https://www.pbs.gov.pk/sites/default/files/population/2023/tables/table_11_national.pdf;https://ncc.gov.pk/Detail/MDk3YWE3ZjgtMmM5NS00YzlhLWI2NTAtYWE2NTRmOGFiMmNk,PBS Table 11 national detailed-demographic universe 240458089; National Curriculum Council English curriculum: English is a subject and medium for other disciplines.,"Non-additive with Urdu, Punjabi, Sindhi, Pashto, Balochi and other language rows; never treat the ceiling as English knowledge.","high for census universe and official curriculum role; low for actual exposure, proficiency and resource sufficiency"
en-Latn-NG-education-exposure-2025,English national education-language exposure ceiling — Nigeria,Nigeria English instructional exposure; English national education medium ceiling,Nigeria,English; Latin script; official medium of instruction across levels under 2025 policy,persons,,,237527782,modelled_territorial_education_language_exposure_ceiling,World Development Indicators 2025 population retained only as an upper national English-instruction exposure context after the federal reaffirmation of English as medium across levels; not an English-user count.,2025,The 2025 inclusive-language policy also encourages at least one Nigerian language; Nigeria has extensive multilingual home-language and early-learning mismatch.,English policy coverage does not establish learner comprehension; no compatible stage-specific person total is supplied.,No national learning rate is multiplied into the territorial ceiling.,Instructional status does not establish complete English resources or home-language access.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Policy exposure does not establish academic-English comfort.,No national access rate is transformed into this row.,Accessibility and offline delivery remain separate overlays.,LPOS_WDI_NGA_POP_2025;LPOS_NG_ENGLISH_POLICY_2025,https://api.worldbank.org/v2/country/NGA/indicator/SP.POP.TOTL?date=2025&format=json;https://fmino.gov.ng/fg-reaffirms-english-as-medium-of-instruction-launches-inclusive-language-policy-to-promote-national-unity/,WDI 2025 Nigeria population 237527782; 69th National Council on Education decision reaffirming English as medium from primary through tertiary.,"The population is a modeled territorial ceiling. Do not add Hausa, Yoruba, Igbo, Fulfulde, Pidgin or other language cohorts and do not infer English proficiency.",high for policy identity; medium for modeled population ceiling; low for actual English proficiency and resource sufficiency
en-Latn-ET-secondary-higher-exposure-2025,English secondary and higher-education exposure ceiling — Ethiopia,Ethiopia English secondary/tertiary medium ceiling,Ethiopia,English; Latin script; secondary and higher-education medium under national policy,persons,,,135472051,modelled_territorial_stage_limited_education_language_exposure_ceiling,World Development Indicators 2025 population retained only as a maximum territorial context for the policy assigning English to secondary and higher education; actual stage participants are a smaller unmeasured subset.,2025 population; education policy 1994,Primary education uses nationality languages; Amharic is taught as a countrywide communication language. The ceiling therefore cannot represent all-stage English exposure.,English is policy medium at secondary/higher stages; no compatible stage headcount or comprehension distribution is entered.,No national learning rate is multiplied into the territorial ceiling.,Instructional status does not establish complete English resources or home-language access.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Policy medium does not establish academic-English comfort.,No national access rate is transformed into this row.,Accessibility and offline delivery remain separate overlays.,LPOS_WDI_ETH_POP_2025;LPOS_ET_EDUCATION_POLICY,https://api.worldbank.org/v2/country/ETH/indicator/SP.POP.TOTL?date=2025&format=json;https://www.moe.gov.et/storage/Books/Ethiopia%20Education%20and%20Training%20Policy.pdf,"WDI 2025 Ethiopia population 135472051; Education and Training Policy clauses 3.5.4-3.5.7, including English as medium for secondary and higher education.",Stage-limited ceiling only. Never assign all residents to English or add Amharic/Oromo/Tigrinya/other language cohorts.,high for policy wording; medium for modeled population ceiling; low for actual stage exposure and proficiency
fr-Latn-CD-education-exposure-2025,French education-language exposure ceiling — Democratic Republic of the Congo,DRC French instructional exposure; French national education medium ceiling,Democratic Republic of the Congo,French; Latin script; language of instruction with national/local-language elementary provisions,persons,,,112832473,modelled_territorial_education_language_exposure_ceiling,World Development Indicators 2025 population retained only as a maximum French education-language exposure context under the national education law; not a French-speaker or learner count.,2025 population; education law 2014,The education law also provides for national or local languages as media in elementary and middle primary cycles; French exposure varies by stage and implementation.,"French is the statutory language of instruction, but no compatible learner-stage person count or comprehension distribution is available.",No learning or completion rate is multiplied into the territorial ceiling.,Instructional status does not establish complete French resources or home-language access.,"Unknown by stage, subject, licence, accessibility and offline endpoint.",Policy exposure does not establish academic-French comfort.,No national access rate is transformed into this row.,Accessibility and offline delivery remain separate overlays.,LPOS_WDI_COD_POP_2025;LPOS_CD_EDUCATION_LAW_2014,https://api.worldbank.org/v2/country/COD/indicator/SP.POP.TOTL?date=2025&format=json;https://www.leganet.cd/Legislation/Droit%20Public/enseignement/Loi14.004.11.02.2004.htm,WDI 2025 DRC population 112832473; Loi-cadre 14/004: French language of instruction and national/local-language provisions at primary stages.,"Territorial ceiling only. Never assign every resident to French or add Lingala, Congo Swahili, Kikongo ya leta, Tshiluba and other cohorts.",high for statutory language identity; medium for modeled population ceiling; low for actual proficiency and resource sufficiency
