record_id,domain,intervention_or_language,jurisdiction,reference_year,evidence_role,measure_label,value,value_qualifier,unit,numerator,denominator,denominator_unit,reported_rate_percent,rate_basis,population_universe,age_scope,measure_definition,directness,language_specificity,valid_sign_language_user_count,source_tier,source_publisher,source_title,publication_date,source_url,source_locator,additivity_class,overlap_group,population_evidence_key,double_count_rule,applicable_interventions,recommended_use,status,limitations
SL-ASL-US-GAP,signed_language,American Sign Language (ASL),United States,current ACS design,official_data_gap,Separate ASL-use count unavailable,,not_available,persons,,,,,,United States population,,ACS language questions are not designed to identify ASL users and cannot provide separate ASL-use data.,official_nonavailability_statement,named_ASL,no,primary_official,U.S. Census Bureau,Frequently Asked Questions About Language Use,2021-12-16,https://www.census.gov/topics/population/language-use/about/faqs.html,FAQ: Does the Census Bureau provide the number of people who use ASL?,not_additive_gap,ASL_US_DATA_GAP,US_ACS_LANGUAGE_DESIGN,"Do not substitute deaf, hearing-loss, disability, or ACS English counts for ASL users.",ASL signed-language version,Record a measurement gap; no numeric ASL-US input.,data_gap,A Census working paper additionally explains that edited ACS data combine ASL write-ins with English.
SL-ASL-CA-2021-KNOW,signed_language,American Sign Language (ASL),Canada,2021,language_user_measure,Knowledge of ASL,37620,census_sample_estimate,persons,37620,36328480,persons,0.1,published_rounded,Population in private households; 25% Census sample,all in universe,Reported ASL among languages the person could use well enough to conduct a conversation.,direct_restricted,named_ASL,yes,primary_official,Statistics Canada,"Census Profile, 2021 Census of Population",2022,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1%2C4,"Knowledge of languages; American Sign Language; denominator 36,328,480",multiple_response_overlay,CA_2021_KNOWLEDGE_LANGUAGES,CA_CEN2021_PRIVATE_HH_KNOWLEDGE,"Do not add to LSQ, other language knowledge, or Canadian home-language counts; multiple languages may be reported.",ASL signed-language version,Direct Canada-specific ability/knowledge audience under the Census definition.,direct_restricted,"Not primary language, daily use, native language, or interpreter need; sample estimate and rounded output."
SL-BSL-ENG-2021-MAIN,signed_language,British Sign Language (BSL),England,2021,language_user_measure,BSL as main language,20739,census_count_with_perturbation,persons,20739,54686087,usual residents age 3+,0.037924,derived_from_official_counts,Usual residents aged 3+,3+,British Sign Language reported as main language.,direct_restricted,named_BSL,yes,primary_official,Office for National Statistics,"TS024 Main language (detailed), Census 2021",2022-11-29,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,E92000001",main_language_detailed=91; denominator is sum of applicable categories,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,ENG_CEN2021_AGE3PLUS_MAIN_LANGUAGE,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,BSL signed-language version,Direct England main-language audience; lower than all BSL users.,direct_restricted,Main language only; ONS cell-key perturbation applies.
SL-BSL-WLS-2021-MAIN,signed_language,British Sign Language (BSL),Wales,2021,language_user_measure,BSL as main language,893,census_count_with_perturbation,persons,893,3018184,usual residents age 3+,0.029587,derived_from_official_counts,Usual residents aged 3+,3+,British Sign Language reported as main language.,direct_restricted,named_BSL,yes,primary_official,Office for National Statistics,"TS024 Main language (detailed), Census 2021",2022-11-29,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,W92000004",main_language_detailed=91; denominator is sum of applicable categories,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,WLS_CEN2021_AGE3PLUS_MAIN_LANGUAGE,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,BSL signed-language version,Direct Wales main-language audience; lower than all BSL users.,direct_restricted,Main language only; ONS cell-key perturbation applies.
SL-BSL-SCT-2022-CANUSE,signed_language,British Sign Language (BSL),Scotland,2022,language_user_measure,Can use BSL,117300,published_rounded,persons,117300,,,2.2,published_rounded,Usual residents aged 3+,3+,Affirmative response to whether the person can use BSL.,direct_broad_ability,named_BSL,yes,primary_official,National Records of Scotland,"Scotland's Census 2022: ethnic group, national identity, language and religion",2024,https://www.scotlandscensus.gov.uk/2022-reports/scotland-s-census-2022-ethnic-group-national-identity-language-and-religion/,British Sign Language section,multiple_response_ability_overlay,SCT_2022_BSL_CANUSE,SCT_CEN2022_AGE3PLUS_BSL_CANUSE,Do not add to England/Wales/Northern Ireland main-language counts as a UK user total; definitions differ.,BSL signed-language version,Broad Scotland can-use audience; retain separately from main-language counts.,direct_restricted,"New question; includes hearing people, learners, family members, and occupational users; count and rate rounded."
SL-BSL-NIR-2021-MAIN,signed_language,British Sign Language (BSL),Northern Ireland,2021,language_user_measure,BSL as main language,539,commissioned_census_table_sum,persons,539,,,,,Usual residents aged 3+,3+,British Sign Language reported as main language; total summed across religion columns.,direct_restricted,named_BSL,yes,primary_official,Northern Ireland Statistics and Research Agency,CT0041 Main language: sign language by religion,2023-11-01,https://www.nisra.gov.uk/publications/ct0041-main-language-sign-language-religion,British sign language row; table population usual residents age 3+,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,NIR_CEN2021_AGE3PLUS_MAIN_LANGUAGE,Do not combine with Scotland's can-use count; do not infer all BSL users from a main-language row.,BSL signed-language version,Direct Northern Ireland main-language audience.,direct_restricted,Targeted record swapping and cell-key perturbation may affect marginal totals; main language only.
SL-LIBRAS-BR-2019-KNOW,signed_language,Brazilian Sign Language (Libras),Brazil,2019,language_user_measure,Knows how to use Libras among people with hearing difficulty,153000,approximately,persons,153000,1700000,persons age 5-40 with at least some permanent hearing difficulty,9.2,published_rounded,People age 5-40 reporting at least some permanent hearing difficulty,5-40,Self/proxy report of knowing how to use Libras.,direct_restricted,named_Libras,yes,primary_official,Brazilian Institute of Geography and Statistics (IBGE),Pesquisa Nacional de Saude 2019: Ciclos de vida,2021,https://www.ibge.gov.br/biblioteca/visualizacao/livros/liv101846.pdf,Libras section and Table 8; 153 thousand of 1.7 million; 9.2% (95% CI 7.3-11.6),restricted_population_overlay,BR_PNS2019_HEARING_DIFFICULTY_AGE5_40,BR_PNS2019_LIBRAS_AGE5_40_HEARING_DIFFICULTY,Do not extrapolate to all Brazilians or add the 22.4% severe-hearing subgroup; that subgroup is nested in this population.,Libras signed-language version,Direct restricted Libras-knowledge audience only.,direct_restricted,Excludes users outside ages 5-40 and users without reported hearing difficulty; approximate weighted counts.
SL-LSF-FR-1998-99-USE,signed_language,French Sign Language (LSF),Metropolitan France,1998-1999,language_user_measure,Uses sign language,119000,approximately,persons,119000,,,,,"Metropolitan France household and institutional populations, excluding blind people",,"Reported using sign language; report section discusses LSF and includes 44,000 people with hearing impairment plus 75,000 without declared hearing impairment.",direct_qualified,LSF_context_survey_wording_generic,qualified,primary_official_analysis,DREES / ORS Pays de la Loire,Handicap auditif en France: apports de l'enquete HID 1998-1999,2007-11,https://drees.solidarites-sante.gouv.fr/sites/default/files/2020-10/dtee71.pdf,"Chapter V-2, PDF p. 75: approximately 119,000 users",already_union_total,FR_HID1998_99_SIGN_USE,FR_HID1998_99_SIGN_USE_EXCL_BLIND,"Use 119,000 once; do not also add its 44,000 and 75,000 components.",LSF signed-language version,Qualified historical LSF-context user measure; preserve survey wording and exclusions.,qualified_restricted,Old survey; excludes blind people; wording is generic sign language rather than a language-code item.
SL-DGS-DE-2007-INTERP-PROXY,signed_language,German Sign Language (DGS),Germany,2007,need_proxy,People dependent on sign-language interpreters,100000,approximately_association_estimate,persons,100000,,,,,Germany; definition not fully specified,,German Deaf Association estimate relayed by a Bundestag report: people dependent on sign-language interpreters.,official_report_relaying_association_proxy,not_DGS_user_count,no,official_secondary,German Bundestag,Bericht der Bundesregierung zur Lage von Menschen mit Behinderungen,2009,https://dserver.bundestag.de/btd/16/138/1613860.pdf,"PDF p. 51-52; approximately 100,000 dependent on interpreters",proxy_not_additive,DE_SIGN_INTERPRETER_NEED_PROXY,DE_2007_INTERPRETER_DEPENDENCE_PROXY,Never treat as a DGS-language population and never add national deaf/hearing counts.,DGS signed-language version,Interpreter-service need context only; exclude from signer totals.,proxy_only,"Association estimate, dated, interpreter dependence differs from DGS ability or use."
SL-JSL-JP-2006-SIGNMEDIATED,signed_language,Japanese Sign Language (JSL),Japan,2006,need_proxy,Uses sign language or sign interpretation as communication means,65000,approximately,persons,65000,343000,adults with survey-defined hearing disability,18.9,published_rounded,Adults with hearing disability in the FY2006 national disability survey,,Uses sign language or sign-language interpretation as a communication means.,direct_restricted_need_proxy,does_not_distinguish_JSL_from_other_Japanese_signing,no,primary_official,"Japan Ministry of Health, Labour and Welfare",Communication support materials drawing on the FY2006 survey,2009,https://www.mhlw.go.jp/bunya/shougaihoken/cyousajigyou/jiritsushien_project/seika/research_09/dl/result/11-07c.pdf,PDF p. 4: 343 thousand adults; 18.9%; approximately 65 thousand,restricted_need_proxy_not_language_count,JP_2006_HEARING_DISABLED_COMMUNICATION,JP_2006_SIGN_OR_INTERPRETATION_COMMUNICATION,"Do not label as a population-wide JSL count and do not add the 22,000 registered interpreting-service users, a nested service subset.",JSL signed-language version,Restricted sign-mediated communication need proxy; exclude from named-language totals.,proxy_only,"Does not distinguish JSL, signed Japanese, direct signing, or use through an interpreter; dated survey definition."
