roster_target_id,prior_specification_id,canon_id,package_id,draw_count,standard_compute_p05_fecu,standard_compute_p50_fecu,standard_compute_p95_fecu,interval_semantics
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-ACCESSIBLE-PUBLICATION,1024,359934.048308,415489.129912,489266.111754,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-AUDIO,1024,432335.860571,522539.460302,642329.570353,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-CAPTIONS,1024,426367.035355,517157.898104,637727.891685,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-COMPLETE-ACCESS,1024,672137.830348,844558.252750,1073532.056858,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-NAMED-SIGN,1024,456990.531037,559526.654168,695694.318328,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-025K,PKG-TEXT,1024,334496.548308,390051.629912,463828.611754,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-ACCESSIBLE-PUBLICATION,1024,1439736.193231,1661956.519650,1957064.447016,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-AUDIO,1024,1729343.442283,2090157.841206,2569318.281410,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-CAPTIONS,1024,1705468.141420,2068631.592418,2550911.566739,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-COMPLETE-ACCESS,1024,2688551.321391,3378233.010998,4294128.227431,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-NAMED-SIGN,1024,1827962.124150,2238106.616675,2782777.273313,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-100K,PKG-TEXT,1024,1337986.193231,1560206.519650,1855314.447016,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-ACCESSIBLE-PUBLICATION,1024,5758944.772921,6647826.078600,7828257.788062,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-AUDIO,1024,6917373.769132,8360631.364822,10277273.125640,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-CAPTIONS,1024,6821872.565678,8274526.369673,10203646.266954,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-COMPLETE-ACCESS,1024,10754205.285565,13512932.043992,17176512.909722,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-NAMED-SIGN,1024,7311848.496597,8952426.466697,11131109.093252,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,DIFFUSE_WEAK_SHRINKAGE,CANON-400K,PKG-TEXT,1024,5351944.772921,6240826.078600,7421257.788062,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-ACCESSIBLE-PUBLICATION,1024,365874.106622,416402.468620,484352.988837,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-AUDIO,1024,441980.606417,524022.428859,634352.237583,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-CAPTIONS,1024,436074.572515,518650.521405,629698.623155,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-COMPLETE-ACCESS,1024,690573.360169,847392.885358,1058283.717657,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-NAMED-SIGN,1024,467953.894480,561212.372334,686626.334594,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-025K,PKG-TEXT,1024,340436.606622,390964.968620,458915.488837,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-ACCESSIBLE-PUBLICATION,1024,1463496.426488,1665609.874483,1937411.955349,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-AUDIO,1024,1767922.425669,2096089.715437,2537408.950331,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-CAPTIONS,1024,1744298.290062,2074602.085622,2518794.492619,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-COMPLETE-ACCESS,1024,2762293.440675,3389571.541429,4233134.870629,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-NAMED-SIGN,1024,1871815.577920,2244849.489335,2746505.338376,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-100K,PKG-TEXT,1024,1361746.426488,1563859.874483,1835661.955349,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-ACCESSIBLE-PUBLICATION,1024,5853985.705949,6662439.497929,7749647.821393,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-AUDIO,1024,7071689.702674,8384358.861745,10149635.801323,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-CAPTIONS,1024,6977193.160246,8298408.342488,10075177.970475,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-COMPLETE-ACCESS,1024,11049173.762700,13558286.165715,16932539.482513,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-NAMED-SIGN,1024,7487262.311678,8979397.957341,10986021.353502,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,PRIMARY_SCRIPT_SHRINKAGE,CANON-400K,PKG-TEXT,1024,5446985.705949,6255439.497929,7342647.821393,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-ACCESSIBLE-PUBLICATION,1024,368567.413355,418585.041018,495570.415911,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-AUDIO,1024,446353.671050,527566.225056,652565.734397,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-CAPTIONS,1024,440476.107621,522217.389192,648030.697422,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-COMPLETE-ACCESS,1024,698932.291003,854166.704130,1093098.057921,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-NAMED-SIGN,1024,472924.839042,565240.671917,707329.957925,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-025K,PKG-TEXT,1024,343129.913355,393147.541018,470132.915911,PREDICTIVE_NOT_BOUND
intervention-target:regional-stratum:acf-Latn-LC,STRONG_SCRIPT_SHRINKAGE,CANON-100K,PKG-ACCESSIBLE-PUBLICATION,1024,1474269.653421,1674340.164072,1982281.663645,PREDICTIVE_NOT_BOUND
