candidate_id,target_label,language_variety,language_tag,script_orthography,territory_community,modality,learner_stage_scope,population_low,population_base,population_high,population_unit,population_definition,population_reference_year,population_source_id,population_source_url,academic_language_overlap_low,academic_language_overlap_base,academic_language_overlap_high,overlap_definition,baseline_access_status,evidence_confidence,rankable,notes
"sa_pk_punjabi_shahmukhi","Pakistan Punjabi — Shahmukhi","Punjabi (Pakistan standard)","pa-Arab-PK","Shahmukhi; Perso-Arabic right-to-left","Pakistan; Punjabi-speaking communities","offline-first print+audio+radio+low-data mobile","A1-A2-D-B-C","88915544","88915544","88915544","persons_L1","Census mother-tongue count; script not enumerated","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu and English are usual formal instructional languages; target-group bilingual proficiency is unmeasured","Pakistan OOSC 38%; Punjab OOSC 32%; major home/formal-language mismatch","high","yes","report_priority=1; script is product standard inferred from established usage"
"sa_af_dari_arab","Afghanistan Dari — Afghan Persian standard","Dari","prs-Arab-AF","Afghan Perso-Arabic right-to-left","Afghanistan; Dari-speaking communities","home/community print+audio+radio+offline device","A1-A2-D-B-C","","53.8","","percent_adult_survey_respondents","Native-language share in nationally representative adult survey; no census-quality headcount","2019","AFG_MDS_2019","https://asiafoundation.org/wp-content/uploads/2020/05/Afghanistan_2019-Model-Disability-Survey.pdf","","","","Dari is a principal school/assessment language; advanced-language proficiency is unmeasured","More than 90% of 10-year-olds unable to read a simple text; 2.13m primary-age OOS; 2.2m girls excluded beyond primary","medium","yes","report_priority=2; population is a survey share, not a headcount"
"sa_af_pashto_arab","Afghanistan Pashto — Afghan standard","Pashto (Afghanistan standard)","ps-Arab-AF","Afghan Pashto Arabic-derived right-to-left","Afghanistan; Pashto-speaking communities","home/community print+audio+radio+offline device","A1-A2-D-B-C","","35.2","","percent_adult_survey_respondents","Native-language share in nationally representative adult survey; no census-quality headcount","2019","AFG_MDS_2019","https://asiafoundation.org/wp-content/uploads/2020/05/Afghanistan_2019-Model-Disability-Survey.pdf","","","","Pashto is a principal school/assessment language; advanced-language proficiency is unmeasured","More than 90% of 10-year-olds unable to read a simple text; 2.13m primary-age OOS; 2.2m girls excluded beyond primary","medium","yes","report_priority=3; population is a survey share, not a headcount"
"sa_pk_pashto_arab","Pakistan Pashto — Pakistan pack","Pashto (Pakistan curriculum pack)","ps-Arab-PK","Pakistan Pashto Arabic-derived right-to-left","Pakistan; especially Khyber Pakhtunkhwa and Balochistan","offline-first print+audio+radio+low-data mobile","A1-A2-D-B-C","43633946","43633946","43633946","persons_L1","Census mother-tongue count","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu and English formal-study bridge; candidate-specific bilingual proficiency unmeasured","33.052m Pashto L1 residents rural; KP OOSC 29.8%; Pakistan OOSC 38%","high","yes","report_priority=4; country curriculum and terminology distinct from Afghanistan pack"
"sa_bd_bangla_beng","Bangladesh Bangla","Bangla (Bangladesh standard)","bn-Beng-BD","Bengali script; Bangladesh orthography","Bangladesh","offline-first print+audio+low-data mobile","A1-A2-B-D-C","","168419331","","persons_L1_proxy","Derived: 99.17% Bangla mother tongue multiplied by post-enumeration-adjusted population 169828911","2022-2023","BBS_BN_PROXY_2022_23","https://bbs.portal.gov.bd/pages/static-pages/6922e0ff933eb65569e297dc","","","","Bangla has high school-language overlap; English transition overlap is unmeasured","MICS 2025: reading 50.2%, numeracy 39.2% age 7-14; upper-secondary completion 43.9%","medium-high","yes","report_priority=5; derived proxy rather than enumerated L1 headcount"
"sa_in_hindi_deva","Indian standard Hindi — Devanagari","Hindi (raw standard return)","hi-Deva-IN","Devanagari","India; Hindi-speaking communities","offline-first print+audio+low-data mobile","A1-A2-B-C-D","322230097","322230097","322230097","persons_L1","Raw Hindi mother-tongue return; excludes separately returned varieties inside Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school-language overlap varies by state; English academic overlap unavailable","ASER rural government Std III: reading 23.4%, subtraction 27.6%; language-specific rate unavailable","high-historical","yes","report_priority=6; latest official nationwide Indian language census is 2011"
"sa_in_bhojpuri_deva","Indian Bhojpuri — Devanagari","Bhojpuri (India)","bho-Deva-IN","Devanagari; optional Kaithi heritage companion","India; especially Bihar and eastern Uttar Pradesh","offline-first print+audio+low-data mobile","A1-A2-D-B","50579447","50579447","50579447","persons_L1","Raw mother-tongue return inside Census Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; Bhojpuri-speaker Hindi proficiency unmeasured","Bihar rural all-school Std III: reading 26.1%, subtraction 37.4%; language attribution uncertain","high-historical","yes","report_priority=7a; separate from Nepal curriculum pack"
"sa_np_bhojpuri_deva","Nepal Bhojpuri — Devanagari","Bhojpuri (Nepal)","bho-Deva-NP","Devanagari","Nepal; Bhojpuri-speaking Terai communities","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","1820795","1820795","1820795","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group Nepali proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","high","yes","report_priority=7b; separate from India curriculum pack"
"sa_pk_urdu_nastaliq","Pakistan Urdu — Nastaliq","Urdu (Pakistan standard)","ur-Arab-PK","Nastaliq; Perso-Arabic right-to-left","Pakistan","offline-first print+audio+low-data mobile","A1-A2-D-B-C","22249307","22249307","22249307","persons_L1","Census mother-tongue count; wider functional reach uncounted","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu is a principal instructional/bridge language; English advanced-study overlap unmeasured","Pakistan OOSC 38%; 79% of Census-counted OOSC had never attended","high","yes","report_priority=8; L1 count understates bridge-language reach"
"sa_in_urdu_nastaliq","Indian Urdu — Nastaliq","Urdu (India standard)","ur-Arab-IN","Nastaliq; Perso-Arabic right-to-left","India; Urdu-speaking communities","offline-first print+audio+low-data mobile","A1-A2-B-C-D","50725762","50725762","50725762","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi and English formal-study bridges; candidate-specific proficiency unmeasured","India rural foundational gap applies as context; no national Urdu-disaggregated learning rate","high-historical","yes","report_priority=9; Indian curriculum and civic terminology"
