source_id,title,organization,year,url,access_date,claim_scope
"IND_C16_2011","C-16: Population by mother tongue, India — 2011","Office of the Registrar General & Census Commissioner, India","2011","https://censusindia.gov.in/nada/index.php/catalog/10191","2026-09-01","Exact raw and umbrella mother-tongue counts for India; census does not enumerate script"
"ASER_2024_FULL","Annual Status of Education Report 2024","ASER Centre / Pratham Education Foundation","2024","https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf","2026-09-01","Rural India enrollment, reading, arithmetic, state results, and digital-access indicators; not language-disaggregated"
"BBS_PHC_2022","Population and Housing Census 2022 and post-enumeration-adjusted population","Bangladesh Bureau of Statistics","2022","https://bbs.portal.gov.bd/pages/static-pages/6922e0ff933eb65569e297dc","2026-09-01","Adjusted national population denominator 169828911"
"BBS_SEDS_2023","Socio-Economic and Demographic Survey 2023","Bangladesh Bureau of Statistics","2023","https://nsds.bbs.gov.bd/storage/files/1/Publications/others/SEDS_2023_Report.pdf","2026-09-01","Bangla mother-tongue share 99.17%"
"BBS_BN_PROXY_2022_23","Bangladesh Bangla population proxy from PHC 2022 and SEDS 2023","Bangladesh Bureau of Statistics; derived synthesis","2023","https://bbs.portal.gov.bd/pages/static-pages/6922e0ff933eb65569e297dc","2026-09-01","Derived proxy 168419331 = 169828911 adjusted population × 99.17% Bangla mother tongue; SEDS source https://nsds.bbs.gov.bd/storage/files/1/Publications/others/SEDS_2023_Report.pdf"
"BDS_MICS_2025","Bangladesh Multiple Indicator Cluster Survey 2025","Bangladesh Bureau of Statistics and UNICEF","2025","https://www.unicef.org/bangladesh/en/reports/bangladesh-multiple-indicator-cluster-survey-2025-0","2026-09-01","Foundational reading/numeracy, completion, household internet, internet use, and ICT skills"
"PBS_MT_2023","Table 11: Population by mother tongue, sex and rural/urban, Census 2023","Pakistan Bureau of Statistics","2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","2026-09-01","Exact Pakistan mother-tongue counts and rural/urban splits; no script or bilingual-proficiency variable"
"PAK_CHILD_2024","The State of Children in Pakistan 2024","National Commission on the Rights of Child and UNICEF Pakistan","2024","https://www.unicef.org/pakistan/media/7456/file/State-of-Children-Report%20Final%20%282%29.pdf.pdf","2026-09-01","Out-of-school totals, stage and province rates, sex distribution, and never-attended share"
"WB_PAK_EDU_2023","Spend Better, Spend More: How to Make Education Expenditures Count for Children in Pakistan","World Bank","2023","https://documents1.worldbank.org/curated/en/099101209232420036/pdf/IDU1ca74c9b413720148e11bf511415daadb8202.pdf","2026-09-01","Home-language versus Urdu/English instructional-language non-overlap and education-system access context"
"NPL_LANG_2021","Languages in Nepal, National Population and Housing Census 2021","National Statistics Office, Nepal","2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","2026-09-01","Exact Nepal mother-tongue counts and shares; some census categories contain internal varieties"
"NPL_MICS_2024_25","Nepal Multiple Indicator Cluster Survey 2024–25","National Statistics Office, Nepal and UNICEF","2026","https://www.unicef.org/nepal/media/28566/file/Final_Nepal%20Multiple%20Indicator%20Cluster%20Survey%202024-25.pdf.pdf","2026-09-01","Foundational reading/numeracy and Nepali-home versus other-home-language reading gap; all reading assessed in Nepali"
"NPL_LANG_POLICY_2024","Understanding the Impact of Languages and Language Policies on Children's Learning Outcomes in Nepal","CEHRD, Language Commission, UNICEF, UNESCO, and British Council","2024","https://www.unicef.org/nepal/reports/understanding-impact-languages-and-language-policies-childrens-learning-outcomes-nepal","2026-09-01","Medium-of-instruction evidence and mother-tongue-to-Nepali/English bridging rationale"
"LKA_CENSUS_2024","Census of Population and Housing 2024 — Final Report","Department of Census and Statistics, Sri Lanka","2024","https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf","2026-09-01","Ethnicity counts used as Sinhala/Tamil community proxies; no exact L1 table used"
