benchmark_profile_id,flores_code,language_code,script_code,profile_measurement_kind,profile_match_scope,aligned_sentences,tokenization_measurement_set_sha256,direct_measurement_row_hash,profile_row_hash,profile_set_hash
flores:ace_Arab,ace_Arab,ace,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,e9a20b67ac3644d9b1167c06743db42640d622bac284fbfe886c6aedca91b8c1,252191d6617c2f32dd62bf21e0680e13913587166959753c4af399ce8c5c90e1,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ace_Latn,ace_Latn,ace,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,1b2bb0c96d57ca43938f58c310eeea0b900eb7659eec497eed351fda77d7785a,ef4f764b1d6a77996c5c0370d5ff6bb4cb6913ce52770f07bb3d1e5e89476f79,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:acm_Arab,acm_Arab,acm,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b8bef738661551383cbdcfda0602fedf4b0b687a3aa5d767caa7d7557957f79c,9b524604ddda8cd33cac6fc97fc00ddf9bfd80b65b7dbaf866d12359860ca1a1,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:acq_Arab,acq_Arab,acq,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,4f53bb70e2b4fcee6e98c36b79f4815a6b43fc6c398020b25757e25b7fe955d2,915a1771f0b1eeb9a76a6ca525d02acdd1dbb0788c3a699b4fcb72c31b0ee6d1,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:aeb_Arab,aeb_Arab,aeb,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,7b8f38318c90b2af33d0e5a3c5c7c15ce2a158f51e316154421c06016f448483,e3640bdd8b61c93dd68932f0bca0b57dfce97716cea28f7768003c8c17b843fe,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:afr_Latn,afr_Latn,afr,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b36409ac82ca918d68d9c2f4d14b9760b5755f19a398fab83300034b1da021a6,1a9e68fddd9cc095874e6af23938b4aa4aff3cd0d4d8a94b71d8a046afe52d8e,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ajp_Arab,ajp_Arab,ajp,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,1f1418d90906a442130d79f17877b575e7ca798700608d5836833aee1e996566,1759bd505a12bb930118902621861fae82b6329a2ac05188469968e5b1f9bc96,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:aka_Latn,aka_Latn,aka,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,8e23a9c75fdc45e4d14fbd74312d09c15b2b09e803566dbd07506b55f0bcc101,449200761a564d201349ac5fefe735751dbf22607529fe1af6a3202f5ba9b9d4,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:als_Latn,als_Latn,als,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,59aab1e0dde18b67023ff5c4c1f6413aff4e4a771a3ab41c1913f4e61bdbf67b,a4722eaa6d5e9cd3520e5de5e9106e5b301aa167d7f922db39e421bbcd0d0f68,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:amh_Ethi,amh_Ethi,amh,Ethi,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,2db09bdd0fcb36c6ba02cb995ec787507dce50eb47a5c93e0fbca858786315cf,b97d7a5519c6c0d40c1d89447f4781cfe68bb41879b64c9cbfa22ef30523870c,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
