factor_id,factor_registry_version,standard_compute_model_version,term_family,factor_code,factor_description,quantity_unit,coefficient_mean,coefficient_p05,coefficient_p50,coefficient_p95,coefficient_lower_bound,coefficient_upper_bound,coefficient_unit,strictly_positive_required,benchmark_source_id,registry_row_hash,registry_hash
F001,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,text.terminology.fit,"Fresh input for concept definitions, contexts, alternatives, and reconciliation",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,b53b40d324d2180c59c141b74a6db226ba3f25ef4b3d97e16b08a3ff10023cd6,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F002,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,text.terminology.fot,Visible terminology records and decision notes,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,6a4ca4c6209bcd8528dd4ea401dbdb42cd0995266af4bc52463bfbe8222eb873,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F003,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,text.terminology.frt,Disjoint hidden reasoning for terminology decisions,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,0b6a2217578b3cc3eee3155ee73fbe1c1064522421d206bb4d21f5ece2d1a719,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F004,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon size,text.generation.source.fit,Canonical source read for generation,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC25,078662c8c7c2e8bbbda9c9ca06d91aa0336192727a6a12a62c64689d33809ee4,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F005,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon size,text.generation.context.fit,"Instructions, retrieval, examples, terminology, and chunk overlap",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,1388e19e9845455479e5834aa6f861b02886a295a42a587c705458e3533226b6,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F006,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,language-script representation,text.generation.target.fot,Visible generated target text,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC24,1ce7b31c4098c337c1ae35b28e56a133d82ae413a9cdda4d4bd7c94947739600,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F007,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon size,text.generation.frt,Disjoint hidden reasoning for translation and educational adaptation,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,05fc4773ee1caa9a4941609f1388cafd37505d8784dc9f1b95bbab2da02ee895,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F008,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,text.qa.source.fit,Canonical source reads by independent model contexts,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC06,f09da5201c29104f31c063c3bc1b56f2e5f6844cc9814b3dd4db8817857adde5,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F009,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,text.qa.target.fit,Target reads by independent model contexts,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC06,f11481aac7a8a9995891ed50a0b9ba4536b08b820775c6a355a826c094889177,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F010,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,text.qa.context.fit,Audit specifications and terminology supplied to independent contexts,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC06,2478fdb21cea40395a355b8379b62b54a139292811584a88bcc3a8e6c8cd3ad4,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F011,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,text.qa.report.fot,Independent issue-manifest output,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,1ad580fcf64e5a78b465d376281830c7c83e78cc2a59a7abb9798c9615ec87a2,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
