candidate_id,target_label,language_variety,language_tag,script_orthography,territory_community,modality,learner_stage_scope,population_low,population_base,population_high,population_unit,population_definition,population_reference_year,population_source_id,population_source_url,academic_language_overlap_low,academic_language_overlap_base,academic_language_overlap_high,overlap_definition,baseline_access_status,evidence_confidence,rankable,notes
"A11Y_SEMANTIC_RESPONSIVE_HTML","Semantic responsive HTML canonical content layer","All written languages; page content and metadata require localization","","Unicode and local-script support; carrier is script-neutral","Global; instantiate and test by language, locale, device, and assistive-technology stack","semantic responsive HTML with keyboard-operable interaction","early childhood-primary-secondary-TVET-higher education-adult and lifelong learning","","","","not_estimated_nonexclusive_access_overlay","No defensible beneficiary denominator: this cross-language carrier serves multiple overlapping disability, device, and language-access cohorts.","","","","","","","Global overlay; overlaps every population-specific intervention and must not be added to disability or connectivity estimates.","WCAG conformance and semantic markup are implementation baselines, not proof of interoperability or educational-task access.","high_standard_low_population_specificity","false","evidence_source_ids=W3C_WCAG22_2024|W3C_REFLOW_ND|W3C_TARGET_ND; target WCAG 2.2 AA, 320-CSS-pixel reflow, and applicable 24-by-24-CSS-pixel target-size test; manual keyboard, screen-reader, zoom, and mobile testing remains necessary"
"A11Y_REFLOWABLE_EPUB33","Downloadable born-accessible reflowable EPUB 3.3","All written languages; text, navigation, metadata, pronunciation, and directionality require localization","","Unicode HTML/CSS/SVG package; local script and directionality requirements apply","Global; instantiate and test by language and reading-system ecosystem","downloadable reflowable EPUB 3.3","primary-secondary-TVET-higher education-adult and lifelong learning","","","","not_estimated_print_disability_overlay","No defensible single global print-disability prevalence estimate; WIPO defines the beneficiary group functionally rather than epidemiologically.","","WIPO_MARRAKESH_2013","https://www.wipo.int/wipolex/en/text/301016","","","","Overlaps blindness, low vision, dyslexia, motor disability, cognitive conditions, offline use, HTML, audio, braille, and MathML; no additive count is valid.","A valid EPUB package can still fail in older reading systems; actual WCAG version and level, package validation, metadata, navigation, and device interoperability must be reported.","high_standard_low_population_specificity","false","evidence_source_ids=W3C_EPUB33_2023|W3C_EPUBA11Y11_2023|WIPO_MARRAKESH_2013; reflowable layout is the default; fixed layout needs an educational justification"
"A11Y_SYNCHRONIZED_TEXT_AUDIO","Navigable full text synchronized with narration","Any written and spoken language/variety; narration, pronunciation, accent, names, mathematical speech, and code-switching require local QA","","Written script plus timed spoken-language track","Global; instantiate by written/spoken language pair and learner community","synchronized text and audio with structured navigation, replay, and speed control","early literacy-primary-secondary-adult basic education-second-language learning-higher education","6.27","7.10","7.97","percent_primary_school_children_pooled_dyslexia_prevalence","Random-effects pooled developmental-dyslexia prevalence in primary-school children; 95% CI 6.27%-7.97%; studies searched through June 2021; I-squared 97.6%; proxy only, not an all-age user count.","","YANG_DYSLEXIA_2022","https://pmc.ncbi.nlm.nih.gov/articles/PMC8870220/","","","","The dyslexia percentage is a bounded school-stage proxy and overlaps print disability, low literacy, language learning, and visual disability; the intervention also serves people outside that measure.","Audio without synchronized full text loses spelling, tables, equations, and visual structure; long works need hierarchical navigation and granular seeking.","medium_due_to_high_meta_analysis_heterogeneity","false","evidence_source_ids=YANG_DYSLEXIA_2022|DAISY_FORMAT_ND|W3C_EPUB33_2023|W3C_WCAG22_2024; evidence is a meta-analysis published in 2022 from studies searched through June 2021; do not extrapolate the rate to all ages or a global headcount"
"A11Y_PRERECORDED_CAPTIONS","Localized closed captions for prerecorded instructional media","Any written language matching or deliberately translating the media; language tags and subject terminology require localization","","Localized written captions; not a signed language","Global; instantiate by media language, learner language, and subject","selectable prerecorded captions","early childhood-primary-secondary-TVET-higher education-adult and lifelong learning","","430000000","","persons_disabling_hearing_loss_rehabilitation_proxy","WHO estimate of people with disabling hearing loss requiring rehabilitation, defined here as greater than 35 dB in the better-hearing ear; this is not a caption-user count.","","WHO_HEARING_2026","https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss","","","","Repeated hearing-loss proxy intentionally overlaps live captions, transcripts, sign-language users, and other accommodations; it must not be summed across rows.","Speech, relevant non-speech sound, speaker identity, on-screen text, symbols, and units must be complete; subtitles without sound information are not necessarily captions.","high_measure_medium_intervention_specificity","false","evidence_source_ids=WHO_HEARING_2026|W3C_WCAG22_2024; WHO fact sheet updated 3 March 2026 does not state an estimate reference year; captions are written-language resources and do not replace a named sign language"
"A11Y_LIVE_CAPTIONS","Localized live captions for synchronous instruction","Any written language matching or deliberately translating the session; subject terminology and speaker attribution require local production","","Localized written captions; not a signed language","Global; instantiate by session language, learner language, and subject","live captions for synchronous audio and video","primary-secondary-TVET-higher education-adult and lifelong learning","","430000000","","persons_disabling_hearing_loss_rehabilitation_proxy","WHO estimate of people with disabling hearing loss requiring rehabilitation, defined here as greater than 35 dB in the better-hearing ear; this is not a live-caption-user count.","","WHO_HEARING_2026","https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss","","","","The same hearing-loss proxy is repeated, not added; it overlaps prerecorded captions, transcripts, named sign-language users, and users outside clinical thresholds.","Live latency, speaker attribution, terminology, mathematical symbols, and correction behavior require separate measurement; aggregate word accuracy is insufficient.","high_measure_medium_intervention_specificity","false","evidence_source_ids=WHO_HEARING_2026|W3C_WCAG22_2024; WHO fact sheet updated 3 March 2026 does not state an estimate reference year; WCAG 2.2 Level AA includes live captions for synchronized media"
"A11Y_DOWNLOADABLE_TRANSCRIPT","Downloadable full transcript for instructional audio or video","Any written language matching or deliberately translating the media; language tags and subject terminology require localization","","Localized written text","Global; instantiate by media language, learner language, and subject","downloadable searchable full transcript","early childhood-primary-secondary-TVET-higher education-adult and lifelong learning","","430000000","","persons_disabling_hearing_loss_rehabilitation_proxy","WHO estimate of people with disabling hearing loss requiring rehabilitation, defined here as greater than 35 dB in the better-hearing ear; this is not a transcript-user count.","","WHO_HEARING_2026","https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss","","","","Repeated nonadditive hearing-loss proxy; transcripts also overlap low-bandwidth, search, translation, second-language, and cognitive-access cohorts.","A transcript must include all instructional speech, relevant sound, speaker changes, and on-screen information and remain downloadable independently of high-bandwidth media.","high_measure_medium_intervention_specificity","false","evidence_source_ids=WHO_HEARING_2026|W3C_WCAG22_2024; WHO fact sheet updated 3 March 2026 does not state an estimate reference year; transcript is a written-language alternative, not a substitute for synchronized captions or a named sign language"
"A11Y_NAMED_SIGN_LANGUAGE_VIDEO","Instructional video in one named national or regional sign language, paired with text and captions","NAMED SIGN LANGUAGE REQUIRED; instantiate one candidate per identified language and variety","","Signed language; not a written-script overlay and not International Sign by default","Named Deaf community and territory must be specified before implementation","named local sign-language video synchronized to instructional content, paired with text/captions/audio","early childhood-foundational literacy-primary-secondary-TVET-higher education-adult learning","","","","persons_named_sign_language_users_not_estimated","No language-specific denominator is available in the global report. The UN contextual figure of more than 70 million deaf people across more than 300 sign languages cannot be assigned to any named-language candidate and is not interchangeable with WHO hearing-loss counts.","","UN_SIGN_LANG_ND","https://www.un.org/en/observances/sign-languages-day","","","","Must be measured separately for each named sign language and community; hearing-loss proxies, captions, International Sign, and other sign languages are not substitutes or additive denominators.","A fluent local signer must render concepts rather than words; face, hands, torso, contrast, adjustable size, synchronization, and compressed downloadable segments require verification.","high_language_distinction_low_population_specificity","false","evidence_source_ids=UN_SIGN_LANG_ND|UNICEF_ADT_REQ_2019|UNICEF_SIGN_GUIDE_2019; template is deliberately unrankable until a named language, variety, territory, and population measure are supplied"
"A11Y_LOCALIZED_PLAIN_LANGUAGE","Localized plain-language version alongside the precise source","Any target written language; rewriting and cultural examples must be local rather than mechanically translated","","Target-language script and orthography","Global; instantiate by language, literacy context, subject, and community","plain-language text with predictable structure and explained terminology","foundational learning-TVET-health and safety education-adult basic education-older-adult learning","","739000000","","persons_adults_15plus_lacking_basic_literacy_proxy","UIS 2025 global estimate of adults aged 15+ lacking basic literacy skills; underlying literacy data are largely self- or proxy-declared and may understate functional difficulty; proxy only.","2025","UNESCO_LITERACY_2025","https://www.unesco.org/en/literacy?hub=68243","","","","Literacy proxy overlaps cognitive disability, dementia, language impairment, limited instructional-language proficiency, digital skill gaps, and stress; it is not a plain-language-demand count.","Plain language must preserve meaning, explain technical terms, and be tested as a localized version; English readability formulas and grade thresholds do not transfer reliably across languages.","medium_due_to_coarse_self_or_proxy_literacy_measure","false","evidence_source_ids=UNESCO_LITERACY_2025|UNESCO_ILD_2025|ISO_PLAIN_2023|W3C_COGA_2021; advanced material may need a plain summary alongside rather than instead of the precise source"
"A11Y_LOCALIZED_EASY_READ","Localized Easy Read version with supportive images and reduced memory load","Any target written language; Easy Read conventions and images require local cultural and linguistic adaptation","","Target-language script plus supportive images or symbols","Global; instantiate by language, cognitive-access context, subject, and community","Easy Read text and image version","foundational learning-public and safety information-procedural TVET-adult and older-adult learning","9.55","10.37","11.18","persons_per_1000_population_intellectual_disability_meta_analysis","Pooled intellectual-disability prevalence per 1,000 population from 52 population-based studies published 1980-2009; 95% CI 9.55-11.18; heterogeneous definitions, ascertainment, settings, ages, and income groups.","1980-2009","MAULIK_ID_2011","https://pubmed.ncbi.nlm.nih.gov/21236634/","","","","The dated intellectual-disability rate is not an Easy Read uptake measure and overlaps plain language, dementia, literacy, language impairment, and supported-interaction needs.","Easy Read has no single global convention; comprehension, navigation, images, literal language, error recovery, and memory demand require local verification beyond surface readability.","medium_low_due_to_dated_heterogeneous_meta_analysis","false","evidence_source_ids=MAULIK_ID_2011|W3C_COGA_2021; population_reference_year records the source-study publication range, not the 2011 meta-analysis publication year; do not convert the rate to a current headcount"
"A11Y_DECLARED_CODE_BRAILLE","Navigable eBraille and embossable braille in a declared language and specialist code","One named written language and braille code per edition; contraction level and specialist code must be declared","","Language-specific braille code; mathematics and music may require additional specialist codes","Global; instantiate by language, country convention, subject code, and available hardware","navigable eBraille or BRF plus embossable braille output","beginning braille literacy-primary-secondary-TVET-higher education-adult learning","","","","persons_braille_readers_not_estimated","No defensible global braille-reader or device-access denominator is available; blindness prevalence is not a braille-usage count.","","","","","","","Overlaps blindness, deafblindness, print disability, tactile graphics, audio, and structured e-text; no impairment estimate may be treated as braille demand.","Braille codes vary by language, country, contraction level, and subject; actual display/embosser verification and hardware availability remain separate constraints.","high_code_evidence_low_population_specificity","false","evidence_source_ids=WORLD_BRAILLE_2013|LOC_BRAILLE_ND|WIPO_ABC_ND|CRPD_ART24_2006|WHO_UNICEF_AT_2022; World Braille Usage documents 133 languages and 137 alphabet-and-punctuation codes, not a user population"
