stratum_id,label,aliases,territory,script_or_mode,population_unit,population_low_persons,population_base_persons,population_high_persons,population_measure_class,population_definition,population_reference_year,population_secondary_context,education_language_exposure_mismatch_by_stage,learning_completion_evidence,functional_resource_access,open_adaptable_scarcity,academic_lingua_franca_nonoverlap,device_connectivity_electricity,accessible_offline_delivery_evidence,source_ids,source_urls,source_locators,uncertainty_incompatibilities,evidence_confidence
acm-Arab-IQ,Iraqi Arabic,Mesopotamian Arabic varieties,Iraq,spoken Iraqi/Mesopotamian Arabic; Arabic-script literacy separate,persons,,,,no_compatible_direct_variety_person_denominator,No direct national Iraqi-Arabic L1 denominator is established; Iraqi residents cannot be assigned wholesale to Arabic.,current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,"Kurdish, Turkmen, Neo-Aramaic and other residents remain separate; no MSA inheritance.","high for variety/register separation; low for exact population, learning and resource denominators"
afb-Arab-XGULF,Gulf Arabic varieties,Khaleeji; Gulf vernacular package,"Saudi Arabia, Kuwait, Bahrain, Qatar, UAE and Oman",spoken Gulf varieties; citizen/migrant and national overlays separate,persons,,,,no_compatible_direct_variety_person_denominator,No shared Gulf-Arabic denominator is established; country populations and citizen/resident constructs are not pooled.,current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,Large migrant populations make territorial inheritance especially invalid.,"high for variety/register separation; low for exact population, learning and resource denominators"
apd-Arab-SD,Sudanese Arabic,Sudanese vernacular Arabic,Sudan,spoken Sudanese Arabic; MSA and script literacy separate,persons,,,,no_compatible_direct_variety_person_denominator,No direct national Sudanese-Arabic L1 denominator is established; displacement makes date/geography essential.,current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,Other Sudanese languages and displaced populations remain separate; no macro inheritance.,"high for variety/register separation; low for exact population, learning and resource denominators"
ar-001-context,Arabic macrolanguage umbrella context,Arabic umbrella; not MSA or a child variety,Worldwide context,macrolanguage umbrella; Arabic and other scripts; no exact variety construct,persons,,,,rounded_macrolanguage_context_no_numeric_person_field,No numeric person field is entered. UNESCO describes approximately 450m Arabic speakers as a rounded umbrella context that cannot be assigned to MSA or any spoken child variety.,2024 context,World Bank Arab World modeled residents are a different non-language territorial aggregate and are not added.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_EDAC00F12E1B;ASIA_DD1B1BF459DE,https://www.unesco.org/en/arabic-language?hub=752;https://data.worldbank.org/indicator/SP.POP.TOTL?locations=1A,UNESCO approximate umbrella context; World Bank Arab World aggregate kept as a separate territorial construct.,"Macrolanguage, register, spoken variety, script and territorial residence are incompatible. No child inherits the approximately 450m context.","high for variety/register separation; low for exact population, learning and resource denominators"
ar-Arab-XLEV,Levantine Arabic varieties,Levantine; North/South Levantine package,"Lebanon, Syria, Jordan and Palestinian territories",spoken Levantine varieties; national overlays and Arabic-script literacy separate,persons,,,,no_compatible_direct_variety_person_denominator,"No comparable direct aggregate person denominator is entered; each territory, displacement status and national variety requires a separate row.",current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,Do not add displaced people across residence/origin or inherit MSA/umbrella totals.,"high for variety/register separation; low for exact population, learning and resource denominators"
ar-Arab-XMAGH,Maghrebi Arabic varieties,Darija/Maghrebi package; not one national language,"Morocco, Algeria, Tunisia and Libya",spoken Maghrebi varieties; national standards and scripts separate,persons,,,,no_compatible_direct_variety_person_denominator,"No shared Maghrebi person denominator is established; Moroccan, Algerian, Tunisian and Libyan varieties require separate national rows.",current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,Amazigh/Berber populations and French educational use are separate overlays.,"high for variety/register separation; low for exact population, learning and resource denominators"
ar-Arab-YE-varieties,Yemeni Arabic varieties,Yemeni vernacular package,Yemen,spoken Yemeni Arabic varieties; Arabic-script literacy separate,persons,,,,no_compatible_direct_variety_person_denominator,No direct national Yemeni-Arabic L1 denominator is established; Yemen residents would only be a territorial context.,current evidence review,Candidate retained visibly without a rankable person field.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_FB5A2B3A6E71,https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank LOI report Box 4 p31 and surrounding discussion distinguish MSA from colloquial Arabic types.,"Mehri, Soqotri and other language communities remain separate; no dialect uniformity is assumed.","high for variety/register separation; low for exact population, learning and resource denominators"
arb-Arab-001,Modern Standard Arabic written/educational register,MSA; fuṣḥā; formal written Arabic,Arab World aggregate context,formal written/educational Arabic register; Arabic script; not an L1,persons,,,503356133,Arab_World_territorial_education_register_exposure_ceiling,"World Bank 2025 modeled Arab World resident aggregate retained only as a maximum territorial exposure context for the common formal register; not MSA readers, L1 users or literacy.",2025,UNESCO approximately 450m Arabic-speaker umbrella is a separate rounded context. Neither figure is assigned to a spoken variety.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_DD1B1BF459DE;ASIA_FB5A2B3A6E71;ASIA_EDAC00F12E1B,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=1A;https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf;https://www.unesco.org/en/arabic-language?hub=752,"World Bank Arab World population total; World Bank LOI Box 4 p31 on MSA as written educational register, not L1; UNESCO umbrella context.",Arab World residents include non-Arabic L1 users and migrants. The ceiling does not measure MSA literacy and is never added to umbrella or vernacular rows.,"high for variety/register separation; low for exact population, learning and resource denominators"
arz-Arab-EG,Egyptian Arabic,Masri; Egyptian vernacular,Egypt,spoken Egyptian Arabic; Arabic-script and Latin-transliteration resources are separate targets,persons,,,116538258,territorial_variety_exposure_ceiling_not_language_count,World Bank 2024 Egypt population estimate retained only as a territorial ceiling; no direct Egyptian-Arabic speaker or script-reader count is established.,2024,The same territorial value cannot be copied separately to Arabic-script and Latin-transliteration interventions.,"MSA is a formal written/educational register, not an L1; home varieties and minority languages require separate stage evidence. No macro total is assigned to a child variety.",Unknown for the exact variety/register in this bundle; Arab-region or national learning results are not copied without a language-of-assessment and cohort match.,"No overall resource negative control is established by population, official status or a common register.","Unknown at the exact variety, script, stage and licence endpoints; macro Arabic resources do not establish child-variety fit.","Unknown; home-variety ability, MSA literacy and English/French academic proficiency are different constructs.",No country or regional connectivity total is transformed into a language-variety count.,"Arabic-script shaping, diacritics, bidirectional layout, captions/audio and offline/print routes require variety- and territory-specific QA; no person product is derived.",ASIA_3726B96EFD5A;ASIA_FB5A2B3A6E71,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=EG;https://documents1.worldbank.org/curated/en/517851626203470278/pdf/Effective-Language-of-Instruction-Policies-for-Learning.pdf,World Bank Egypt population estimate; World Bank LOI p31 variety/register distinction.,"Egypt residents include non-Egyptian-Arabic users; territory, spoken variety, MSA, literacy and transliteration are separate.","high for variety/register separation; low for exact population, learning and resource denominators"
bn-Beng-BD,Bangla in Bangladesh,Bengali; Bangla,Bangladesh,Bengali script,persons,,168419331,,context_only_mixed_year_derived_scale_proxy,"Arithmetic scale proxy from the BBS 2022 adjusted population and the SEDS 2023 weighted sample share 99.17% for Bangla as childhood language of greatest speaking proficiency. It is retained only as approximately 168.42m context, not an exact count or uncertainty interval.",2022 adjusted population × 2023 survey share,"169828911 x 99.17% = 168419331 for reproducibility. The former 168410840-168427822 endpoints reflected decimal rounding only and are removed because they omitted sample/design, nonresponse, measurement and cross-year uncertainty.","Bangla is the dominant school language. LASI Table 28 reports Band 2 or below on a common English scale: Grade 6 general 27% (SE 1.5), madrasah 37% (SE 4.1); Grade 8 general 9% (SE 0.7), madrasah 12% (SE 1.7). No home-language split.","Final MICS 2025: ages 7-14 foundational reading 50.2% and numeracy 39.2%; completion primary 83.7%, lower secondary 69.3%, upper secondary 43.9%. Among children of expected age for Grades 2/3, 24.4% met reading and 18.2% numeracy standards. Reading tasks could be Bangla or English; results are national.","NCTB pages establish downloadable books at the specifically listed grades/stages only. They do not establish full-stage completeness, accessibility or open reuse/adaptation rights.",Functional school supply is strong; title-level open reuse/adaptation and a complete openly licensed higher-education/research ladder remain unverified.,Partial school cohorts only. LASI measures English thresholds but has no home-language split; adult and tertiary academic-English overlap are unknown.,MICS 2025 national context: home internet 72.1%; women 15-49 recent internet use 48.3%; women 15-24 ICT skill 37.6%. No exact Bangla cross-tab.,"Downloadable/printable NCTB content, low-data audio, local-server/SD distribution, semantic reflow, captions and screen-reader support fit the access evidence. Gender and skills gaps prohibit internet-only assumptions.",ASIA_0907C88BFE6D;ASIA_5B3AAC5FD43C;ASIA_16D1E3FA20B5;ASIA_18994B5DE59F;ASIA_E11E3B7F7A83;ASIA_5AB6108D5CD1;ASIA_8F34F008C0EB,https://phc.icms.gov.bd/Data/PHC2022/NationalReport/Report/NationalVolumeReport1.pdf;https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2026/7/f9fbdf1e-d19c-4935-97f5-ac86fab53dec.pdf;https://www.unicef.org/bangladesh/en/reports/bangladesh-multiple-indicator-cluster-survey-2025-0;https://www.unicef.org/bangladesh/media/13106/file/Bangladesh%202025%20MICS%20Survey%20Findings%20Report.pdf.pdf;https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-dshe/2024/12/6ba1433dbed947748088433245b2806e.pdf;https://nctb.gov.bd/pages/static-pages/695b97ffc4774958d7b70329;https://nctb.gov.bd/pages/static-pages/695b98afc4774958d7b7044c,BBS PHC 2022 National Report Vol. I Table 3.2.1 p49; SEDS 2023 pp65-66/Table 3.6; final MICS 2025 findings; LASI Table 28 p47; bounded NCTB stage pages.,The point is a mixed-year derived proxy from a census adjustment and a weighted household sample share. It is unrankable against direct counts; national learning and English-stage measures lack a Bangla-only cross-tab.,medium for approximate language scale; high for cited national MICS/LASI endpoints; low for exact population and open-resource completeness
