"stratum_id","label","aliases","territory","script_or_mode","population_unit","population_low_persons","population_base_persons","population_high_persons","population_measure_class","population_definition","population_reference_year","population_secondary_context","education_language_exposure_mismatch_by_stage","learning_completion_evidence","functional_resource_access","open_adaptable_scarcity","academic_lingua_franca_nonoverlap","device_connectivity_electricity","accessible_offline_delivery_evidence","source_ids","source_urls","source_locators","uncertainty_incompatibilities","evidence_confidence"
"aii-Syrc-AM","Assyrian Neo-Aramaic in Armenia","Suret; Assyrian","Armenia","Syriac script; local Cyrillic/Latin transcription separately tagged","persons","2213","2213","2213","census_mother_tongue","2022 census mother-tongue count for the Assyrian category, as reproduced by the Council of Europe.","2022","The census label is retained; script literacy and fine-grained spoken-variety mapping are not enumerated.","Minority-language subject teaching exists in limited schools/grades, while Armenian is the main medium and credential language. Teacher/material continuity remains constrained.","No compatible exact-language learning or completion endpoint was verified.","Some textbooks/classes and cultural materials exist; geographic reach, full sequence, accessibility and open licensing are unverified.","Some textbooks/classes and cultural materials exist; geographic reach, full sequence, accessibility and open licensing are unverified. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","Armenian is the principal credential/academic bridge; no tested academic-Armenian distribution for this minority mother-tongue group is verified.","Armenia national connectivity cannot be assigned to this small language stratum; offline and accessible formats are necessary for dispersed provision.","Armenia national connectivity cannot be assigned to this small language stratum; offline and accessible formats are necessary for dispersed provision. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","ARM_COE_2025;OER_UNESCO_2019;WCAG_22","https://rm.coe.int/armeniapr6-en/1680af6e84;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","ARM_COE_2025: Tables 1–3 and education chapters; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Exact census mother-tongue category, not script readers. Syriac, Cyrillic and Latin literacy arms are nonadditive and unmeasured.","high for census category; medium for education provision; low for script reach, learning and OER completeness"
"av-Cyrl-RU-DA","Avar in Dagestan","Avaric; магӏарул мацӏ","Russian Federation, chiefly Dagestan","Avar in Dagestan Cyrillic orthography","persons","","","","unrankable_no_compatible_language_count","No compatible current Avar-language/script person count was verified in the authoritative source set.","","Rosstat ethnicity/language tables provide related counts, but no value was selected without a directly verified compatible exact-language threshold.","Russian is the dominant language of education, urban life and upward mobility in the North Caucasus; local-language subject teaching does not establish a continuous medium.","No compatible exact-language assessment/completion endpoint was verified.","Literary and school-subject resources exist; full grade/subject, accessible/open and tertiary continuity is unverified.","Literary and school-subject resources exist; full grade/subject, accessible/open and tertiary continuity is unverified. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","Russian is the principal credential/academic bridge; no tested academic-Russian distribution for this exact language stratum is verified.","Regional/rural access varies and is not cross-tabulated by exact language or script.","Regional/rural access varies and is not cross-tabulated by exact language or script. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","RUS_CENSUS_2021;DAG_LANGUAGE_ED;OER_UNESCO_2019;WCAG_22","https://www.rosstat.gov.ru/vpn/2020/Tom5_Nacionalnyj_sostav_i_vladenie_yazykami?print=1;https://journals.sagepub.com/doi/10.1177/1367006920959717;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","RUS_CENSUS_2021: nationality tables; DAG_LANGUAGE_ED: education and mobility findings; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Explicit unrankable population gap; do not substitute Avar ethnicity estimates, Dagestan totals or macro Northeast Caucasian labels.","medium for mismatch; low for compatible population, learning and OER completeness"
"az-Latn-AZ","Azerbaijani in the Azerbaijan Latin standard","Azərbaycan dili; North Azerbaijani","Azerbaijan","Azerbaijani Latin alphabet","persons","9436123","9436123","9436123","census_ethnicity_proxy","2019 census Azerbaijani ethnic-category count, retained explicitly as a proxy rather than a language or script-literacy count.","2019","No compatible current count of Azerbaijani Latin readers was verified in the cited yearbook.","Azerbaijani is the state-school language; Russian and minority routes remain. No stage-specific mismatch estimate is assigned to the ethnicity proxy.","World Bank learning-poverty evidence is national and not language/script-disaggregated.","Large official-language educational and digital supply exists; open licensing, accessibility and complete tertiary continuity are not established.","Large official-language educational and digital supply exists; open licensing, accessibility and complete tertiary continuity are not established. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","The state language is the main credential/academic layer, with Russian and English also present. No compatible tested academic-language proficiency distribution for this exact stratum was verified; home/mother tongue and school-medium exposure are not bridge reach.","Country connectivity context is not cross-tabulated by Azerbaijani language/script literacy; offline accessibility remains required.","Country connectivity context is not cross-tabulated by Azerbaijani language/script literacy; offline accessibility remains required. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","AZE_YEARBOOK_2024;AZE_WB_LP_2024;OER_UNESCO_2019;WCAG_22","https://www.stat.gov.az/menu/6/statistical_yearbooks/source/stat-yearbook_2024.pdf;https://documents1.worldbank.org/curated/en/099090524095540091/pdf/P17920914d547808f19c6911e867c418233.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","AZE_YEARBOOK_2024: Table 2.7; AZE_WB_LP_2024: p. 1; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Ethnicity proxy, not speaker, reader or academic-proficiency count. Iranian Azerbaijani and Cyrillic/Arabic script arms are outside this row.","high for proxy and national learning context; low for exact readers and OER completeness"
"az-Latn-GE","Azerbaijani in Georgia","Georgia Azerbaijani; Azərbaycan dili","Georgia excluding occupied territories per census scope","Azerbaijani Latin alphabet","persons","265534","265534","265534","census_mother_tongue","2024 census count reporting Azerbaijani as mother tongue.","2024","Mother tongue is not literacy, ethnicity, school medium or Georgian proficiency.","Minority-language schools exist, but Georgian is required for national examinations and most tertiary progression. OECD reports less than 20% Georgian proficiency among ethnic Azerbaijanis and lower tertiary/performance outcomes across minority communities.","OECD/UNICEF document minority performance and progression gaps; exact mother-tongue-specific current endpoints are not compatible and remain unranked.","School-subject and some minority-medium materials exist; complete accessible open progression and transition supports are unverified.","School-subject and some minority-medium materials exist; complete accessible open progression and transition supports are unverified. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","Georgian is the main credential/tertiary bridge. Population-wide tested academic-Georgian proficiency for this mother-tongue row is unavailable.","Georgia national connectivity is not cross-tabulated by mother tongue; minority/rural access requires offline options.","Georgia national connectivity is not cross-tabulated by mother tongue; minority/rural access requires offline options. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","GEO_CENSUS_2024;GEO_OECD_ED;GEO_UNICEF_SITAN_2025;OER_UNESCO_2019;WCAG_22","https://www.geostat.ge/media/80541/Main-Results-of-the-2024-Population-and-Agricultural-Census.pdf;https://www.oecd.org/en/publications/oecd-reviews-of-evaluation-and-assessment-in-education-georgia_94dc370e-en/full-report/the-education-system-in-georgia_d22c5e97.html;https://www.unicef.org/georgia/media/9886/file/UNICEF_CHILDREN%20AND%20ADOLESCENT%20RIGHTS%20IN%20GEORGIA_2025-ENG.pdf.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","GEO_CENSUS_2024: p. 15, mother tongue; GEO_OECD_ED: minority-language and tertiary-access sections; GEO_UNICEF_SITAN_2025: education and minority sections; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Exact mother-tongue count. OECD ethnicity/proficiency findings use different years and denominators and cannot be converted into a count or assumed for every speaker.","high for census count; medium-high for mismatch; low for exact learning and OER completeness"
"bcc-Arab-001","Southern Balochi","Balochi of Makran; Southern Baluchi","Pakistan, Iran and Gulf communities","Perso-Arabic Balochi orthographies; Latin transliteration separately tagged","persons","3400000","3400000","3400000","peer_reviewed_rounded_speaker_estimate","Peer-reviewed branch-specific estimate reported as 3,400,000 people.","2021","3.4 million rounded L1 estimate.","School/credential languages differ across territories (including Urdu, Persian, Dari, English and state languages). No compatible branch-specific stage exposure distribution was verified.","No compatible exact-branch learning or completion endpoint was verified.","University research documents dialect/orthography diversity and limited computational/documentary resources; no full formal curriculum inventory exists.","Existing documentation and corpora do not establish continuous openly licensed, accessible school-to-tertiary coverage for this exact branch/orthography.","Academic languages differ by state; no compatible proficiency distribution or inferred bridge reach is used.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","BALOCHI_BRANCHES;BALOCHI_UPPSALA;OER_UNESCO_2019;WCAG_22","https://sujo.usindh.edu.pk/plugins/generic/pdfJsViewer/pdf.js/web/viewer.html?file=https%3A%2F%2Fsujo.usindh.edu.pk%2Findex.php%2FUSJICT%2Farticle%2Fdownload%2F4452%2F3064%2F8358;https://www.uu.se/en/department/linguistics-and-philology/research/proj/the-balochi-language;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","BALOCHI_BRANCHES: population estimates by Eastern, Western and Southern branch; BALOCHI_UPPSALA: variety, territory and standardization sections; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Rounded estimate, not census or script readers. Territory components are not allocable. Balochi branches and orthographies are not collapsed.","medium-low for rounded population estimate; medium for variety/resource evidence; low for learning and OER completeness"
"bfn-Latn-TL","Bunak","Bunaq; Bunake","Timor-Leste","Latin orthography","persons","64686","64686","64686","census_mother_tongue","2015 census first/mother-tongue count for Bunak.","2015","Second- and third-language counts are separately reported and are not added; literacy is not implied.","Tetun and Portuguese are official instructional languages, yet UNESCO/UNICEF reports more than 70% of children enter primary without fluency in either. EMULI supplies bounded mother-tongue early education; exact coverage for this variety is not a national denominator.","UNICEF’s 2020 national completion context is 77% primary, 62% lower secondary and 52% upper secondary; it is not disaggregated by mother tongue and is not assigned as an exact-variety rate.","EMULI and local initiatives establish bounded early-grade materials for some Timorese languages; exact Bunak coverage, teacher supply and continuation through secondary/tertiary remain unverified.","EMULI and local initiatives establish bounded early-grade materials for some Timorese languages; exact Bunak coverage, teacher supply and continuation through secondary/tertiary remain unverified. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","Portuguese and Tetun structure formal progression, while English and Indonesian have working/academic roles. No compatible proficiency distribution for this first-language stratum was verified; multilingual exposure is not bridge reach.","Timor-Leste rural and school access constraints are national context; no device/connectivity/electricity cross-tab by mother tongue was verified.","Timor-Leste rural and school access constraints are national context; no device/connectivity/electricity cross-tab by mother tongue was verified. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","TLS_CENSUS_2015;TLS_CENSUS_REPRO;TLS_UNESCO_UNICEF_MLE;TLS_UNICEF_SDG;OER_UNESCO_2019;WCAG_22","https://www.unicef.org/timorleste/reports/timor-leste-population-and-housing-census-2015;https://pmc.ncbi.nlm.nih.gov/articles/PMC9411783/;https://www.unesco.org/en/articles/unesco-and-unicef-strengthening-multilingual-education-sustainable-future-timor-leste;https://data.unicef.org/sdgs/country/tls/;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","TLS_CENSUS_2015: Table 12, mother tongue; TLS_CENSUS_REPRO: Table 1; TLS_UNESCO_UNICEF_MLE: language-at-school-entry and EMULI sections; TLS_UNICEF_SDG: education completion indicators; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Exact census mother-tongue count. Do not add L2/L3 users, infer literacy, transfer Tetun literacy to Bunak, or assume resources from another Timorese variety.","high for census count; high for national entry/completion context; low for exact-variety learning and OER completeness"
"bgn-Arab-001","Western Balochi","Western Baluchi; Rakhshani-related branch","Pakistan, Afghanistan, Iran and Turkmenistan","Perso-Arabic Balochi orthographies; Latin transliteration separately tagged","persons","1800000","1800000","1800000","peer_reviewed_rounded_speaker_estimate","Peer-reviewed branch-specific estimate reported as 1,800,000 people.","2021","1.8 million rounded estimate.","School/credential languages differ across territories (including Urdu, Persian, Dari, English and state languages). No compatible branch-specific stage exposure distribution was verified.","No compatible exact-branch learning or completion endpoint was verified.","University research documents dialect/orthography diversity and limited computational/documentary resources; no full formal curriculum inventory exists.","Existing documentation and corpora do not establish continuous openly licensed, accessible school-to-tertiary coverage for this exact branch/orthography.","Academic languages differ by state; no compatible proficiency distribution or inferred bridge reach is used.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","BALOCHI_BRANCHES;BALOCHI_UPPSALA;OER_UNESCO_2019;WCAG_22","https://sujo.usindh.edu.pk/plugins/generic/pdfJsViewer/pdf.js/web/viewer.html?file=https%3A%2F%2Fsujo.usindh.edu.pk%2Findex.php%2FUSJICT%2Farticle%2Fdownload%2F4452%2F3064%2F8358;https://www.uu.se/en/department/linguistics-and-philology/research/proj/the-balochi-language;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","BALOCHI_BRANCHES: population estimates by Eastern, Western and Southern branch; BALOCHI_UPPSALA: variety, territory and standardization sections; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Rounded estimate, not census or script readers. Territory components are not allocable. Balochi branches and orthographies are not collapsed.","medium-low for rounded population estimate; medium for variety/resource evidence; low for learning and OER completeness"
"bgp-Arab-PK-IN","Eastern Balochi","Eastern Baluchi","Pakistan and India","Perso-Arabic Balochi orthographies; Latin transliteration separately tagged","persons","5000000","5000000","5000000","peer_reviewed_rounded_l1_l2_estimate","Peer-reviewed branch-specific estimate reported as 5,000,000 people.","2021","5 million estimate explicitly includes L1 and L2 users.","School/credential languages differ across territories (including Urdu, Persian, Dari, English and state languages). No compatible branch-specific stage exposure distribution was verified.","No compatible exact-branch learning or completion endpoint was verified.","University research documents dialect/orthography diversity and limited computational/documentary resources; no full formal curriculum inventory exists.","Existing documentation and corpora do not establish continuous openly licensed, accessible school-to-tertiary coverage for this exact branch/orthography.","Academic languages differ by state; no compatible proficiency distribution or inferred bridge reach is used.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified.","Rural, border and displacement access contexts differ across territories; no branch-specific device/connectivity/electricity distribution was verified. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","BALOCHI_BRANCHES;BALOCHI_UPPSALA;OER_UNESCO_2019;WCAG_22","https://sujo.usindh.edu.pk/plugins/generic/pdfJsViewer/pdf.js/web/viewer.html?file=https%3A%2F%2Fsujo.usindh.edu.pk%2Findex.php%2FUSJICT%2Farticle%2Fdownload%2F4452%2F3064%2F8358;https://www.uu.se/en/department/linguistics-and-philology/research/proj/the-balochi-language;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","BALOCHI_BRANCHES: population estimates by Eastern, Western and Southern branch; BALOCHI_UPPSALA: variety, territory and standardization sections; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Rounded estimate, not census or script readers. The published figure mixes L1 and L2 and is explicitly not comparable to L1-only estimates. Balochi branches and orthographies are not collapsed.","medium-low for rounded population estimate; medium for variety/resource evidence; low for learning and OER completeness"
"bi-Latn-VU","Bislama","Bichelamar","Vanuatu","Latin orthography; spoken and written","persons","","","300019","territorial_exposure_ceiling","2020 resident population retained only as a maximum exposure ceiling because the cited census report does not provide a compatible all-ages Bislama-speaker count.","2020","The census analytical report gives 90.1% reported Bislama literacy among people age 15+; the age-specific denominator is not converted to a person total here.","Policy starts with vernacular/Bislama and transitions toward English or French. Materials and teacher capability constrain implementation, and language routes must remain distinct.","Adult reported literacy is not a school learning score. No Bislama-specific completion or assessed learning endpoint was verified.","National policy and broad reported literacy establish substantial functional Bislama use, but not a complete grade/subject catalog.","National policy and broad reported literacy establish substantial functional Bislama use, but not a complete grade/subject catalog. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","The cited school systems transition toward English or French, but no compatible population distribution of tested academic-language proficiency was verified for this exact stratum. Home use, conversational ability and classroom exposure are not bridge-reach measures.","Small-island, rural and remote delivery constraints are documented in the cited territorial sources; any connectivity values are territorial context and are not cross-tabulated by this language.","Small-island, rural and remote delivery constraints are documented in the cited territorial sources; any connectivity values are territorial context and are not cross-tabulated by this language. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","VUT_CENSUS_2020;VUT_CENSUS_ANALYTICAL;VUT_LANGUAGE_POLICY;OER_UNESCO_2019;WCAG_22","https://vnso.gov.vu/sites/default/files/2020NPHC_Volume_1.pdf;https://vnso.gov.vu/sites/default/files/2020_Vanuatu_National_Population_and_Housing_Census_-_Analytical_report_Volume_2.pdf;https://education.gov.vu/docs/policies/Vanuatu%20National%20Language%20Policy%20%28English%29_2012.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","VUT_CENSUS_2020: population totals; VUT_CENSUS_ANALYTICAL: adult literacy by language; VUT_LANGUAGE_POLICY: language progression and materials/teacher requirements; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Territorial ceiling; Bislama ability, L1, literacy and school-medium cohorts are not interchangeable. English- and French-route learners overlap with Bislama users.","high for territorial ceiling and adult rate; medium for policy; low for exact reader and OER totals"
"bkx-Latn-TL","Baikeno","Baikenu; Uab Meto in Timor-Leste","Timor-Leste","Latin orthography; Atoni/Uab Meto cross-border materials separately tagged","persons","69190","69190","69190","census_mother_tongue","2015 census first/mother-tongue count for Baikeno.","2015","Second- and third-language counts are separately reported and are not added; literacy is not implied.","Tetun and Portuguese are official instructional languages, yet UNESCO/UNICEF reports more than 70% of children enter primary without fluency in either. EMULI supplies bounded mother-tongue early education; exact coverage for this variety is not a national denominator.","UNICEF’s 2020 national completion context is 77% primary, 62% lower secondary and 52% upper secondary; it is not disaggregated by mother tongue and is not assigned as an exact-variety rate.","EMULI and local initiatives establish bounded early-grade materials for some Timorese languages; exact Baikeno coverage, teacher supply and continuation through secondary/tertiary remain unverified.","EMULI and local initiatives establish bounded early-grade materials for some Timorese languages; exact Baikeno coverage, teacher supply and continuation through secondary/tertiary remain unverified. The cited evidence does not establish a continuous, openly licensed school-to-tertiary sequence for this exact variety and script. Free access is not treated as OER unless reuse, adaptation and redistribution permissions are established under the UNESCO definition.","Portuguese and Tetun structure formal progression, while English and Indonesian have working/academic roles. No compatible proficiency distribution for this first-language stratum was verified; multilingual exposure is not bridge reach.","Timor-Leste rural and school access constraints are national context; no device/connectivity/electricity cross-tab by mother tongue was verified.","Timor-Leste rural and school access constraints are national context; no device/connectivity/electricity cross-tab by mother tongue was verified. Delivery should therefore support downloadable low-data semantic HTML/EPUB or tagged PDF, print-ready packets, captions/transcripts, keyboard and screen-reader operation, and local-server/USB use. This is an evidence-aligned delivery requirement, not an estimate of current users.","TLS_CENSUS_2015;TLS_CENSUS_REPRO;TLS_UNESCO_UNICEF_MLE;TLS_UNICEF_SDG;OER_UNESCO_2019;WCAG_22","https://www.unicef.org/timorleste/reports/timor-leste-population-and-housing-census-2015;https://pmc.ncbi.nlm.nih.gov/articles/PMC9411783/;https://www.unesco.org/en/articles/unesco-and-unicef-strengthening-multilingual-education-sustainable-future-timor-leste;https://data.unicef.org/sdgs/country/tls/;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://www.w3.org/TR/WCAG22/","TLS_CENSUS_2015: Table 12, mother tongue; TLS_CENSUS_REPRO: Table 1; TLS_UNESCO_UNICEF_MLE: language-at-school-entry and EMULI sections; TLS_UNICEF_SDG: education completion indicators; OER_UNESCO_2019: Definition I.1 and areas of action; WCAG_22: Conformance requirements and Success Criteria","Exact census mother-tongue count. Do not add L2/L3 users, infer literacy, transfer Tetun literacy to Baikeno, or assume resources from another Timorese variety.","high for census count; high for national entry/completion context; low for exact-variety learning and OER completeness"
