record_id,edition_target_id,authority_binding_status,language_or_intervention,language_tag,jurisdiction,reference_year,measure_label,measure_status,context_value,context_unit,allocation_denominator_low_persons,allocation_denominator_base_persons,allocation_denominator_high_persons,allocation_denominator_use,evidence_role,directness,language_specificity,source_tier,source_publisher,source_title,publication_date,source_url,source_locator,commissioning_lane,rank_use,additivity_class,overlap_group,double_count_rule,recommended_use,status,limitations,row_sha256
SL-ASL-US-GAP,edition-target:lang:ase-US,EXACT_AUTHORITY_TARGET,American Sign Language (ASL),ase-US,United States,current ACS design,Separate ASL-use count unavailable,MEASUREMENT_GAP_NO_PERSON_DENOMINATOR,,persons,,,,NONE,official_data_gap,official_nonavailability_statement,named_ASL,primary_official,U.S. Census Bureau,Frequently Asked Questions About Language Use,2021-12-16,https://www.census.gov/topics/population/language-use/about/faqs.html,FAQ: Does the Census Bureau provide the number of people who use ASL?,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,not_additive_gap,ASL_US_DATA_GAP,"Do not substitute deaf, hearing-loss, disability, or ACS English counts for ASL users.",Record a measurement gap; no numeric ASL-US input.,data_gap,A Census working paper additionally explains that edited ACS data combine ASL write-ins with English.,00b7cd53650e2f463ce82998e683a74a2e8db07ace0a414be367222fed4ccbc0
SL-ASL-CA-2021-KNOW,edition-target:lang:ase-CA,EXACT_AUTHORITY_TARGET,American Sign Language (ASL),ase-CA,Canada,2021,Knowledge of ASL,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,37620,persons,37620,37620,37620,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_restricted,named_ASL,primary_official,Statistics Canada,"Census Profile, 2021 Census of Population",2022,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1%2C4,"Knowledge of languages; American Sign Language; denominator 36,328,480",NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,multiple_response_overlay,CA_2021_KNOWLEDGE_LANGUAGES,"Do not add to LSQ, other language knowledge, or Canadian home-language counts; multiple languages may be reported.",Direct Canada-specific ability/knowledge audience under the Census definition.,direct_restricted,"Not primary language, daily use, native language, or interpreter need; sample estimate and rounded output.",fe0e61e107aed7e7c0e7d3886cdd765402bbc060d9dfad8ad84b9f69f0efc860
SL-BSL-ENG-2021-MAIN,edition-target:lang:bfi-GB,EXACT_AUTHORITY_TARGET,British Sign Language (BSL),bfi-GB,England,2021,BSL as main language,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,20739,persons,20739,20739,20739,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_restricted,named_BSL,primary_official,Office for National Statistics,"TS024 Main language (detailed), Census 2021",2022-11-29,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,E92000001",main_language_detailed=91; denominator is sum of applicable categories,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,Direct England main-language audience; lower than all BSL users.,direct_restricted,Main language only; ONS cell-key perturbation applies.,4e28ecc058e10b834a7e6ec85609d90843cb1519dbc8fff67efce6c03071e272
SL-BSL-WLS-2021-MAIN,edition-target:lang:bfi-GB,EXACT_AUTHORITY_TARGET,British Sign Language (BSL),bfi-GB,Wales,2021,BSL as main language,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,893,persons,893,893,893,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_restricted,named_BSL,primary_official,Office for National Statistics,"TS024 Main language (detailed), Census 2021",2022-11-29,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,W92000004",main_language_detailed=91; denominator is sum of applicable categories,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,Direct Wales main-language audience; lower than all BSL users.,direct_restricted,Main language only; ONS cell-key perturbation applies.,6b5d6e7c618a0142a7b4ceeb3417d5b1efa559f63b29656094f3924d95599d40
SL-BSL-SCT-2022-CANUSE,edition-target:lang:bfi-GB,EXACT_AUTHORITY_TARGET,British Sign Language (BSL),bfi-GB,Scotland,2022,Can use BSL,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,117300,persons,117300,117300,117300,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_broad_ability,named_BSL,primary_official,National Records of Scotland,"Scotland's Census 2022: ethnic group, national identity, language and religion",2024,https://www.scotlandscensus.gov.uk/2022-reports/scotland-s-census-2022-ethnic-group-national-identity-language-and-religion/,British Sign Language section,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,multiple_response_ability_overlay,SCT_2022_BSL_CANUSE,Do not add to England/Wales/Northern Ireland main-language counts as a UK user total; definitions differ.,Broad Scotland can-use audience; retain separately from main-language counts.,direct_restricted,"New question; includes hearing people, learners, family members, and occupational users; count and rate rounded.",149c6dd3a7f106c6dad02cf61bac8a6ad7b09118e4b60baea562c5994124e731
SL-BSL-NIR-2021-MAIN,edition-target:lang:bfi-GB,EXACT_AUTHORITY_TARGET,British Sign Language (BSL),bfi-GB,Northern Ireland,2021,BSL as main language,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,539,persons,539,539,539,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_restricted,named_BSL,primary_official,Northern Ireland Statistics and Research Agency,CT0041 Main language: sign language by religion,2023-11-01,https://www.nisra.gov.uk/publications/ct0041-main-language-sign-language-religion,British sign language row; table population usual residents age 3+,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,mutually_exclusive_within_same_main_language_table,GB_2021_MAIN_LANGUAGE,Do not combine with Scotland's can-use count; do not infer all BSL users from a main-language row.,Direct Northern Ireland main-language audience.,direct_restricted,Targeted record swapping and cell-key perturbation may affect marginal totals; main language only.,95862da9efc5458bc52120c09ed512f7b80fdedf32fa6fd452f3a9ad38ee0302
SL-LIBRAS-BR-2019-KNOW,edition-target:lang:bzs-BR,EXACT_AUTHORITY_TARGET,Brazilian Sign Language (Libras),bzs-BR,Brazil,2019,Knows how to use Libras among people with hearing difficulty,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,153000,persons,153000,153000,153000,EXACT_STRATUM_ONLY_NONADDITIVE,language_user_measure,direct_restricted,named_Libras,primary_official,Brazilian Institute of Geography and Statistics (IBGE),Pesquisa Nacional de Saude 2019: Ciclos de vida,2021,https://www.ibge.gov.br/biblioteca/visualizacao/livros/liv101846.pdf,Libras section and Table 8; 153 thousand of 1.7 million; 9.2% (95% CI 7.3-11.6),NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,restricted_population_overlay,BR_PNS2019_HEARING_DIFFICULTY_AGE5_40,Do not extrapolate to all Brazilians or add the 22.4% severe-hearing subgroup; that subgroup is nested in this population.,Direct restricted Libras-knowledge audience only.,direct_restricted,Excludes users outside ages 5-40 and users without reported hearing difficulty; approximate weighted counts.,00fc36f9bcb64d2ce3aac3fe1fa0bc685143a905ae1efefcb1e769e1aac1c147
SL-LSF-FR-1998-99-USE,edition-target:lang:fsl-FR,EXACT_AUTHORITY_TARGET,French Sign Language (LSF),fsl-FR,Metropolitan France,1998-1999,Uses sign language,QUALIFIED_OR_UNDIFFERENTIATED_SIGN_MEASURE,119000,persons,,,,NONE,language_user_measure,direct_qualified,LSF_context_survey_wording_generic,primary_official_analysis,DREES / ORS Pays de la Loire,Handicap auditif en France: apports de l'enquete HID 1998-1999,2007-11,https://drees.solidarites-sante.gouv.fr/sites/default/files/2020-10/dtee71.pdf,"Chapter V-2, PDF p. 75: approximately 119,000 users",NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,already_union_total,FR_HID1998_99_SIGN_USE,"Use 119,000 once; do not also add its 44,000 and 75,000 components.",Qualified historical LSF-context user measure; preserve survey wording and exclusions.,qualified_restricted,Old survey; excludes blind people; wording is generic sign language rather than a language-code item.,ee1b34a52e799c3dead4c29986301e20579dd3dd32ed5bd8cd98aeddb15de664
SL-DGS-DE-2007-INTERP-PROXY,edition-target:lang:gsg-DE,EXACT_AUTHORITY_TARGET,German Sign Language (DGS),gsg-DE,Germany,2007,People dependent on sign-language interpreters,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,100000,persons,,,,NONE,need_proxy,official_report_relaying_association_proxy,not_DGS_user_count,official_secondary,German Bundestag,Bericht der Bundesregierung zur Lage von Menschen mit Behinderungen,2009,https://dserver.bundestag.de/btd/16/138/1613860.pdf,"PDF p. 51-52; approximately 100,000 dependent on interpreters",NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,proxy_not_additive,DE_SIGN_INTERPRETER_NEED_PROXY,Never treat as a DGS-language population and never add national deaf/hearing counts.,Interpreter-service need context only; exclude from signer totals.,proxy_only,"Association estimate, dated, interpreter dependence differs from DGS ability or use.",05449394cca6f54afc55fb53517da158cf3072161e17eb7f67a1147b3b87102d
SL-JSL-JP-2006-SIGNMEDIATED,edition-target:lang:jsl-JP,EXACT_AUTHORITY_TARGET,Japanese Sign Language (JSL),jsl-JP,Japan,2006,Uses sign language or sign interpretation as communication means,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,65000,persons,,,,NONE,need_proxy,direct_restricted_need_proxy,does_not_distinguish_JSL_from_other_Japanese_signing,primary_official,"Japan Ministry of Health, Labour and Welfare",Communication support materials drawing on the FY2006 survey,2009,https://www.mhlw.go.jp/bunya/shougaihoken/cyousajigyou/jiritsushien_project/seika/research_09/dl/result/11-07c.pdf,PDF p. 4: 343 thousand adults; 18.9%; approximately 65 thousand,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,restricted_need_proxy_not_language_count,JP_2006_HEARING_DISABLED_COMMUNICATION,"Do not label as a population-wide JSL count and do not add the 22,000 registered interpreting-service users, a nested service subset.",Restricted sign-mediated communication need proxy; exclude from named-language totals.,proxy_only,"Does not distinguish JSL, signed Japanese, direct signing, or use through an interpreter; dated survey definition.",52d998bc3f7e99137743a7e759bf94b7319eaeb4ba7dfea6090fcbb950281587
