removed_factor,edition_target_id,rank,score
schooling_language_gap,edition-target:lang:hi-Deva-IN,1,116505048.703257
schooling_language_gap,edition-target:lang:id-Latn-ID,2,86416362.760979
schooling_language_gap,edition-target:lang:pnb-Arab-PK,3,39538416.477364
schooling_language_gap,edition-target:lang:ru-Cyrl-RU,4,36429826.489022
schooling_language_gap,edition-target:lang:bn-Beng-IN,5,34773919.181264
schooling_language_gap,edition-target:lang:mr-Deva-IN,6,29937460.647524
schooling_language_gap,edition-target:lang:te-Telu-IN,7,29332428.559227
schooling_language_gap,edition-target:lang:ta-Taml-IN,8,24907349.181619
schooling_language_gap,edition-target:lang:jv-Latn-ID,9,23662493.247463
schooling_language_gap,edition-target:lang:ps-Arab-PK,10,20007036.696156
schooling_language_gap,edition-target:lang:gu-Gujr-IN,11,19898810.468540
schooling_language_gap,edition-target:lang:th-Thai-TH,12,19507424.373785
schooling_language_gap,edition-target:lang:ur-Arab-IN,13,18340333.281530
schooling_language_gap,edition-target:lang:bho-Deva-IN,14,18287431.841349
schooling_language_gap,edition-target:lang:my-Mymr-MM,15,17491494.237179
schooling_language_gap,edition-target:lang:sd-Arab-PK,16,15773804.948862
schooling_language_gap,edition-target:lang:kn-Knda-IN,17,15730064.899112
schooling_language_gap,edition-target:lang:uz-Latn-UZ,18,15653076.923077
schooling_language_gap,edition-target:lang:ary-Arab-MA,19,14907692.307692
schooling_language_gap,edition-target:lang:om-Latn-ET,20,13360673.580643
schooling_language_gap,edition-target:lang:skr-Arab-PK,21,12828653.105903
schooling_language_gap,edition-target:lang:mg-Latn-MG,22,12600317.111538
schooling_language_gap,edition-target:lang:ml-Mlym-IN,23,12573753.068434
schooling_language_gap,edition-target:lang:yo-Latn-NG,24,12469485.846154
schooling_language_gap,edition-target:lang:or-Orya-IN,25,12314419.047353
schooling_language_gap,edition-target:lang:es-Latn-US,26,11967636.594604
schooling_language_gap,edition-target:lang:am-Ethi-ET,27,11594271.444015
schooling_language_gap,edition-target:lang:su-Latn-ID,28,11271516.755785
schooling_language_gap,edition-target:lang:pa-Guru-IN,29,11260414.028904
schooling_language_gap,edition-target:lang:ig-Latn-NG,30,10391238.205128
schooling_language_gap,edition-target:lang:ur-Arab-PK,31,10201752.131541
schooling_language_gap,edition-target:lang:cmn-Hant-TW,32,9247238.030769
schooling_language_gap,edition-target:lang:nan-Hant-TW,33,8211875.561538
schooling_language_gap,edition-target:lang:kmr-Latn-001,34,7673076.923077
schooling_language_gap,edition-target:lang:km-Khmr-KH,35,6530066.446154
schooling_language_gap,edition-target:lang:hne-Deva-IN,36,5873587.445010
schooling_language_gap,edition-target:lang:ne-Deva-NP,37,5737031.146154
schooling_language_gap,edition-target:lang:kk-Cyrl-KZ,38,5555486.146154
schooling_language_gap,edition-target:lang:as-Beng-IN,39,5357001.257017
schooling_language_gap,edition-target:lang:zu-Latn-ZA,40,5235419.898758
schooling_language_gap,edition-target:lang:mai-Deva-IN,41,4828016.864565
schooling_language_gap,edition-target:lang:mag-Deva-IN,42,4594261.303558
schooling_language_gap,edition-target:lang:ca-Latn-ES,43,4384615.384615
schooling_language_gap,edition-target:lang:xh-Latn-ZA,44,3506327.880700
schooling_language_gap,edition-target:lang:rw-Latn-RW,45,2845941.161538
schooling_language_gap,edition-target:lang:mwr-Deva-IN,46,2831635.862607
schooling_language_gap,edition-target:lang:yue-Hant-HK,47,2774999.838462
schooling_language_gap,edition-target:lang:tk-Latn-TM,48,2761415.423077
schooling_language_gap,edition-target:lang:mad-Latn-ID,49,2692809.359677
schooling_language_gap,edition-target:lang:so-Latn-ET,50,2470194.865428
schooling_language_gap,edition-target:lang:ckb-Arab-001,51,2377139.010256
