authorization_id,source_lane,source_record_id,evidence_identity_id,edition_target_id,canonical_language_target_id,regional_stratum_id,authorization_status,authorization_tier,authorization_reason,population_low_persons,population_base_persons,population_high_persons,population_definition,source_ids,source_urls,score_row_present,score_order_lane,score_primary_order_eligible,score_population_atom_id,score_selected_source_record_id,score_authorization_ids,binding_outcome,row_sha256
auth:canonical:canonical:pop:0006fc3c2360f33c129c35cd,legacy_canonical_population,pop:0006fc3c2360f33c129c35cd,canonical:pop:0006fc3c2360f33c129c35cd,edition-target:lang:unresolved-tag:tharu-census-category:nepal-tharu-communities,lang:unresolved-tag:tharu-census-category:nepal-tharu-communities,,EXCLUDE,none,target identity is unresolved/macro/context,1714091,1714091,1714091,Census mother-tongue category; internal variety and script split unavailable,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,088ACF9C4CF6B6E0E9466CB84376163D75212F6346AA8C4022B0E466AB75CF71
auth:canonical:canonical:pop:00fa6825d0212d4eeb8f73cd,legacy_canonical_population,pop:00fa6825d0212d4eeb8f73cd,canonical:pop:00fa6825d0212d4eeb8f73cd,edition-target:lang:ms-Arab-MY,lang:ms-Arab-MY,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,17600000,,18500000,Same proxy range as Rumi row; non-additive script-access edition.,MYS_DOSM_POP,https://open.dosm.gov.my/data-catalogue/population_malaysia,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,7D6983A0BC11ED031B8849AE83B35E75350450849A228C78AB6CF085173E32FE
auth:canonical:canonical:pop:01315a880f1036004da81749,legacy_canonical_population,pop:01315a880f1036004da81749,canonical:pop:01315a880f1036004da81749,edition-target:lang:zh-Hans-CN,lang:zh-Hans-CN,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,Master's and doctoral students enrolled in 2025,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,true,unranked_context,false,territory:CHN,,,EXCLUDED_WITH_EXPLICIT_REASON,D79FEC33032413BFB4110E56B4B21A0FB8B299C4D7179383B363E60B422B3864
auth:canonical:canonical:pop:01627a2b4bbb684f46bf933a,legacy_canonical_population,pop:01627a2b4bbb684f46bf933a,canonical:pop:01627a2b4bbb684f46bf933a,edition-target:lang:raj-Deva-IN,lang:raj-Deva-IN,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,25806344,25806344,25806344,Mother-tongue return inside Hindi umbrella; internal variety split and overlap uncertain,IND_C16_2011,https://censusindia.gov.in/nada/index.php/catalog/10191,true,unranked_context,false,territory:IND,,,EXCLUDED_WITH_EXPLICIT_REASON,42445C2EE49F817DE40F68DA327936677795297F5B8C52864FA242E002080BC1
auth:canonical:canonical:pop:022c5db3543e69d7ed7c95eb,legacy_canonical_population,pop:022c5db3543e69d7ed7c95eb,canonical:pop:022c5db3543e69d7ed7c95eb,edition-target:lang:id-Latn-ID,lang:id-Latn-ID,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,42600000,,"People employed in agriculture, forestry and fishing in May 2026; published rounded estimate.",BPS_LABOUR_MAY_2026,https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html,true,person_need,true,auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958,pop:4291438f9dc0e89a2c84c958,auth:canonical:canonical:pop:39de2462a63d58bf0aa760b4;auth:canonical:canonical:pop:4291438f9dc0e89a2c84c958;auth:canonical:canonical:pop:d3d3e4eb548b08cae47f514f;auth:canonical:llps:LLPS-ID-ID-ABILITY-2022;auth:canonical:llps:LLPS-ID-ID-HOME-2010,EXCLUDED_WITH_EXPLICIT_REASON,DA70CE382C385969FA2AC994B55F003E3E0D9FE5D1F6B348451E62F6B3731245
auth:canonical:canonical:pop:023ca1bc8561beb2e8fa088a,legacy_canonical_population,pop:023ca1bc8561beb2e8fa088a,canonical:pop:023ca1bc8561beb2e8fa088a,edition-target:lang:pt-Latn-001,lang:pt-Latn-001,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,265000000,265000000,265000000,Institutional worldwide speaker estimate.,SRC_UN_PORTUGUESE_2026,https://www.un.org/sg/en/content/sg/statements/2026-05-05/secretary-generals-message-world-portuguese-language-day,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,BA9993C90DA8332FEC3D28F2DE8229463AA503CBC29CDA229C3D44D784D4F0A0
auth:canonical:canonical:pop:02a99eee802df38698abee2d,legacy_canonical_population,pop:02a99eee802df38698abee2d,canonical:pop:02a99eee802df38698abee2d,edition-target:lang:kos-Latn-FM,lang:kos-Latn-FM,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,4566,4566,4566,People aged 5+ reporting the named home language,OIO_EA133B14931A,https://www.pacificweb.org/library/preview.php?file=fsm/states/2023FSMMunicipality.xlsx,true,person_need,true,auth:canonical:canonical:pop:02a99eee802df38698abee2d,pop:02a99eee802df38698abee2d,auth:canonical:canonical:pop:02a99eee802df38698abee2d,ADMITTED_AND_SELECTED_FOR_SCORE,0581FC877709D711D3A3EC48093DBDE78729FB8C1122A4B00FDF8F8B5EF832DA
auth:canonical:canonical:pop:02c4cac428d92de70bae2606,legacy_canonical_population,pop:02c4cac428d92de70bae2606,canonical:pop:02c4cac428d92de70bae2606,edition-target:lang:tzo-MX,lang:tzo-MX,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,,550274,,People age 3+ reported Tsotsil.,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,true,person_need,true,auth:canonical:canonical:pop:02c4cac428d92de70bae2606,pop:02c4cac428d92de70bae2606,auth:canonical:canonical:pop:02c4cac428d92de70bae2606,ADMITTED_AND_SELECTED_FOR_SCORE,ABF55284052AA9608F126BFC94FB0A58F3ACED3EC39E0390D1B2794B2BD50A5F
auth:canonical:canonical:pop:0319e0c2dcfc2a946200d997,legacy_canonical_population,pop:0319e0c2dcfc2a946200d997,canonical:pop:0319e0c2dcfc2a946200d997,edition-target:lang:oji-CA,lang:oji-CA,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,20715,,"People reporting knowledge of Ojibway, not otherwise specified; mother-tongue count 12500. Counts randomly rounded.",SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,C48FB081A06C8CE64B2B294F62603F1C3AAB89E48694DD024FDCBA780C0FECAE
auth:canonical:canonical:pop:034692087acb25c6eafbc401,legacy_canonical_population,pop:034692087acb25c6eafbc401,canonical:pop:034692087acb25c6eafbc401,edition-target:lang:mag-Deva-NP,lang:mag-Deva-NP,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,230117,230117,230117,Census mother-tongue count,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,true,person_need,true,auth:canonical:canonical:pop:034692087acb25c6eafbc401,pop:034692087acb25c6eafbc401,auth:canonical:canonical:pop:034692087acb25c6eafbc401,ADMITTED_AND_SELECTED_FOR_SCORE,9E2A6DCAEFB6BEC3B0E69AA167DDA1300301D82676839ECB59740542B1718114
