"stratum_id","label","aliases","territory","script_or_mode","population_unit","population_low_persons","population_base_persons","population_high_persons","population_measure_class","population_definition","population_reference_year","population_secondary_context","education_language_exposure_mismatch_by_stage","learning_completion_evidence","functional_resource_access","open_adaptable_scarcity","academic_lingua_franca_nonoverlap","device_connectivity_electricity","accessible_offline_delivery_evidence","source_ids","source_urls","source_locators","uncertainty_incompatibilities","evidence_confidence"
"acf-Latn-LC","Saint Lucian Kwéyòl","Saint Lucian French Creole; Kwéyòl","Saint Lucia","written and spoken; Latin script","exact Kwéyòl speakers","","","","no_territory_specific_person_count_verified","No current exact speaker count is used; numeric fields are blank.","2021 policy evidence","Kreyòl-MT paper’s secondary 760,000 figure exceeds Saint Lucia’s territory population and is excluded.","2021 policy work targeted primary/secondary reading, writing and speaking competence alongside Standard English, with teacher development, certification, resources and content; policy need, not implemented coverage.","No measured exact Kwéyòl learning/completion endpoint.","Kreyòl-MT public/all pairs: 4,406/23,916; functional research supply, not curriculum.","No Common Voice acf; exact open, accessible stage/subject sequence unverified.","Policy directly recognizes first/home Kwéyòl versus Standard English academic requirements; individual academic English unmeasured.","No exact-language access cross-tab.","Accessible/offline exact-language academic ladder unverified.","LC_LANGUAGE_POLICY_2021;KREYOL_MT_2024;COMMON_VOICE_26_2026;OER_UNESCO_2019","https://www.govt.lc/news/national-language-policy-underway;https://www.cs.jhu.edu/~kevinduh/t/naacl24/final_pdf/paper289.pdf;https://raw.githubusercontent.com/common-voice/cv-dataset/main/datasets/scripted-speech/cv-corpus-26.0-2026-06-12.json;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422","LC_LANGUAGE_POLICY_2021: primary/secondary Kwéyòl competence, teacher development, certification and resource goals | KREYOL_MT_2024: pp. 2, 5–6 and Table 3: exact/pooled language public/all sentence counts and genre transfer | COMMON_VOICE_26_2026: locale entry counts/hours and absence audit | OER_UNESCO_2019: Definition I.1 and scope","Policy intent is not implementation or outcome; excluded secondary population figure is not territory-compatible.","high for policy/resource snapshot; unrankable population, outcomes and complete open/access delivery"
"acr-Latn-GT","Achi childhood-language population in Guatemala","exact Guatemala 2018 census language label: Achi","Guatemala","written and spoken; Latin-script official educational orthography","persons age 4+ reporting the named language as the language in which they learned to speak","","124338","","census_exact_childhood_acquired_language","2018 census exact language-learned-to-speak count; not current use, proficiency or ethnic belonging.","2018","No ethnic-person or current-speaker construct is substituted.","Shared EIB 2022 enrolment fell from 906,044 primary to 5,003 básico and 5,719 diversificado, but these totals cannot be allocated to Achi. DIGEBI’s target is only preprimary through Grade 3 among smaller communities, a direct stage-design difference rather than achieved exposure.","No exact-language learning/completion endpoint was verified; national/EIB totals are not assigned.","Official EIB targets/resources establish some functional Achi provision, but stage/subject reach is incomplete or unverified.","Ministry material production does not establish open adaptation licences. Open Textbook Library/DOAB have no verified exact-language complete ladder; catalog absence is not global absence.","Spanish/English academic comprehension has no exact-language cross-tab; national PISA-D context is not assigned.","Guatemala national internet-use and school-connectivity indicators are contextual; no exact-language cross-tab.","Printed/material production is functional offline evidence; complete accessible, downloadable and openly editable sequences are unverified.","GT_CENSUS_LANGUAGE_2018;GT_EIB_G1_READING_2008;GT_EIB_DELIVERY_2022;GT_DIGEBI_TARGET;OER_UNESCO_2019","https://censo2018.ine.gob.gt/archivos/Principales_resultados_Censo2018.pdf;https://edu.mineduc.gob.gt/digeduca/documents/informes/Informe_Primaria_Bilingue_2008.pdf;https://edu.mineduc.gob.gt/documents/memoriaLabores/Memoria_de_Labores_2022.pdf;https://digebi.mineduc.gob.gt/digebi/nuestra-meta/;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422","GT_CENSUS_LANGUAGE_2018: language in which persons age 4+ learned to speak by exact named language | GT_EIB_G1_READING_2008: p. 32, Figure 14: Spanish-reading performance by K’iche’, Kaqchikel, Mam and Q’eqchi’ labels | GT_EIB_DELIVERY_2022: p. 40 Table 11 EIB enrolment by stage and language-material production | GT_DIGEBI_TARGET: named-language stage targets through Grade 6 versus preprimary–Grade 3 | OER_UNESCO_2019: Definition I.1 and scope","Childhood language, EIB programme totals, Grade 1 assessment and material outputs have different denominators. Exact language does not imply one dialect/orthography; no dominant-language or device coverage inferred.","high for census and stage-design evidence; unrankable exact learning; unrankable open/access completeness"
"ay-central-Latn-BO-LP","Central Aymara evaluation variety in La Paz, Bolivia","Central Aymara; AmericasNLP jilata evaluation label","La Paz Department, Bolivia","written and spoken; Latin script","exact Central Aymara speakers","","","","exact_variety_count_unavailable_territorial_census_category_ceiling_only","No exact Central Aymara person count was verified; numeric fields are blank.","2012 census context / 2021 corpus","La Paz had 686,601 residents age 6+ reporting Aymara as principal language; this is a territorial/umbrella ceiling, not an exact Central Aymara count.","No exact school-stage exposure or completion series was verified. The open benchmark’s Central-Aymara evaluation data and volunteer-news training differ in variety/style/domain.","No human learning endpoint; MT benchmark has 6,531 training, 996 development and 1,003 test sentence pairs, which are resource/evaluation units only.","Open Central Aymara-labelled evaluation corpus is functional research supply.","Training is volunteer news and may be stylistically mismatched to evaluation; no complete curriculum. OTL aym=0 and DOAB Aymara=0 are catalog-specific.","Spanish/English academic comprehension is unmeasured; corpus domain mismatch is not a human-language proxy.","No exact-variety access cross-tab.","Open corpus is downloadable; accessible/offline academic curriculum remains unverified.","BO_CENSUS_LANGUAGE_2012;NLP_AMERICASNLP_2021;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://anda4.ine.gob.bo/ANDA4_3/index.php/catalog/495/download/2358;https://aclanthology.org/2021.americasnlp-1.23.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","BO_CENSUS_LANGUAGE_2012: principal language age 6+; La Paz Aymara table and national graphs | NLP_AMERICASNLP_2021: Table 1 and section 3: corpus sizes, variety, orthography and domain composition | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","La Paz Aymara category is not Central Aymara. Corpus pairs are not people or learning. Training/evaluation domain and variety mismatch prevents broad coverage claims.","high for census/corpus constructs; unrankable for exact population and human education outcomes"
"ay-southern-Latn-PE","Southern Aymara in Peru","Aimara del sur; exact Minedu taxonomy","Puno, Moquegua, Tacna, Madre de Dios and Sandia, Peru","written and spoken; Latin-script official educational orthography","exact-variety speakers","","","","exact_variety_count_unavailable_umbrella_childhood_language_only","No source-stated Southern Aymara count was verified; numeric fields are blank.","2017 umbrella evidence","BDPI reports 450,010 people who learned Aymara in childhood, an umbrella total not allocated to Southern Aymara.","Grade 4 EIB Aymara first-language reading 2018: 0.0% satisfactory, 36.9% in process and 63.1% at start. Report warns the sample was much smaller than 2016 and does not name a subvariety.","The assessment is a direct Aymara-labelled Grade 4 endpoint but not demonstrably Southern-Aymara-only; exact-variety outcome remains partly unrankable.","Minedu taxonomy and materials establish functional Aymara educational provision; exact-variety coverage and full stage ladder are unverified.","Open adaptation rights were not verified. Catalog snapshot: Open Textbook Library aym=0 and DOAB Aymara=0; catalog zeroes do not establish global or exact-variety absence.","Spanish/English academic comprehension has no exact Southern Aymara cross-tab.","No exact-variety access cross-tab was verified.","Official materials can be downloaded, but accessible/offline completeness by stage and subject is unverified.","PE_MINEDU_LANGUAGE_TAXONOMY;PE_BDPI_AYMARA;PE_ECE_EIB_READING_2018;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/6261/Lenguas%20Originarias%20del%20Peru.pdf?isAllowed=y&sequence=1;https://bdpi.cultura.gob.pe/lenguas/aimara;https://repositorio.minedu.gob.pe/bitstream/handle/20.500.12799/6562/Resultados%202018%20Evaluaci%C3%B3n%20Censal%20de%20Estudiantes%20y%20Evaluaci%C3%B3n%20Muestral%20de%20Estudiantes%20evaluaciones%20de%20logros%20de%20aprendizaje.pdf?isAllowed=y&sequence=1;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","PE_MINEDU_LANGUAGE_TAXONOMY: p. 22 Aymara/Jaqaru treatment and Quechua vitality table | PE_BDPI_AYMARA: 450,010 people who learned Aymara in childhood | PE_ECE_EIB_READING_2018: p. 32: Grade 4 EIB first-language reading by Chanka, Collao and Aymara labels | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","Umbrella childhood-language total is not exact Southern Aymara. Assessment label omits subvariety; sample caution and later-stage gaps preclude a precise endpoint.","high for taxonomy and umbrella/Grade 4 facts; unrankable exact population, exact outcome attribution and open/offline ladder"
"bah-Latn-BS","Bahamian Creole","exact Kreyòl-MT code/label stratum","The Bahamas","written and spoken; Latin script; exact orthographic coverage unverified","exact-variety persons","","","","unrankable_no_compatible_person_measure","No compatible exact person measure was verified; numeric fields are blank.","2024 resource evidence","Territory totals and secondary Ethnologue figures are not substituted.","No exact stage exposure series verified.","No exact learning/completion endpoint verified.","Kreyòl-MT exact-label public/all sentence pairs: 327/327.","Corpus count is resource evidence, not a curriculum; Common Voice 26 has no exact locale. Open stage/subject/accessibility completeness remains unverified. ","Dominant/academic language comprehension has no exact-variety cross-tab and is not inferred.","No exact access cross-tab.","Corpus is downloadable if public; exact accessible/offline academic ladder unverified.","KREYOL_MT_2024;COMMON_VOICE_26_2026;OER_UNESCO_2019","https://www.cs.jhu.edu/~kevinduh/t/naacl24/final_pdf/paper289.pdf;https://raw.githubusercontent.com/common-voice/cv-dataset/main/datasets/scripted-speech/cv-corpus-26.0-2026-06-12.json;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422","KREYOL_MT_2024: pp. 2, 5–6 and Table 3: exact/pooled language public/all sentence counts and genre transfer | COMMON_VOICE_26_2026: locale entry counts/hours and absence audit | OER_UNESCO_2019: Definition I.1 and scope","Sentence pairs are not people, learning or curriculum. No exact population/outcome/access evidence; neighboring Creole standards are nonallocable.","high for exact resource snapshot; explicitly unrankable for population, learning, academic nonoverlap and delivery/access"
"bzj-Latn-BZ","Belizean Creole / Kriol in Belize","Kriol; census source category “Creole”","Belize","written and spoken; Latin script","persons age 4+; multiple responses permitted","180792","180792","180792","census_reported_speakers","Statistical Institute of Belize 2022 census direct count of people age 4+ able to speak Creole; people could report more than one language.","2022","The same official infographic reports 49.0% and district shares. Multiple-response ability is not an L1, exclusive identity, literacy or academic-comfort count.","Education plan states English is official/school language, home languages include Belizean Creole, and English is not the first language of the vast majority; teacher preparation and materials/support are weak.","No exact Kriol learning/completion endpoint verified.","Kreyòl-MT Kriol public/all pairs: 229/31,002, small public functional supply.","No Common Voice bzj; exact open academic sequence unverified. Census/plan presence does not prove reusable materials.","Home/school English nonoverlap is explicit in policy, but no Kriol-specific academic English distribution.","No exact-language access cross-tab.","Accessible/offline Kriol-to-English academic bridge unverified.","BZ_CENSUS_LANG_INFOGRAPHIC_2022;BZ_EDU_PLAN_2021_25;KREYOL_MT_2024;COMMON_VOICE_26_2026;OER_UNESCO_2019","https://sib.org.bz/wp-content/uploads/Languages_Infographic_2022.pdf;https://edc.gov.bz/wp-content/uploads/2023/04/The-Belize-Education-Sector-Plan-2021-2025_MoECST.pdf;https://www.cs.jhu.edu/~kevinduh/t/naacl24/final_pdf/paper289.pdf;https://raw.githubusercontent.com/common-voice/cv-dataset/main/datasets/scripted-speech/cv-corpus-26.0-2026-06-12.json;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422","BZ_CENSUS_LANG_INFOGRAPHIC_2022: one-page official census infographic, Creole 180,792 persons and 49.0% | BZ_EDU_PLAN_2021_25: pp. 14 and 53 | KREYOL_MT_2024: pp. 2, 5-6 and Table 3 | COMMON_VOICE_26_2026: locale inventory | OER_UNESCO_2019: Definition I.1 and scope","Multiple-response speaking ability is nonexclusive and cannot be added to other Belize language counts; it is not L1, literacy, school-medium exposure or academic comfort.","high for official direct census count and multiple-response definition; medium for policy mismatch; low for outcomes and complete open-resource/access inventory"
"ca-Latn-AD","Catalan in Andorra","Català; official-language survey category","Andorra","written and spoken; Latin script","residents age over 14 in official language-use survey","","","","survey_shares_without_source_stated_person_count","Official survey n=747 reports Catalan initial/habitual-use shares and a knowledge index, but no source-stated person count is used; numeric fields are blank.","2022","Catalan was initial language for 44% and habitual language for 63.7% under multiresponse reporting; knowledge index 8.3/10 versus Spanish 9.3. These are not person counts or compatible endpoints.","Official A1–C2 examinations are functional adult-language provision; no compatible school-stage exposure series was verified.","Knowledge indices are not proficiency-level or completion distributions; no Catalan academic outcome count is asserted.","Official Catalan examinations A1–C2 and mutual recognition provide functional language-learning infrastructure.","Open Textbook Library cat=0 and DOAB Catalan=155 are global catalog counts, not Andorra-specific. Exam availability is not proof of openly adaptable academic resources.","Spanish knowledge exceeds Catalan on the survey index, documenting overlap without universal academic coverage. Academic English is unmeasured.","No directly compatible Andorran Catalan access cross-tab was verified.","Exam infrastructure is functional evidence; accessible, open, downloadable and offline subject ladders remain unverified.","ANDORRA_LANGUAGE_SURVEY_2022;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://www.govern.ad/ca/w/l-estudi-de-coneixements-i-usos-lingueistics-indica-que-el-catala-es-la-llengua-de-referencia-de-la-poblacio-en-coneixement-i-us-1;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","ANDORRA_LANGUAGE_SURVEY_2022: sample size, initial language, habitual language and knowledge indicators | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","Multiresponse language shares and knowledge indices cannot be converted into a speaker total. School exposure, academic outcomes, devices and open-resource completeness are unrankable.","high for survey-reported shares/indices; unrankable for compatible population count and full education/resource dimensions"
"ca-Latn-ES-CT","Catalan in Catalonia","Català; official survey category","Catalonia, Spain","written and spoken; Latin script","survey-estimated residents age 15+ reporting ability to speak Catalan","","5454700","","official_sample_survey_speaking_ability_estimate","Idescat 2023 source-stated estimate of residents age 15+ able to speak Catalan.","2023","Other separate self-reported constructs: 6,337,500 understand; 5,709,400 read; 4,448,400 write; 4,418,500 report all four skills. These do not form a range.","Official XTEC provides curriculum resources, but no compatible Catalan-medium exposure series by stage was verified in the cited source set.","No learning or completion endpoint cross-tab for the 2023 speaking-ability cohort was verified.","XTEC provides direct functional primary curriculum resource collections in Catalan.","Catalog snapshot: Open Textbook Library cat=0 and DOAB Catalan=155. Counts are global language metadata, not Catalonia-specific or proof of ladder completeness. Sample official resources may be CC BY-NC-ND, which permits access but not adaptation.","The survey reports all-four-skills estimates of 6,401,700 (94.4%) for Spanish and 2,644,100 (39.0%) for English. These are self-reports, not academic comprehension tests; overlap is measured, not presumed.","Spain household internet access was 97.5% in 2025 national context; no Catalan-speaker device or disability cross-tab.","Functional web resources are direct evidence; complete downloadable, accessible, editable and offline Catalan sequences by stage/subject are unverified.","CATALONIA_EULP_2023;CATALONIA_XTEC_RESOURCES;EUROSTAT_INTERNET_2025;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://idescat.cat/pub/?id=eulp&lang=en&n=10367;https://xtec.gencat.cat/ca/curriculum/primaria/recursos-i-materials/;https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/108644.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","CATALONIA_EULP_2023: knowledge table: understand, speak, read, write and all four skills | CATALONIA_XTEC_RESOURCES: primary curriculum resource collections | EUROSTAT_INTERNET_2025: household internet-access section and country chart | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","Language skills are separate self-reports. Catalog supply is not territory-specific; no stage exposure/outcome, device, disability or full licensing audit exists.","high for survey estimates and functional portal; unrankable for Catalan-specific outcomes and complete open/offline ladder"
"ca-Latn-ES-IB","Catalan survey category in the Balearic Islands (island varieties unresolved)","Català; Mallorcan, Menorcan, Eivissenc and Formenteran varieties not separately counted","Balearic Islands, Spain","written and spoken; Latin script; island varieties","survey target-universe persons age 15+ (ceiling, not speakers)","","","929422","territorial_sample_survey_universe_ceiling","Official 2014 survey universe of residents age 15+ is retained only as the maximum possible population exposed to the survey category; no speaker count is manufactured from percentages.","2014","Survey share able to speak Catalan was 80.5%; understands 96.8%, reads 83.5%, writes 61.9%. Island speaking shares differ, but source-stated island person counts were not verified.","Age gradient in writing (83.9% age 15–29 versus 43.9% age 65+) is consistent with differing schooling exposure, but no causal claim or current stage enrolment count is made.","No Catalan-variety learning or completion endpoint was verified.","Official language resources exist, but the cited survey does not inventory a complete island-specific academic ladder.","Open Textbook Library cat=0 and DOAB Catalan=155 are global language metadata, not Balearic-variety supply. Licensing, island-variety coverage and full stage/subject sequences remain unverified.","Survey reports 62.0% able to speak English, a self-report rather than academic comprehension; no dominant-language coverage is inferred for the remainder or for Catalan speakers specifically.","Spain household internet access was 97.5% in 2025 national context; no Balearic Catalan cross-tab.","No verified accessible/offline island-variety ladder. Territorial connectivity does not establish devices, disability formats or adaptability.","BALEARIC_EULIB_2014;EUROSTAT_INTERNET_2025;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://llengua.gencat.cat/web/.content/temes/dades_estudis/base-de-dades/documents/EULIB2014-informe.pdf;https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/108644.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","BALEARIC_EULIB_2014: Table 1.1 universe/sample and language-knowledge tables | EUROSTAT_INTERNET_2025: household internet-access section and country chart | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","929,422 is a universe ceiling, not a speaker estimate. Percentages are not converted to counts; island varieties, current change, outcomes and resource licences are unresolved.","high for old survey universe/shares; unrankable for current exact-variety population, outcomes and open/offline completeness"
"ca-valencia-Latn-ES-VC","Valencian territorial standard in the Valencian Community","Valencià; shared Catalan language system with official territorial norm","Valencian Community, Spain","written and spoken; Latin script; official Valencian territorial standard","population age 15+ in official language survey; no source-stated speaker count","","","","survey_skill_shares_without_person_point_estimate","Official 2021 survey n=7,117 reports skill shares; no speaker-person estimate is derived, so numeric fields are blank.","2021","Community survey universe 5,216,000; shares: understand 75.8%, speak 50.6%, read 57.2%, write 40.8%. Valencian-predominant and Castilian-predominant zones differ sharply; shares are not converted to people.","For 2025/26, 570,000 families were called to choose a base language. Eligibility/choice is not exclusive medium or implemented exposure; statutory exemptions further complicate comparison.","No Valencian-specific learning/completion endpoint was verified; Catalonia outcomes are not transferred.","Official norm, survey and school-language process establish functional institutional provision; exact stage/subject coverage unverified.","OTL cat=0 and DOAB Catalan=155 are global shared-language metadata, not Valencian-standard coverage. Valencian corpora exist, but separate performance, specialist licensing and complete curriculum coverage are unverified.","Zone-specific Valencian skill shares document nonuniform overlap with Castilian; academic Spanish/English comprehension is not directly measured and no dominant-language coverage is inferred.","Spain household internet access 97.5% national context; no Valencian-speaker device/access cross-tab.","No verified Valencian-standard accessible/offline complete ladder; national connectivity does not establish format/device adequacy.","VALENCIA_AVL_STANDARD;VALENCIA_LANGUAGE_SURVEY_2021;VALENCIA_BASE_LANGUAGE_CHOICE_2025;EUROSTAT_INTERNET_2025;OER_UNESCO_2019;CATALOG_OTL_20260901;CATALOG_DOAB_20260901","https://www.avl.gva.es/gnv/buscador.jsp?gramatica=GNV&index=majuscules_consideracions_generals;https://ceice.gva.es/documents/161863132/174616028/enquesta+%C3%BAs+del+valencia%CC%80+2021_web.pdf/6a3e6836-f136-bffc-8593-0381eedc297b;https://comunica.gva.es/es/detalle?id=390097430&site=373430869;https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/108644.pdf;https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer?hub=422;https://open.umn.edu/opentextbooks/textbooks.json;https://directory.doabooks.org/rest/search","VALENCIA_AVL_STANDARD: shared language system and distinct territorial normative features | VALENCIA_LANGUAGE_SURVEY_2021: sample n=7,117, territory universe and understand/speak/read/write shares by linguistic zone | VALENCIA_BASE_LANGUAGE_CHOICE_2025: 570,000 eligible families and base-language-choice construct | EUROSTAT_INTERNET_2025: household internet-access section and country chart | OER_UNESCO_2019: Definition I.1 and scope | CATALOG_OTL_20260901: links.total_count after language-code query; counts reproduced in each row | CATALOG_DOAB_20260901: x-total-count after exact dc.language label query; counts reproduced in each row","Skill shares are not converted into persons; survey zones, eligible families and implemented medium differ. Catalonia/Balearic data and global Catalan resources are nonallocable.","high for norm/survey/process constructs; unrankable exact speaker population, learning and complete open/access supply"
