sentinel_id,target_label,expected_edition_target_id,expected_language_tag,script_or_mode,territory_or_community,sentinel_class,minimum_lane,why_required,preferred_evidence_action
S001,Hindi,edition-target:lang:hi-Deva-IN,hi-Deva-IN,Devanagari,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language and direct-person candidate,Retain source-bound direct population and stage-specific need evidence
S002,Bahasa Indonesia,edition-target:lang:id-Latn-ID,id-Latn-ID,Latin,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language and central equality sentinel,Retain direct population evidence and independently estimate stage and subject need
S003,Standard Written Chinese — Simplified,edition-target:lang:zh-Hans-CN:written,zh-Hans-CN,Simplified Han,Mainland China,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large written educational standard,Keep written-standard and spoken-language constructs separate
S004,Putonghua — spoken Standard Mandarin,edition-target:lang:cmn-Hans-CN:spoken,cmn-Hans-CN,Simplified Han plus speech,Mainland China,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large spoken standard and bridge language,Use explicit ability or use construct rather than treating written Chinese as a speaker count
S005,Standard Japanese,edition-target:lang:ja-Jpan-JP,ja-Jpan-JP,Japanese mixed script,Japan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language whose need must be researched rather than inferred from national income,Retain direct education and research-stage evidence with subject scarcity measures
S006,Standard Korean,edition-target:lang:ko-Kore-001,ko-Kore-001,Hangul and Korean mixed-script conventions,Republic of Korea and DPR Korea,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large cross-border language with divergent standards,Split territory-specific educational and orthographic requirements where evidence supports it
S007,Russian — Russian Federation,edition-target:lang:ru-Cyrl-RU,ru-Cyrl-RU,Cyrillic,Russian Federation,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large academic and regional bridge language,Preserve territorial and diaspora strata without blanket post-Soviet reach
S008,Bangla — Bangladesh,edition-target:lang:bn-Beng-BD,bn-Beng-BD,Bengali script,Bangladesh,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large educational population,Use Bangladesh-specific population and education evidence
S009,Bengali — India,edition-target:lang:bn-Beng-IN,bn-Beng-IN,Bengali script,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large territorial language population,Keep separate from Bangladesh for curriculum and denominator purposes
S010,Punjabi — Pakistan,edition-target:lang:pnb-Arab-PK,pnb-Arab-PK,Shahmukhi Perso-Arabic,Pakistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large language population with script-specific access,Do not merge with Gurmukhi Punjabi
S011,Punjabi — India,edition-target:lang:pa-Guru-IN,pa-Guru-IN,Gurmukhi,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large language population with separate script and curriculum,Use India-specific population and schooling evidence
S012,Urdu — Pakistan,edition-target:lang:ur-Arab-PK,ur-Arab-PK,Perso-Arabic Nastaliq,Pakistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and academic bridge language,Measure comfortable educational reach rather than official status alone
S013,Urdu — India,edition-target:lang:ur-Arab-IN,ur-Arab-IN,Perso-Arabic Nastaliq,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large minoritized territorial population,Keep India and Pakistan evidence separate
S014,Marathi,edition-target:lang:mr-Deva-IN,mr-Deva-IN,Devanagari,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
