edition_target_id,edition_key,edition_role,edition_derivation_class,normalized_language_codes_json,language_code_status,language_names_json,normalized_script_codes_json,script_code_status,script_orthography_json,mode_json,mode_status,territory_community_json,production_intervention_scope,effective_order_l_target,target_kind,regional_stratum_id,disposition,registry_row_hash
edition-target:lang:aa-Latn-ET,lang:aa-Latn-ET,canonical_language_edition,CANONICAL_V2_EDITION,"[""aa-Latn-ET""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Afar""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Ethiopia educational orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Ethiopia""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,cff7a436c7cea17b4d26ab7c23f57c4729c45c3368f56e771666096ba9a5ee02
edition-target:lang:ace-Latn-ID,lang:ace-Latn-ID,canonical_language_edition,CANONICAL_V2_EDITION,"[""ace-Latn-ID""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Acehnese""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""any Arabic-derived literacy track separately tagged""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Aceh, Indonesia"",""Acehnese communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,1b67f2d28d55aea5a019481fd67b864220890a7831d9f7107bc941c77b1b1087
edition-target:lang:acf-DM,lang:acf-DM,canonical_language_edition,CANONICAL_V2_EDITION,"[""acf-DM""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Dominican Kwéyòl""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Dominican Kwéyòl local orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Dominica""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,0446b5181f1c9acf9a15f22d34e499ec533c7c2f0a911bbf732a995699b3a2b5
edition-target:lang:acf-LC,lang:acf-LC,canonical_language_edition,CANONICAL_V2_EDITION,"[""acf-LC""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Saint Lucian Kwéyòl""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Saint Lucian Kwéyòl orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Saint Lucia""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,d2a6e118133aeddf080851d034413b8fee3af389d67ca33dc3054e8539153736
edition-target:lang:ach-Latn-UG,lang:ach-Latn-UG,canonical_language_edition,CANONICAL_V2_EDITION,"[""ach-Latn-UG""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Acholi""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Uganda standard""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Uganda""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,54e9ab31df379b96684c896cb35f340bb4e0b3a954546c235c4b604d3c82e74e
edition-target:lang:acm-Arab-IQ,lang:acm-Arab-IQ,canonical_language_edition,CANONICAL_V2_EDITION,"[""acm-Arab-IQ""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Mesopotamian Arabic — Iraq target""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Iraq""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,7e65a11e22177e68979b0dc975c908de992bd242530038ac63ab96aaa234f695
edition-target:lang:acq-Arab-YE,lang:acq-Arab-YE,canonical_language_edition,CANONICAL_V2_EDITION,"[""acq-Arab-YE""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Ta'izzi-Adeni Arabic — Yemen""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Yemen""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,a519a7560d299902762bc1ef08e077b351a797d42e15f869cb2738ec5f572259
edition-target:lang:acr-GT,lang:acr-GT,canonical_language_edition,CANONICAL_V2_EDITION,"[""acr-GT""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Achi""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""ALMG-standard Latin orthography for Achi""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Guatemala"",""ALMG language communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,cb51436622988b0834d10f201002a5483758d6fd2ecf19df5a9a014ed924fa2c
edition-target:lang:acu-EC,lang:acu-EC,canonical_language_edition,CANONICAL_V2_EDITION,"[""acu-EC""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Achuar Chicham""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""official/community Achuar Chicham orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Ecuador"",""Achuar Chicham communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,1a96026924ca756cf2f69ab4e9d4822d4a4b2fba34ab0292873d93ca61152740
edition-target:lang:acw-Arab-SA,lang:acw-Arab-SA,canonical_language_edition,CANONICAL_V2_EDITION,"[""acw-Arab-SA""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Hijazi Arabic — Saudi Arabia""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Saudi Arabia""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,00cfbde899c3f19f24402dd30e329b7057ee03ea239b3b182630ed897bd46ae1
