source_id,title,organization,year,url,access_date,claim_scope
SRC_WPP_2024,World Population Prospects 2024 dataset,United Nations Population Division,2024,https://www.un.org/development/desa/pd/content/world-population-prospects-2024-dataset,2026-09-01,"Rounded territorial population used only as national or education exposure ceiling, never speaker count."
SRC_BRITISH_COUNCIL_EN,The English Effect and mapping of English-taught programmes,British Council,2013/2023,https://www.britishcouncil.org/research-insight/english-effect,2026-09-01,Institutional estimates place useful/competent English users around 1.35-1.75 billion depending definition.
SRC_CHINA_MOE_2020,Putonghua ability reached 80.72%,Ministry of Education of the People's Republic of China,2020,https://en.moe.gov.cn/news/press_releases/202106/t20210616_538404.html,2026-09-01,80.72% Putonghua ability; candidate base is derived using the 2020 mainland census total.
SRC_CHINA_NBS_2020,Seventh National Population Census communique,National Bureau of Statistics of China,2020,https://www.stats.gov.cn/sj/tjgb/rkpcgb/qgrkpcgb/202302/t20230206_1902002.html,2026-09-01,Mainland census population and minority-ethnicity totals; ethnicity is not language.
SRC_HK_CENSUS_2021,"2021 Population Census Summary Results, table 2.7",Hong Kong Census and Statistics Department,2021,https://www.censtatd.gov.hk/en/data/stat_report/product/B1120106/att/B11201062021XXXXB01.pdf,2026-09-01,"Usual spoken language among population age 5+; Cantonese 6,328,947."
SRC_CERVANTES_2025,El espanol en el mundo 2025,Instituto Cervantes,2025,https://cvc.cervantes.es/lengua/anuario/anuario_25/elm/p01.htm,2026-09-01,About 520 million native and more than 630 million potential Spanish users.
SRC_US_ACS_2023,ACS 2023 B16001,United States Census Bureau,2023,https://data.census.gov/table/ACSDT1Y2023.B16001,2026-09-01,"Spanish spoken at home: 43,369,734 people."
SRC_UNESCO_ARABIC_2024,World Arabic Language Day 2024,UNESCO,2024,https://www.unesco.org/ar/articles/alywm-alalmy-llght-alrbyt-lam-2024?loclr=blogint,2026-09-01,"More than 450 million Arabic speakers; an umbrella estimate, not MSA first-language count."
SRC_OIF_2026,La langue francaise dans le monde 2026,Organisation internationale de la Francophonie,2026,https://www.francophonie.org/lancement-du-rapport-la-langue-francaise-dans-le-monde-2026-8426,2026-09-01,396 million French speakers; 65% in Africa.
SRC_UN_PORTUGUESE_2026,World Portuguese Language Day message,United Nations Secretary-General,2026,https://www.un.org/sg/en/content/sg/statements/2026-05-05/secretary-generals-message-world-portuguese-language-day,2026-09-01,265 million Portuguese speakers.
SRC_UNESCO_RUSSIAN_2024,Russian language address,UNESCO,2024,https://www.unesco.org/sites/default/files/medias/fichiers/2024/06/0606_russian%20language.pdf,2026-09-01,More than 250 million Russian speakers globally.
SRC_BPS_ID_2010,"Nationality, Ethnicity, Religion and Daily Language, Census 2010",Statistics Indonesia,2010,https://www.bps.go.id/id/publication/2012/05/23/55eca38b7fe0830834605b35/kewarganegaraan-suku-bangsa-agama-dan-bahasa-%20sehari-hari-penduduk-indonesia.html,2026-09-01,"Home language age 5+: Indonesian 42,682,566; Javanese 68,044,660; Sundanese 32,412,752 and other languages."
SRC_PAKISTAN_CENSUS_2023,Census 2023 Table 11,Pakistan Bureau of Statistics,2023,https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf,2026-09-01,"Direct mother-tongue counts for Urdu, Punjabi, Sindhi, Pashto, Saraiki, Balochi, Hindko, Brahui and others."
SRC_INDIA_C16_2011,C-16 population by mother tongue,"Office of the Registrar General and Census Commissioner, India",2011,https://censusindia.gov.in/nada/index.php/catalog/42458/download/46089/C-16_25062018.pdf,2026-09-01,Direct mother-tongue counts; Hindi heading groups many distinct returned mother tongues.
