flores_code,language_code,script_code,is_reference_source,aligned_sentences,unicode_normalization,reference_tokenizer,working_tokenizer,source_reference_tokens,source_working_tokens,target_reference_tokens,target_working_tokens,target_expansion_reference_E,target_tokenizer_fragmentation_P,target_codepoint_length_expansion_L,working_token_fragmentation_relative_F,combined_target_working_per_source_reference_R,E_block_p05,E_block_p95,P_block_p05,P_block_p95,R_block_p05,R_block_p95,target_utf8_bytes,source_unicode_codepoints,target_unicode_codepoints
ace_Arab,ace,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,102556,70305,3.772937974,0.685527907,0.845967901,3.057390557,2.586454271,3.483224953,4.045097258,0.67294656,0.700583824,2.376541627,2.752610384,200913,131966,111639
ace_Latn,ace,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,54210,48783,1.994334486,0.899889319,1.075663428,1.668440384,1.794680303,1.823541947,2.156179938,0.884122255,0.91322845,1.632459988,1.9454534,145486,131966,141951
acm_Arab,acm,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,80913,37098,2.97671253,0.458492455,0.861024809,1.585088165,1.364800235,2.841757581,3.095746607,0.440928947,0.478187287,1.28423171,1.464765615,207476,131966,113626
acq_Arab,acq,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,81630,37365,3.00309028,0.457736126,0.87236864,1.575736275,1.374622912,2.855688554,3.14012696,0.43988407,0.473647039,1.305515867,1.463417154,210306,131966,115123
aeb_Arab,aeb,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,79176,38187,2.912809948,0.482305244,0.84947638,1.653799382,1.404863513,2.745691679,3.104290301,0.459831587,0.50973999,1.317225619,1.537476571,204559,131966,112102
afr_Latn,afr,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,45897,38362,1.6885071,0.83582805,1.058537805,1.333255732,1.411301597,1.620187972,1.744722171,0.819313521,0.851381118,1.340327454,1.457272967,142304,131966,139691
ajp_Arab,ajp,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,76977,36011,2.831910823,0.467815062,0.826356789,1.603194352,1.324810536,2.613638403,2.99952069,0.447485171,0.488040259,1.261722455,1.408880635,197869,131966,109051
aka_Latn,aka,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,73257,56050,2.695055551,0.765114597,1.005205886,2.05134726,2.062026341,2.42095534,3.090056901,0.706359888,0.845699791,1.84988731,2.325473153,146914,131966,132653
als_Latn,als,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,61062,49212,2.246413067,0.805934951,1.1145295,1.62441892,1.810462806,2.064544194,2.34741021,0.789903467,0.834086926,1.697543159,1.888626576,159533,131966,147080
amh_Ethi,amh,Ethi,false,1012,NFC,cl100k_base,o200k_base,27182,26873,206404,155290,7.593407402,0.75235945,0.660260976,8.65259651,5.71297182,7.059848876,8.051753652,0.749358372,0.75483279,5.309181026,6.058516423,226461,131966,87132
apc_Arab,apc,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,76568,36161,2.816864101,0.472273012,0.818278951,1.625764531,1.330328894,2.663657935,2.959806808,0.459017687,0.488255748,1.265904101,1.384720785,196925,131966,107985
arb_Arab,arb,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,82288,37133,3.027297476,0.451256562,0.881439159,1.549837943,1.366087852,2.880855331,3.189592661,0.43407997,0.46584916,1.296301785,1.451554253,212287,131966,116320
arb_Latn,arb,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,66586,60544,2.449635788,0.909260205,1.165921525,1.910382723,2.227356339,2.211480697,2.578487083,0.900378517,0.918083791,2.024743361,2.346089943,154939,131966,153862
ars_Arab,ars,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,82417,37252,3.032043264,0.451994127,0.882280284,1.553322423,1.370465749,2.889025688,3.182751784,0.432728861,0.466543838,1.29843399,1.463494136,212556,131966,116431
ary_Arab,ary,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,80384,39857,2.957251122,0.495832504,0.860570147,1.703871827,1.466301229,2.798149652,3.150316298,0.470408569,0.511693396,1.367696154,1.535579428,207156,131966,113566
