"source_id","publisher","title","reference_year","source_type","territory_or_scope","url","locator","construct_and_limits","accessed_date"
"ANDORRA_LANGUAGE_SURVEY_2022","Government of Andorra","Knowledge and language-use study","2022","official sample-survey release","Andorra, residents age over 14","https://www.govern.ad/ca/w/l-estudi-de-coneixements-i-usos-lingueistics-indica-que-el-catala-es-la-llengua-de-referencia-de-la-poblacio-en-coneixement-i-us-1","sample size, initial language, habitual language and knowledge indicators","Percentages are multiresponse or indices and are not converted into person counts. Academic English comprehension is not measured.","2026-09-01"
"AW_CENSUS_LANGUAGE_2010","Central Bureau of Statistics Aruba","Fifth Population and Housing Census Aruba: Selected Tables","2010","official census report","Aruba residents","https://cbs.aw/wp/wp-content/uploads/2012/07/Fifth-Population-and-Housing-Census-Aruba.pdf","Table P-D1: population by language most spoken in the household, all ages","Direct person count for most-spoken home language; not total speaking ability, literacy or academic comfort.","2026-09-03"
"AW_EDUCATION_2000_2003","Central Bureau of Statistics Aruba","Onderwijs op Aruba: Context en Output","Census 2000 / report 2003","official census-based education analysis","Aruba primary pupils","https://cbs.aw/wp/wp-content/uploads/2013/02/05-02-Ad_Onderwijs_op_Aruba_context_en_output.pdf","pp. 36–38: everyday Dutch ability by grade and birthplace","Historic daily/general proficiency; source explicitly says census data do not measure cognitive-academic proficiency.","2026-09-01"
"BALEARIC_EULIB_2014","Government of the Balearic Islands and Government of Catalonia","Enquesta d’usos lingüístics a les Illes Balears 2014","2014","official sample survey","Balearic Islands, population age 15+","https://llengua.gencat.cat/web/.content/temes/dades_estudis/base-de-dades/documents/EULIB2014-informe.pdf","Table 1.1 universe/sample and language-knowledge tables","Reports a 929,422-person target universe and language percentages. No person point estimate is manufactured here; the universe is retained only as a territorial survey ceiling.","2026-09-01"
"BASQUE_EUSTAT_SCHOOLS_2025","Eustat","School activity statistics: 2024/25","2024/25","official education statistics","Basque Autonomous Community","https://en.eustat.eus/estad/id_68/ti_school-activity-statistics/latest-press-release.html","language-model shares by education stage and vocational training","Direct stage-specific language-of-instruction distribution for the autonomous community; it is not a Basque-speaker learning-outcome cross-tab and cannot be transferred to Navarre or France.","2026-09-01"
"BASQUE_SURVEY_2021","Basque Government","Seventh Sociolinguistic Survey 2021","2021","official sociolinguistic survey","Basque Autonomous Community, Navarre and Northern Basque Country","https://www.euskadi.eus/contenidos/informacion/eas_ikerketak/en_def/adjuntos/Seventh_Sociolinguistic_Survey_2021.pdf","Table 2 population age 16+ by language competence and fluency/usage sections","Comparable age-16+ survey estimates across the three territories. Counts are estimates, not census enumeration; subterritorial Basque varieties are not separately measured.","2026-09-01"
"BO_CENSUS_LANGUAGE_2012","Bolivia Instituto Nacional de Estadística","Censo 2012: principal language and population results","2012","official census table/report","Bolivia and departments","https://anda4.ine.gob.bo/ANDA4_3/index.php/catalog/495/download/2358","principal language age 6+; La Paz Aymara table and national graphs","Principal-language category, not ability; La Paz Aymara count is a territorial/category ceiling for Central Aymara, not an exact-variety count.","2026-09-01"
"BO_EDU_RESOURCES_2024","Bolivia Ministry of Education","Memoria Institucional 2024","2024","official resource-production report","Bolivia Indigenous languages","https://www.minedu.gob.bo/files/publicaciones/unicom/publicaciones/2025/Memoria_Intitucional_2024_compressed.pdf","alphabets, glossaries, dictionaries, grammars and initial textbooks inventory","Inventory units differ and do not prove exact-language, open or complete academic coverage.","2026-09-01"
"BO_READING_DIAGNOSTIC_2025","Bolivia Ministry of Education","National reading test results","2025","official learner assessment release","Bolivia Grades 3 and 6 secondary","https://olimpiada.minedu.gob.bo/pdf/boletines/resultados-prueba-de-lectura.pdf","tested population/coverage and mean correct by grade","National assessment, not exact Bolivian-Spanish or Indigenous-language outcome.","2026-09-01"
"BQ_CBS_LANGUAGE_2021","Statistics Netherlands","Population of the Dutch Caribbean has grown over fifteen years","2021","official statistical comparison","Caribbean Netherlands and Dutch Caribbean islands","https://www.cbs.nl/en-gb/background/2025/47/population-of-the-dutch-caribbean-has-grown-over-fifteen-years","Most widely spoken language table: Bonaire Papiamentu 62.4%","Share without a source-stated person count in the summary; not converted to persons and not transferable among island standards.","2026-09-01"
"BQ_CHILDCARE_2021_22","Inspectorate of Education, Netherlands","Baseline survey of childcare quality in the Caribbean Netherlands","2021/22","official inspection report","68 licensed sites across Bonaire, St Eustatius and Saba","https://www.onderwijsinspectie.nl/binaries/onderwijsinspectie/documenten/rapporten/2023/03/03/eindrapport-bestandsopname-kwaliteit-kinderopvang-caribisch-nederland/Final%2Breport%2Bof%2Bthe%2Bsurvey%2Bof%2Bthe%2Bquality%2Bof%2Bchildcare%2Bin%2Bthe%2BCaribbean%2BNetherlands.pdf","pp. 8 and 27: multilingual practice and Bonaire Papiamentu predominance","Complete licensed-site inspection across three islands; quantitative quality totals cannot be allocated to Bonaire alone.","2026-09-01"
"BR_CENSUS_POP_2022","IBGE","Censo Demográfico 2022: population and households, final second tabulation","2022","official census results","Brazil","https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Populacao_e_domicilios_Primeiros_resultados/Resultados_da_2a_apuracao_20231027/POP2022_Municipios_Primeiros_Resultados_20231222.pdf","resident population 203,080,756","Territory population ceiling, not a Brazilian Portuguese speaker count.","2026-09-01"
"BR_IBGE_INDIG_LANG_2022","IBGE","Censo Demográfico 2022: Etnias e línguas indígenas","2022","official census table","Brazil","https://educa.ibge.gov.br/images/educa/professores/recursos/liv102252.pdf","exact language spoken/used at home counts by Indigenous language and ethnic group","Exact published counts for Indigenous persons age 2+ speaking/using the named language at home; ethnic counts and location shares are separate constructs.","2026-09-01"
"BR_IBGE_INTERNET_2023","IBGE","Updated information on information and communication technologies","2023","official household ICT survey synthesis","Brazil","https://educa.ibge.gov.br/jovens/materias-especiais/21581-informacoes-atualizadas-sobre-tecnologias-da-informacao-e-comunicacao.html","connected/unconnected households and stated reasons","National household context, not exact language or Indigenous-school cross-tab.","2026-09-01"
"BR_INDIG_LANGUAGE_LITERACY_2022","IBGE","2022 Census: Indigenous ethnicities and languages","2022","official census release","Brazil Indigenous population","https://agenciadenoticias.ibge.gov.br/en/agencia-press-room/2184-news-agency/news/44866-2022-census-brazil-has-391-indigenous-ethnicities-and-295-indigenous-languages.html","Indigenous-language speakers, Portuguese home use and literacy by language-use subgroup","Direct Indigenous subgroup context; language use, age thresholds and literacy differ from the territory ceiling.","2026-09-01"
"BR_MEC_INDIG_EDU","Brazil Ministry of Education","Educação escolar indígena","current portal accessed 2026-09-01","official program/resource portal","Brazil","https://portal.mec.gov.br/educacao-indigena","Indigenous teacher/material programs","Functional national program evidence, not exact-language reach, outcome, open-licence or complete ladder evidence.","2026-09-01"
"BR_MEC_INDIG_SCHOOLS_2018","Brazil Ministry of Education","MEC works to advance Indigenous school education","2018 school data","official education release","Brazil Indigenous schools","https://portal.mec.gov.br/busca-geral/206noticias/1084311476/75261-mec-trabalha-por-avancos-na-educacao-escolar-indigena","enrolment/school totals and library, broadband, computer-lab and specific-material gaps","School infrastructure context, not a Portuguese-standard or exact-language learner outcome.","2026-09-01"
"BZ_CENSUS_LANGUAGE_2022","Statistical Institute of Belize","2022 Population and Housing Census: Key Findings","2022","official census report","Belize, persons age 4+","https://sib.org.bz/wp-content/uploads/CensusKeyFindingsReport_2022.pdf","Table 3.9 p. 60: multiple-response languages spoken","Multiple-response spoken-language share, neither L1 nor exclusive identity; percentages are not converted to persons.","2026-09-01"
"BZ_CENSUS_LANG_INFOGRAPHIC_2022","Statistical Institute of Belize","Languages Spoken in Belize According to the 2022 Census","2022","official census infographic","Belize, people age 4+; multiple-response spoken languages","https://sib.org.bz/wp-content/uploads/Languages_Infographic_2022.pdf","one-page infographic: Creole 180,792 persons, 49.0%","Direct count of people able to speak Creole; multiple languages permitted; not L1, literacy or academic comfort.","2026-09-03"
"BZ_EDU_PLAN_2021_25","Belize Ministry of Education","Belize Education Sector Plan 2021–2025","2021–2025","official education plan","Belize","https://edc.gov.bz/wp-content/uploads/2023/04/The-Belize-Education-Sector-Plan-2021-2025_MoECST.pdf","pp. 14 and 53: English instruction, home languages, teacher/material support","Direct system-design/mismatch evidence, not Kriol-specific dosage or outcome.","2026-09-01"
"CATALOG_DOAB_20260901","Directory of Open Access Books","DOAB REST dc.language query snapshot","2026-09-01 snapshot","catalog API","global catalog; not territory-specific","https://directory.doabooks.org/rest/search","x-total-count after exact dc.language label query; counts reproduced in each row","A reproducible metadata-label count, not a global census and not evidence of curricular sequencing, accessibility, adaptation fitness or territory-specific supply.","2026-09-01"
"CATALOG_OTL_20260901","Open Textbook Library, University of Minnesota","Open Textbook Library JSON language-query snapshot","2026-09-01 snapshot","catalog API","global catalog; not territory-specific","https://open.umn.edu/opentextbooks/textbooks.json","links.total_count after language-code query; counts reproduced in each row","A reproducible catalog count, not a global census of resources, not evidence of stage/subject completeness, and not assignable to a territory when catalog language metadata has no territory tag.","2026-09-01"
"CATALONIA_EULP_2023","Statistical Institute of Catalonia (Idescat)","Survey on language uses of the population: language knowledge","2023","official sample survey","Catalonia, population age 15+","https://idescat.cat/pub/?id=eulp&lang=en&n=10367","knowledge table: understand, speak, read, write and all four skills","Self-reported skill estimates, including separate Spanish and English constructs. English self-report is not an academic comprehension test.","2026-09-01"
"CATALONIA_XTEC_RESOURCES","Government of Catalonia / XTEC","Primary curriculum resources and materials","current page accessed 2026-09-01","official functional resource portal","Catalonia","https://xtec.gencat.cat/ca/curriculum/primaria/recursos-i-materials/","primary curriculum resource collections","Evidence of functional Catalan resources. Portal presence does not establish complete stage/subject coverage, disability access or open adaptation rights item by item.","2026-09-01"
"CA_AB_PLAINS_CREE_GUIDE","Government of Alberta","Plains Cree Y-dialect Grade 7–9 Guide to Implementation","draft guide accessed 2026-09-01","official open curriculum guide","Alberta / Plains Cree Y dialect","https://open.alberta.ca/dataset/ac9f2505-2b2d-4e4f-919e-41769c41d6ca/resource/4c805ee1-02bf-4721-a62e-c78ba6875038/download/cree-12y-guide-to-implementation-7-9-draft.pdf","pp. 9–10: Y/Plains scope, standard Roman orthography and regional variation","Direct openly accessible exact-variety curriculum evidence. It explicitly cannot represent other Cree varieties and is not proof of a full K–postsecondary ladder or outcomes.","2026-09-01"
"CA_CENSUS_LANGUAGE_PROFILE_2021","Statistics Canada","Census Profile, 2021 Census of Population: language variables","2021","official census table","Canada","https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=18&LANG=E&STATISTIClist=1","Mother tongue, knowledge and language spoken most often at home rows for Plautdietsch, Low German n.o.s. and Yiddish","Separate census constructs; mother tongue is the first language learned at home in childhood and still understood. Knowledge and home-use counts are secondary and never combined into ranges.","2026-09-01"
"CA_ITK_QALIUJAAQPait","Inuit Tapiriit Kanatami","Inuktut Qaliujaaqpait and writing-system converter","2019 adoption; current tool accessed 2026-09-01","national Inuit organization orthography standard/tool","Inuit Nunangat / multiple regional systems","https://itk.ca/projects/inuktut-qaliujaaqpait-converter/","supported writing systems and explicit conversion limitation","Open functional script conversion across multiple syllabic/Roman systems. The tool changes writing system only, not dialect words, grammar or meaning.","2026-09-01"
"CA_MB_EAL_MENNONITE","Manitoba Education","German language and English-as-an-additional-language learner context","curriculum document, accessed 2026-09-01","official curriculum guidance","Manitoba, Canada","https://www.edu.gov.mb.ca/k12/cur/languages/german/found_4-6/chapter7.pdf","Canadian-born Mennonite EAL learner discussion","Documents a school/home-language support mismatch for some Mennonite learners. It is not a national prevalence estimate and is not specific to every Plautdietsch census respondent.","2026-09-01"
