stratum_id,label,aliases,territory,script_or_mode,population_unit,population_low_persons,population_base_persons,population_high_persons,population_measure_class,population_definition,population_reference_year,population_secondary_context,education_language_exposure_mismatch_by_stage,learning_completion_evidence,functional_resource_access,open_adaptable_scarcity,academic_lingua_franca_nonoverlap,device_connectivity_electricity,accessible_offline_delivery_evidence,source_ids,source_urls,source_locators,uncertainty_incompatibilities,evidence_confidence
aeb-Arab-TN,Tunisian Arabic home-variety route,Tounsi; Tunisian Arabic,Tunisia,Arabic script; home variety,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Tunisian Arabic person measure was verified; national and general-Arabic totals are not substituted.,"Regional evidence documents structural home-variety/formal-Arabic discontinuity, but no exact country-stage exposure or implementation denominator was verified.","No exact home-variety learning endpoint was verified; the attached completion observation is country context only and may be highly dated. World Bank WDI country context: primary completion rate, total, 93.6% (2021). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","No reproducible exact-variety staged curriculum, open/adaptable, offline and accessible resource inventory was verified.",No reproducible exact-row open general-reference or open-textbook inventory was verified. The gap is unrankable rather than evidence that zero resources exist; functional resources with unverified licences are not credited as adaptable OER.,Formal Arabic controls core literacy/academic access; the home-variety-by-formal-Arabic proficiency intersection is unavailable.,"World Bank WDI country context: internet use 76.5% (2024); electricity access 100% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",WB_ARABIC_2021;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE,https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning,WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; WB_WDI_COMPLETION_2026: TN/SE.PRM.CMPT.ZS=93.6 (2021); WB_WDI_INTERNET_2026: TN/IT.NET.USER.ZS=76.5 (2024); WB_WDI_ELECTRICITY_2026: TN/EG.ELC.ACCS.ZS=100 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts,"Regional diglossia evidence is transported only as a structural mechanism. No population, effect size or resource count is transported.",population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
am-Ethi-ET,Amharic — Ethiopia,Amarigna,Ethiopia,Ethiopic (Geʽez),persons,,21634396,,census_mother_tongue_count,"Persons reporting Amharic as mother tongue in the 2007 national census, Table 3.2.",2007,Exact dated census construct; not projected to 2026 and not a literacy or school-language count.,"Ethiopia's policy provides primary instruction in nationality languages, requires Amharic teaching countrywide and designates English for secondary and higher education. Implementation differs by region and school.","The 2024 World Bank brief reports country learning poverty of 90%, learning deprivation 89% and schooling deprivation 14.8%; none is Amharic- or script-disaggregated. World Bank WDI country context: primary completion rate, total, 54.4% (2024). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","The Ministry annual abstract documents textbook availability by region/language context, but no complete Amharic curriculum inventory with open licences, accessibility metadata and offline packages was verified.","Wikimedia's 2026-09-01 snapshot records 15,727 articles for am.wikipedia. The edition is language-level rather than territory-specific, so it is retained only as cluster context. This is an openly licensed general-reference proxy under Wikimedia's content terms, not a staged curriculum, textbook, accessibility, offline-completeness or country-localization inventory. No reproducible exact-row open-textbook count was verified.",English is the policy medium for secondary and higher education. Amharic mother tongue and English academic proficiency are not jointly tabulated.,"World Bank WDI country context: internet use 21.9% (2024); electricity access 56.6% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",ET_ESS_CENSUS_2007;ET_MOE_POLICY;ET_MOE_ESAA_2022;ET_WB_LP_2024;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE;WMF_WIKI_STATS_20260901;WMF_TERMS,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download;https://www.moe.gov.et/storage/Books/Ethiopia%20Education%20and%20Training%20Policy.pdf;https://moe.gov.et/storage/Books/ESAA%202014%20EC%20%282021-22%20G.C%29%20Final.pdf;https://documents1.worldbank.org/curated/en/099062624135522075/pdf/P1792091d3bd9308519cdf1354887c45a1d.pdf;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning;https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab?action=raw;https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,"ET_ESS_CENSUS_2007: Table 3.2: population by mother tongue; ET_MOE_POLICY: Sections 3.5.1-3.5.7; ET_MOE_ESAA_2022: Textbook section and regional/language-related pupil-textbook ratios; ET_WB_LP_2024: p.1: learning poverty 90%, learning deprivation 89%, schooling deprivation 14.8%; WB_WDI_COMPLETION_2026: ET/SE.PRM.CMPT.ZS=54.4 (2024); WB_WDI_INTERNET_2026: ET/IT.NET.USER.ZS=21.9 (2024); WB_WDI_ELECTRICITY_2026: ET/EG.ELC.ACCS.ZS=56.6 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts; WMF_WIKI_STATS_20260901: Rows for named *.wikipedia sites; articles column; retrieved 2026-09-01; table license CC0-1.0; WMF_TERMS: Section 7: Licensing of Content",The population anchor is exact for its 2007 mother-tongue definition but dated. It excludes second-language users and says nothing about literacy or current enrolment.,population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
aoa-Latn-ST,Angolar,Ngola; Angolar Creole,São Tomé and Príncipe,Latin orthography; exact language edition,persons; multiple languages permitted,11377,11377,11377,census_reported_speakers,Official 2012 census direct count of residents reporting that they speak Angolar.,2012,"The same census table reports 170,223 of 173,015 residents speaking Portuguese. This substantial nonexclusive overlap is not proof of written or academic Portuguese comfort.",Portuguese dominates formal schooling; the census language counts do not identify school-medium exposure or subject-level comprehension for the creole-language cohorts.,No exact language-by-learning endpoint is inferred from the census language table.,"Exact open educational coverage by language, stage and subject remains unverified.",No complete open-license curriculum ladder was verified for this exact language.,"Portuguese-speaking overlap is high and nonexclusive, but academic reading comfort is unmeasured.",No exact language-access cross-tab was verified.,"Offline semantic text, print, audio and accessibility layers remain commissioning requirements, not measured reach.",STP_RGPH2012_LANG,https://www.ine.st/phocadownload/userupload/Documentos/Recenseamentos/2012/Dados%20Distritais%20e%20Nacional%20Recenseamento%202012/Resultados%20Nacionais%20do%20IV%20RGPH%202012.pdf,"STP_RGPH2012_LANG: Quadro 10, PDF p. 48, resident population by age, sex and language spoken","Multiple-response spoken-language counts overlap Portuguese and other languages; they are not L1, literacy, exclusive identity or academic-comfort counts.","high for official direct census count; low for stage outcomes, academic overlap and open-resource/access completeness"
apd-Arab-SD,Sudanese Arabic home-variety route,Sudanese Arabic,Sudan,Arabic script; home variety,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Sudanese-Arabic home-variety person measure was verified; national/general-Arabic totals and platform users are not denominators.,Regional evidence supports a home-variety/formal-Arabic discontinuity. UNICEF's Sudan platform offers Arabic and English but does not identify Sudanese Arabic or stage-specific home-variety bridging.,"No Sudanese-Arabic-specific learning endpoint was verified. World Bank WDI country context: primary completion rate, total, 60.1% (2019). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","Sudan Learning Passport directly provides Arabic/English online and offline, but the source does not establish Sudanese-Arabic content or open licensing.",No reproducible exact-row open general-reference or open-textbook inventory was verified. The gap is unrankable rather than evidence that zero resources exist; functional resources with unverified licences are not credited as adaptable OER.,Formal Arabic and English provision are documented; Sudanese-Arabic overlap with either academic route is not cross-tabulated.,"World Bank WDI country context: internet use 18.6% (2017); electricity access 66% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","Sudan Learning Passport supplies direct online/offline delivery evidence. Exact dialect coverage, accessible formats and reuse licensing remain unverified.",WB_ARABIC_2021;SD_UNICEF_LP;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE,https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://www.unicef.org/sudan/reports/learning-passport;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning,WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; SD_UNICEF_LP: Arabic/English; online and offline; WB_WDI_COMPLETION_2026: SD/SE.PRM.CMPT.ZS=60.1 (2019); WB_WDI_INTERNET_2026: SD/IT.NET.USER.ZS=18.6 (2017); WB_WDI_ELECTRICITY_2026: SD/EG.ELC.ACCS.ZS=66 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts,Platform language 'Arabic' cannot be relabelled as Sudanese Arabic. Country access observations are dated/non-disaggregated.,population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
arq-Arab-DZ,Algerian Arabic home-variety route,Darja; Algerian Arabic,Algeria,Arabic script; home variety,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Algerian-Arabic home-variety person measure was verified; daily-use narrative and national population are not exact denominators.,UNESCO IICBA identifies Algerian Arabic as the daily variety while French remains important in higher education/employment and English is expanding; regional evidence adds formal-Arabic/home-variety discontinuity.,"No Algerian-Arabic-specific learning endpoint was verified. World Bank WDI country context: primary completion rate, total, 98.2% (2025). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.",No reproducible Algerian-Arabic staged/open curriculum and accessibility/offline inventory was verified.,No reproducible exact-row open general-reference or open-textbook inventory was verified. The gap is unrankable rather than evidence that zero resources exist; functional resources with unverified licences are not credited as adaptable OER.,"Algerian Arabic, formal Arabic, French and English form distinct functional layers; no joint proficiency cross-tab quantifies nonoverlap.","World Bank WDI country context: internet use 77.4% (2024); electricity access 100% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",DZ_IICBA_TAMAZIGHT;WB_ARABIC_2021;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE,https://www.iicba.unesco.org/en/algerias-tamazight-policy-and-challenge-home-language-instruction-africa;https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning,DZ_IICBA_TAMAZIGHT: Daily Algerian Arabic; French in higher education/employment; English expanding; no unified Tamazight teacher guide/progression; WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; WB_WDI_COMPLETION_2026: DZ/SE.PRM.CMPT.ZS=98.2 (2025); WB_WDI_INTERNET_2026: DZ/IT.NET.USER.ZS=77.4 (2024); WB_WDI_ELECTRICITY_2026: DZ/EG.ELC.ACCS.ZS=100 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts,Country narrative supports the route but not a population or learning estimate. Arabic resources are not presumed to match the home variety.,population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
ary-oral-MA,Moroccan Arabic (Darija) home-variety route,Darija; Moroccan Arabic,Morocco,Oral/local-use construct; script delivery unresolved,persons,,30252692,,census_local_language_use_count,Persons reporting Moroccan Arabic/Darija among locally used languages in RGPH 2014 Table E18; multiple responses permitted.,2014,"Exact local-use construct, not literacy, exclusive home language or Arabic-script reader count.","Regional evidence identifies home-variety/formal-Arabic discontinuity. The Moroccan local-use census count does not identify school stage, formal-Arabic literacy or Darija instructional exposure.","No Darija-specific learning endpoint was verified. World Bank WDI country context: primary completion rate, total, 106.4% (2024). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","ary.wikipedia demonstrates open general-reference functionality. No complete Darija staged curriculum, open-textbook, offline or accessibility inventory was verified.","Wikimedia's 2026-09-01 snapshot records 20,343 articles for ary.wikipedia. The edition is language-level rather than territory-specific, so it is retained only as cluster context. This is an openly licensed general-reference proxy under Wikimedia's content terms, not a staged curriculum, textbook, accessibility, offline-completeness or country-localization inventory. No reproducible exact-row open-textbook count was verified.","Local Darija use is not cross-tabulated with formal Arabic, French or other written-language proficiency; the academic nonoverlap cannot be quantified.","World Bank WDI country context: internet use 91.2% (2024); electricity access 100% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",MA_HCP_RGPH2014;WB_ARABIC_2021;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE;WMF_WIKI_STATS_20260901;WMF_TERMS,https://www.hcp.ma/file/230026/;https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning;https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab?action=raw;https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,"MA_HCP_RGPH2014: Table E17 p.81: age 10+ written-language literacy including Amazigh 542,781; Table E18 p.81: local-language use counts; WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; WB_WDI_COMPLETION_2026: MA/SE.PRM.CMPT.ZS=106.4 (2024); WB_WDI_INTERNET_2026: MA/IT.NET.USER.ZS=91.2 (2024); WB_WDI_ELECTRICITY_2026: MA/EG.ELC.ACCS.ZS=100 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts; WMF_WIKI_STATS_20260901: Rows for named *.wikipedia sites; articles column; retrieved 2026-09-01; table license CC0-1.0; WMF_TERMS: Section 7: Licensing of Content","Multiple-response local use is compatible only with the oral/home-variety route, not script literacy. Regional diglossia is mechanism context, not a row effect size.",population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
arz-Arab-EG,Egyptian Arabic home-variety route,Masri; Egyptian Colloquial Arabic,Egypt,Arabic script; home variety,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Egyptian-Arabic person measure was verified; national population and general Arabic counts are not home-variety/script denominators.,The World Bank describes structural discontinuity between children's home Arabic varieties and formal/literary Arabic used for literacy and schooling. No Egypt-specific exposure-by-stage denominator was verified.,"No Egyptian-Arabic-route learning endpoint was verified; country completion context cannot be attributed to diglossic mismatch. World Bank WDI country context: primary completion rate, total, 98.2% (2024). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","A large arz.wikipedia edition demonstrates open general-reference functionality in Egyptian Arabic, but not staged curriculum, orthographic coverage, accessible formats or offline completeness.","Wikimedia's 2026-09-01 snapshot records 1,633,401 articles for arz.wikipedia. The edition is language-level rather than territory-specific, so it is retained only as cluster context. This is an openly licensed general-reference proxy under Wikimedia's content terms, not a staged curriculum, textbook, accessibility, offline-completeness or country-localization inventory. No reproducible exact-row open-textbook count was verified.","Formal Arabic, rather than the home variety, controls core literacy/academic access; the exact population with insufficient formal-Arabic overlap is not measured.","World Bank WDI country context: internet use 74.6% (2024); electricity access 100% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",WB_ARABIC_2021;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE;WMF_WIKI_STATS_20260901;WMF_TERMS,https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning;https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab?action=raw;https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; WB_WDI_COMPLETION_2026: EG/SE.PRM.CMPT.ZS=98.2 (2024); WB_WDI_INTERNET_2026: EG/IT.NET.USER.ZS=74.6 (2024); WB_WDI_ELECTRICITY_2026: EG/EG.ELC.ACCS.ZS=100 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts; WMF_WIKI_STATS_20260901: Rows for named *.wikipedia sites; articles column; retrieved 2026-09-01; table license CC0-1.0; WMF_TERMS: Section 7: Licensing of Content,"Regional structural evidence is not an Egypt effect estimate. The language-edition count measures pages, not readers, quality or curriculum coverage.",population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
ayl-Arab-LY,Libyan Arabic home-variety route,Libyan Arabic,Libya,Arabic script; home variety,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Libyan Arabic person measure was verified; national and general-Arabic totals are not substituted.,"Regional evidence documents structural home-variety/formal-Arabic discontinuity, but no exact country-stage exposure or implementation denominator was verified.","No exact home-variety learning endpoint was verified; the attached completion observation is country context only and may be highly dated. World Bank WDI country context: primary completion rate, total, 90.1% (1983). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","No reproducible exact-variety staged curriculum, open/adaptable, offline and accessible resource inventory was verified.",No reproducible exact-row open general-reference or open-textbook inventory was verified. The gap is unrankable rather than evidence that zero resources exist; functional resources with unverified licences are not credited as adaptable OER.,Formal Arabic controls core literacy/academic access; the home-variety-by-formal-Arabic proficiency intersection is unavailable.,"World Bank WDI country context: internet use 82% (2024); electricity access 77.4% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",WB_ARABIC_2021;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE,https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning,WB_ARABIC_2021: Diglossia and formal-Arabic/home-variety discontinuity sections; WB_WDI_COMPLETION_2026: LY/SE.PRM.CMPT.ZS=90.1 (1983); WB_WDI_INTERNET_2026: LY/IT.NET.USER.ZS=82 (2024); WB_WDI_ELECTRICITY_2026: LY/EG.ELC.ACCS.ZS=77.4 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts,"Regional diglossia evidence is transported only as a structural mechanism. No population, effect size or resource count is transported.",population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
cnu-Latn-DZ,Chenoua — Algeria,Chenoui,Algeria,Latin,persons,,,,not_estimated_incompatible_sources,"No compatible exact-row person measure was verified; country, cluster, ethnicity, oral-language and script-literacy measures were not copied into this route.",,No compatible Algeria variety-by-script person count was verified; aggregate Tamazight status cannot be allocated to this route.,"UNESCO IICBA reports no unified Tamazight teacher guide/progression and describes Algerian Arabic daily use, French higher-education/employment importance and growing English; exact variety-stage exposure is unavailable.","No exact variety/script learning or completion endpoint was verified. World Bank WDI country context: primary completion rate, total, 98.2% (2025). This gross relevant-age-group indicator may exceed 100 and is not language- or script-disaggregated.","Tamazight has institutional policy status, but no reproducible exact-route curriculum, open/adaptable, offline and accessible resource inventory was verified.",No reproducible exact-row open general-reference or open-textbook inventory was verified. The gap is unrankable rather than evidence that zero resources exist; functional resources with unverified licences are not credited as adaptable OER.,"French and increasingly English occupy higher/formal domains, while Algerian Arabic is a daily-language layer; variety-by-academic-language proficiency is not cross-tabulated.","World Bank WDI country context: internet use 77.4% (2024); electricity access 100% (2024). These rates are not cross-tabulated by language, script, school stage, rurality or disability.","UNICEF's Learning Passport hub/LAN and physical-sync model demonstrates a low/no-connectivity delivery architecture. This is feasibility evidence only, not verified deployment or language coverage for this row; downloadable semantic text/audio, print, captions/transcripts and assistive-technology compatibility remain row-level requirements.",DZ_IICBA_TAMAZIGHT;UNICODE_TIFINAGH;WB_WDI_COMPLETION_2026;WB_WDI_INTERNET_2026;WB_WDI_ELECTRICITY_2026;UNICEF_LP_OFFLINE,https://www.iicba.unesco.org/en/algerias-tamazight-policy-and-challenge-home-language-instruction-africa;https://www.unicode.org/notes/tn59/tn59-1.html;https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS;https://data.worldbank.org/indicator/IT.NET.USER.ZS;https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS;https://www.unicef.org/learningpassport/offline-learning,"DZ_IICBA_TAMAZIGHT: Daily Algerian Arabic; French in higher education/employment; English expanding; no unified Tamazight teacher guide/progression; UNICODE_TIFINAGH: IRCAM subset, modern Tuareg letters and language-specific glyph variants; WB_WDI_COMPLETION_2026: DZ/SE.PRM.CMPT.ZS=98.2 (2025); WB_WDI_INTERNET_2026: DZ/IT.NET.USER.ZS=77.4 (2024); WB_WDI_ELECTRICITY_2026: DZ/EG.ELC.ACCS.ZS=100 (2024); UNICEF_LP_OFFLINE: Hub/learner-device and physical-sync ('sneakernet') concepts",No exact population denominator. No compatible open general-reference edition inventory was verified. Latin and Tifinagh resources are not interchangeable.,population: low or unavailable; stage: medium; learning: country context; resources: bounded audit; access: country context
cri-Latn-ST,Forro / Sãotomense,Forro; Santome; Sãotomense,São Tomé and Príncipe,Latin orthography; exact language edition,persons; multiple languages permitted,62707,62707,62707,census_reported_speakers,Official 2012 census direct count of residents reporting that they speak Forro.,2012,"The same census table reports 170,223 of 173,015 residents speaking Portuguese. This substantial nonexclusive overlap is not proof of written or academic Portuguese comfort.",Portuguese dominates formal schooling; the census language counts do not identify school-medium exposure or subject-level comprehension for the creole-language cohorts.,No exact language-by-learning endpoint is inferred from the census language table.,"Exact open educational coverage by language, stage and subject remains unverified.",No complete open-license curriculum ladder was verified for this exact language.,"Portuguese-speaking overlap is high and nonexclusive, but academic reading comfort is unmeasured.",No exact language-access cross-tab was verified.,"Offline semantic text, print, audio and accessibility layers remain commissioning requirements, not measured reach.",STP_RGPH2012_LANG,https://www.ine.st/phocadownload/userupload/Documentos/Recenseamentos/2012/Dados%20Distritais%20e%20Nacional%20Recenseamento%202012/Resultados%20Nacionais%20do%20IV%20RGPH%202012.pdf,"STP_RGPH2012_LANG: Quadro 10, PDF p. 48, resident population by age, sex and language spoken","Multiple-response spoken-language counts overlap Portuguese and other languages; they are not L1, literacy, exclusive identity or academic-comfort counts.","high for official direct census count; low for stage outcomes, academic overlap and open-resource/access completeness"
