structural_id,structural_lane,target_or_intervention,edition_target_id,language_tag,territory_or_community,evidence_status,commissioning_band,source_record_id,source_url,allocation_denominator_base_persons,context_value,context_unit,rank_use,nonadditivity_rule,row_sha256
SL-ASL-US-GAP,NAMED_SIGN_LANGUAGE,American Sign Language (ASL),edition-target:lang:ase-US,ase-US,United States,MEASUREMENT_GAP_NO_PERSON_DENOMINATOR,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-ASL-US-GAP,https://www.census.gov/topics/population/language-use/about/faqs.html,,,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Do not substitute deaf, hearing-loss, disability, or ACS English counts for ASL users.",6e1197ce5605426358b442af13d2b614d977b9eb28c1c6ade2947057bf08821f
SL-ASL-CA-2021-KNOW,NAMED_SIGN_LANGUAGE,American Sign Language (ASL),edition-target:lang:ase-CA,ase-CA,Canada,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-ASL-CA-2021-KNOW,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1%2C4,37620,37620,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Do not add to LSQ, other language knowledge, or Canadian home-language counts; multiple languages may be reported.",ee7e15cbef398d3917a5ba40b29bdf9177ccf6345787f7c62ca22d2b53441a96
SL-BSL-ENG-2021-MAIN,NAMED_SIGN_LANGUAGE,British Sign Language (BSL),edition-target:lang:bfi-GB,bfi-GB,England,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-BSL-ENG-2021-MAIN,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,E92000001",20739,20739,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,e376b940fe0765cacbb7c194c71598404dd8a7ecaa8c0a8674d825071aad358f
SL-BSL-WLS-2021-MAIN,NAMED_SIGN_LANGUAGE,British Sign Language (BSL),edition-target:lang:bfi-GB,bfi-GB,Wales,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-BSL-WLS-2021-MAIN,"https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3/json?area-type=ctry,W92000004",893,893,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,May be combined only with disjoint territories using the same main-language definition; never with Scotland's can-use measure.,32269be9c2708dc04a758042d01c58521a7e0aa25137626ce8c00a37bcad5d3b
SL-BSL-SCT-2022-CANUSE,NAMED_SIGN_LANGUAGE,British Sign Language (BSL),edition-target:lang:bfi-GB,bfi-GB,Scotland,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-BSL-SCT-2022-CANUSE,https://www.scotlandscensus.gov.uk/2022-reports/scotland-s-census-2022-ethnic-group-national-identity-language-and-religion/,117300,117300,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not add to England/Wales/Northern Ireland main-language counts as a UK user total; definitions differ.,58e91ece0603be77b1aae9c4c671bd502ff369688b0dde2749689463173b33d1
SL-BSL-NIR-2021-MAIN,NAMED_SIGN_LANGUAGE,British Sign Language (BSL),edition-target:lang:bfi-GB,bfi-GB,Northern Ireland,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-BSL-NIR-2021-MAIN,https://www.nisra.gov.uk/publications/ct0041-main-language-sign-language-religion,539,539,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not combine with Scotland's can-use count; do not infer all BSL users from a main-language row.,ed0b50ea1fce701f9e33f6617ed85fd1d17cbb9f884f1a5bdcd1f572da1a6b47
SL-LIBRAS-BR-2019-KNOW,NAMED_SIGN_LANGUAGE,Brazilian Sign Language (Libras),edition-target:lang:bzs-BR,bzs-BR,Brazil,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-LIBRAS-BR-2019-KNOW,https://www.ibge.gov.br/biblioteca/visualizacao/livros/liv101846.pdf,153000,153000,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not extrapolate to all Brazilians or add the 22.4% severe-hearing subgroup; that subgroup is nested in this population.,3088a4b1405a71ee310e1893d17682d7fc026fbdcc5fe3794ad52b87d2e1180d
SL-LSF-FR-1998-99-USE,NAMED_SIGN_LANGUAGE,French Sign Language (LSF),edition-target:lang:fsl-FR,fsl-FR,Metropolitan France,QUALIFIED_OR_UNDIFFERENTIATED_SIGN_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-LSF-FR-1998-99-USE,https://drees.solidarites-sante.gouv.fr/sites/default/files/2020-10/dtee71.pdf,,119000,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Use 119,000 once; do not also add its 44,000 and 75,000 components.",0682715d86d70e0106898aa2987b16a43abea832c65697c02a2fb7114319631e
SL-DGS-DE-2007-INTERP-PROXY,NAMED_SIGN_LANGUAGE,German Sign Language (DGS),edition-target:lang:gsg-DE,gsg-DE,Germany,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-DGS-DE-2007-INTERP-PROXY,https://dserver.bundestag.de/btd/16/138/1613860.pdf,,100000,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Never treat as a DGS-language population and never add national deaf/hearing counts.,92c7aa045c5eb7d5dab05a864717353d1d39a6feb1f6e6fc9f9f5c74db20d22b
SL-JSL-JP-2006-SIGNMEDIATED,NAMED_SIGN_LANGUAGE,Japanese Sign Language (JSL),edition-target:lang:jsl-JP,jsl-JP,Japan,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-JSL-JP-2006-SIGNMEDIATED,https://www.mhlw.go.jp/bunya/shougaihoken/cyousajigyou/jiritsushien_project/seika/research_09/dl/result/11-07c.pdf,,65000,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Do not label as a population-wide JSL count and do not add the 22,000 registered interpreting-service users, a nested service subset.",b05cd50f8b974161d44448615da8bdf98e412f7a5f3b2ccc0ce6a29bb4de6282
