import_row_id,record_kind,target_id,target_name,language_tag,script_orthography,territory,language_mode,exactness,measure_id,measure_class,source_low,source_base,source_high,source_unit,normalization_multiplier,bound_semantics,population_definition,reference_year,endpoint_type,stage_ids,stage_identity_status,additivity_class,overlap_group,evidence_source_id,evidence_url,authority_path,authority_locator,evidence_class,disposition,quarantine_reason,package_id,component_target_ids,notes
REG-CMN-CN-SPOKEN-RATE-2020,LANGUAGE_EVIDENCE,lang:cmn-CN:spoken,Putonghua spoken standard Mandarin,cmn-CN,None (spoken); optional Hanyu Pinyin or separately typed transcript,Mainland China,spoken,exact,regional:cmn-cn-putonghua-rate-2020,reported_ability_rate,,80.72,,percent,,POINT,Reported Putonghua communicative-ability rate; no compatible person denominator in the cited press locator,2020,spoken_communicative_ability,,NOT_STAGE_SPECIFIC,nonadditive_rate_context,CN_PUTONGHUA_2020,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 54,audited_official_rate,ADMIT_CONTEXT,,,,Rate retained; the derived person count is quarantined.
REG-ZH-HANT-TW-CEILING-2020,LANGUAGE_EVIDENCE,lang:zh-Hant-TW:written,Traditional Chinese written standard — Taiwan,zh-Hant-TW,Traditional Han,Taiwan,written,exact,regional:zh-hant-tw-ceiling-2020,territorial_written_standard_exposure_ceiling,,23561236,,persons,1,UPPER_BOUND,Taiwan registered population; ceiling only and not a reader count,2020,written_standard_exposure,,NOT_STAGE_SPECIFIC,territory_disjoint_context,ZH_HANT_TERRITORIES,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 56,audited_official_territorial_count,ADMIT_CONTEXT,,,,Keep separate from Hong Kong and Macao and from spoken-language measures.
REG-ZH-HANT-HK-CEILING-2021,LANGUAGE_EVIDENCE,lang:zh-Hant-HK:written,Traditional Chinese written standard — Hong Kong,zh-Hant-HK,Traditional Han,Hong Kong,written,exact,regional:zh-hant-hk-ceiling-2021,territorial_written_standard_exposure_ceiling,,7413070,,persons,1,UPPER_BOUND,Hong Kong census population; ceiling only and not a reader count,2021,written_standard_exposure,,NOT_STAGE_SPECIFIC,territory_disjoint_context,ZH_HANT_TERRITORIES,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 56,audited_official_territorial_count,ADMIT_CONTEXT,,,,Do not substitute the Cantonese usual-spoken count or inherit zh-Hans evidence.
REG-ZH-HANT-MO-CEILING-2021,LANGUAGE_EVIDENCE,lang:zh-Hant-MO:written,Traditional Chinese written standard — Macao,zh-Hant-MO,Traditional Han,Macao,written,exact,regional:zh-hant-mo-ceiling-2021,territorial_written_standard_exposure_ceiling,,682070,,persons,1,UPPER_BOUND,Macao census population; ceiling only and not a reader count,2021,written_standard_exposure,,NOT_STAGE_SPECIFIC,territory_disjoint_context,ZH_HANT_TERRITORIES,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 56,audited_official_territorial_count,ADMIT_CONTEXT,,,,Do not inherit Hong Kong Taiwan Mainland or spoken-language measures.
REG-RU-RU-ABILITY-2021,LANGUAGE_EVIDENCE,lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,Cyrillic,Russian Federation,written_or_multimodal,exact,regional:ru-ru-reported-ability-2021,reported_ability,134319233,134319233,134319233,persons,1,POINT,Persons reporting Russian ability in the 2020 Census referenced to 1 October 2021,2021,reported_language_ability,,NOT_STAGE_SPECIFIC,alternative_overlapping_endpoint,RU_CENSUS_LANGUAGE_2021,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 52,audited_official_census_count,ADMIT_DIRECT,,,,Ability and daily use overlap and are never added.
REG-RU-RU-DAILY-2021,LANGUAGE_EVIDENCE,lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,Cyrillic,Russian Federation,written_or_multimodal,exact,regional:ru-ru-daily-use-2021,daily_use,132317159,132317159,132317159,persons,1,POINT,Persons reporting daily use of Russian in the 2020 Census referenced to 1 October 2021,2021,daily_language_use,,NOT_STAGE_SPECIFIC,alternative_overlapping_endpoint,RU_CENSUS_LANGUAGE_2021,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 52,audited_official_census_count,ADMIT_DIRECT,,,,Alternative endpoint; not additive with reported ability.
REG-RU-RU-RESPONSE-DENOM-2021,LANGUAGE_EVIDENCE,lang:ru-Cyrl-RU,Russian — Russian Federation,ru-Cyrl-RU,Cyrillic,Russian Federation,written_or_multimodal,exact,regional:ru-ru-ability-item-respondents-2021,survey_response_denominator,135125671,135125671,135125671,persons,1,POINT,Persons answering the Russian Federation census language-ability item,2021,language_ability_item_response,,NOT_STAGE_SPECIFIC,denominator_context_only,RU_CENSUS_LANGUAGE_2021,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 52,audited_official_census_count,ADMIT_CONTEXT,,,,Denominator only; never a Russian-language population count.
REG-JA-JP-NATIONALS-2024,LANGUAGE_EVIDENCE,lang:ja-Jpan-JP,,,,,,,regional:ja-jp-nationality-exposure-2024,nationality_exposure_ceiling,,120296000,,persons,1,UPPER_BOUND,Japanese nationals in Japan; administrative exposure definition and not language ability,2024,nationality_exposure,,NOT_STAGE_SPECIFIC,alternative_exposure_definition,JA_JP_EXPOSURE_2024,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 60,audited_official_administrative_count,ADMIT_CONTEXT,,,,Split from total residents; never an uncertainty lower bound.
REG-JA-JP-RESIDENTS-2024,LANGUAGE_EVIDENCE,lang:ja-Jpan-JP,,,,,,,regional:ja-jp-resident-exposure-2024,resident_exposure_ceiling,,123802000,,persons,1,UPPER_BOUND,Total residents of Japan; administrative exposure definition and not language ability,2024,resident_exposure,,NOT_STAGE_SPECIFIC,alternative_exposure_definition,JA_JP_EXPOSURE_2024,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 60,audited_official_administrative_count,ADMIT_CONTEXT,,,,Split from Japanese nationals; never an uncertainty upper bound.
REG-TR-TR-SPEAKER-CONTEXT,LANGUAGE_EVIDENCE,lang:tr-Latn-TR,,,,,,,regional:tr-tr-speaker-lower-bound,rounded_speaker_lower_bound,,80000000,,persons,1,LOWER_BOUND,Peer-reviewed rounded statement that Turkish is spoken by more than 80 million people mainly in Turkiye,n.d.,language_population_context,,NOT_STAGE_SPECIFIC,alternative_construct,TR_TR_CONTEXT,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 64,audited_peer_reviewed_context,ADMIT_CONTEXT,,,,Separate construct from the registered resident ceiling.
