compute_estimate_id,candidate_id,standard_compute_model_version,reference_hardware_id,hardware_normalization_version,model_runtime_version,tokenizer_version,qa_target_version,standard_compute_mean,standard_compute_p05,standard_compute_p50,standard_compute_p95,standard_compute_lower_bound,standard_compute_upper_bound,standard_compute_scenario_low,standard_compute_scenario_base,standard_compute_scenario_high,standard_compute_unit,energy_mean,energy_p05,energy_p50,energy_p95,energy_lower_bound,energy_upper_bound,energy_unit,estimate_status,uncertainty_method,draw_set_id,benchmark_source_ids_json,compute_input_set_hash,estimate_row_hash,generated_at_utc
EST:STD-ENV-025K-TEXT,STD-ENV-025K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,192701.171694,393711.536995,1011087.189986,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,9b7286aa7e33d555837c4dfd90cdce5548f5baeab84b1d3f4277c6497341dbbd,2026-09-01T00:00:00Z
EST:STD-ENV-025K-ACCESSIBLE-PUBLICATION,STD-ENV-025K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,197351.171694,419149.036995,1217087.189986,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,74b09c5c609455e08bc1eaf6abeb2ee3385956f945e0b0da3a7eec4e9dadf3f2,2026-09-01T00:00:00Z
EST:STD-ENV-025K-AUDIO,STD-ENV-025K-AUDIO,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,274437.48614,528481.973282,1342251.839346,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,64304534a4706706a8570d624b923c882955aa45ba90a5a4a67b78b501f43b3c,2026-09-01T00:00:00Z
EST:STD-ENV-025K-CAPTIONS,STD-ENV-025K-CAPTIONS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,209939.601531,523139.09932,1399607.166386,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,2e9eac33f633d1fece71750c6021a86c5401679933269790b244fcb6bcc3a860,2026-09-01T00:00:00Z
EST:STD-ENV-025K-NAMED-SIGN,STD-ENV-025K-NAMED-SIGN,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,261654.891044,566281.620095,1529113.825186,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,9079687c5e6f8117dd00e748853cad9a91fd244026b4ee59f00ded5112a49e0b,2026-09-01T00:00:00Z
EST:STD-ENV-025K-COMPLETE-ACCESS,STD-ENV-025K-COMPLETE-ACCESS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,365279.635327,855917.118707,2454798.450946,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,09acee5cb99af9555775469f927bd1dfcd6012f150f8800d6446956e01dba7c2,2026-09-01T00:00:00Z
EST:STD-ENV-100K-TEXT,STD-ENV-100K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,0881cacd88b1da86c0f998a0a3891caf60a03c637e1319276175fd238358b8a5,2026-09-01T00:00:00Z
EST:STD-ENV-100K-ACCESSIBLE-PUBLICATION,STD-ENV-100K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,789404.686774,1676596.147982,4868348.759945,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,127998215d5ba0080cbb3bcef8dbc7709cb7e67a9af1edb608777644b4b26a0d,2026-09-01T00:00:00Z
EST:STD-ENV-100K-AUDIO,STD-ENV-100K-AUDIO,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1097749.944558,2113927.893127,5369007.357385,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,26823b0c249ddafd1b6779c3c3a00da5f8552cbb74e36a81e78e0ecfc0d1e48a,2026-09-01T00:00:00Z
EST:STD-ENV-100K-CAPTIONS,STD-ENV-100K-CAPTIONS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,839758.406124,2092556.397282,5598428.665545,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,7379696959d74121218d30d570d73f8d3e2f9fdccf6a3805879b0dd5398a1e26,2026-09-01T00:00:00Z
