source_id,title,organization,year,url,access_date,source_type,locator,claim_scope,territory_or_scope,notes
LPOS_US_ACS_B16001_2023,ACS 2023 one-year table B16001,U.S. Census Bureau,2023,https://data.census.gov/table/ACSDT1Y2023.B16001,2026-09-01,official sample survey,"Population age 5+: speak only English at home 245472067, 90% MOE 221387",US English-only home-language estimate,United States,Estimate and published MOE; not multilingual-English or academic-proficiency coverage.
LPOS_IN_C17_2011,"C-17: Population by bilingualism and trilingualism, India, 2011","Office of the Registrar General & Census Commissioner, India",2011,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,2026-09-01,official census workbook,"Sheet1; state code 00; language positions in columns D/E, I/J and N/O","National L1/L2/L3 reported-language aggregation for English, Bengali, Marathi and Telugu",India,Retrieved workbook 1993446 bytes; SHA-256 CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673.
LPOS_PH_PSA_POPCEN_2024,2024 Census of Population counts declared official,Philippine Statistics Authority,2024,https://psa.gov.ph/statistics/population-and-housing/node/1684077791,2026-09-01,official census release,Total population 112729484 as of 2024-07-01,Territorial population ceiling,Philippines,Population count is not a language-user count.
LPOS_PH_RA12027_2024,Republic Act No. 12027,Republic of the Philippines,2024,https://lawphil.net/statutes/repacts/ra2024/ra_12027_2024.html,2026-09-01,official law,Medium of instruction reverts to Filipino and English; bounded mother-tongue and auxiliary-language provisions,English/Filipino instructional-language status,Philippines,Policy exposure is not a person count or proficiency measure.
LPOS_PK_PBS_CENSUS_2023,2023 Census Table 11: Population by mother tongue,Pakistan Bureau of Statistics,2023,https://www.pbs.gov.pk/sites/default/files/population/2023/tables/table_11_national.pdf,2026-09-01,official census table,Detailed-demographic table universe 240458089,Territorial population ceiling and language table scope,Pakistan,Four provinces plus Islamabad Capital Territory; restricted-area records excluded from the detailed table universe.
LPOS_PK_NCC_ENGLISH_2021,National Curriculum of Pakistan: English,"National Curriculum Council, Ministry of Federal Education and Professional Training",2021,https://ncc.gov.pk/Detail/MDk3YWE3ZjgtMmM5NS00YzlhLWI2NTAtYWE2NTRmOGFiMmNk,2026-09-01,official curriculum,English is a subject and medium for other disciplines,English education-language role,Pakistan,Provincial and school implementation varies; not an exposure or proficiency count.
LPOS_WDI_NGA_POP_2025,"Population, total - Nigeria",World Bank World Development Indicators,2025,https://api.worldbank.org/v2/country/NGA/indicator/SP.POP.TOTL?date=2025&format=json,2026-09-01,international statistical model,Nigeria 237527782,Territorial population ceiling,Nigeria,Modeled population estimate; not a language-user count.
LPOS_NG_ENGLISH_POLICY_2025,Federal Government reaffirms English as medium of instruction,"Federal Ministry of Information and National Orientation, Nigeria",2025,https://fmino.gov.ng/fg-reaffirms-english-as-medium-of-instruction-launches-inclusive-language-policy-to-promote-national-unity/,2026-09-01,official policy release,English reaffirmed as medium of instruction from primary to tertiary at the 69th National Council on Education,English education-language role,Nigeria,Inclusive-language policy also encourages learning a Nigerian language; no English-user count.
LPOS_WDI_ETH_POP_2025,"Population, total - Ethiopia",World Bank World Development Indicators,2025,https://api.worldbank.org/v2/country/ETH/indicator/SP.POP.TOTL?date=2025&format=json,2026-09-01,international statistical model,Ethiopia 135472051,Territorial population ceiling,Ethiopia,Modeled population estimate; not a language-user count.
LPOS_ET_EDUCATION_POLICY,Education and Training Policy,"Federal Democratic Republic of Ethiopia, Ministry of Education",1994,https://www.moe.gov.et/storage/Books/Ethiopia%20Education%20and%20Training%20Policy.pdf,2026-09-01,official education policy,Clauses 3.5.4-3.5.7: English medium for secondary and higher education; nationality languages and Amharic separately specified,English stage-specific education-language role,Ethiopia,Policy remains the cited structural language basis; not a current enrolment or proficiency count.
LPOS_WDI_COD_POP_2025,"Population, total - Democratic Republic of the Congo",World Bank World Development Indicators,2025,https://api.worldbank.org/v2/country/COD/indicator/SP.POP.TOTL?date=2025&format=json,2026-09-01,international statistical model,Democratic Republic of the Congo 112832473,Territorial population ceiling,Democratic Republic of the Congo,Modeled population estimate; not a language-user count.
LPOS_CD_EDUCATION_LAW_2014,Loi-cadre No. 14/004 de l'enseignement national,Democratic Republic of the Congo,2014,https://www.leganet.cd/Legislation/Droit%20Public/enseignement/Loi14.004.11.02.2004.htm,2026-09-01,official law text,French is the language of instruction; national/local-language provisions apply in primary cycles,French education-language role,Democratic Republic of the Congo,The page path contains 2004 but the law is dated 2014-02-11; stage implementation does not equal French proficiency.
