intervention_id,observation_id,source_target_name,resolved_edition_name,language_subtag,script_subtag,region_subtag,bcp47_target_profile,profile_tag_status,territory_community,variety_scope,orthography_or_educational_standard,orthography_authority,orthography_status,alternative_scripts_or_profiles,source_population_exact,population_reference_year,population_measure,population_observation_scope_class,population_is_global_audience,population_is_diaspora_subset,population_is_multiple_response,population_is_direct_literacy_floor,observation_overlap_caveat,population_source_id,population_source_locator,profile_source_ids,resolution_status,ranking_treatment,negative_control_status,negative_control_basis,openalex_math_open_access,openalex_math_open_access_books,ai_support_resource_levels,uncertainty,notes
OBS-GRG-PL-001,GRG-PL-001,Polish,Standard Polish (2026 RJP rules),pl,Latn,PL,pl-Latn-PL,single_valid_bcp47,Poland; Polish-language readers,national standard register,2026 Polish spelling and punctuation rules,Rada Języka Polskiego PAN,official_language_authority,,37868618,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_territory_wide_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; Polski Polish row,TP-S001-IANA;TP-S002-CLDR;TP-EU-PL-RJP,resolved_single_profile,"deprioritize_generic_translation; retain for non-overlap, subgroup, or accessibility-format tests",negative_control_richly_served_relative_to_observed_set,"Current local OpenAlex discovery fields: math OA=1073; math OA books=123; AI support=High. Counts are discovery indicators, not a complete corpus census.",1073,123,High,"The census measure is home use, not academic-language comfort.",
OBS-POP-SN-AFG-002,POP-SN-AFG-002,Pulaar,"Senegal Pulaar, official Latin orthography",fuc,Latn,SN,fuc-Latn-SN,single_valid_bcp47,Pulaar users in Senegal,Senegal Pulaar (not all Fula varieties),Decree 2005-990 Latin spelling and word separation,Republic of Senegal,statutory_orthography,fuc-Adlm-SN and Arabic-derived writing are separate script editions,4314509,2023,census_principal_language_commonly_spoken_persons_age_3_plus,senegal_national_principal_language_use_count_age3plus_not_literacy,false,false,false,false,Principal-language categories are mutually exclusive but do not measure all languages spoken or literacy.,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Pulaar",TP-S001-IANA;TP-S002-CLDR;TP-SN-PULAAR,resolved_explicit_profile_with_script_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The census is not script-specific and does not measure Adlam literacy.,
OBS-GRG-US-025,GRG-US-025,Haitian,Standard Haitian Creole,ht,Latn,HT,ht-Latn-HT,single_valid_bcp47,Haiti standard; United States diaspora observation,"Haitian Creole, not an all-Creole aggregate",Akademi/Government Haitian Creole orthography,Akademi Kreyòl Ayisyen / Government of Haiti,official_language_authority,,867500,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 11,TP-S001-IANA;TP-S002-CLDR;TP-HT-OFFICIAL,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,Low,"The 867,500 observation covers the US age-5-plus home-language population only, not the global audience.",
OBS-GRG-PL-002,GRG-PL-002,Silesian,Silesian in ślabikŏrzowy szrajbōnek,szl,Latn,PL,szl-Latn-PL,single_valid_bcp47,Silesian community in Poland,explicit ślabikŏrz edition,2009 ślabikŏrz codification,Rada Ślōnskigo Jynzyka and earlier ślabikŏrz team,community_de_facto_standard,Polish-alphabet and Steuer-derived systems remain distinct,467145,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_home_territory_minoritized_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; śląski Silesian row,TP-S001-IANA;TP-S002-CLDR;TP-EU-SZL-RSJ;TP-EU-SZL-MULTI,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,Low,No single Silesian orthography has universal status; the edition name must state ślabikŏrz.,
OBS-POP-SN-AFG-005,POP-SN-AFG-005,Màndienka,"Senegal Mandinka (Màndienka), official Latin profile",mnk,Latn,SN,mnk-Latn-SN,single_valid_bcp47,Mandinka users in Senegal,exact Senegal census variety; not the Manding macrolanguage,Senegal Decree 2005-982 orthography,Republic of Senegal / national teacher-training reference,statutory_orthography,Arabic-derived Ajami practice is a separate script profile,465052,2023,census_principal_language_commonly_spoken_persons_age_3_plus,senegal_national_principal_language_use_count_age3plus_not_literacy,false,false,false,false,Principal-language categories are mutually exclusive but do not measure all languages spoken or literacy.,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Màndienka",TP-S001-IANA;TP-S002-CLDR;TP-SN-MANDINGA,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The training reference identifies the decree; a primary decree byte witness was not recovered in this bounded lane.,
OBS-GRG-PL-003,GRG-PL-003,German,Generic Standard German,de,Latn,,de-Latn,single_valid_bcp47,German-speaking readers; Poland minority/diaspora observation,common official standard register; no Poland-specific dialect inferred,2024 official German spelling rules,Rat für deutsche Rechtschreibung,official_transnational_standard,Swiss orthographic conventions and regional terminology may be localized separately,216342,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_minority_or_diaspora_subset_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; niemiecki German row,TP-S001-IANA;TP-S002-CLDR;TP-EU-DE-RFDR,resolved_single_profile,"deprioritize_generic_translation; retain for non-overlap, subgroup, or accessibility-format tests",negative_control_richly_served_relative_to_observed_set,"Current local OpenAlex discovery fields: math OA=18872; math OA books=1086; AI support=High. Counts are discovery indicators, not a complete corpus census.",18872,1086,High,"The Poland count is an overlapping home-use subset, not the global German audience.",
OBS-GRG-US-030,GRG-US-030,Eastern Yiddish,Eastern Yiddish for a named orthographic audience,ydd,Hebr,US,ydd-Hebr-US,base_tag_valid_requires_localizations,United States Eastern-Yiddish home-language population,Eastern Yiddish only; audience orthography must be declared,YIVO Standard Yiddish or contemporary Hasidic convention as separate editions,YIVO plus community-specific publishing evidence,multiple_live_standards,Do not silently normalize Hasidic prose to YIVO,194800,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 24,TP-S001-IANA;TP-S002-CLDR;TP-YDD-YIVO;TP-YDD-HASIDIC,requires_orthographic_audience_split,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,Low,"The ACS label does not distinguish YIVO-literate, Hasidic, or other Eastern-Yiddish readership.",
OBS-GRG-US-029,GRG-US-029,Pennsylvania German,Pennsylvania German with declared spelling system,pdc,Latn,US,pdc-Latn-US,base_tag_valid_requires_localizations,Pennsylvania German communities in the United States,Pennsylvania German; not Standard German,Buffington-Barba/German-oriented or English-oriented practical spelling,community and publishing institutions,multiple_live_standards,Parallel orthographic renderings may be more defensible than one silent normalization,185200,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 22,TP-S001-IANA;TP-S002-CLDR;TP-PDC-SYSTEMS,requires_orthographic_audience_split,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS population row does not report spelling-system competence.,
OBS-GRG-US-003,GRG-US-003,Navajo,Diné Bizaad in Navajo Nation school orthography,nv,Latn,US,nv-Latn-US,single_valid_bcp47,Navajo Nation and Diné communities in the United States,modern Navajo/Diné Bizaad educational register,Navajo Nation reading/writing standards,Navajo Nation Department of Diné Education,official_tribal_education_standard,,161200,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 488,TP-S001-IANA;TP-S002-CLDR;TP-NV-NATION,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS count is a national home-language estimate and not a literacy count.,
OBS-GRG-PL-004,GRG-PL-004,Kashubian,School-standard Kashubian,csb,Latn,PL,csb-Latn-PL,single_valid_bcp47,Kashubian community in Poland,regional-language educational standard with local variation,Polish official Kashubian curriculum and approved educational orthography,Polish Ministry of National Education,official_education_standard,Local dialect adaptation remains appropriate,89198,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_home_territory_minoritized_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; kaszubski Kashubian row,TP-S001-IANA;TP-S002-CLDR;TP-EU-CSB-ZPE,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,"The census count is multiple-response home use, not school-literacy proficiency.",
