target_id,target_label,country_language_stratum,script,priority_stage_order,p0_material_classes,p1_p2_material_classes,outsized_local_utility,delivery_profile,evidence_keys,evidence_confidence,boundary_note
zh-Hans-CN,"Standard Mandarin; Simplified Chinese","Mainland China national and research-language users","Hans","postgraduate|research|undergraduate|vocational-adult|upper-secondary","research methods; reproducibility; open science; accessible STEM reference","advanced mathematics and science; computing/data/AI; health professional; selected frontier monographs","large research community; open licensing and accessibility rather than assumed foundational scarcity","searchable HTML; source; MathML; EPUB/PDF; local code/data; bilingual search terms","G14|G15|G27|C7","medium-high","Do not infer national foundational need from population; audit rural migrant disability and field strata separately"
ja-Jpan-JP,"Japanese","Japan national and research-language users","Jpan","research|postgraduate|undergraduate|accessibility","research reading/writing; open science; reproducibility; accessible advanced STEM","frontier mathematics/science; specialist professional material; international terminology bridges","English-language research burden despite strong school outcomes","source-available HTML/PDF/EPUB; MathML; bilingual metadata; local code/data","G14|G15|C6","high","Current evidence points first to research and accessibility; it neither asserts whole-language primary scarcity nor excludes evidence-specific primary cohorts"
ko-Kore-KR,"Korean","Republic of Korea national and research-language users","Kore","research|postgraduate|undergraduate|accessibility","research methods; open science; accessible advanced STEM","frontier theory; computing/data; specialist professional updates","advanced multilingual and open-access value in a strong school system","searchable source; MathML; bilingual terminology and metadata","G14|G15|G27","medium","Do not claim foundational scarcity without stratum evidence"
id-Latn-ID,"Standard Indonesian","Indonesia national teaching and public language","Latn","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research|early-childhood","mastery literacy/numeracy; complete mathematics/science; health; climate/disaster; teacher education","TVET; computing/data; finance/management; degree spines; research methods; advanced research","53% learning poverty; archipelagic disaster/climate; national bridge across regional languages","offline HTML/EPUB/PDF; small chapters; audio; print; solutions; local code/data","C1|C10|G5|G8|G24","high","National Indonesian need is not reduced by any local translation activity"
jv-Latn-ID,"Javanese; Latin core","Javanese home-language users in Indonesia","Latn","early-childhood|primary|lower-secondary|vocational-adult","oral/literacy/numeracy foundation; Indonesian bridge; health; disaster","selected secondary STEM terminology; agriculture; business/finance; teacher support","large home-language stratum transitioning to Indonesian schooling","audio plus print; dialect-tagged; bilingual glossary; small offline units","G1|G3|C1|G8","medium","Do not collapse recorded dialects or substitute Javanese script without a separate literacy track"
su-Latn-ID,"Sundanese; Latin core","Sundanese home-language users in Indonesia","Latn","early-childhood|primary|lower-secondary|vocational-adult","foundation; Indonesian bridge; primary concepts; health","secondary STEM scaffold; agriculture/climate; enterprise finance; teacher support","home-language foundation and national-language transition","audio/print bilingual modules; offline; dialect-tagged","G1|G3|C1|G8","medium","Sundanese script is a separately scoped literacy/access edition"
mad-Latn-ID,"Madurese","Madurese home-language users in Indonesia","Latn","early-childhood|primary|lower-secondary|vocational-adult","foundation; Indonesian bridge; health; disaster","secondary scaffold; agriculture/maritime livelihoods; finance","home-language transition and island livelihood needs","audio-first; print; offline; locale-tagged","G1|G3|C1|G8","medium","Tag materially different eastern/western varieties"
bjn-Latn-ID,"Banjarese","Banjarese home-language users in Indonesia","Latn","early-childhood|primary|vocational-adult|lower-secondary","foundation; Indonesian bridge; health; wetland safety","wetland agriculture/climate; secondary scaffold; enterprise finance","river/wetland livelihoods and national-language transition","audio; printable modules; offline; locale-tagged","G1|G3|C10|G8","medium-low","Banjar Kuala and Banjar Hulu require tagging"
bug-Latn-ID,"Buginese; Latin core","Buginese home-language users in Indonesia","Latn","early-childhood|primary|vocational-adult|lower-secondary","foundation; Indonesian bridge; health and safety","maritime/agriculture TVET; secondary scaffold; finance","maritime/agricultural livelihoods and bilingual transition","audio; printable; offline; Lontara as separate literacy track","G1|G3|C10|G8","medium-low","Do not silently mix Latin and Lontara literacy"
bn-Beng-BD,"Bangla","Bangladesh national and research-language users","Beng","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research|early-childhood","foundation/catch-up; mathematics/science; health; teacher education; climate/disaster","garment/manufacturing TVET; agriculture; finance; computing/data; degree spines; research methods","51% learning poverty; delta/cyclone exposure; agriculture and climate-migration pressures","offline/mobile/print; chapter downloads; audio; full solutions; local practicals","C12|C9|G5|G8|G10","high","Complete Bangla ladder; retain English search terminology without making English a prerequisite"
