bridge_id,bridge_name,bridge_class,code_status,communities_potentially_served,communities_explicitly_not_served,scripts_or_modalities,zero_study_evidence,learned_or_exposure_evidence,shared_source_parallel_standard_reuse,script_conversion_role,speculative_construction,evidence_grade,math_worked_examples_modifier,math_definition_theorem_modifier,math_proof_modifier,math_word_problem_modifier,unique_gain_rule,double_count_rule,uncertainty_and_evidence_gap,current_evidence_disposition,source_ids,source_urls_or_dois
IL001,"Interslavic","constructed zonal bridge","deployable constructed code; population reach unmeasured","Literate speakers of named Slavic languages who can read the supplied Latin or Cyrillic arm and whose comprehension is demonstrated at the required endpoint","The Slavic-family population as a whole; non-Slavic minorities; readers who cannot use the supplied script; any named Slavic community not separately evidenced","ordinary Slavic Latin; Cyrillic; extended etymological orthography only as optional research display","A proponent-authored, self-selected online cloze task had 1,766 respondents; mean six of seven deleted words recovered (84% rescaled), with 18% below five of seven. This is word recovery, not proposition or learning transfer.","Bulgarian follow-up found script and case difficulties; 50.8% recognized the relevant noun-case endings and performance varied by age/education. No fixed orientation-time or mathematical transfer estimate exists.","Can reuse one semantic source for Latin/Cyrillic supplements, abstracts, glossaries and aligned comparison material; natural-language outputs remain separately labelled.","Latin↔Cyrillic conversion is an additional delivery/QA arm, not new comprehension evidence; typography, proper nouns and morphology still need audit.","No: a stable code exists, but any claim of family-wide functional reach is speculative.","C","Possible positive only for symbol-dense examples and already-skilled readers; not directly tested.","No automatic credit: quantifier, negation, hypothesis and necessity/sufficiency wording must be recovered.","No automatic credit: case, aspect, referents and discourse links carry proof logic.","No automatic credit; linguistic complexity remains part of the task.","Count only community×script×endpoint strata with evidence of usable comprehension beyond their strongest existing edition or academic lingua franca.","Assign each beneficiary once by full capability profile; subtract overlap with natural Slavic editions, Russian/English proficiency and both script arms.","Self-selection, cloze ceiling, education effects, no representative sampling, no technical-prose transfer and no population denominator.","Pilot/supplement; unranked as a family-wide language target until community-specific functional bounds exist.","S01;S02;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL002,"Pan-Turkic constructed language / Common Turkic Alphabet","speculative constructed zonal bridge plus orthography proposal","no common language specification with functional evidence; 34-letter alphabet is a proposed orthography","No population may currently be assigned; possible future close-pair experiments must name Oghuz, Kipchak, Karluk, Siberian/Northeastern or Oghur communities separately","The Turkic-family population as a whole; speakers outside a tested close pair; users of Cyrillic or Perso-Arabic scripts not literate in the proposed Latin arm","proposed 34-letter Latin alphabet; existing national Latin, Cyrillic and Perso-Arabic scripts remain separate arms","No controlled comprehension study of a deployable common Turkic code was located. The alphabet commission reports an orthographic proposal, not a common language or comprehension result.","Natural Turkish→Azerbaijani evidence is narrow, one-directional and based on 30 Turkish participants; it cannot be generalized to all Turkic branches.","Reusable infrastructure is limited to terminology concordances, cognate/false-friend maps and script-aware search; it does not justify one textbook code.","The proposed alphabet may support mapping among Latin standards; it does not confer Latin literacy or convert Cyrillic/Perso-Arabic audiences into readers.","Yes: both family-wide language reach and a unified technical register are speculative.","D","Unknown; shared morphology and formulas do not establish shared technical vocabulary.","No credit; branch-specific syntax and lexicon control theorem meaning.","No credit; agglutinative forms, evidentiality and reference chains vary.","No credit; ordinary vocabulary remains branch- and community-specific.","Zero until a named community, script and endpoint are independently tested.","Never use the Turkic-family total; pair-level unions only, with exposure and bilingualism overlap removed.","No common code, no proposition test, no training burden, multiple scripts and substantial branch divergence.","Research infrastructure only; not a scored bridge-language edition.","S03;S04","https://doi.org/10.1177/1367006911426449; https://www.turkicacademy.org/en/proekt/announcement-common-turkic-alphabet"
IL003,"Turkish–Azerbaijani close-pair aids","natural-language receptive pair","two established natural standards; directional comprehension evidence","Turkish readers of Azerbaijani and Azerbaijani readers of Turkish must be modelled separately; national Latin standards only unless another script is tested","Other Oghuz communities; all non-Oghuz Turkic communities; Iranian Azerbaijani readers not literate in the tested script; any untested direction","Turkish Latin; Azerbaijani Latin; Iranian Azerbaijani Perso-Arabic only as a separate unevidenced arm","A 30-person study tested Turkish participants' written and spoken Azerbaijani and found intelligibility lower than participants expected; the study does not establish the reverse direction or technical comprehension.","Exposure and orientation can affect understanding, but fixed hours and mathematical transfer are unmeasured.","High potential for a common semantic source with separately labelled Turkish and Azerbaijani lexical layers, false-friend alerts and parallel abstracts.","Latin-to-Perso-Arabic conversion changes the eligible population and requires a separate lexical/orthographic target; it is not a mechanical substitute.","No for the two natural standards; yes for extrapolation beyond the tested direction/pair.","B-","Possible for formula-dense examples after terminology mapping; no direct test.","Low confidence without explicit technical-term mapping.","No direct evidence; directional miscues can be logically consequential.","No direct evidence; false friends can cause confident errors.","Count only directional, script-literate readers who gain access beyond their existing Turkish/Azerbaijani and other strong-language routes.","Separate TR→AZ and AZ→TR; subtract bilingual/exposure overlap; never expand to a Turkic-family union.","Small one-directional study; technical register and second script absent.","Pair-specific parallel aid/pilot, not a pan-Turkic edition.","S03;S24","https://doi.org/10.1177/1367006911426449; https://doi.org/10.1177/09567976261435965"
IL004,"Romance intercomprehension pedagogy","learned receptive strategy across natural standards","established pedagogical approach; not one constructed code","Readers of exact Romance standards who receive a defined intercomprehension module and are tested on specified target standards; own-language production can be retained","Untested Romance varieties; Romance creoles; low-literacy readers; readers for whom French/Romanian or another target remains below endpoint; family population without training","national Latin orthographies; Romanian diacritics; accessibility variants separately scoped","In a 16-language European study, Romance spoken cloze averaged about 36.7% with large pair/direction differences; Italian/Portuguese listeners understood Spanish better than reverse; French and Romanian were poor bridge targets for many pairs.","A 21-hour module with Italian children aged 10–11 (n=19 within-subject comprehension questionnaire; smaller intervention/control groups for EFL) produced initial plurilingual reading competence; authors call for further confirmation. No mathematical endpoint.","Strong as a common semantic source plus natural editions, cognate/false-friend cues and a taught receptive layer; weak as a single median register.","Same Latin base does not erase orthographic and diacritic differences; conversion is not the main barrier.","No for pedagogy; yes for claiming one pan-Romance code or blanket zero-study access.","B-","Potential positive in symbol-dense material after short orientation; untested.","No automatic credit; familiar Latinate forms can produce false confidence.","No automatic credit; proof discourse and scope remain language-specific.","No automatic credit; word-problem language is an independent difficulty source.","Count only post-module learners who cross a preregistered functional endpoint for a named target standard and lack equivalent existing access.","One learner is assigned once across native Romance, learned Romance, English/French and intercomprehension capability; use pair-direction evidence, not family totals.","Small training study; spoken cloze is not reading transfer; technical-math transfer and durability unmeasured.","Taught access layer attached to natural editions; population effect remains partially identified.","S01;S05;S06;S07;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://doi.org/10.1080/14790718.2021.2019746; https://aclanthology.org/L14-1127/; https://doi.org/10.1177/09567976261435965; https://doi.org/10.3389/fpsyg.2015.00348"
IL005,"Spanish–Portuguese and Italian–Spanish receptive pairs","natural-language receptive pairs","established natural standards; directional evidence","Portuguese readers of Spanish and Italian readers of Spanish are the strongest directions in the reviewed European cloze evidence; reverse directions are separate strata","French/Romanian readers by inference; Romance creoles; speakers of other standards; readers lacking script literacy or sufficient literacy","national Latin orthographies","European spoken cloze showed Portuguese listeners 77.4% on Spanish and Italian listeners 65.7% on Spanish; reverse directions were weaker. These are spoken cloze results among young educated participants, not educational transfer.","Exposure influences some results; no standardized training-hours or mathematical comprehension results.","A Spanish edition may provide a supplementary receptive route for some Portuguese/Italian readers, while lexical variants and terminology overlays can share source structure.","Orthographic proximity helps but does not establish technical comprehension.","No for natural pairs; any family-wide extension is speculative.","B","Possible positive for symbol-dense examples, especially in the stronger direction; untested.","No automatic credit; technical terms, negatives and relational phrases require testing.","No direct evidence.","No direct evidence; ordinary language and confidence calibration are risks.","Only directional readers whose endpoint access improves beyond Portuguese/Italian/English/French routes.","Do not sum directions or national speaker counts; remove exposure and existing Spanish proficiency; never treat one Spanish edition as pan-Romance coverage.","Young educated European sample; spoken cloze; no Latin American/African/Asian variety coverage or math transfer.","Natural-pair overlap layer; not a constructed interlanguage.","S01;S07;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://doi.org/10.1177/09567976261435965; https://doi.org/10.3389/fpsyg.2015.00348"
IL006,"Interlingua","constructed international auxiliary language with Romance-heavy vocabulary","stable learned code; zero-study reach not independently quantified","Actual learned Interlingua users; zero-study Romance readers only if a named community and endpoint are independently tested","The Romance-family or global population; communities whose languages are not represented by the control-language vocabulary; readers inferred from cognate appearance","Latin script","The official organization claims immediate comprehension, but the bounded search found no independent representative zero-study proposition or technical-learning test. Design vocabulary draws from Italian, Spanish/Portuguese, French, English and other European controls.","Learning materials exist, but no source-bounded technical proficiency population or fixed acquisition burden was established here.","Could be an additional aligned abstract/control against natural Romance editions; it is not evidence for replacing them.","Not primarily a script-conversion intervention.","No for the stable code; yes for untrained population reach.","D for zero-study reach","Unknown; scientific cognates may help skilled readers, but this is a design expectation.","No credit without proposition-level test.","No credit without proof-transfer test.","No credit; ordinary-word and word-problem coverage may be weaker than scientific lexicon.","Count actual learned users or independently tested community×endpoint strata only.","Subtract learned Romance/English/Latin and natural-edition access; no family multiplier.","No independent representative comprehension study, no technical endpoint, unknown learned population denominator.","Learned-community target or research control; unranked for zero-study bridge reach.","S01;S25;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://www.interlingua.com/ied/intro/; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL007,"Romance Neolatino","constructed pan-Romance zonal language","documented design; functional reach unmeasured","Actual learners/users and any exact Romance community later passing independent tests","All Romance speakers by default; Romanian, minoritized Romance standards and Romance creoles absent separate evidence","project Latin orthography with diacritics","No independent controlled zero-study functional or mathematical comprehension study was located; present evidence is a design specification and community activity.","Training burden and functional learned population are not established.","Could be compared as one aligned abstract/control; natural standard layers remain necessary.","Not chiefly script conversion; diacritics can create an extra rendering/literacy arm.","Yes for population reach; the code itself exists as a design.","D","Unknown; resemblance to several Romance standards may aid gist and confidence at the same time.","No credit; a median form may privilege Spanish/Italian-like patterns.","No credit.","No credit; ordinary lexicon and culturally situated problems untested.","Count actual learned users or exact independently tested strata only.","No family total; subtract natural Romance, English/French/Spanish/Portuguese and Interlingua overlap.","No independent functional testing, no population denominator, no technical terminology validation.","Research control/pilot only.","S01;S26;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://neolatino.eu/onewebmedia/Principios_de_desegno_de_lo_romance_neolatino_7.pdf; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL008,"Folksprak / whole-family Inter-Germanic hypothesis","speculative constructed zonal bridge","draft specification; no stable evidence-backed common code","No population may currently be assigned; a future test would require separate West/North Germanic, script and exposure strata","The Germanic-family population; English speakers; Low German, Plautdietsch, Pennsylvania Dutch, Hutterisch, Frisian, Afrikaans, Yiddish, Scots, Faroese and Nordic communities without exact evidence","draft Latin orthography; Hebrew-script Yiddish and other community orthographies are not covered","Folksprak's own document says it is a draft and states intelligibility as a goal. Independent cloze work on natural Germanic languages shows strong pair variation: minimal-exposure English listeners averaged 8.9% across four other tested Germanic languages.","Natural Scandinavian, Dutch–German border and Dutch–Afrikaans evidence supports narrow pairs, not a whole-family learned register.","Better pursued as natural-pair glossaries and parallel standards; one artificial edition cannot be credited with family coverage.","A Latin-only code structurally excludes Hebrew-script Yiddish readers and does not solve orthographic/community differences.","Yes: both stable specification and family-wide comprehension are speculative.","D","Unknown; international scientific vocabulary may disproportionately reflect English/Latinate education, not Germanic commonality.","No credit.","No credit.","No credit.","Zero until an exact community, script and endpoint is independently tested.","No Germanic-family total; subtract pervasive English/German proficiency and natural-pair access.","Draft code, no functional study, severe English overlap, branch and script heterogeneity.","Do not treat as current educational bridge; test separate natural-pair profiles instead.","S01;S08;S09;S23;S24","https://doi.org/10.1080/14790718.2017.1350185; https://folksprak.org/draft/draft.html; https://doi.org/10.1093/llc/fql036; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL009,"Mainland Scandinavian receptive multilingualism","natural-language receptive practice","established bounded practice among Danish, Norwegian and Swedish standards","Danish, Norwegian Bokmål/Nynorsk and Swedish readers with actual neighboring-language comprehension; written and spoken endpoints separate","Icelandic, Faroese, Finnish, Sámi, Greenlandic and other Nordic communities; anyone without sufficient neighboring-language competence","national Latin orthographies; Bokmål and Nynorsk remain distinct labels","Independent European evidence supports receptive practice and pair asymmetry; Danish–Swedish spoken cloze was about 57%/63% in the reported directions, with exposure and education contributing.","Schooling/media familiarization supplies acquired comprehension; no single fixed training burden or mathematical endpoint is available.","High: one semantic source can generate labelled Danish, Norwegian and Swedish term layers; no constructed median code is needed.","Not a script problem, but orthographic and terminology differences remain QA arms.","No.","B","Possible positive for written symbol-dense examples; not directly tested.","No automatic credit; national terminology and conditional language remain relevant.","No direct evidence.","No direct evidence.","Count only readers who cross the endpoint in a neighboring edition and lack equivalent own-standard/English access.","Pair and direction specific; subtract own-language editions, English proficiency and prior neighboring-language exposure.","Studies center young educated Europeans and often speech; Norwegian was not in the 16-language cloze table cited here.","Established overlap/parallel-source layer; not a new interlanguage.","S01;S23","https://doi.org/10.1080/14790718.2017.1350185; https://doi.org/10.3389/fpsyg.2015.00348"
IL010,"Czech–Slovak receptive pair","natural-language receptive pair","established natural standards with strong but exposure-confounded evidence","Czech readers of Slovak and Slovak readers of Czech; each direction separately; Czech/Slovak Latin literacy assumed","Other West, East or South Slavic communities; Czech/Slovak diaspora readers without proficiency; all Slavs by extrapolation","Czech and Slovak Latin orthographies","European spoken cloze reported 92.7% and 95.0% for the two directions, the highest tested pair, but all Slovak listeners exceeded the exposure cutoff, so inherited and acquired comprehension cannot be cleanly separated.","Historical media/contact exposure is a major component; no technical-math endpoint or orientation-time estimate.","Very high shared-source potential with labelled terminology/orthography and formula identity; two standards remain visible.","Not a script-conversion case.","No.","B","Likely positive for symbol-dense written material, but untested.","No automatic credit; technical terminology still requires direction-specific validation.","No direct evidence.","No direct evidence.","Count directional readers newly reaching the endpoint beyond own-language and other strong-language access.","Do not sum Czech and Slovak populations; one full capability profile per reader; remove cross-border/media exposure when estimating inherited access.","Exposure prevents clean zero-study estimate; spoken cloze, not educational transfer.","Strong natural-pair overlap and shared-source case.","S01;S23","https://doi.org/10.1080/14790718.2017.1350185; https://doi.org/10.3389/fpsyg.2015.00348"
