intervention_id,source_target_name,input_profile_resolution_status,decision,production_unit,output_count,output_profiles,script_subtags,territory_subtags,standard_or_authority,population_observation_id,population_low,population_base,population_high,population_arithmetic,population_attribution,base_tokens_per_output,compute_multiplier_assumption,bundle_gross_tokens_base,neutral_access_per_million_adjusted,rankability_class,adjusted_rank_within_recovered,source_ids,blocker_or_uncertainty
OBS-GRG-US-030,Eastern Yiddish,requires_orthographic_audience_split,resolved_single_exact_edition,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,1,ydd-Hebr-US,Hebr,US,YIVO Standard Yiddish,GRG-US-030,189401,194800,200199,pooled_ceiling_not_disjoint_not_additive,ACS Yiddish does not identify YIVO versus Hasidic orthographic audience; the interval is an upper ceiling for this edition,4073049,1.0 full edition,4073049,11956.645,cardinal_ceiling_rankable,1,S-ACS;S-IANA;S-YIVO,Exact edition is reproducible but its audience share inside the pooled ACS observation is unknown.
OBS-GRG-US-029,Pennsylvania German,requires_orthographic_audience_split,resolved_single_exact_edition,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,1,pdc-Latn-US,Latn,US,Named Deitsh Books English-oriented practical spelling system,GRG-US-029,179920,185200,190480,pooled_ceiling_not_disjoint_not_additive,ACS Pennsylvania German does not identify spelling-system competence; interval is an edition ceiling,4073049,1.0 full edition,4073049,11367.406,cardinal_ceiling_rankable,2,S-ACS;S-IANA;S-PDC,The alternative German-oriented system is not claimed covered.
OBS-GRG-US-021,Chamorro,requires_territorial_profile_split,resolved_enumerated_shared_core_bundle,Two-output CHamoru/Chamorro bundle: Guam 2024 official orthography plus CNMI 2010 official orthography,2,ch-Latn-GU|ch-Latn-MP,Latn|Latn,GU|MP,Guam statutory Kumision orthography and CNMI official one-sound-one-spelling orthography,GRG-US-021,18173,19690,21207,pooled_ceiling_not_disjoint_not_additive,One US ACS Chamorro observation cannot be assigned between Guam and CNMI outputs and must never be multiplied by two,4073049,2.0 conservative full-copy accounting; no shared-core savings credited,8146098,604.277,cardinal_ceiling_rankable,6,S-ACS;S-IANA;S-CH-GU;S-CH-MP,Two standards are exact; localized audience shares are unknown.
OBS-GRG-US-002,Western Apache,requires_community_localization,resolved_single_exact_edition,Dilzhe'e Apache dictionary spelling profile with its documented tone and consonant adaptations,1,apw-Latn-US,Latn,US,Dilzhe'e Apache Dictionary spelling following the White Mountain Apache Dictionary baseline with explicit Dilzhe'e changes,GRG-US-002,11767,12730,13693,pooled_ceiling_not_disjoint_not_additive,ACS Western Apache pools Dilzhe'e / San Carlos / White Mountain audiences; interval is a ceiling for the Dilzhe'e edition,4073049,1.0 full edition,4073049,781.356,cardinal_ceiling_rankable,3,S-ACS;S-IANA;S-APW,No coverage of other Western Apache varieties is claimed.
OBS-GRG-US-004,Eastern Keres,requires_pueblo_profile_split,unresolved_exact_blocker,No cross-Pueblo written intervention defined,0,,,US,Pueblo-specific authorities only,GRG-US-004,11378,12540,13702,pooled_ceiling_not_disjoint_not_additive,ACS Eastern Keres is not broken out by Pueblo and cannot support additive or per-profile reach,4073049,not_applicable,,,not_rankable,,S-ACS;S-IANA;S-KERES-MIT;S-KERES-UNM,Community-specific resistance to writing and distinct language policies preclude one standard; available evidence does not enumerate authorized written profiles for every Eastern Keres Pueblo.
OBS-GRG-US-016,Chippewa,requires_community_localization,resolved_single_exact_edition,Central Southwestern Ojibwe/Chippewa edition in the Ojibwe People's Dictionary Double-Vowel system,1,ciw-Latn-US,Latn,US,University of Minnesota and community-consortium Double-Vowel dictionary profile,GRG-US-016,9867,10750,11633,pooled_ceiling_not_disjoint_not_additive,ACS Chippewa is broader than the Central Southwestern dictionary variety; interval is a ceiling,4073049,1.0 full edition,4073049,659.825,cardinal_ceiling_rankable,4,S-ACS;S-IANA;S-OJ,Other Chippewa varieties and orthographies are not claimed covered.
OBS-GRG-US-005,Lakota,requires_orthographic_audience_split,resolved_single_exact_edition,Lakota Language Consortium consistent phonemic teaching orthography edition,1,lkt-Latn-US,Latn,US,Lakota Language Consortium instructional orthography,GRG-US-005,9835,10590,11345,pooled_ceiling_not_disjoint_not_additive,ACS Lakota does not report orthographic affiliation; interval is a ceiling for this exact edition,4073049,1.0 full edition,4073049,650.004,cardinal_ceiling_rankable,5,S-ACS;S-IANA;S-LKT,Selection defines one production edition and does not assert community-wide orthographic consensus.
OBS-GRG-US-006,Choctaw,requires_community_profile_split,resolved_enumerated_shared_core_bundle,Two-output Choctaw bundle: Choctaw Nation of Oklahoma instructional alphabet plus Mississippi Band modern Byington-variant alphabet,2,cho-Latn-US|cho-Latn-US,Latn|Latn,US|US,Respective tribal language programs and dictionaries,GRG-US-006,6523,7260,7997,pooled_ceiling_not_disjoint_not_additive,One ACS Choctaw observation cannot be split between tribal standards and must never be multiplied by two,4073049,2.0 conservative full-copy accounting; no shared-core savings credited,8146098,222.806,cardinal_ceiling_rankable,10,S-ACS;S-IANA;S-CHO-OK;S-CHO-MS,BCP 47 cannot distinguish the two tribal editions; edition identity is carried by the named authority.
OBS-GRG-US-009,Hopi,requires_community_localization,resolved_single_exact_edition,Third Mesa Hopi edition using the Hopi Dictionary Project / Learn Hopi orthography,1,hop-Latn-US,Latn,US,Hopi Dictionary Project Third Mesa dictionary orthography,GRG-US-009,6344,7105,7866,pooled_ceiling_not_disjoint_not_additive,ACS Hopi pools mesa/community varieties; interval is a ceiling for the Third Mesa edition,4073049,1.0 full edition,4073049,436.098,cardinal_ceiling_rankable,7,S-ACS;S-IANA;S-HOPI,First Mesa and Second Mesa localization is not claimed.
OBS-GRG-US-011,Inupiaq,requires_macrolanguage_variety_split,resolved_single_exact_edition,North Slope / North Alaskan Inupiatun edition using the accepted UAF/ANLA orthography and definitive North Slope lexicon,1,esi-Latn-US,Latn,US,UAF Alaska Native Language Archive and North Slope lexicon,GRG-US-011,5302,5819,6336,pooled_ceiling_not_disjoint_not_additive,ACS Inupiaq pools North Alaskan and Seward Peninsula varieties; interval is a ceiling for the esi edition,4073049,1.0 full edition,4073049,357.165,cardinal_ceiling_rankable,8,S-ACS;S-IANA;S-INUPIAQ;S-INUPIAQ-NS,Using esi replaces the non-exact ik macrolanguage tag; no Seward Peninsula coverage is claimed.
