portfolio_member_id,candidate_id,candidate_label,portfolio_lane,expectation_group,profile_scope,stages_to_investigate,stage_labels,hypothesis_ids_json,current_route_count,current_route_ids_json,stages_with_routes,stages_without_routes,readiness_status,high_reach_evidence_cell_ids_json,typed_population_summaries_json,evidence_band,initial_package_hypotheses_json,top10_program_ids_json,selection_status,ordinal_rank,possible_outranker,exclusion_allowed,funding_rank,outside_portfolio_possible_outranker_entities,next_evidence_action,row_sha256
P100-001,hypothesis-candidate:001,Indonesian,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin; Indonesia; L1 and additional-language users separately,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H07"",""H09""]",1,"[""ID-S""]",S,P|F|V|U|R,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,"[""LANG-LLPS-ID-ID-ABILITY-2022"",""LANG-LLPS-ID-ID-HOME-2010""]","[{""cell_id"":""LANG-LLPS-ID-ID-ABILITY-2022"",""label"":""Bahasa Indonesia, reported communicative ability age 5+"",""measure_class"":""reported_ability"",""population_base"":248501794,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""LANG-LLPS-ID-ID-HOME-2010"",""label"":""Bahasa Indonesia daily/home users age 5+"",""measure_class"":""home_language"",""population_base"":42682566,""population_high"":42682566,""population_low"":42682566,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure_alternative""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-ID-SECONDARY-TO-TERTIARY""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",4154C43E0B0557E6882B4F2F22CFF2B3F3877DA90497E206AAEF7BC83851821A
P100-002,hypothesis-candidate:002,Hindi,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Devanagari; exact Hindi versus census-group mother tongues,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H04""]",1,"[""HI-U""]",U,P|F|S|V|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-HI-IN-L1-2011"",""PACKAGE-PKG-HINDI-URDU-PARALLEL-L1-LOWER-BOUND""]","[{""cell_id"":""LANG-LLPS-HI-IN-L1-2011"",""label"":""Hindi raw mother-tongue return"",""measure_class"":""l1"",""population_base"":322230097,""population_high"":322230097,""population_low"":322230097,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""PACKAGE-PKG-HINDI-URDU-PARALLEL-L1-LOWER-BOUND"",""label"":""Hindi/Urdu Devanagari-Perso-Arabic parallel package, enumerated L1 lower bound"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":395205166,""population_high"":395205166,""population_low"":395205166,""population_unit"":""country-and-census-category-disjoint persons L1"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; parallel_package_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-HI-UR-PARALLEL""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",A11BB0A2228733381ED6A6DFA0DB6CD51228B775897800A6A9087361F1FF8925
P100-003,hypothesis-candidate:003,Bangla,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Bengali script; Bangladesh and India separately,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H04""]",2,"[""BN-F"",""BN-V""]",F|V,P|S|U|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-BN-BD-L1PROXY-2022"",""LANG-LLPS-BN-IN-L1-2011"",""PACKAGE-PKG-BN-BD-IN-PARALLEL""]","[{""cell_id"":""LANG-LLPS-BN-BD-L1PROXY-2022"",""label"":""Bangla, Bangladesh standard community"",""measure_class"":""derived_l1_proxy"",""population_base"":168419331,""population_high"":168427822,""population_low"":168410840,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_derived_typed_measure""},{""cell_id"":""LANG-LLPS-BN-IN-L1-2011"",""label"":""Bengali, India standard"",""measure_class"":""l1"",""population_base"":96177835,""population_high"":96177835,""population_low"":96177835,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""PACKAGE-PKG-BN-BD-IN-PARALLEL"",""label"":""Bangladesh and India Bangla/Bengali parallel common-core package"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":264597166,""population_high"":264605657,""population_low"":264588675,""population_unit"":""country-disjoint persons; mixed direct/derived L1 measures"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; package_intervention_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-BN-BD-IN-PARALLEL""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",7597F510D53E93DE57D554B62833752AC37DE530A5117BC76D6AD64A406BD3CD
P100-004,hypothesis-candidate:004,"Standard Written Chinese, Simplified",HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Mainland written-literacy profiles; not all Chinese varieties or all residents,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H05"",""H07""]",2,"[""ZH-R"",""ZH-U""]",U|R,P|F|S|V,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-CMN-CN-ABILITY-2020"",""LANG-LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025"",""LANG-LLPS-ZH-HANS-CN-WRITTEN-EXPOSURE""]","[{""cell_id"":""LANG-LLPS-CMN-CN-ABILITY-2020"",""label"":""Mainland Standard Mandarin (Putonghua), reported communicative ability"",""measure_class"":""reported_ability"",""population_base"":1139587786,""population_high"":1139658375,""population_low"":1139517197,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""LANG-LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025"",""label"":""Mainland formal-education opportunity cohort for Standard Written Chinese"",""measure_class"":""formal_education_enrolment"",""population_base"":280404300,""population_high"":280404300,""population_low"":280404300,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_exact_stage_opportunity_measure_only""},{""cell_id"":""LANG-LLPS-ZH-HANS-CN-WRITTEN-EXPOSURE"",""label"":""PRC Standard Written Chinese / normative-character exposure"",""measure_class"":""territorial_written_standard_exposure_ceiling"",""population_base"":null,""population_high"":1411778724,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_missing_direct_written_reader_count""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-ZH-HANS-TARGETED""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",7E6B539CDDFA3D7EBC6439DAE68B48416E433996BDF10D8D3378F4A4E6741958
P100-005,hypothesis-candidate:005,Urdu,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Perso-Arabic/Nastaliq; Pakistan and Indian communities separately,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H09""]",2,"[""UR-F"",""UR-PK-F-L1""]",F,P|S|V|U|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-UR-IN-L1-2011"",""LANG-LLPS-UR-PK-EXPOSURE-2023"",""LANG-LLPS-UR-PK-L1-2023"",""PACKAGE-PKG-HINDI-URDU-PARALLEL-L1-LOWER-BOUND""]","[{""cell_id"":""LANG-LLPS-UR-IN-L1-2011"",""label"":""Urdu mother-tongue return in India"",""measure_class"":""l1"",""population_base"":50725762,""population_high"":50725762,""population_low"":50725762,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""LANG-LLPS-UR-PK-EXPOSURE-2023"",""label"":""Urdu national-language exposure ceiling in Pakistan"",""measure_class"":""territorial_national_language_exposure_ceiling"",""population_base"":240458089,""population_high"":240458089,""population_low"":240458089,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_not_a_direct_language_count""},{""cell_id"":""LANG-LLPS-UR-PK-L1-2023"",""label"":""Urdu mother-tongue return in Pakistan"",""measure_class"":""l1"",""population_base"":22249307,""population_high"":22249307,""population_low"":22249307,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""},{""cell_id"":""PACKAGE-PKG-HINDI-URDU-PARALLEL-L1-LOWER-BOUND"",""label"":""Hindi/Urdu Devanagari-Perso-Arabic parallel package, enumerated L1 lower bound"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":395205166,""population_high"":395205166,""population_low"":395205166,""population_unit"":""country-and-census-category-disjoint persons L1"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; parallel_package_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-HI-UR-PARALLEL""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",01C4D7EC80FA43E3BC788EC9C851C8A8819E6C44D8E7DE7A153BB22CD642FAF6
P100-006,hypothesis-candidate:006,Telugu,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Telugu script; regional school-to-tertiary routes,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H07""]",1,"[""TE-U""]",U,P|F|S|V|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-TE-IN-L1-2011""]","[{""cell_id"":""LANG-LLPS-TE-IN-L1-2011"",""label"":""Telugu mother-tongue return"",""measure_class"":""l1"",""population_base"":81127740,""population_high"":81127740,""population_low"":81127740,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",52F76C468E375FCC7FA5FC81E70BA97D3A8C9AA968D77849A2C0DF5AD356A7D8
P100-007,hypothesis-candidate:007,Tamil,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Tamil script; India and Sri Lanka separately,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H10""]",1,"[""TA-U""]",U,P|F|S|V|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-TA-IN-L1-2011""]","[{""cell_id"":""LANG-LLPS-TA-IN-L1-2011"",""label"":""Tamil mother-tongue return in India"",""measure_class"":""l1"",""population_base"":68888839,""population_high"":68888839,""population_low"":68888839,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",70AE21EFA51EDAEB88A2FDA7331B38D235B191FA1BF51DFD670E84C566350BCC
P100-008,hypothesis-candidate:008,Marathi,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Devanagari; Maharashtra learning routes,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H07""]",1,"[""MR-U""]",U,P|F|S|V|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-MR-IN-L1-2011""]","[{""cell_id"":""LANG-LLPS-MR-IN-L1-2011"",""label"":""Marathi mother-tongue return"",""measure_class"":""l1"",""population_base"":82801140,""population_high"":82801140,""population_low"":82801140,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",2E1FB5B2830EACAD9C08032BFA27523F3A4C68D7CED2174A33743F15BE8C44E1
P100-009,hypothesis-candidate:009,Vietnamese,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Vietnamese Latin orthography,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H05"",""H11""]",2,"[""VI-S"",""VN_SCIENCE_READING_6-S""]",S,P|F|V|U|R,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,"[""LANG-LLPS-VI-VN-EXPOSURE-2024""]","[{""cell_id"":""LANG-LLPS-VI-VN-EXPOSURE-2024"",""label"":""Vietnamese official education-language exposure"",""measure_class"":""territorial_educational_exposure_ceiling"",""population_base"":101112656,""population_high"":101112656,""population_low"":101112656,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_not_a_direct_language_count""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",7AB346E8608FADB113F67CD31CF594042273F6C6FFD1DA6F0E2D46AA31AAF9C9
P100-010,hypothesis-candidate:010,Hausa,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin first profile; Ajami separately; Nigeria and Niger separately,F|S|V|U,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"[""H01"",""H09"",""H10""]",12,"[""HA-F-NG"",""HA-V-NE"",""WA_HAU_NE-F"",""WA_HAU_NE-P"",""WA_HAU_NE-R"",""WA_HAU_NE-S"",""WA_HAU_NE-U"",""WA_HAU_NG-P"",""WA_HAU_NG-R"",""WA_HAU_NG-S"",""WA_HAU_NG-U"",""WA_HAU_NG-V""]",P|F|S|V|U|R,,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-HA-GLOBAL-USERS"",""LANG-LLPS-HA-NG-USERS"",""PACKAGE-PKG-HAUSA-MULTISCRIPT-MULTICOUNTRY""]","[{""cell_id"":""LANG-LLPS-HA-GLOBAL-USERS"",""label"":""Hausa cross-border L1/L2 community"",""measure_class"":""peer_reviewed_mixed_l1_l2_lower_bound"",""population_base"":null,""population_high"":null,""population_low"":100000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""bridge_package_context_only""},{""cell_id"":""LANG-LLPS-HA-NG-USERS"",""label"":""Hausa users in Nigeria"",""measure_class"":""institutional_speaker_lower_bound"",""population_base"":null,""population_high"":null,""population_low"":80000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_until_l1_l2_script_split""},{""cell_id"":""PACKAGE-PKG-HAUSA-MULTISCRIPT-MULTICOUNTRY"",""label"":""Hausa multi-country, Boko/Ajami parallel package"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":null,""population_high"":null,""population_low"":100000000,""population_unit"":""mixed L1/L2 users"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; bridge_package_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods""]","[""T10-HAUSA-MULTISCRIPT""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",553E134F6D0A10AD2BAF7C78F00BA7FFF91C8A6106D49F2EB7B4F400BA4DD8C8
