program_id,program_label,lane,candidate_ids_json,challenger_ids_json,evidence_cell_ids_json,displacement_ids_json,exact_scope,stages,stage_labels,first_package,why_in_first_ten,conditional_trigger,named_possible_outrankers_json,decision_status,ordinal_rank,initial_allocation_rule,common_text_envelope_low,common_text_envelope_base,common_text_envelope_high,common_text_envelope_unit,physical_compute_status,incremental_effect_status,full_universe_possible_outrankers,row_sha256
T10-ID-SECONDARY-TO-TERTIARY,Bahasa Indonesia secondary catch-up and autonomous STEM progression,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,"[""hypothesis-candidate:001""]","[""hypothesis-candidate:060"",""hypothesis-candidate:061""]","[""LANG-LLPS-ID-ID-ABILITY-2022"",""LANG-LLPS-ID-ID-HOME-2010"",""COUNTRY-IDN""]",[],"Bahasa Indonesia in Latin orthography; first-language and additional-language users kept separate; Javanese, Sundanese, signed and other regional-language routes are not treated as covered.",F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"Secondary mathematics/science prerequisite repair with exercises and complete solutions, offline/mobile delivery, followed by statistics, computing, finance/business and open tertiary/research bridges.","BPS reports 248,501,794 age-5+ users by its conversational-ability definition, while the source-bound Indonesian secondary cohort shows a large below-Level-2 context. Neither figure is treated as exact edition uptake or effect.","The Indonesian programme remains eligible. A source-and-task audit selects the stage, subject, register and format with the largest credible additional access; strong existing supply redirects the next package rather than removing Indonesian learners from consideration.","[""Javanese"",""Sundanese"",""Bangla"",""Filipino and named Philippine languages"",""Telugu"",""Tamil"",""Marathi""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,618F0A5DAFB53ACECA5AF99437A8DE14F20A693349BCFB43EBC51898A24F481C
T10-BN-BD-IN-PARALLEL,Bangla/Bengali Bangladesh–India parallel foundational and STEM package,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,"[""hypothesis-candidate:003""]","[""hypothesis-candidate:058"",""hypothesis-candidate:059""]","[""LANG-LLPS-BN-BD-L1PROXY-2022"",""LANG-LLPS-BN-IN-L1-2011"",""PACKAGE-PKG-BN-BD-IN-PARALLEL"",""COUNTRY-BGD"",""COUNTRY-IND""]",[],Bangladesh Bangla and India Bengali outputs with terminology and curriculum overlays; Sylheti and Chittagonian remain separate profiles rather than automatic beneficiaries.,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"Foundational numeracy and reading-supported mathematics, then secondary science/statistics and practical finance/health modules, with one reusable source core and two explicit national interfaces.","The country-disjoint parallel-package population context is 264,588,675–264,605,657 people, while Bangladesh has a high learning-poverty context. The aggregate is not copied into either output's uptake estimate.",Bangladesh Bangla and India Bengali remain eligible as distinct outputs. Supply audits choose the most useful common task and determine how much source preparation can be shared without flattening national terminology or separately named varieties.,"[""Sylheti"",""Chittagonian"",""Hindi–Urdu package"",""Telugu"",""Hausa"",""Kiswahili""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,6FE47E1F2150FDE0B0F355884A739209A7CE509327C47272511649FA526A81FC
T10-HI-UR-PARALLEL,Hindi–Urdu Devanagari/Nastaliq parallel educational package,HIGH_REACH_AND_SHARED_WORK,"[""hypothesis-candidate:002"",""hypothesis-candidate:005"",""hypothesis-candidate:095""]","[""evidence-challenger:western-punjabi-pk-Arab""]","[""LANG-LLPS-HI-IN-L1-2011"",""LANG-LLPS-UR-IN-L1-2011"",""LANG-LLPS-UR-PK-L1-2023"",""PACKAGE-PKG-HINDI-URDU-PARALLEL-L1-LOWER-BOUND"",""COUNTRY-IND"",""COUNTRY-PAK""]",[],Separate Standard Hindi/Devanagari and Urdu/Perso-Arabic-Nastaliq outputs plus an experimentally shared mathematical register; other Hindi-group mother tongues and Punjabi varieties remain separate.,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"Parallel foundational/secondary mathematics and science, practical finance/business and tertiary logic/statistics, measuring what terminology and formal structure can be reused across scripts.","The enumerated L1 lower-bound package context is 395,205,166 country-and-census-category-disjoint people. Pakistan's country context also shows high learning and literacy gaps; those rates are not multiplied into the language counts.",Retain the native Hindi and Urdu outputs in every scenario. Treat a shared-register layer as an additional experiment whose scale follows task-specific comprehension and production-reuse evidence; it never substitutes for either native output by name alone.,"[""Western/Pakistani Punjabi"",""Eastern Punjabi"",""Telugu"",""Marathi"",""Tamil"",""Bangla"",""Pashto"",""Sindhi"",""Saraiki""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,C7CFA3B58E73CA67749EE15659AF8BA25CCED24AD04EC2AD3C58F0E1384856CB
T10-ZH-HANS-TARGETED,"Simplified Standard Written Chinese targeted tertiary, research and accessibility package",ADVANCED_RESEARCH_AND_LARGE_COHORT,"[""hypothesis-candidate:004""]",[],"[""LANG-LLPS-CMN-CN-ABILITY-2020"",""LANG-LLPS-ZH-HANS-CN-WRITTEN-EXPOSURE"",""LANG-LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025"",""COUNTRY-CHN""]",[],"PRC Standard Written Chinese in normative simplified characters; Putonghua ability, written-character use, formal enrolment and other Sinitic languages are distinct measures.",S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"Audit first for missing open, downloadable and accessible advanced mathematics/science/computing; translate high-value research and tertiary gaps, with MathML/HTML, reflow and offline formats rather than duplicating adequate school supply.","A conditional adult standardized-character-use bound exceeds 1.05 billion and formal enrolment is 280,404,300. The opportunity scale is enormous even though existing supply may make target-specific additionality smaller.","The Simplified Written Chinese programme remains eligible. Independent supply audits identify the exact stage, subject, register and accessibility gaps where a new edition adds most; existing provision redirects the package and never turns industrialization into evidence of low need.","[""Vietnamese"",""Japanese research access"",""Korean research access"",""Thai"",""Burmese"",""Traditional Chinese regional profiles""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,B5AE2085F4CC61A817AC9EBD0C3F169EFB4A99774C3320D84675739D70F45E35
T10-PH-MULTILINGUAL,Philippine multilingual foundational and secondary package,SEVERE_REGIONAL_DEPTH_AND_LANGUAGE_TRANSITION,"[""hypothesis-candidate:021"",""hypothesis-candidate:062""]","[""challenger:ph-hiligaynon-ilonggo"",""challenger:ph-ilocano"",""challenger:ph-bikol-bicol"",""challenger:ph-waray"",""challenger:ph-kapampangan"",""challenger:filipino-sign-language""]","[""LANG-LLPS-FIL-PH-EXPOSURE-2024"",""COUNTRY-PHL""]",[],"Filipino and Cebuano plus separately named Hiligaynon, Ilocano, Bikol, Waray, Kapampangan and Filipino Sign Language interfaces; Filipino exposure is not Tagalog L1 or nationwide comprehension of one edition.",P|F|S|V,preschool/early childhood; foundational/primary; secondary; vocational/technical/practical,"Early numeracy and reading-supported mathematics, secondary science, disaster/health education and practical financial capability in downloadable mobile formats, sharing diagrams and exercises while localizing prose.","The Philippines country sentinel is 116,786,962 people and carries a very high learning-poverty context. The Filipino exposure ceiling of 112,729,484 is not used as a language-specific need count.","Retain every named Philippine interface as a candidate. Exact home-, school- and task-language evidence determines whether to expand, split or repartition the package rather than forcing separate language communities through Filipino alone.","[""Other Philippine languages"",""Burmese"",""Central Khmer"",""Lao"",""Indonesian regional languages"",""named Pacific languages""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,8DE4954227C2EA0C6343DF93663EC4C0475E053FB1D796E26AD31EF00CBA5CE4
T10-ETH-MULTILINGUAL,"Ethiopian multilingual foundational, science and practical-learning package",SEVERE_REGIONAL_DEPTH_AND_LANGUAGE_TRANSITION,"[""hypothesis-candidate:031"",""hypothesis-candidate:032"",""hypothesis-candidate:077"",""hypothesis-candidate:033""]",[],"[""COUNTRY-ETH""]",[],"Amharic, West-Central Oromo, Tigrinya and Somali interfaces are separate; Ethiopia's population and country indicators are not assigned to any one language.",P|F|S|V|U,preschool/early childhood; foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"Foundational literacy/numeracy, secondary science and locally adaptable agriculture, health, technical and small-enterprise modules designed for offline/low-bandwidth use.","The Ethiopia sentinel covers 135,472,051 people and shows severe country-level learning, literacy and connectivity gaps. Exact language audiences remain a first-order measurement requirement, not a reason to omit the context.","Begin with bounded multilingual production while resolving language-of-instruction, literacy, script, region, stage and supply cells. Scale multiple interfaces wherever one national-language output would miss learners; missing measurements do not postpone eligibility.","[""Other Ethiopian languages"",""Somali displaced learners"",""Sudanese language portfolios"",""South Sudanese portfolios"",""DRC multilingual package""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,0D575535795836B692D9D48849D44404A8EAD664136A9561976992E4426D2DF0
T10-DRC-MULTILINGUAL-DISPLACEMENT,DRC multilingual and displacement-continuity package,SEVERE_REGIONAL_DEPTH_AND_DISPLACEMENT,"[""hypothesis-candidate:038"",""hypothesis-candidate:011""]","[""displacement-portfolio:drc_regional""]","[""COUNTRY-COD"",""LANG-LLPS-SW-GLOBAL-USERS"",""PACKAGE-PKG-KISWAHILI-MULTISTANDARD""]","[""displacement:drc-regional""]","Lingala, Kivu/Congo Swahili, French, Tshiluba, Kikongo varieties and other named languages plus host-language interfaces; no national or refugee total is assigned to one language.",P|F|S|V|U,preschool/early childhood; foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"Resumable foundational and secondary mathematics/science, public-health and practical livelihood modules, with school-continuity and credential-navigation paths for displaced learners.","The DRC sentinel is 112,832,473 people with extremely severe country-level learning and connectivity contexts. The current displacement row lacks a publication-ready language denominator and remains visible rather than scored down.","Begin with a bounded origin-host continuity package and keep origin, host, stage and language as separate cells. Evidence refines its scale and composition; offline, print and accessible routes remain part of the design wherever connectivity would otherwise prevent use.","[""Named DRC languages not yet profiled"",""Sudan displacement"",""South Sudan displacement"",""Somali displacement"",""Hausa"",""Kiswahili national profiles""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,928B40FD1B6931CCC86CC2A4535BA3530CC15E705C2BFA7535E8AD8615A062F7
T10-HAUSA-MULTISCRIPT,Hausa Boko/Ajami cross-border foundational and practical package,HIGH_REACH_AND_SHARED_WORK,"[""hypothesis-candidate:010""]","[""challenger:hausa-ajami""]","[""LANG-LLPS-HA-NG-USERS"",""LANG-LLPS-HA-GLOBAL-USERS"",""PACKAGE-PKG-HAUSA-MULTISCRIPT-MULTICOUNTRY"",""COUNTRY-NGA""]",[],Hausa country profiles with Boko and Ajami literacy routes kept separate; Nigerian and cross-border totals are not added.,P|F|S|V|U,preschool/early childhood; foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"Foundational numeracy/literacy, secondary science and practical health, agriculture, financial capability and enterprise modules in low-bandwidth text/audio and both evidenced literacy interfaces.",The source register retains a global lower bound of 100 million mixed L1/L2 users and an 80 million Nigeria lower bound. Nigeria's country context shows major literacy and connectivity gaps without supplying a Hausa-specific rate.,Measure Boko/Ajami literacy and national supply separately; preserve a parallel interface where shared content lowers production cost without excluding either script community.,"[""Nigerian Pidgin"",""Yoruba"",""Igbo"",""Central Kanuri"",""Nigerian Fulfulde"",""other West African language profiles""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,1BD6A3E49C8679DF7A8EBA6C3D0158C26D5F7A6347A1165371071F68B25B18CC
T10-SWAHILI-MULTISTANDARD,Kiswahili multistandard cross-border STEM and practical-learning package,HIGH_REACH_AND_SHARED_WORK,"[""hypothesis-candidate:011""]",[],"[""LANG-LLPS-SW-GLOBAL-USERS"",""PACKAGE-PKG-KISWAHILI-MULTISTANDARD"",""COUNTRY-TZA"",""COUNTRY-KEN"",""COUNTRY-COD"",""COUNTRY-UGA""]",[],"Tanzania, Kenya, Uganda, Rwanda, Burundi and Kivu/Congo Swahili standards and L1/L2 audiences kept explicit; a global lower bound is not inherited by one edition.",F|S|V|U,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"Secondary mathematics/science, statistics/computing and practical health, agriculture, finance and management modules with national terminology overlays and offline/mobile delivery.","The source register retains a cross-border lower bound of 200 million mixed L1/L2 users. Multiple education systems may allow substantial reuse, but usable academic register and national supply must be measured.",Retain the national and variety-specific Kiswahili outputs as candidates. Audience and production evidence determines the useful balance between a common core and national overlays without treating all Swahili varieties as identical.,"[""Hausa"",""Amharic"",""Oromo"",""Somali"",""Kinyarwanda"",""Kirundi"",""named DRC languages""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,512F99839975128F5A1E0F90953D75273C469AAB6DCA8BB08C8045E3A0A46F25
T10-ARABIC-REGISTER-INTERFACES,Modern Standard Arabic with explicit vernacular and displacement interfaces,HIGH_REACH_LANGUAGE_TRANSITION_AND_DISPLACEMENT,"[""hypothesis-candidate:012""]","[""displacement-portfolio:glob_ajp_palestinian_refugee"",""displacement-portfolio:glob_apc_sy_refugee"",""displacement-portfolio:glob_sudan_displaced""]","[""LANG-LLPS-ARB-MSA-EDU-EXPOSURE-2025"",""LANG-LLPS-AR-UMBRELLA-SPEAKERS"",""LANG-LLPS-ARZ-EG-TERRITORIAL-CEILING-2024"",""COUNTRY-EGY"",""COUNTRY-SDN""]","[""displacement:glob_ajp_palestinian_refugee"",""displacement:glob_apc_sy_refugee"",""displacement:glob_sudan_displaced""]","MSA as a learned written educational register plus separately specified Egyptian, Palestinian, Syrian/North Levantine, Sudanese and other vernacular interfaces; no vernacular is replaced by the Arabic umbrella.",F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"Reading-supported mathematics/science bridges into MSA, practical health/finance/management modules and advanced open tertiary/research sources, with host/origin-language continuity for displaced learners.","The Arab World education-exposure context is 503,356,133 and the separate umbrella estimate is 450 million speakers. Their relation to exact written comfort, vernacular use and unmet supply remains unmeasured.","Treat MSA, vernacular and host-language interfaces as distinct eligible routes. Task-level evidence determines their relative scale and combination; MSA exposure never erases a vernacular route by assumption.","[""Dari/Pashto displaced learners"",""Kurdish varieties"",""Somali"",""Tigrinya"",""Haitian Creole"",""Ukrainian displacement continuity""]",CONDITIONAL_COVERAGE_CONSTRAINED_FIRST_TRANCHE_NOT_GLOBAL_RANK,,"Run one common 100,000-source-token benchmark protocol alongside the listed target-specific first package. The benchmark measures workflow cost and fidelity under comparable conditions; it is not an eligibility test or a substitute for the target-specific package.",770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,UNMEASURED_NOT_INFERABLE_FROM_TOKEN_EVENTS,UNMEASURED_NET_FUNCTIONAL_ACCESS_YIELD_NOT_ZERO,10625,C989C5B15B00D99E8A5334D63DB404EC07E42806C94597768D472E4994506625
