proxy_position,row_id,reach_position,reach_row_id,language_code,iso639_3,language_name,script_code,edition_profile,plausibly_helped_low,plausibly_helped_point,plausibly_helped_high,compute_profile,compute_binding,compute_scenario_low,compute_scenario_point,compute_scenario_high,compute_unit,conditional_reach_per_million_fecu_low,conditional_reach_per_million_fecu_point,conditional_reach_per_million_fecu_high,physical_compute_status,allocation_status
1,COMMON100K:zh-Hans,1,CLDR48-EDITION:zh-Hans,zh,zho,Chinese,Hans,Simplified Standard Written Chinese profile,900233133,1151960048,1273186860,zho_Hans,DIRECT_ISO6393_SCRIPT_PROFILE,701412.134434,1342487.639017,3152300.813625,fresh_equivalent_token_events,285579703.9130836,858078699.9599425,1815176552.4093618,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
2,COMMON100K:hi-Deva,2,CLDR48-EDITION:hi-Deva,hi,hin,Hindi,Deva,"Hindi, Devanagari-script profile",406222938,519812678,574515298,hin_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,803583.71978,1494017.47487,3340972.870905,fresh_equivalent_token_events,121588218.07193026,347929449.78453535,714941435.2959852,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
3,COMMON100K:es-Latn,3,CLDR48-EDITION:es-Latn,es,spa,Spanish,Latn,"Spanish, Latin-script profile",355319567,454675495,502523387,spa_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,733069.934124,1374853.910845,3157733.127225,fresh_equivalent_token_events,112523621.4348022,330708223.9163516,685505384.4221598,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
4,COMMON100K:ar-Arab,4,CLDR48-EDITION:ar-Arab,ar,ara,Arabic,Arab,"Arabic, Arabic-script profile",265154768,339298442,375004601,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,65561795.912874214,215448628.0674308,486510535.5929827,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
5,COMMON100K:fr-Latn,5,CLDR48-EDITION:fr-Latn,fr,fra,French,Latn,"French, Latin-script profile",233069446,298241289,329626787,fra_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,740118.074662,1399093.811849,3195034.979385,fresh_equivalent_token_events,72947384.77162544,213167470.59716702,445370540.57291496,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
6,COMMON100K:ur-Arab,6,CLDR48-EDITION:ur-Arab,ur,urd,Urdu,Arab,"Urdu, Arabic-script profile",219165280,280449183,309962324,urd_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,821970.29419,1531482.304514,3411575.792265,fresh_equivalent_token_events,64241656.4500514,183122705.4817311,377096746.9152256,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
7,COMMON100K:pt-Latn,8,CLDR48-EDITION:pt-Latn,pt,por,Portuguese,Latn,"Portuguese, Latin-script profile",174624743,223454037,246969280,por_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,701560.445526,1331472.665707,3075365.746425,fresh_equivalent_token_events,56781780.57455275,167824727.2777079,352028512.40399253,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
8,COMMON100K:id-Latn,9,CLDR48-EDITION:id-Latn,id,ind,Indonesian,Latn,"Indonesian, Latin-script profile",126363708,222592226,246016776,ind_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,709327.617206,1342748.656972,3107114.711625,fresh_equivalent_token_events,40669147.98067196,165773560.70641124,346830956.57412255,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
9,COMMON100K:bn-Beng,7,CLDR48-EDITION:bn-Beng,bn,ben,Bangla,Beng,"Bangla, Bangla-script profile",195925593,250711118,277094767,ben_Beng,DIRECT_ISO6393_SCRIPT_PROFILE,846506.193886,1559237.252515,3457903.073385,fresh_equivalent_token_events,56660232.7601407,160790872.32915384,327339326.0455182,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
10,COMMON100K:ru-Cyrl,10,CLDR48-EDITION:ru-Cyrl,ru,rus,Russian,Cyrl,"Russian, Cyrillic-script profile",140806028,180178793,199139954,rus_Cyrl,DIRECT_ISO6393_SCRIPT_PROFILE,758211.67222,1423107.497765,3267808.539465,fresh_equivalent_token_events,43088824.29906757,126609404.61839461,262644273.75132555,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
11,COMMON100K:sw-Latn,11,CLDR48-EDITION:sw-Latn,sw,swa,Swahili,Latn,"Swahili, Latin-script profile",135871455,173864394,192161058,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,33595385.330182984,110400875.80795684,249299285.92447913,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
12,COMMON100K:pa-Arab,12,CLDR48-EDITION:pa-Arab,pa,pan,Punjabi,Arab,"Punjabi, Shahmukhi/Perso-Arabic-script profile",123658360,158236223,174888252,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,30575592.59594656,100477258.17710073,226890488.60347325,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
13,COMMON100K:de-Latn,13,CLDR48-EDITION:de-Latn,de,deu,German,Latn,"German, Latin-script profile",99311238,127081057,140454465,deu_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,731796.846748,1371530.277488,3141757.964505,fresh_equivalent_token_events,31610085.538733404,92656399.26867154,191930951.36192435,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
14,COMMON100K:ja-Jpan,14,CLDR48-EDITION:ja-Jpan,ja,jpn,Japanese,Jpan,"Japanese, Japanese-script profile",82326128,105346501,116432667,jpn_Jpan,DIRECT_ISO6393_SCRIPT_PROFILE,827964.218536,1533970.678996,3430508.667465,fresh_equivalent_token_events,23998227.662498668,68675694.02887832,140625240.06879833,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
15,COMMON100K:jv-Latn,18,CLDR48-EDITION:jv-Latn,jv,jav,Javanese,Latn,"Javanese, Latin-script profile",67302101,86121393,95184399,jav_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,743194.217834,1399407.033868,3203650.696665,fresh_equivalent_token_events,21007939.807564378,61541346.38151566,128074730.28707068,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
16,COMMON100K:lah-Arab,16,CLDR48-EDITION:lah-Arab,lah,lah,Western Panjabi,Arab,"Western Panjabi, Arabic-script profile",70686580,90452254,99971020,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,17477864.59468478,57435613.06982595,129696953.9954439,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
17,COMMON100K:vi-Latn,19,CLDR48-EDITION:vi-Latn,vi,vie,Vietnamese,Latn,"Vietnamese, Latin-script profile",64659547,82739917,91447073,vie_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,784040.650264,1455160.547574,3287146.067625,fresh_equivalent_token_events,19670420.988233496,56859648.33086047,116635627.20785993,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
18,COMMON100K:mr-Deva,17,CLDR48-EDITION:mr-Deva,mr,mar,Marathi,Deva,"Marathi, Devanagari-script profile",69047370,88354681,97652709,mar_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,880197.633736,1610640.460822,3536436.580185,fresh_equivalent_token_events,19524560.51011325,54856861.695196494,110944071.25989756,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
19,COMMON100K:te-Telu,15,CLDR48-EDITION:te-Telu,te,tel,Telugu,Telu,"Telugu, Telugu-script profile",71020152,90879101,100442786,tel_Telu,DIRECT_ISO6393_SCRIPT_PROFILE,907082.810704,1660929.990629,3655837.979625,fresh_equivalent_token_events,19426504.236734513,54715792.6660014,110731660.6761018,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
20,COMMON100K:tr-Latn,23,CLDR48-EDITION:tr-Latn,tr,tur,Turkish,Latn,"Turkish, Latin-script profile",57693679,73826225,81595347,tur_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,757699.13502,1427805.827577,3257891.352345,fresh_equivalent_token_events,17708902.096588526,51706067.851875775,107688320.11118269,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
