id,source_indonesian,jv_academic,jv_conversation,definition_or_rule,decision,canon_refs,review_status
T001,bilangan,wilangan,wilangan,Abstract number not written digit,Use attested wilangan consistently,C01,native_review_pending
T002,bilangan asli,wilangan asli,wilangan asli,1 onwards with zero excluded,Declared mathematical bridge; source convention governs,C01 C03,compound_review_pending
T003,bilangan cacah,wilangan cacah,wilangan cacah,Nonnegative integers including zero,Count sense attested; compound is a pedagogical bridge,C01 C02,compound_review_pending
T004,garis bilangan,garis wilangan,garis wilangan,Equal-spaced coordinate diagram,Keep recognizable garis; do not claim compound attested,C01 C09 C10,compound_review_pending
T005,titik awal,titik asal,titik wiwitan,Origin labeled zero,Origin does not imply that negative coordinates cannot exist,,native_review_pending
T006,koordinat,koordinat,koordinat,Number assigned to a point,Declared mathematical loan explained before use,,native_review_pending
T007,nol,nol,nol,Zero,Use mathematical loan nol; not empty-set wording,,native_review_pending
T008,himpunan,himpunan,kumpulan,Set or collection here,Declare academic loan and conversational paraphrase,,native_review_pending
T009,elipsis,elipsis,tandha telung titik,Pattern continues without limit,Read lan sateruse rather than a finite endpoint,,native_review_pending
T010,variabel,variabel,variabel,Letter representing a potentially changing number,Explain using umur or nilai sing owah,C14,native_review_pending
T011,konstanta,konstanta,konstanta,Number fixed within the model,Explain using nilai sing tetep,C15,native_review_pending
T012,selisih,selisih,selisih,Difference of three years,Declared loan; preserve Alex older than Greg,C05 C11,native_review_pending
T013,penyelesaian,panyelesaian,cara ngrampungake,Worked solution,Provisional academic derivation; native educator decision needed,,native_review_pending
T014,lebih besar,luwih gedhé,luwih gedhé,Rightward increase on number line,Adopt KBJI gedhé spelling; not physical point size,C10 C11 C12,native_review_pending
T015,lebih kecil,luwih cilik,luwih cilik,Leftward decrease on number line,Preserve relation and direction,C09 C11 C13,native_review_pending
T016,dan,lan,lan,Conjunction inside and outside mathematics,Only linguistic MathML mtext substitution in this pilot,,native_review_pending
T017,g,g,g,Greg age variable,Written g stays g; narration says aksara ge,,pronunciation_review_pending
T018,g + 3,g ditambah telu,g ditambah telu,Alex age expression,Narration must retain variable and constant,C05,pronunciation_review_pending
T019,pecahan,pecahan,pecahan,Fraction boundary,Read numerator per denominator; explicit boundary for compounds,,pronunciation_review_pending
T020,desimal,desimal,desimal,Source decimal punctuation,Retain 5.2 visually; say lima koma loro in Javanese,C04 C07,pronunciation_review_pending
T021,satu dua tiga empat lima enam,siji loro telu papat lima enem,siji loro telu papat lima enem,Cardinal words,No fabricated IPA; differentiate enem from enèm,C03 C04 C05 C06 C07 C08,pronunciation_review_pending
T022,bervariasi,owah-owah,owah-owah,Changing age or value,Do not leave unmarked Indonesian bervariasi in Javanese,C14,native_review_pending
T023,dari sampai,saka nganti,saka nganti,Range endpoints,Use attested range syntax not a literal Indonesian splice,C16,native_review_pending
T024,dua belas,rolas,rolas,Twelve,Irregular cardinal explicitly verified instead of concatenation,C17,pronunciation_review_pending
T025,dua puluh tiga,telulikur,telulikur,Twenty-three,Productive likur-family extension; exact spoken form still requires review,C18,pronunciation_review_pending
T026,nilai tempat,nilai panggonan,nilai panggonan,Value assigned by digit position,Ordinary place sense supported but mathematical compound remains provisional,C20,compound_review_pending
T027,digit,digit,digit,Written numeral symbol,Declared mathematical loan; distinguish digit from abstract wilangan,,native_review_pending
T028,ratusan,atusan,atusan,Hundreds place or hundreds group,Directly supported for hundreds; table compound context still reviewed,C19,native_review_pending
T029,puluhan dan satuan,puluhan lan satuan,puluhan lan satuan,Tens and ones places,Transparent loans retained consistently with diagrams and tables,,native_review_pending
T030,perkalian,ping-pingan,ping-pingan,Multiplication operation,C21 directly supports ping-pingan; formula prosody remains source-bound,C21,pronunciation_review_pending
T031,pembagian,paran,paran,Division calculation,C22 supports paran in division sense; educator review of heading usage remains,C22,native_review_pending
T032,pembagian bersusun,para gapit,para gapit,Long-division form,C22 directly lists para gapit; operand order is separately fixture-guarded,C22,pronunciation_review_pending
T033,jumlah atau total,gunggung,gunggung,Sum or total,C23 supports total/sum; individual sentence compounds remain reviewable,C23,native_review_pending
T034,dolar Amerika Serikat,dolar Amerika Serikat,dolar Amerika Serikat,US-dollar unit in banknote example,Always speak the currency after the source amount; no silent currency glyph,,pronunciation_review_pending
T035,blok basis-10,blok basis-10,blok basis-10,Base-ten physical model,Declared pedagogical loan; geometry and numeric labels are preserved,,native_review_pending
T036,ribu dan ribuan,éwu lan éwuan,éwu lan éwuan,Thousand and thousands place,Adopt dedicated C24 spelling in new digit-place text and assets; compounds remain reviewable,C24,native_review_pending
T037,juta,yuta,yuta,Million,C25 attests yuta; yutanan remains a provisional place-label derivation,C25,native_review_pending
T038,delapan,wolu,wolu,Eight,Direct C26 entry now supports the already-used cardinal; prosody still unreviewed,C26,pronunciation_review_pending
T039,sembilan dan sembilan puluh,sanga lan sangang puluh,sanga lan sangang puluh,Nine and ninety,C27 directly supports sanga and sangang constructions,C27,pronunciation_review_pending
T040,enam puluh,sewidak,sewidak,Sixty,C28 supports sixty; full large-number composition remains provisional,C28,pronunciation_review_pending
T041,kurang dari,luwih cilik tinimbang,luwih cilik tinimbang,Strict less-than relation,Distinguish comparison from dikurangi subtraction; preserve point/operand order,C11 C13,compound_review_pending
T042,lebih dari,luwih gedhé tinimbang,luwih gedhé tinimbang,Strict greater-than relation,Preserve numerical direction and attested gedhé spelling,C11 C12,compound_review_pending
T043,sama dengan,padha karo,padha karo,Equality of values,Do not confuse with equivalence of reversed comparison statements,,compound_review_pending
T044,periode,periode,periode,Three-digit place-value group,Declared mathematical loan; source commas separate groups and are not decimals,,native_review_pending
T045,dua puluh lima,salawé,salawé,Twenty-five in three hundred twenty-five,C07 actual extracted entry supports accented salawé; use finite naming-unit forms,C07,pronunciation_review_pending
T046,lima puluh,sèket,sèket,Fifty in two hundred fifty-eight,C07 actual extracted entry supports sèket; no silent seket spelling in new naming unit,C07,pronunciation_review_pending
T047,tanda kurung,kurung,kurung,Bracket as a writing sign,C29 explicitly distinguishes writing sign from physical enclosure,C29,native_review_pending
T048,buka dan tutup,bukak lan tutup,bukak lan tutup,Open and close delimiter narration,C30 supports ordinary open/close components; mathematical prosody remains provisional,C30,pronunciation_review_pending
T049,simbol pengelompokan,simbol panglumpukan,tandha panglumpukan,Grouping symbols in algebra,Provisional derivation; limited indexed lumpuk evidence is not a complete local canon acquisition,,compound_review_pending
T050,tanda kurung siku,tandha kurung siku,kurung siku,Square brackets,Retain declared Indonesian-derived school-label component siku; preserve every delimiter,C29,compound_review_pending
T051,tanda kurung kurawal,tandha kurung kurawal,kurung kurawal,Grouping braces not set notation,Retain declared Indonesian-derived kurawal label and source grouping role,C29,compound_review_pending
T052,ekspresi,ekspresi,wujud aljabar,Expression distinguished from equation,Academic school loan and conversational explanatory phrase; do not append classification to question formulas,,native_review_pending
T053,persamaan,persamaan,persamaan,Equation distinguished from expression,Declared school loan; source two-expression equality definition retained,,native_review_pending
