id,English,Indonesian,Gujarati,decision
T01,number,bilangan,સંખ્યા,General number; distinguish from digit
T02,digit,digit,અંક,One written symbol 0 to 9
T03,counting number,bilangan asli,ગણતરીની સંખ્યા,Starts at 1 in this source
T04,natural number,bilangan natural,પ્રાકૃતિક સંખ્યા,Source convention excludes zero; state convention explicitly
T05,whole number,bilangan cacah,પૂર્ણ સંખ્યા,0 and counting numbers; never use પૂર્ણાંક here
T06,integer,bilangan bulat,પૂર્ણાંક,Reserved for later signed integer unit
T07,zero,nol,શૂન્ય,Number and placeholder role distinguished
T08,number line,garis bilangan,સંખ્યારેખા,Equal spacing stated in text
T09,origin,titik awal,ઉગમબિંદુ,Point labelled 0
T10,coordinate,koordinat,નિર્દેશાંક,Point's number on a number line
T11,place value,nilai tempat,સ્થાનકિંમત,Confirmed in GU-C08; educator review still pending
T12,ones,satuan,એકમ,Use એકમનું સ્થાન for a place
T13,tens,puluhan,દશક,One group of ten ones
T14,hundreds,ratusan,સો,One group of ten tens; bridge synonym શતક; GU-C03
T15,thousands,ribuan,હજાર,Do not alter original grouping in faithful examples
T16,expanded form,bentuk panjang,વિસ્તાર,Bridge synonym વિસ્તૃત સ્વરૂપ; GU-C09; show each digit's value including optional zero term
T17,greater than,lebih besar dari,કરતાં મોટું,Symbol > has an explicit spoken explanation
T18,less than,lebih kecil dari,કરતાં નાનું,Symbol < has an explicit spoken explanation
T19,solution,penyelesaian,ઉકેલ,Worked steps are સંપૂર્ણ ઉકેલ
T20,practice,latihan,અભ્યાસ,Not a timed or standardized test
T21,ellipsis,elipsis,લોપચિહ્ન,Explain as અને આમ આગળ
T22,algebra,aljabar,બીજગણિત,Retain letter variables in future units
T23,base ten,basis sepuluh,આધાર-10,Model description; one tens rod equals ten unit blocks
T24,rounding,pembulatan,નજીકની સ્થાનકિંમતમાં ફેરવવું,Plain nearest-place instruction attested in Khan Gujarati; define ગોળ કરવું as synonym; targeted-examples.md
T25,factor,faktor,અવયવ,Positive whole-number factors in this introductory module; distinguish from multiple; Khan prime transcript
T26,multiple,kelipatan,અવયવી,Whole-number multiples; distinguish from factor; Khan Gujarati LCM heading
T27,prime number,bilangan prima,અવિભાજ્ય સંખ્યા,Whole number greater than1 with exactly two distinct positive factors
T28,composite number,bilangan komposit,સંયુક્ત (વિભાજ્ય) સંખ્યા,Greater than1 with more than two positive factors; bridge Khan class label and relational divisibility
T29,prime factorization,faktorisasi prima,અવિભાજ્ય અવયવીકરણ,Product of prime factors; Khan Gujarati practice transcript
T30,least common multiple,kelipatan persekutuan terkecil,લઘુત્તમ સામાન્ય અવયવી,Explain source abbreviation LCM; double ત in લઘુત્તમ
T31,divisible,dapat dibagi,વિભાજ્ય,Relational term: a is divisible by b when division has no remainder; introductory whole-number scope
T32,factor tree,pohon faktor,અવયવવૃક્ષ,Diagram showing successive factor pairs; keep repeated prime factors
T33,million,juta,મિલિયન,Retain source international groups; Indian lakh bridge must be separate
T34,billion,miliar,બિલિયન,Source short scale equals1000 million; no silent regrouping
T35,trillion,triliun,ટ્રિલિયન,Source short scale equals1000 billion; no silent regrouping
T36,variable,variabel,ચલ,Retain source letter variables; Khan Gujarati variables transcript
T37,constant,konstanta,અચળ,Fixed value in the stated expression/context
T38,expression,ekspresi,પદાવલી,Bridge synonym અભિવ્યક્તિ once; distinguish from equation
T39,equation,persamaan,સમીકરણ,Two expressions joined by equality; do not call a bare expression an equation
T40,coefficient,koefisien,સહગુણક,Number multiplying variable/power; directly read Gujarati polynomial introduction
T41,exponent,eksponen,ઘાતાંક,Small raised number specifies repeated factors; not a multiplier
T42,base,basis,આધાર,In a power expression; distinguish from place-value base context
T43,term,suku,પદ,Keep sign and variable/exponent scope; Khan Gujarati polynomial transcript
T44,like terms,suku sejenis,સજાતીય પદો,Same variable parts and corresponding exponents; coefficient may differ
T45,subtraction,pengurangan,બાદબાકી,Explicitly describe place exchanges; do not reverse operand order
T46,difference,selisih,તફાવત,Subtraction result; surrounding phrase determines operand direction
T47,inverse operations,operasi invers,વિપરીત ક્રિયાઓ,Addition checks subtraction; preserve source mathematical domain
T48,partial product,hasil kali parsial,આંશિક ગુણનફળ,Retain positional shifts in long multiplication diagrams
T49,area,luas,ક્ષેત્રફળ,Square units; distinguish from perimeter linear units
T50,dividend,bilangan yang dibagi,ભાજ્ય,Number being divided; not ભાગ્ય meaning fate; explicit Khan Gujarati division navigation
T51,divisor,pembagi,ભાજક,Number dividing the dividend; whole-number remainder is strictly smaller than a positive divisor
T52,quotient,hasil bagi,ભાગફળ,Result of division; retain source whole-number quotient with separate remainder
T53,remainder,sisa,શેષ,Leftover after equal groups; dividend equals divisor times quotient plus remainder
T54,division,pembagian,ભાગાકાર,Read operation as ભાગ્યા or વડે ભાગો; source order determines dividend and divisor
T55,multiplication,perkalian,ગુણાકાર,Distinguish the operation from its product
T56,product,hasil kali,ગુણનફળ,Result of multiplication; preserve positional zeros and partial-product shifts
T57,positive number,bilangan positif,ધન સંખ્યા,Greater than zero; zero is neither positive nor negative
T58,negative number,bilangan negatif,ઋણ સંખ્યા,Less than zero; keep negative sign distinct from binary subtraction
T59,opposite number,lawan bilangan,વિરોધી સંખ્યા,Equal distance on the other side of zero; zero is its own opposite
T60,absolute value,nilai mutlak,નિરપેક્ષ મૂલ્ય,Distance from zero including zero; always nonnegative
T61,neutral pair,pasangan netral,શૂન્ય બનાવતી જોડી,One positive and one negative counter; adding or removing the pair preserves value
