term_id	english	bn-Beng-IN	usage_note	status
T001	fraction	ভগ্নাংশ	প্রথম ব্যবহারে সমান ভাগের কথা বলো।	provisional_West_Bengal_review
T002	numerator	লব	ভগ্নাংশের উপরের সংখ্যা।	provisional_West_Bengal_review
T003	denominator	হর	ভগ্নাংশের নীচের সংখ্যা; শূন্য নয়।	provisional_West_Bengal_review
T004	equivalent fractions	সমতুল ভগ্নাংশ	মান সমান; লব ও হর আলাদা হতে পারে। TR02-এ তুল্য ভগ্নাংশ সমার্থক রূপটি দেখা যায়।	provisional_West_Bengal_review
T005	simplify a fraction	লঘিষ্ঠ আকারে প্রকাশ করা	১ ছাড়া লব-হরের সাধারণ গুণনীয়ক নেই।	provisional_West_Bengal_review
T006	factor	গুণনীয়ক	গুণিতক-এর সঙ্গে গুলিয়ে ফেলো না।	provisional_West_Bengal_review
T007	multiple	গুণিতক	গুণনীয়ক-এর সঙ্গে গুলিয়ে ফেলো না।	provisional_West_Bengal_review
T008	least common multiple	লঘিষ্ঠ সাধারণ গুণিতক (ল.সা.গু.)	ছোটদের আগে গুণিতকের তালিকা দেখাও; TR07-এ পুরো নাম এবং 4,6-এর ল.সা.গু.12-এর প্রশ্ন-উত্তর সাক্ষ্য।	provisional_West_Bengal_review
T009	greatest common divisor	গরিষ্ঠ সাধারণ গুণনীয়ক (গ.সা.গু.)	এই এককের পরের লঘিষ্ঠ-আকার পাঠে ব্যবহার হবে।	provisional_West_Bengal_review
T010	common denominator	একই হর	গণনায় একই মাপের ভাগ বোঝাও।	provisional_West_Bengal_review
T011	least common denominator	লঘিষ্ঠ সাধারণ হর	ধনাত্মক পূর্ণসংখ্যা হরগুলির ল.সা.গু.।	provisional_West_Bengal_review
T012	variable	চল	x বা y-কে গুণচিহ্ন হিসেবে পড়বে না।	provisional_West_Bengal_review
T013	algebraic expression	বীজগাণিতিক রাশি	সমতা-চিহ্ন না থাকলে সমীকরণ বলবে না।	provisional_West_Bengal_review
T014	equation	সমীকরণ	দুটি রাশির সমতা প্রকাশ করে।	provisional_West_Bengal_review
T015	solution of an equation	সমীকরণের সমাধান	চলের যে মান বসালে সমতা সত্য হয়।	provisional_West_Bengal_review
T016	substitute	মান বসানো	শিশু-পাঠে প্রতিস্থাপন-এর বদলে এই কথাটি।	provisional_West_Bengal_review
T017	equal parts	সমান ভাগ	একই সমগ্রের সমান মাপের ভাগ।	provisional_West_Bengal_review
T018	whole	সমগ্র	সহজ ব্যাখ্যায় গোটা বস্তু বা গোটা অংশ।	provisional_West_Bengal_review
T019	nonzero	অশূন্য	সহজ ব্যাখ্যায় শূন্য নয়।	provisional_West_Bengal_review
T020	worked example	ধাপে ধাপে সমাধান করা উদাহরণ	উত্তরের সঙ্গে কেন ধাপটি করা হল তা লেখো।	provisional_West_Bengal_review
T021	fraction tile	ভগ্নাংশের পাত	একই দৈর্ঘ্যের আয়তাকার পাতের সমান ভাগ।	provisional_West_Bengal_review
T022	integer	পূর্ণসংখ্যা	ধনাত্মক পূর্ণসংখ্যা, শূন্য ও ঋণাত্মক পূর্ণসংখ্যা।	provisional_West_Bengal_review
