"profile_id","lane","region","target_profile","tag","script_or_orthography","likely_reader_cohort","local_status","sequence_state","g_id","g_src","g_use","g_audit","g_tech","g_harm","R","S","A","N","V","P","F","D","confidence","evidence_ids","decision_caveat"
"GAP-SA-BN-BD","high_reach_underserved","South Asia","Bangladesh Bengali national educational standard","bn-Beng-BD","Bengali script; Bangladesh school/university register","Bengali-first readers in Bangladesh not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4-5","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E006;MIR-E007;MIR-E042;MIR-E043;MIR-E069","Very large opportunity; target-specific open advanced-math, terminology and model-check evidence remains to be assembled"
"GAP-SA-BN-IN","high_reach_underserved","South Asia","Indian Bengali educational standard","bn-Beng-IN","Bengali script; Indian regional higher-education register","Bengali-first readers in India not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S2-3","A4","N3","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E069","Do not merge Bangladesh and Indian terminology or educational baselines"
"GAP-SA-TE-IN","high_reach_underserved","South Asia","Telugu educational standard in Andhra Pradesh and Telangana","te-Telu-IN","Telugu script; exact state terminology audit required","Telugu-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","High absolute opportunity; state-level terminology and open-material audit precede any commission"
"GAP-SA-TA-IN","high_reach_underserved","South Asia","Indian Tamil educational standard","ta-Taml-IN","Tamil script; Indian higher-education register","Tamil-first readers in India not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R4","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Keep separate from Sri Lankan Tamil educational and terminology profiles"
"GAP-SA-TA-LK","regional_depth","South Asia","Sri Lankan Tamil educational standard","ta-Taml-LK","Tamil script; Sri Lankan school/university register","Tamil-first readers in Sri Lanka and relevant diaspora cohorts","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S2-3","A4","N3","V2","P3","F3","D1","low","MIR-E003;MIR-E004;MIR-E043;MIR-E069","Shared language does not justify inheriting Indian institutional terminology without audit"
"GAP-SA-MR-IN","high_reach_underserved","South Asia","Marathi educational standard","mr-Deva-IN","Devanagari; Maharashtra higher-education register","Marathi-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R4","S2-3","A4","N3","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Hindi script overlap is not Marathi language coverage"
"GAP-SA-GU-IN","high_reach_underserved","South Asia","Gujarati educational standard","gu-Gujr-IN","Gujarati script; Gujarat higher-education register","Gujarati-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3-4","S2-3","A4","N3","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Reader opportunity is a range, not the census speaker total"
"GAP-SA-KN-IN","high_reach_underserved","South Asia","Kannada educational standard","kn-Knda-IN","Kannada script; Karnataka higher-education register","Kannada-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3-4","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Audit current open university mathematics before final placement"
"GAP-SA-ML-IN","high_reach_underserved","South Asia","Malayalam educational standard","ml-Mlym-IN","Malayalam script; Kerala higher-education register","Malayalam-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3-4","S2-3","A4","N2-3","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","English overlap may be higher in some cohorts and must be measured rather than assumed"
"GAP-SA-OR-IN","regional_depth","South Asia","Odia educational standard","or-Orya-IN","Odia script; Odisha higher-education register","Odia-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S3","A4","N3-4","V1","P3","F2-3","D1","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Exact digital material, terminology and model-check research is the first action"
