ordinal	module	bytes	sha256	path	url
1	m81241	26760	1c7cf6eda8be5021f1f33dc22069f5a3db50d1412a024bb57c7268b25db7f9df	m81241.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81241/index.cnxml
2	m81242	1226	0d76349dc9a5ac95ce000e86c140ddadc0bebd5b30edeb4e2b1163b02c26fa83	m81242.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81242/index.cnxml
3	m81243	99062	396b0029798e054e5db6d7acde738cec9f9d8b86bc81da8cc3690d01ec07cf2b	m81243.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81243/index.cnxml
4	m81244	119141	b32058ce714e5fd43b010ccc81b2ae00a11567b229e9f96dda7b85b3cd82ba6b	m81244.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81244/index.cnxml
5	m81245	95095	02df262b21ee15472223ae863bc5f3bcb3714389a8ef46e66c8b4469c6972841	m81245.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81245/index.cnxml
6	m81255	125741	1717786daf25223f0712f505768442007c15cf449e382d5596414460d26bd4ba	m81255.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81255/index.cnxml
7	m81256	178822	73e8bf102d72a8c3891b1f9823c015f288ffcd2315cc452e68e4028429e93b40	m81256.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81256/index.cnxml
8	m81266	1491	3ef40958467c1d82ef6fd51c3f6ea8af9c2c3e2ea61a90ddf22873eaf7099333	m81266.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81266/index.cnxml
9	m81268	152620	7a46eec9084976ca082e71f10f4cad97f2ba231d7b390e27753a21efb530bf87	m81268.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81268/index.cnxml
10	m81270	120428	f48a03a92672e647cfcab21b800ca51d0626c92991a1fd7699fab6b8ab1c9661	m81270.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81270/index.cnxml
11	m81271	104275	f74029642f7833d2a8596b2973d8789ae180d238052a0460c6eaa0a83277cde7	m81271.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81271/index.cnxml
12	m81272	121371	e547be567190fc22617dda6defdfa2d04349dd86584d890221d2d702aff6f214	m81272.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81272/index.cnxml
13	m81273	120016	4da1f4b3fb0d26f4ece7475531f5f6f46ed8c7801fffd605429105a836abd40e	m81273.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81273/index.cnxml
14	m81274	1322	098c31928c9718bd11e923247cbb305e02338e1a3772968c7c8524af8faabae4	m81274.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81274/index.cnxml
15	m81275	127319	d6b1c30a01c4853ce1ed7b4e642836d9b79e168db973ddc568776cedca9d53ed	m81275.source.cnxml	https://raw.githubusercontent.com/openstax/osbooks-prealgebra-bundle/38cae454e644abf9f0a623e876994553881597c9/modules/m81275/index.cnxml
