key	English	Indonesian	Tamil_preferred	plain_Tamil	decision
counting_natural	counting / natural numbers	bilangan asli	இயல் எண்கள்	1-இல் தொடங்கும் எண்ணும் எண்கள்	Source convention starts at 1; state explicitly, not universal board usage.
whole	whole numbers	bilangan cacah	முழு எண்கள்	0 உட்பட 0, 1, 2, 3, …	Do not equate with integers; reserve negative integers for later unit.
zero	zero	nol	பூச்சியம்	எதுவும் இல்லாத எண்ணிக்கை	Use 0 in mathematics; avoid using absence of notation as zero.
number	number	bilangan	எண்	எண்ணிக்கையைக் குறிக்கும் மதிப்பு	Distinguish from digit in next unit.
number_line	number line	garis bilangan	எண் கோடு	எண்கள் சம இடைவெளிகளில் குறிக்கப்பட்ட கோடு	Separate words consistently; inflected forms allowed.
origin	origin	titik awal	தொடக்கப்புள்ளி	0 என்று குறிக்கப்பட்ட புள்ளி	Provisional plain-register preference; மூலப்புள்ளி/ஆதிப்புள்ளி may occur elsewhere.
coordinate	coordinate	koordinat	ஆயம்	ஒரு புள்ளியுடன் இணைக்கப்படும் எண்	Provisional; ஆயத்தொலை is an alternative for specialist review.
algebra	algebra	aljabar	இயற்கணிதம்	எண்களையும் குறியீடுகளையும் கொண்டு கருத்துகளை எழுதுதல்	Curriculum-neutral; no claim of an official terminology mandate.
ellipsis	ellipsis	elipsis	முப்புள்ளிக் குறி	இதே முறை தொடர்ந்து செல்கிறது என்ற குறி	Preserve source ellipsis glyph in formulas.
unit	unit	satuan	அலகு	அடுத்தடுத்த எண்களுக்கு இடையிலான ஓர் இடைவெளி	Distinguish unit distance from a learning unit by context.
greater	greater	lebih besar	பெரிதாகும்	வலப்புறம் செல்ல மதிப்பு அதிகரிக்கும்	Number-line figure directional wording.
smaller	smaller	lebih kecil	சிறிதாகும்	இடப்புறம் செல்ல மதிப்பு குறையும்	Number-line figure directional wording.
solution	solution	penyelesaian	தீர்வு	விடை கிடைக்கும் படிகள்	Use விடை for answer; தீர்வு for worked reasoning.
placement	placement	penempatan	தொடக்கச் சோதனை	எந்த விளக்கத்தில் தொடங்கலாம் என்பதை அறிதல்	Not a validated grade-placement instrument.
mastery	mastery	penguasaan	தேர்ச்சி	விடையையும் காரணத்தையும் நீங்களே கூறுதல்	Local 4-of-4 learning gate only, not certification.
place_value	place value	nilai tempat	இடமதிப்பு	இலக்கம் இருக்கும் இடத்தைப் பொறுத்த மதிப்பு	Attested C05/page20; distinguish the named position from a digit's contribution in answers.
digit	digit	digit	இலக்கம்	எண்ணை எழுதப் பயன்படும் 0 முதல் 9 வரையிலான குறியீடு	Attested C05/page20; distinguish numerical value from its written symbol.
place_value_system	place value system	sistem nilai tempat	இடமதிப்பு முறை	இலக்கத்தின் இடத்தைப் பொறுத்து அதன் மதிப்பு அமையும் முறை	U002 compound; இடமதிப்பு attested canon C05, exact compound remains provisional.
place_value_notation	place value notation	notasi nilai tempat	இடமதிப்புக் குறியீட்டு முறை	நூறுகள், பத்துகள், ஒன்றுகளின் மதிப்புகளைச் சேர்த்துக் காட்டுதல்	U002; குறியீடு attested glossary p175, compound is provisional.
base_ten_blocks	base-10 blocks	balok basis-10	அடிமானம்-10 கட்டங்கள்	ஒன்றுகள் கட்டம், பத்துகள் பட்டை, நூறுகள் சதுரம்	Provisional manipulative terminology; explain ten-to-one relationship explicitly.
hundreds_square	hundreds square	persegi ratusan	நூறுகள் சதுரம்	10 வரிசைகளில் தலா 10 ஒன்றுகள் கொண்ட சதுரம்	U002 source description establishes value 100; diagram singular 1 நூறு is valid inflection.
tens_rod	tens rod	batang puluhan	பத்துகள் பட்டை	10 ஒன்றுகள் கொண்ட பட்டை	கிடைமட்டப் பட்டைகள் attested glossary p175; compound provisional.
ones_block	ones block	balok satuan	ஒன்றுகள் கட்டம்	1-ஐக் குறிக்கும் ஒரு கட்டம்	Provisional; keep number of groups distinct from group value.
period	period	periode	இடமதிப்புத் தொகுதி	மூன்று இடங்களைக் கொண்ட குழு	U003 provisional compound, not time; C13/page11 newly attests alternative பிரிவுகள் for Indian groups; retain current compound for international three-place source grouping.
million	million	juta	மில்லியன்	1,000,000	Provisional Tamil transliteration; source short scale, not a silent replacement by Indian periods.
billion	billion	miliar	பில்லியன்	1,000,000,000	Provisional Tamil transliteration; define exact value, do not rely on scale name alone.
trillion	trillion	triliun	டிரில்லியன்	1,000,000,000,000	Provisional Tamil transliteration; source short scale retained.
ten_thousands	ten thousands	puluh ribuan	பத்தாயிரங்கள்	10,000 மதிப்புள்ள இடம்	Compositional label preserves source place chart; no claim of official standard.
hundred_thousands	hundred thousands	ratus ribuan	நூறாயிரங்கள்	100,000 மதிப்புள்ள இடம்	Source international chart label; canon's இலட்சம் belongs in an explicitly new bridge, not source regrouping.
standard_form	standard form	bentuk standar	திட்ட வடிவம்	சொற்களால் அல்லாமல் இலக்கங்களால் எழுதுதல்	U005; glossaryp175attests term; explanatory firstuse disambiguates from later scientific-notation conventions.
rounding	rounding	pembulatan	முழுமையாக்கல்	குறிப்பிட்ட இடமதிப்பில் அருகிலுள்ள முழு எண்ணைக் கூறுதல்	U006; C16/page31 attests முழுமையாக்குதல்; whole-number source uses half-up ties, not a universal rule for all numerical domains.
approximation	approximation	perkiraan	தோராய மதிப்பு	மிகச் சரியான மதிப்பிற்கு அருகிலுள்ள மதிப்பு	U006; C15/page30 uses தோராயம், சுமார் and உத்தேச மதிப்பு; retain exact source figures when describing a rounded amount.
addition	addition	penjumlahan	கூட்டல்	எண்களை ஒன்றிணைக்கும் செயல்பாடு	U009; actual canonp36 directly attests கூட்டல். Distinguish the operation from its result.
sum	sum	jumlah	கூடுதல்	கூட்டிய பின் கிடைக்கும் முடிவு	U009; actual p36 image resolves OCRகூருதல் toகூடுதல். கூட்டுத்தொகை is an alternative, not attested by the consulted passage.
notation	notation	notasi	குறியீடு	கணிதத்தை எழுதப் பயன்படும் குறிகள்	U009; direct bilingual glossaryp175attestation; narrower than the provisional expanded compoundகுறியீட்டு முறை.
expression	expression	ekspresi	கோவை	எண்களும் செயல்பாடுகளும் கொண்டு எழுதுவது	U009; provisional arithmetic extension from p175இயற்கணித கோவைகள். Source broad statement preserved; a companion should distinguish an expression from an equation.
addends	addends	bilangan yang dijumlahkan	கூட்டப்படும் எண்கள்	கூட்டலில் ஒன்றிணைக்கும் எண்கள்	U009 descriptive phrase; no exact addend headword attested in consulted corpus. Alternativeகூட்டல் உறுப்புகள் not selected for this introductory register.
equation	equation	persamaan	சமன்பாடு	இரு கோவைகளின் மதிப்புகளும் சமம் என்பதைக் காட்டும் கூற்று	U010; directly attested p36 and bilingual glossaryp175; distinguish from an expression alone.
equal_sign	equal sign	tanda sama dengan	சமக்குறி	இருபுற மதிப்புகளும் சமம் என்பதைக் காட்டும் = குறி	U010 provisional compound paired with =; p36/p175 support equality/equation, not an exact equal-sign headword. Alternativeசமன் குறி recorded for linguistic review.
