0	દશાંશ
1	આ વિભાગના અંતે તમે આ કરી શકશો:
2	દશાંશને શબ્દોમાં અને અંકોમાં લખવા
3	દશાંશને નજીકની આપેલી સ્થાનકિંમતમાં ફેરવવા
4	દશાંશનો સરવાળો અને બાદબાકી કરવા
5	દશાંશનો ગુણાકાર અને ભાગાકાર કરવા
6	દશાંશ, અપૂર્ણાંક અને ટકાને એકબીજાના સ્વરૂપમાં ફેરવવા
7	આ વિભાગના વિષયોનો વધુ વિગતવાર પરિચય
8	પૂર્વબીજગણિત
9	પુસ્તકના આ પ્રકરણમાં મળે છે:
10	દશાંશને શબ્દોમાં અને અંકોમાં લખો
11	લખવાની બીજી રીત છે એવા
12	અપૂર્ણાંક
13	ને, જેમના છેદ 10ની ઘાત હોય છે.
14	એટલે “એક દશાંશ”
15	એટલે “એક શતાંશ”
16	0.001 એટલે “એક સહસ્રાંશ”
17	0.0001 એટલે “એક દસ-સહસ્રાંશ”
18	ધ્યાન આપો: અંગ્રેજી “ten thousand” એટલે દસ હજાર, જે એક કરતાં મોટી સંખ્યા છે; પણ “one ten-thousand
19	th
20	” એટલે દસ હજારમો ભાગ, જે એક કરતાં નાનો છે. આ અંગ્રેજી નામના અંતે “th” આવવાથી અહીં એક કરતાં નાનો ભાગ સૂચવાય છે.
21	પૂર્ણ સંખ્યાનું નામ તેની સ્થાનકિંમત પ્રમાણે હોય છે, જે દસની ઘાતો પર આધારિત છે. આપણે 10,000ને “દસ હજાર” અને 10,000,000ને “દસ મિલિયન” વાંચીએ છીએ. એ જ રીતે,
22	દશાંશ
23	સ્થાનોનાં નામ તેમની અપૂર્ણાંક કિંમતો સાથે સંબંધિત છે.
24	માં દર્શાવેલાં છે
25	સ્થાનકિંમત
26	નાં નામ, દશાંશ ચિહ્નની ડાબી અને જમણી બાજુએ.
27	“સ્થાનકિંમત” મથાળાવાળું કોષ્ટક છે. ડાબેથી જમણે “સો હજાર”, “દસ હજાર”, “હજાર”, “સો”, “દશક” અને “એકમ” છે. પછી એક ખાલી ખાનું છે, જેની નીચે દશાંશ ચિહ્ન છે. જમણે “દશાંશ”, “શતાંશ”, “સહસ્રાંશ”, “દસ-સહસ્રાંશ” અને “લક્ષાંશ” છે; આ અનુક્રમે 1/10, 1/100, 1/1000, 1/10000 અને 1/100000નાં સ્થાન છે.
28	દશાંશ સંખ્યાની સ્થાનકિંમતો દશાંશ ચિહ્નની ડાબી અને જમણી બાજુએ દર્શાવી છે.
29	દશાંશને શબ્દોમાં કેવી રીતે લખવું
30	દશાંશ 4.3ને શબ્દોમાં લખો.
31	ઉકેલ
32	ચાર પગલાંનું કોષ્ટક છે અને સંખ્યા 4.3 આપી છે. પહેલું પગલું છે: “પગલું 1. દશાંશ ચિહ્નની ડાબી બાજુની સંખ્યાને શબ્દોમાં લખો.” જમણે લખ્યું છે: “દશાંશ ચિહ્નની ડાબે 4 છે.” તેની જમણે “ચાર” અને પછી મોટી ખાલી જગ્યા છે.
33	બીજું પગલું છે: “પગલું 2. દશાંશ ચિહ્ન માટે ‘અને’ લખો.” જમણે “ચાર અને” પછી ખાલી જગ્યા છે.
34	ત્રીજું પગલું છે: “પગલું 3. દશાંશ ચિહ્નની જમણી બાજુના સંખ્યાભાગને પૂર્ણ સંખ્યા ગણીને શબ્દોમાં લખો.” જમણે “દશાંશ ચિહ્નની જમણે 3 છે” અને પછી “ચાર અને ત્રણ” પછી ખાલી જગ્યા છે.
35	છેલ્લું પગલું છે: “પગલું 4. દશાંશ સ્થાનનું નામ લખો.” જમણે “ચાર અને ત્રણ દશાંશ” લખ્યું છે.
36	દશાંશને શબ્દોમાં લખો:
37	છ અને સાત દશાંશ
38	પાંચ અને આઠ દશાંશ
39	ને શબ્દોમાં લખવાનાં જરૂરી પગલાંનો સારાંશ નીચે આપ્યો છે:
40	.
41	દશાંશને શબ્દોમાં લખો.
42	દશાંશ ચિહ્નની ડાબી બાજુની સંખ્યાને શબ્દોમાં લખો.
43	દશાંશ ચિહ્ન માટે “અને” લખો.
44	દશાંશ ચિહ્નની જમણી બાજુના સંખ્યાભાગને પૂર્ણ સંખ્યા ગણીને શબ્દોમાં લખો.
45	છેલ્લા અંકના દશાંશ સ્થાનનું નામ લખો.
46	દશાંશ −15.571ને શબ્દોમાં લખવાની પગલાંવાર રીત દર્શાવે છે.
47	ઋણ પંદર __________________________________
48	ઋણ પંદર અને ______________________________
